grupo,candidata,canal,muestra,n,coef,t,p
F,enriq,f_polvo,LOCKBOX,63,0.0004612168627043719,0.335004385903144,0.7376217777305893
F,enriq,f_polvo,TOTAL,361,-0.0008367386056231129,-0.49762940675864265,0.6187452728993562
F,enriq,sn_perdido_escoria_frac,DEV,298,0.0016147528329024394,1.5667541501156361,0.11717216821368734
F,enriq,sn_perdido_escoria_frac,LOCKBOX,63,-0.0003021183625927634,-0.26982700050928854,0.7872933496006815
F,enriq,sn_perdido_escoria_frac,TOTAL,361,0.0004606189800499996,0.5649791939077613,0.5720879160654408
F,aire,f_metal,DEV,298,-0.001353760438663925,-0.27812853196881876,0.7809136941314684
F,aire,f_metal,LOCKBOX,63,0.00522711038358286,0.4049417781633803,0.685520307963069
F,aire,f_metal,TOTAL,361,-0.0009297130281477429,-0.21022402151952208,0.8334928319924777
F,aire,f_dross,DEV,298,0.00029993013717047746,0.07621921578938551,0.9392446951680342
F,aire,f_dross,LOCKBOX,63,-0.0016810540763490854,-0.12745660674856352,0.8985790158046781
F,aire,f_dross,TOTAL,361,-0.0012213194251384572,-0.31765069364318393,0.7507499161584241
F,aire,f_polvo,DEV,298,0.0010538303014936271,0.3377989325776382,0.735514714334957
F,aire,f_polvo,LOCKBOX,63,-0.0035460563072337373,-0.714856997920161,0.4746974109729656
F,aire,f_polvo,TOTAL,361,0.002151032453285966,0.8222877026673683,0.4109131739123242
F,aire,sn_perdido_escoria_frac,DEV,298,-0.0008457902984256496,-0.8721283611949124,0.3831383555981047
F,aire,sn_perdido_escoria_frac,LOCKBOX,63,-0.001456995654590865,-0.33492000668828026,0.7376854296775135
F,aire,sn_perdido_escoria_frac,TOTAL,361,-0.0007263395418794665,-0.7909174121654876,0.4289921868692764
F,esteq,f_metal,DEV,298,-0.010639255736696563,-1.9976886216046958,0.04575042856064816
F,esteq,f_metal,LOCKBOX,63,-0.017484156289093118,-2.074005286014257,0.0380788199380695
F,esteq,f_metal,TOTAL,361,-0.012760033464042229,-3.20962321136748,0.0013290907022376888
F,esteq,f_dross,DEV,298,0.011325396308157645,1.9052507256624505,0.056747487256115295
F,esteq,f_dross,LOCKBOX,63,0.01190918605970428,1.1036262058685151,0.26975531855433355
F,esteq,f_dross,TOTAL,361,0.00970993603124664,2.0972364454512076,0.03597264973224422
F,esteq,f_polvo,DEV,298,-0.000686140571464528,-0.14731515158103306,0.8828832737223437
F,esteq,f_polvo,LOCKBOX,63,0.005574970229388897,1.2400245474539202,0.21496631480859263
F,esteq,f_polvo,TOTAL,361,0.003050097432793884,0.8475785155542537,0.3966727435248446
F,esteq,sn_perdido_escoria_frac,DEV,298,-0.0008577112044806564,-0.6356081646049853,0.525031846581854
F,esteq,sn_perdido_escoria_frac,LOCKBOX,63,0.004296135676065871,0.6275186206362244,0.5303193342312065
F,esteq,sn_perdido_escoria_frac,TOTAL,361,0.0009943816005952226,0.47225753956792016,0.6367429736976972
F,caudal,f_metal,DEV,298,-0.004417522047443062,-1.0299946650160146,0.3030125099719113
F,caudal,f_metal,LOCKBOX,63,-0.005179578682494006,-0.43140387553254794,0.666174732452667
F,caudal,f_metal,TOTAL,361,-0.004165838369366827,-1.0158613359833855,0.3096954228728416
F,caudal,f_dross,DEV,298,0.002523293367526783,0.6900752533720735,0.4901468644923338
F,caudal,f_dross,LOCKBOX,63,0.00886172778096387,1.262251022072635,0.20685847448764116
F,caudal,f_dross,TOTAL,361,0.002422782442738642,0.6629020543877376,0.5073932859064973
F,caudal,f_polvo,DEV,298,0.0018942286799163103,0.6704476561210546,0.5025724637291236
F,caudal,f_polvo,LOCKBOX,63,-0.0036821490984698443,-0.4574590528874449,0.6473411273353363
F,caudal,f_polvo,TOTAL,361,0.0017430559266280914,0.6338229636857168,0.5261963649842982
F,caudal,sn_perdido_escoria_frac,DEV,298,-0.0001079135014025196,-0.13631599183831883,0.8915714822309626
F,caudal,sn_perdido_escoria_frac,LOCKBOX,63,-0.007019607052647888,-0.7383971281313119,0.46027315924299517
F,caudal,sn_perdido_escoria_frac,TOTAL,361,-0.0009461238594776302,-0.9358286098598974,0.34936143856364454
F,ppunta,f_metal,DEV,258,0.0003029028486240087,0.09655319947292129,0.9230812241769917
F,ppunta,f_metal,LOCKBOX,63,-0.0133376569323079,-0.9885150713712849,0.32290045696851244
F,ppunta,f_metal,TOTAL,321,-0.0006639961502494134,-0.21678516840310416,0.8283757710125259
F,ppunta,f_dross,DEV,258,0.0011653967494005383,0.395658145738464,0.6923572358900245
F,ppunta,f_dross,LOCKBOX,63,0.0032891958418322276,0.26117110361217266,0.7939605609445268
F,ppunta,f_dross,TOTAL,321,0.0012567981941996901,0.4271933667254542,0.6692384923580371
F,ppunta,f_polvo,DEV,258,-0.0014682995980244285,-0.6831874693945994,0.49448838960069286
F,ppunta,f_polvo,LOCKBOX,63,0.0100484610904757,1.224227662403987,0.22086635661779364
F,ppunta,f_polvo,TOTAL,321,-0.000592802043950295,-0.28339844384987417,0.7768714211421196
F,ppunta,sn_perdido_escoria_frac,DEV,258,0.00013584021155548396,0.24182195350105673,0.8089181272503511
F,ppunta,sn_perdido_escoria_frac,LOCKBOX,63,0.001903785645729092,0.47961050578770975,0.6315043746407594
F,ppunta,sn_perdido_escoria_frac,TOTAL,321,0.00022417394524192077,0.3957565855642736,0.6922846070605351
