idx_cronologico,es_dev,T_media_R,beta_G_filt,beta_C_filt,beta_G_smooth,beta_C_smooth,sd_G_smooth,sd_C_smooth,beta_G_smooth_lo,beta_G_smooth_hi,beta_C_smooth_lo,beta_C_smooth_hi
AP0081,True,1154.28047478464,-0.48205622536869963,-1.5603183861416763,-1.5776279022651098,0.9539700525772294,0.7935969720418916,0.6848838616958517,-3.1330779674672176,-0.02217783706300236,-0.3884023163466399,2.296342421501099
AP0082,True,1136.9226163777214,-0.7474661617968008,-1.3399537027365482,-1.5781262635487483,0.9559319343645816,0.7939303118036173,0.6845235338869791,-3.134229674683838,-0.022022852413658534,-0.3857341920538975,2.2975980607830606
AP0083,True,1113.6935740680424,-0.7434421121479771,-1.3214019226400757,-1.5807067327125335,0.9579629784249701,0.7947657896204291,0.6841721042099501,-3.1384476803685746,-0.022965785056492383,-0.38301434582653204,2.2989403026764723
AP0084,True,1166.7772754183234,-0.7153090755545816,-1.3013237754082259,-1.5832903074695581,0.9599910878991842,0.7954044448556533,0.6838183164188709,-3.142283019386639,-0.02429759555247757,-0.3802928122818028,2.3002749880801714
AP0085,True,1112.467178243567,-0.7485193196460722,-1.25873279493654,-1.5871346388409617,0.961831397560033,0.7959031323444256,0.6834726002712941,-3.1471047782360357,-0.027164499445887724,-0.37777489897170335,2.3014376940917693
AP0086,True,1048.176235982636,-0.7347395372452421,-1.2317773224193114,-1.5913800777008527,0.9637164460722079,0.796290934200645,0.6831331317289444,-3.152110308734117,-0.03064984666758841,-0.3752244921165231,2.3026573842609386
AP0087,True,1110.6624891388162,-0.9460449761267762,-1.0279192801946444,-1.59543106229216,0.9656169277553885,0.7970664775720815,0.6828161479342171,-3.1576813583334395,-0.03318076625088029,-0.3727027221956769,2.303936577706454
AP0088,True,1118.4465122815452,-0.844387548302056,-1.0523126618644298,-1.5985050032481056,0.9673100144813447,0.7977100324032357,0.6825141467374959,-3.1620166667584475,-0.03499333973776375,-0.3704177131241473,2.305037742086837
AP0089,True,1085.401011263053,-0.6876399992329981,-1.0033256566384634,-1.6026533867050161,0.9690190132787571,0.7985449149647778,0.6822097663542351,-3.1678014200359805,-0.0375053533740517,-0.3681121287755438,2.306150155333058
AP0090,True,1092.3531160906366,-0.6623901334055587,-1.0311621581717125,-1.608576262194183,0.970653080099021,0.7993786826326053,0.6819057448475001,-3.175358480154089,-0.041794044234276795,-0.36588217980207927,2.3071883400001214
AP0091,True,1051.882327809246,-0.6613112670340939,-1.0392373496235092,-1.6146414156030273,0.9723264592767022,0.800020947338625,0.6815995609353521,-3.182682472386732,-0.04660035881932223,-0.36360868015658787,2.3082615987099926
AP0092,True,1093.0654247476996,-0.6801037576268125,-1.1370204450773793,-1.6205943097690176,0.9740235993677866,0.8004762409958398,0.6812920004677602,-3.1895277421208634,-0.051660877417171625,-0.3613087215490234,2.3093559202845966
AP0093,True,1119.5776203509663,-0.5525790494942071,-1.2191760024622156,-1.6258263204093486,0.9759579019462039,0.8007585270795365,0.6810108353331514,-3.19531303348524,-0.056339607333457,-0.3588233353067729,2.310739139199181
AP0094,True,1058.9754174130885,-0.5144574028171972,-1.2322292738978933,-1.633030225507417,0.9779983133167474,0.800991336448913,0.6807300182254262,-3.2029732449472865,-0.06308720606754759,-0.35623252240508796,2.3122291490385827
AP0095,True,1062.766152713803,-0.6690499253976893,-1.0727921103906746,-1.643323926258578,0.980050568401587,0.8016682573368009,0.6804463826447787,-3.2145937106387077,-0.07205414187844816,-0.35362434158217937,2.3137254783853534
AP0096,True,1116.937676935181,-0.6637771159306644,-1.0702548337464994,-1.6514201279738951,0.9819742345058049,0.8023231657479096,0.6801649544411493,-3.223973532839798,-0.07886672310799225,-0.35114907619884783,2.315097545210458
AP0097,True,1076.920472794277,-0.5716143740561934,-0.6104791321665112,-1.6595267000034493,0.9838959855176189,0.8027952827947575,0.6798821298353867,-3.233005454281174,-0.0860479457257246,-0.34867298895973897,2.3164649599949767
AP0098,True,1128.6160141351934,-0.5797922512003884,-0.49376031760083466,-1.6681841580702872,0.9850975429324169,0.8030767724150483,0.6796184603698214,-3.2422146320037815,-0.0941536841367927,-0.346954639392433,2.317149725257267
AP0099,True,1060.1999341237904,-0.47832715243762525,-0.5133780415924977,-1.6765475697190135,0.9857953305980348,0.8031682677764262,0.6793923887083918,-3.250757374560809,-0.10233776487721813,-0.34581375127041303,2.3174044124664825
AP0100,True,1092.3263163483975,-0.572894561628734,-0.5435796721451983,-1.6850255594216572,0.9864996533966831,0.8034155216443112,0.6791720935675482,-3.259719981844507,-0.11033113699880737,-0.34467764999571127,2.3176769567890774
AP0101,True,1101.3533958052426,-0.5668116233082898,-0.5464718971524932,-1.693306660045426,0.9872240875119666,0.8037471237331245,0.6789674920394783,-3.2686510225623504,-0.11796229752850196,-0.34355219688541083,2.318000371909344
AP0102,True,1087.1423850590872,-0.5626202321898297,-0.5604031197082222,-1.7013447171866065,0.9879158633769163,0.8039291112511365,0.6787651171147111,-3.2770457752388342,-0.12564365913437903,-0.3424637661679175,2.31829549292175
AP0103,True,1086.305752672054,-0.535272593970151,-0.5598483124795126,-1.7095207808479467,0.9886622935474618,0.8039259037822425,0.6785660126616171,-3.2852155522611417,-0.13382600943475143,-0.3413270912693076,2.3186516783642315
AP0104,True,1087.609227837759,-0.5578579946563298,-0.5289779179618692,-1.718165773043191,0.9894760177079689,0.8037669697108689,0.6783685426675701,-3.293549033676494,-0.14278251240988782,-0.3401263259204683,2.3190783613364063
AP0105,True,1075.7561978529866,-0.6039527020845948,-0.5491310811788622,-1.725859716840076,0.9900601882810095,0.8034483450290181,0.6781808887596399,-3.3006184730969514,-0.15110096058320055,-0.33917435368788473,2.319294730249904
AP0106,True,1118.718467616362,-0.5218381111220614,-0.5837559255681459,-1.7334744770349118,0.990673184119208,0.802955487270346,0.6780075855623121,-3.30726723208479,-0.1596817219850335,-0.3382216835829237,2.3195680518213395
AP0107,True,1073.800594320502,-0.5674818919415442,-0.4943533529206025,-1.7417738406452923,0.9913440300528045,0.8026534462134898,0.6778520405884806,-3.314974595223732,-0.1685730860668524,-0.33724596950061736,2.3199340296062263
AP0108,True,1031.7773236223438,-0.7556353979400307,-0.40856113826486806,-1.7500920345734645,0.9920282312065135,0.8021602523107214,0.6776984128149127,-3.3223261291024784,-0.17785794004445066,-0.33626065791071535,2.3203171203237423
AP0109,True,1111.475887327809,-0.6148354318733926,-0.5340691827167808,-1.7573951931041523,0.9927732294625035,0.8015713233176333,0.6775421569358114,-3.3284749868067136,-0.18631539940159114,-0.33520939813168693,2.3207558570566937
AP0110,True,1075.0880895047749,-0.6369072614787221,-0.48392970415760866,-1.7672488254612497,0.993978554803334,0.8008964847487497,0.677406742415705,-3.337005935568799,-0.19749171535370036,-0.33373866033144783,2.321695769938116
AP0111,True,1124.2452583430545,-0.7256390290301231,-0.6592858302849798,-1.777051917539744,0.9951890209769221,0.8000285168988716,0.6772682224643589,-3.345107810661532,-0.20899602441795562,-0.3322566950532213,2.3226347370070655
AP0112,True,1122.8944220675153,-0.8438745461689906,-0.7374997869168478,-1.7820217288429947,0.9969272484795051,0.7991950288880129,0.677148655822138,-3.3484439854634998,-0.21559947222248943,-0.3302841169318853,2.3241386138908955
AP0113,True,1140.4741118075744,-0.7867745072765779,-0.4642162753479358,-1.7865166016843461,0.9987519756436005,0.7982125890142414,0.677042700779872,-3.3510132761522593,-0.22201992721643293,-0.32825171788494867,2.3257556691721497
AP0114,True,1094.5376607293738,-0.7186677688894981,-0.46530916677366235,-1.7925928541069522,1.0003569731544384,0.7970759519223437,0.6769395550506759,-3.354861719874746,-0.23032398833915857,-0.32644455474488643,2.327158501053763
AP0115,True,1060.4895324871711,-0.7014019877086959,-0.46769932489795496,-1.8015860816474232,1.001839290659357,0.796020730656265,0.6768375784134298,-3.3617867137337027,-0.24138544956114383,-0.3247623630309655,2.3284409443496794
AP0116,True,1050.987265471709,-0.9358719758964249,-0.5343725312483465,-1.8090933246469776,1.003295186725442,0.7953225282367484,0.6767351585777639,-3.367925479991005,-0.2502611693029506,-0.32310572408697524,2.3296960975378593
AP0117,True,1090.6799110401755,-1.097777736069074,-0.560011043247444,-1.815068601554475,1.0048758673851572,0.7950455476282924,0.6766627306693858,-3.373357874905928,-0.25677932820302196,-0.32138308472683885,2.3311348194971533
AP0118,True,1127.6501816031316,-1.0806232580583883,-0.5487514452763472,-1.8169277088671834,1.0064526165355843,0.79498658078852,0.6765871552255549,-3.3751014072126826,-0.2587540105216841,-0.31965820770650333,2.3325634407776716
AP0119,True,1095.158311387121,-1.0769477594781711,-0.5007210525442518,-1.8171468062326186,1.008107792440858,0.7952139994202477,0.6765153685111075,-3.375766245096304,-0.258527367368933,-0.31786232984091267,2.3340779147226285
AP0120,True,1007.411286565106,-1.1862423107625437,-0.4556277694410903,-1.8171740793097737,1.0097843662012007,0.7952845134613491,0.6764440992532887,-3.3759317256940182,-0.2584164329255294,-0.3160460683352453,2.3356148007376465
AP0121,True,1059.176934046436,-1.1859695060410076,-0.4505319188837194,-1.8179289970890145,1.0114668966846896,0.7955291852958393,0.6763699580876086,-3.377166200268859,-0.2586917939091695,-0.31421822116702325,2.3371520145364024
AP0122,True,1118.4720138436812,-1.2820489839863882,-0.398355968842,-1.8186213517565757,1.01314109577124,0.7955845624212012,0.6762940513510161,-3.37796709410213,-0.25927560941102135,-0.3123952448767515,2.338677436419231
