Batch,fecha_batch,es_lockbox,rendimiento_proxy_batch,recuperacion_refinada_pct,sn_perdido_escoria_frac,recuperacion_real_pct,f_metal,f_dross,f_polvo,sn_metal_t,sn_dross_t,sn_polvo_t,feed_sn_total_t,ley_sn_conc_batch_pct,espesor_ladrillo_norm_mm,frac_carga_secundaria_F,feed_dross_Fe_total_t,T_media_F,T_media_R,R_sum_ln_sn_dep,R_sum_ln_feo_ret,R_n_validos,R_lnirf_twmean,R_lnirf_fin,F_lnirf_F0,F_lnirf_fin,F_sum_d_lnirf,F_sum_ln_sn_dep,F_sn_ext_kg,R_sdi_w10,idx_cronologico,recuperacion_refinada_pct_next,rendimiento_proxy_batch_next,recuperacion_real_pct_next,f_metal_next,f_dross_next,f_polvo_next,es_dev,R_sum_m6_ln_sn_dep,R_sum_m6_ln_feo_ret,F_sum_m6_ln_sn_dep,F_m6_sn_ext_kg,R_m6_masa_fin_kg,F_m6_masa_fin_kg,m6_k_anclaje,xG,xC,xG_gate,xG_late,xG_early,xG_late_gate,xC_late,xC_early,x_F_lanza,x_F_lanza_sq,x_F_o2,x_F_enriq,x_F_aire,x_F_esteq,x_F_caudal,x_F_ppunta,x_F_gn,x_F_carbon,x_R_lanza,x_R_lanza_sq,x_R_o2,x_R_enriq,x_R_aire,x_R_esteq,x_R_caudal,x_R_ppunta,x_R_gn,x_R_carbon
AP0011,2026-04-25 08:29:00,False,65.4900480917299,64.46025013766302,0.0157244953099512,62.5415150064371,0.654900480917299,0.1697223205743878,0.1753771985083131,29.56072,7.66088,7.916128344,47.26575618924079,42.415478561836736,299.99971591319826,0.5845469354728394,25.43614016061114,1217.5851416267694,1184.4373990361655,,,0,-1.4322837324642288,-1.440224988496694,-1.6492274110544811,-1.3542182557937057,0.2950091552607756,,42668.29354931221,,11,73.31810988860353,74.17638638591971,67.11446843772984,0.7417638638591971,0.0871961800652655,0.1710399560755372,True,2.158474059689207,-0.1552372359770377,4.626330841168594,38014.353701396205,44098.28239686963,52448.57991412282,1.085447759116576,-1.010913970759482,0.2886906664414622,-1.010913970759482,-0.7339980356130201,-0.2769159351464618,-0.7339980356130201,0.4029455721263756,-0.1142549056849134,-0.10189842055298914,0.8036210089979495,0.5697573146095508,0.2947498776854783,-0.043058415314609993,0.7108632627503021,0.6470056048086502,,0.20939806823392584,0.29946438137707204,-0.10006660758132402,0.22019780848752982,-0.7538640625873735,-0.6814540483576185,-0.009649581465153698,0.6664804953172841,-0.5265494898293227,,-1.010913970759482,0.2886906664414622
AP0012,2026-04-25 15:58:00,False,74.17638638591971,73.31810988860353,0.0115707510049197,67.11446843772984,0.7417638638591971,0.0871961800652655,0.1710399560755372,32.9378,3.87192,7.594977511999999,49.077048163706095,42.415478561836736,299.99971591319826,0.5954572472179075,25.934385787613834,1185.7754967705264,1128.563927380791,,,0,-1.4713421457713791,-1.638443757863769,-1.3334614051771467,-1.3679479356969368,-0.0344865305197901,,43853.526472263766,,12,63.40204397910659,64.58338515029256,66.82905218109707,0.6458338515029256,0.1667433657228333,0.187422782774241,True,3.508244809020669,-0.4802065382580046,3.045350739095333,31581.52904401756,43946.87573456534,65876.63897273614,1.2511266411701194,-0.4724582306209083,0.871038794021068,-0.4724582306209083,-0.309424798710705,-0.1630334319102033,-0.309424798710705,1.142469553089534,-0.2714307590684657,0.7067817435974523,0.9359718906279243,-0.6075393834981343,0.0297300251272747,-1.1050104827219949,0.7239793750177125,-1.2742416133887637,,-1.1658415812521705,0.40714823942742884,-0.7566279972957454,0.9510411546005667,-0.7856300133982399,-0.5470066682720601,-0.0794872728714078,0.06172252305256473,-0.2736591055107168,,-0.4724582306209083,0.871038794021068
AP0013,2026-04-25 23:58:00,False,64.58338515029256,63.40204397910659,0.0182917195875822,66.82905218109707,0.6458338515029256,0.1667433657228333,0.187422782774241,32.21652,8.31776,9.349323848,48.2073573521556,42.41547856183673,299.99971591319826,0.5966909974090269,24.73568757859112,1184.6326861353325,1128.8179065742338,,,0,-1.39512831213081,-1.5027574688812175,-1.690022549172974,-1.3275836293539751,0.3624389198189988,,43950.10636262732,,13,71.39812729827501,72.27735907223597,65.23930703730998,0.7227735907223597,0.1125771867835968,0.1646492224940434,True,2.9008336069658656,-0.4076925347986407,2.595837300804818,27573.93798023496,44872.18938226235,70727.90426734618,0.9598452105609502,-0.2685921703560667,-0.4247661180128362,-0.2685921703560667,0.0586411797757296,-0.3272333501317963,0.0586411797757296,-0.2514395249760136,-0.1733265930368226,0.11783754981496286,1.278114088506074,0.21336614864238293,-0.015402576920131158,0.05754863691444193,-0.021979914253112427,0.24861912562464428,,0.09814090003501057,0.7374014728962232,0.17163148982800236,1.7220890396730715,-0.6268410079726392,-0.8913460709757779,0.8202118388349917,0.30040667943273075,0.23941843882914993,,-0.2685921703560667,-0.42476611801283626
AP0014,2026-04-26 08:14:00,False,72.27735907223597,71.39812729827501,0.0121646914780357,65.23930703730998,0.7227735907223597,0.1125771867835968,0.1646492224940434,32.1146,5.002079999999999,7.31576802,49.22584475281727,42.415478561836736,299.99971591319826,0.5985012946595948,24.610046892420687,1181.1546700934723,1186.148226030682,,,0,-1.3762647836506092,-1.415636961362165,-1.6409102017356405,-1.2929901410049436,0.3479200607306969,,44925.70743451572,,14,75.14929565234326,76.89084849130701,72.91202180378602,0.7689084849130702,0.1037991720848396,0.1272923430020902,True,2.8882108396324027,-0.2063551562045793,4.731936573598275,37915.97380261557,46737.264054427535,59222.9268283699,1.21255439818817,-0.9187544681206542,0.5294189655398369,-0.9187544681206542,-0.7544045520427402,-0.164349916077914,-0.7544045520427402,0.6217075148633566,-0.0922885493235197,-0.3468038159110946,0.9673422368385124,0.1493519461163905,-0.5066396878515408,0.3880226102773918,0.4226464858035807,-0.14042869647927228,,0.003633666042945627,-0.029439353475556373,-0.004285642969822305,0.2525895129663244,-0.3244416953065402,-0.10778441090733634,0.2243365255857687,0.9084167894701968,0.05497642714363184,,-0.9187544681206542,0.5294189655398369
AP0015,2026-04-26 16:09:00,False,76.89084849130701,75.14929565234326,0.0226496764326987,72.91202180378602,0.7689084849130702,0.1037991720848396,0.1272923430020902,35.33096,4.76952,5.8490194440000005,48.45697475661744,42.415478561836736,299.99971591319826,0.5948458038544704,25.53049688045584,1220.8147506373807,1158.1840652145215,,,0,-1.38015284945852,-1.4649186197067112,-1.3051939950844096,-1.2676094594539913,0.0375845356304183,,43513.58286835734,,15,72.3987505014677,73.18325133927344,66.78697420687666,0.7318325133927344,0.0894641459743173,0.1787033406329481,True,2.665634200465548,-0.3554431825924035,3.281104838158571,32331.09834166251,45607.54689283866,64233.58536310984,1.1820143491764414,-0.6536084136167194,0.6506898582931487,-0.6536084136167194,-0.4978018644670633,-0.155806549149656,-0.4978018644670633,0.9063041359812652,-0.2556142776881165,-0.7798645795296957,0.9896599079684769,0.5971020267830484,0.4079465083915202,0.49312502113570283,-0.016200352300259416,0.20174093517197023,,0.08207415888686072,0.4381970967763418,0.24669352498381233,0.240391587355908,-0.41576370263736073,-0.3421160089116827,0.0474969177260592,0.3731024196136934,-0.13803201799015735,,-0.6536084136167194,0.6506898582931487
AP0016,2026-04-27 00:15:00,False,73.18325133927344,72.3987505014677,0.010719677295681,66.78697420687666,0.7318325133927344,0.0894641459743173,0.1787033406329481,30.46036,3.72368,7.437997068,45.60823478190104,35.28891372434783,299.99971591319826,0.5970903544691247,27.16582313106195,1213.967825541538,1155.385640141974,,,0,-1.4261178133392336,-1.524084345385452,-1.6954450875040687,-1.333423714426502,0.3620213730775667,,41330.3567342967,,16,69.0339560550024,70.17902842181307,76.05963970331315,0.7017902842181307,0.0684778123402213,0.2297319034416478,True,3.4849547279253548,-0.3067594191565622,3.7993262513075914,32185.524278796467,46865.747018080656,63413.49465505776,1.3743837831721777,0.4405741159522913,0.2243589972250935,0.4405741159522913,0.3544416588680256,0.0861324570842657,0.3544416588680256,0.5695228504619005,-0.345163853236807,0.5424561993497682,1.0553134432387048,-2.0831995759480946,-2.056667323954614,0.4875136834235274,-0.968936918135304,-0.7229752199485073,,-1.0907780424911169,-0.13889376366628411,0.03290877229176972,0.23757444231756183,0.5681095016348805,0.5269001751040691,-0.28940527541803096,-0.4024724271565951,0.3366691829608323,,0.44057411595229135,0.22435899722509353
AP0017,2026-04-27 08:28:00,False,70.17902842181307,69.0339560550024,0.0163164465590515,76.05963970331315,0.7017902842181307,0.0684778123402213,0.2297319034416478,33.22788,3.24224,10.877186948,43.68661241311744,35.28891372434783,299.99971591319826,0.6203817618078514,26.949812532220683,1178.4788045030607,1137.5698135052198,,,0,-1.3594614965758285,-1.3734873976489643,-1.3533261919004385,-1.3076879042066183,0.0456382876938201,,39782.90479850059,,17,69.61398865040907,70.14778707534529,71.01005050924203,0.701477870753453,0.1386899097774707,0.1598322194690764,True,2.952464238115575,-0.2125529404673738,3.5245162238428662,26714.87437449087,46073.964662790815,65684.4357773912,1.0570855745434091,0.0681684297149148,1.4481746500371666,0.0681684297149148,-0.1322791447343869,0.2004475744493018,-0.1322791447343869,0.7406597167119144,0.7075149333252523,-0.0062033562576605155,2.6784808114583813,0.11637238113744164,-0.856483665099085,2.4594438568876593,0.07687584259828066,1.724750948618721,,0.3634981583754758,-0.18434201352074084,0.43015389769785084,1.61609293223061,0.15513252755253226,0.14845857127747497,0.28463092767007186,0.07424052245880669,0.3900827537104772,,0.06816842971491485,1.4481746500371666
AP0018,2026-04-27 16:47:00,False,70.14778707534529,69.61398865040907,0.0076096260080575,71.01005050924203,0.701477870753453,0.1386899097774707,0.1598322194690764,31.31884,6.19208,7.13601942,44.10479893395347,35.28891372434783,299.99971591319826,0.6366461095576702,27.173553958104428,1162.8325151548602,1114.0323474808524,,,0,-1.4658287420253688,-1.5607089054456411,-1.5222185120667815,-1.321473781751825,0.2007447303149565,,40431.40696845534,,18,68.38198798518673,68.85542078251675,70.74325481605581,0.6885542078251674,0.0943717817104583,0.2170740104643743,True,3.8212596931949,-0.4139108743961879,2.998723449316105,28542.11241535077,43717.76520365852,64577.39030510491,1.2276142118051605,0.4934935579227452,-0.121561564747506,0.4934935579227452,0.3632234652864552,0.13027009263629,0.3632234652864552,-0.0335762440268306,-0.0879853207206754,0.18045462346493157,0.17675801471874664,-0.043439452579177106,0.0549102993008296,-0.16547888570783598,-0.14885241399426374,-0.213320688551052,,-0.13965632929845145,-0.9413349643000277,0.3458573509277678,0.19089620746409933,0.22859540391652122,0.0947156886697251,0.09210147692913931,-0.299784654301132,0.19520647650879924,,0.49349355792274524,-0.12156156474750604
AP0019,2026-04-28 00:59:00,False,68.85542078251675,68.38198798518673,0.0068757520025237,70.74325481605581,0.6885542078251674,0.0943717817104583,0.2170740104643743,30.8798,4.2323200000000005,9.735184176,43.65052199010718,35.28891372434783,299.99971591319826,0.6203017455709027,25.119522998099,1190.4465858385224,1106.442277428022,,,0,-1.4915964443922454,-1.589032325150146,-1.4911851762170314,-1.3981568592162037,0.0930283170008277,,39418.66749250886,,19,70.29318056956637,71.49362988104966,71.32181111876965,0.7149362988104967,0.0767686989396433,0.20829500224986,True,3.5965613365558413,-0.3450145193409271,3.1979541179868587,31793.84862701592,43378.7248177752,58061.51888295736,1.1915672204038297,0.3730434429032033,-0.0061369983918452,0.3730434429032033,0.221552905958597,0.1514905369446063,0.221552905958597,-0.2113361463505609,0.2051991479587157,-0.43004999276688033,1.2749603940167071,0.39015730831678525,0.6060070084073964,-0.7761276341626718,0.11205708434356286,-0.17332725106291372,,0.49288725341176365,-0.525400117925389,0.13957490634614736,0.8006907543763927,0.5136419109254233,0.26825522634851057,-0.10217337068081972,-0.041985687520306875,0.16382569674760217,,0.37304344290320335,-0.006136998391845269
AP0020,2026-04-28 08:52:00,False,71.49362988104966,70.29318056956637,0.016790996813011,71.32181111876965,0.7149362988104967,0.0767686989396433,0.20829500224986,30.48584,3.2735199999999995,8.881977487999999,42.74406317196997,35.28891372434783,299.99971591319826,0.6196261540791163,25.606002980611706,1139.1142490748966,1112.2075759965326,,,0,-1.4142539657437694,-1.4445605926362133,-1.3684998898471372,-1.3488159905797203,0.0196838992674168,,38892.99316400409,,20,69.79018382328715,71.54015202378017,68.30979644844187,0.7154015202378016,0.1042821246225114,0.1803163551396869,True,2.916132215990074,-0.2533147400705355,3.2040520521553377,28672.87605984833,44269.87543459632,61026.4508620231,1.2160506404510598,0.0941142641378793,0.1124467120719001,0.0941142641378793,-0.081859677752985,0.1759739418908644,-0.081859677752985,-0.0142776754256908,0.126724387497591,-1.1329579216645584,1.776937253196337,1.0814556595697138,0.13670326325977558,2.3854727895113994,0.7706378432155625,1.934735313840828,,0.9221989424465306,-0.15862658678153618,0.5179486910593853,0.4744485025182855,-0.195743932367293,-0.007295149057545976,-0.16420871164242962,-0.18610377424968078,-0.2509607573001467,,0.09411426413787932,0.11244671207190018
AP0021,2026-04-28 17:01:00,False,71.54015202378017,69.79018382328715,0.0244613430498625,68.30979644844187,0.7154015202378016,0.1042821246225114,0.1803163551396869,30.03308,4.37784,7.569812708,43.96599252446615,35.28891372434783,299.99971591319826,0.4862018497798742,23.483715197983013,1184.0442043784049,1112.98715743827,2.656246725856509,-0.1928502475376576,4,-1.4356892890052206,-1.43611804053355,-1.417205103063453,-1.3642945340101469,0.052910569053306,3.3388808585390244,27698.57786013452,0.7277442504799327,21,57.32212322724728,57.76210596236788,64.27199374552181,0.5776210596236788,0.1552492853972703,0.2671296549790508,True,2.7333309963336863,-0.2708894374899904,3.000532024724187,27117.471834453056,51640.252727250525,72715.71522682962,1.1364430102116363,0.3453870125435316,0.0661953385974321,0.3453870125435316,0.2193298345729641,0.1260571779705674,0.2193298345729641,-0.2909142242115468,0.3571095628089789,0.25730555094529955,1.1165455252533907,-0.3578347770814376,-0.3092851919871527,-0.03633611164162459,-0.06641836034939104,-0.25977021850574866,,-0.4576269305042482,0.31108304028405126,0.07129070308971754,0.46890099362218524,0.047766882154291986,0.03230024336054722,-0.039798476845418845,-0.2506026688643119,0.1417750845787605,,0.34538701254353166,0.0661953385974321
