Batch,fecha_batch,es_lockbox,rendimiento_proxy_batch,recuperacion_refinada_pct,sn_perdido_escoria_frac,recuperacion_real_pct,f_metal,f_dross,f_polvo,sn_metal_t,sn_dross_t,sn_polvo_t,feed_sn_total_t,ley_sn_conc_batch_pct,espesor_ladrillo_norm_mm,frac_carga_secundaria_F,feed_dross_Fe_total_t,T_media_F,T_media_R,R_sum_ln_sn_dep,R_sum_ln_feo_ret,R_n_validos,R_lnirf_twmean,R_lnirf_fin,F_lnirf_F0,F_lnirf_fin,F_sum_d_lnirf,F_sum_ln_sn_dep,F_sn_ext_kg,R_sdi_w10,idx_cronologico,recuperacion_refinada_pct_next,rendimiento_proxy_batch_next,recuperacion_real_pct_next,f_metal_next,f_dross_next,f_polvo_next,es_dev,R_sum_m6_ln_sn_dep,R_sum_m6_ln_feo_ret,F_sum_m6_ln_sn_dep,F_m6_sn_ext_kg,R_m6_masa_fin_kg,F_m6_masa_fin_kg,m6_k_anclaje,x_gn_S1_v9,x_carbon_S1_v9,x_gn_S2_t2,x_carbon_S2_t2,x_gn_S3p_plan,x_carbon_S3p_plan,x_gn_S4_online,x_carbon_S4_online
AP0107,2026-05-26 19:40:00,False,68.37984972223518,67.5915418532535,0.011528365040049829,74.73721283681844,0.6837984972223518,0.13869490189926387,0.1775066008783845,33.813919999999996,6.858480000000001,8.7777233,45.24375303348475,39.4006275,282.27078980022185,0.3919119772531038,18.76389565917063,1122.6538684297482,1073.800594320502,2.550575890191714,-0.13469327400486317,3,-1.3194815772923694,-1.3345428817225418,-1.3506640169158453,-1.2198614289016225,0.13080258801422273,4.406606635163822,34634.45039184473,1.2036431501430822,107,71.2406149621665,72.60709805321838,76.83114004378601,0.7260709805321838,0.08508845228383212,0.18884056718398418,True,2.6178097812892984,-0.20579922464282463,3.6732327283124895,33716.76872607611,54886.274100003604,68262.87447611656,0.9336846656328742,-0.01633508505782906,0.157761687680673,-0.23637085558218723,0.283679650212251,-0.11860844888155346,0.46550675649379414,-0.17947517998574114,0.3380579890756227
AP0108,2026-05-27 02:45:00,False,72.60709805321838,71.2406149621665,0.018820241101638404,76.83114004378601,0.7260709805321838,0.08508845228383212,0.18884056718398418,35.23296,4.12896,9.163583628000001,45.857656127347276,39.4006275,280.74412917995005,0.3842571548501983,18.566964306049005,1050.4552958176146,1031.7773236223438,2.6624414786528026,-0.13790137181111287,4,-1.3252666742637982,-1.3479731939899593,-1.3622414614648664,-1.2806070326198364,0.08163442884502992,3.3099979021297217,30561.242176587984,1.283427760541674,108,73.70356116512347,75.2440608247891,73.69685732994002,0.752440608247891,0.0577214762631082,0.18983791548900067,True,2.771084044083047,-0.2497418865344535,2.7304741143891467,28537.5698450074,55009.575443077796,77156.20526395977,0.9953710075941669,-0.2694362201761363,-0.23711840191499403,-0.08292992422174915,-0.4711071404670708,-0.2767081376140842,-0.3247183200464965,0.03941161383825138,-0.1918006212037111
AP0109,2026-05-27 11:01:00,False,75.2440608247891,73.70356116512347,0.020473372154285817,73.69685732994002,0.752440608247891,0.0577214762631082,0.18983791548900067,33.34744,2.55816,8.413432804000001,45.24947359790917,39.40062749999999,280.74412917995005,0.38237024847892825,18.7838621683141,1069.0604857469898,1111.475887327809,2.557428834695533,-0.11621069694794195,4,-1.3552542062380322,-1.5089236473362677,-1.3246541756909125,-1.2931949925779236,0.0314591831129889,2.9954017927350316,31501.011077967116,1.3953218652161135,109,66.69683017951613,67.51394069607987,66.58205534659736,0.6751394069607988,0.1345013874823783,0.19035920555682284,True,2.7815505543072807,-0.3595825449824811,2.4378454318515477,29294.572606073583,52952.40171437016,72096.9772195431,1.144640563984379,0.3551252356690592,-0.4747803889576115,0.28804229843260737,-0.4090810946890008,0.2771170800656236,-0.6453446666986888,0.4113114944162975,-0.165272573986169
AP0110,2026-05-27 18:29:00,False,67.51394069607987,66.69683017951613,0.012102841400445848,66.58205534659736,0.6751394069607988,0.1345013874823783,0.19035920555682284,33.66888,6.707520000000001,9.493122728000001,50.56749874231786,39.4006275,280.0890067803059,0.453398208690588,17.927828872727392,1095.693003670259,1075.0880895047749,2.7054994029122925,-0.25011967350416137,3,-1.4598041047569066,-1.488776836568804,-1.3683894745789043,-1.317260825568873,0.051128649010031335,4.304247464787525,38556.82288867042,0.20430266787067897,110,59.00811082640783,59.95947216997236,56.50046303848369,0.5995947216997236,0.1756929522824832,0.22471232601779326,True,2.7311497320168945,-0.2793928362551056,3.84801138843785,37896.05671387534,55513.77211999348,70309.76386423285,1.022436606731356,0.1100023277181164,0.14796606701024329,0.3429248448889983,0.08166993018636748,0.42012741438960854,-0.04555373926631384,0.3431817248028917,0.14226024889692468
AP0111,2026-05-28 01:52:00,False,59.95947216997236,59.00811082640783,0.015866739801638448,56.50046303848369,0.5995947216997236,0.1756929522824832,0.22471232601779326,29.61168,8.6768,11.097678564,52.40962358101534,39.40062749999999,277.14095598190727,0.456403532873712,18.103944493242338,1142.146766225014,1124.2452583430543,2.7510723476112555,-0.12594346978939477,4,-1.4066373395176912,-1.476562286093603,-1.5051043543567322,-1.3746213616701897,0.1304829926865425,4.633840995542943,37953.035421306195,1.4916376497173078,111,69.61273870075898,70.280035285811,69.39358842565466,0.70280035285811,0.14098359586201786,0.1562160512798722,True,2.871040384932462,-0.2651708779634422,3.9639923279141316,35680.095419440215,57350.74569966636,76501.99070025964,1.0372455777886858,0.6800999442429143,0.5864790327408045,0.6570706352307841,0.5712834925440302,0.7072996167231249,0.27753558534841893,0.4882363489040378,0.5686965422889719
AP0112,2026-05-28 10:10:00,False,70.280035285811,69.61273870075898,0.009494824274607946,69.39358842565466,0.70280035285811,0.14098359586201786,0.1562160512798722,37.09104,7.4405600000000005,8.24446912,53.45024063676684,41.05276577000001,277.14095598190727,0.4527211154518183,18.646581527415137,1139.9229597130416,1122.8944220675153,2.839638424004357,-0.21786520702532036,4,-1.3917876752837979,-1.5287593087698186,-1.1185115316451688,-1.2906055326654904,-0.17209400102032157,5.0468747902676965,41440.76978837188,0.6609863537511531,112,74.27826584080685,75.2067368896212,71.92181136326094,0.752067368896212,0.11336840477066262,0.13456422633312543,True,2.967728613830687,-0.3503388923642279,4.438341125274794,39872.82290599752,56947.32310227353,74202.7419407227,1.0253578584996916,-0.232142240644239,-0.2684012112122293,-0.4928991203524057,-0.338114153453946,-0.3462089919501394,-0.21952146873251624,-0.6441479362219555,-0.3400460547390084
AP0113,2026-05-28 18:01:00,False,75.2067368896212,74.27826584080685,0.012345583483791436,71.92181136326094,0.752067368896212,0.11336840477066262,0.13456422633312543,38.20824,5.759600000000001,6.83643842,53.124690932794714,41.05276577,277.04004453378917,0.44632020876955797,19.195419524733445,1085.298056190789,1140.4741118075744,2.6572612131690527,-0.067968172551226,4,-1.3838829637367938,-1.446711172874305,-1.2774517172466675,-1.3649809085004194,-0.08752919125375191,4.71530853562844,41232.01608134575,1.9775794876567927,113,63.9268449257049,64.61897281426242,66.57168761416128,0.6461897281426243,0.15708538681302708,0.19672488504434868,True,2.7342972223748463,-0.16651659004399944,4.1936275774368825,40422.75297859617,56589.73799570968,68136.60753828836,1.0799704433593833,-0.011763413771756395,0.14390590285167776,0.13123382076747303,0.24899396955919717,-0.00941306129617498,0.0993218811597753,-0.03931739063772132,0.413860016895033
AP0114,2026-05-29 01:56:00,False,64.61897281426242,63.9268449257049,0.01071090824279954,66.57168761416128,0.6461897281426243,0.15708538681302708,0.19672488504434868,35.7602,8.69312,10.886773540000002,53.71682960369027,41.05276577000001,276.0309300526082,0.4536784830583174,18.58028628230287,1079.258538437595,1094.5376607293738,2.8572508439810234,-0.24739460494373852,4,-1.429620666290418,-1.5393399303547475,-1.4210086821372858,-1.3385761365332967,0.08243254560398916,4.698356384005766,39482.034445107056,0.3833047945436383,114,64.39843472786895,65.30617057079391,59.95015318809327,0.6530617057079391,0.17933117655326905,0.16760711773879178,True,2.9474395640112743,-0.34543526503549005,4.0395395539770504,37621.79648886449,56720.88223256851,76847.78898919483,0.9089845234762032,-0.7032655932641256,-0.17433502576020785,-0.7022243831070393,-0.19822343083672342,-0.6059067787773537,-0.2962026126300973,-0.5767437645819333,-0.171520957086656
AP0115,2026-05-29 09:59:00,False,65.30617057079391,64.39843472786895,0.013899694852586126,59.95015318809327,0.6530617057079391,0.17933117655326905,0.16760711773879178,32.54384,8.93656,8.352318280000002,54.2848320969154,41.05276577,276.0309300526082,0.4450218918192929,18.82271772323794,1083.7595191903692,1060.4895324871713,2.8002414963032254,-0.25150917723902944,3,-1.4816179743518754,-1.5815918428756282,-1.344144734896683,-1.3364320795212359,0.007712655375447186,4.1179791847476785,40588.93784979147,0.28514972391293103,115,70.22104856749674,71.17108673377778,67.14725879225685,0.7117108673377779,0.1363934267501689,0.15189570591205312,True,2.9166456029008567,-0.3745665582140859,3.345718733975791,38508.56503545207,57491.46046998493,77007.13747557392,1.0838168591795438,0.6767574592750114,-0.1824158812410812,0.4597515193485804,-0.1189082985723107,0.6397834330432861,-0.092862809023811,0.4367965613054041,-0.17434975657123936
AP0116,2026-05-29 17:41:00,False,71.17108673377778,70.22104856749674,0.013348653363053997,67.14725879225685,0.7117108673377779,0.1363934267501689,0.15189570591205312,34.68808,6.64768,7.4032456720000015,51.65971124349173,41.05276577000001,276.0309300526082,0.44877382740804,20.629883523387022,1045.6502330124438,1050.987265471709,2.3333951289778616,-0.09539911593161077,4,-1.2955381813741762,-1.4115410158903419,-1.0445549515318278,-1.2421226295358962,-0.1975676780040685,4.9283022999864965,41587.09578080248,1.379403969661754,116,60.67227998596772,61.25568977870816,62.831044297952054,0.6125568977870816,0.18440033809326214,0.20304276411965624,True,2.4475156575702,-0.24056412905211383,4.4079516025298915,41044.962246949115,56560.917378097634,66049.88747114957,1.0919046609731915,-0.9996525861284148,-0.595790223788865,-0.8573614090276676,-0.4608305138485461,-1.0294791396366674,-0.2734650715873282,-0.9379108800364847,-0.5532021316938451
AP0117,2026-05-30 01:42:00,False,61.25568977870816,60.67227998596772,0.009524173098826527,62.831044297952054,0.6125568977870816,0.18440033809326214,0.20304276411965624,32.826080000000005,9.88176,10.880781920000002,52.245001442813766,41.05276577000001,275.6297972422721,0.43092513752529965,20.48251176979824,1080.298526337233,1090.6799110401757,2.3740221264811843,-0.16102356844336504,4,-1.5525900752267567,-1.638674092442,-1.324929196973109,-1.4677655714377638,-0.1428363744646548,5.274938454180962,23570.427662038284,0.7637864420475338,117,64.61636722010667,65.27657038031192,68.64451032565773,0.6527657038031193,0.15591018673349127,0.19132410946338943,True,2.4307804272164333,-0.22673323203783757,4.95993818018488,42688.50261148685,55437.93546788885,65679.84776558999,0.9421234816202988,0.7118457983826727,0.020388368343246963,0.10095212035085185,-0.010100020994475448,0.2774346385785833,-0.3108317462465542,0.2446480722800049,0.23341627714351898
AP0118,2026-05-30 10:31:00,False,65.27657038031192,64.61636722010667,0.010113937609755286,68.64451032565773,0.6527657038031193,0.15591018673349127,0.19132410946338943,35.29176,8.42928,10.343932768,51.41235596637179,41.05276577,275.6297972422721,0.4563143851702192,20.429463765490603,1158.6820250936864,1127.6501816031316,2.601484728674754,-0.3530876361135792,4,-1.4915480280317583,-1.599845519148707,-1.2862005493911386,-1.296200191578364,-0.009999642187225488,4.422211783743812,40237.50337121905,-0.9293916324610376,118,66.71193248568531,67.34192726605917,62.903528450651855,0.6734192726605918,0.1747367886643327,0.1518439386750755,True,2.662377024238825,-0.41471482353058414,3.8694236906732495,39539.74162221962,54391.20193080223,70657.89629808364,0.9298656852914572,0.7510407004321094,0.3635491604414405,0.8693626709573282,0.27802463916872877,1.0634881845382549,0.35792007090144173,0.9094358957757758,0.21892147560262676
AP0119,2026-05-30 17:59:00,False,67.34192726605917,66.71193248568531,0.009355164099846052,62.903528450651855,0.6734192726605918,0.1747367886643327,0.1518439386750755,32.732,8.4932,7.380477516,52.03523682408122,41.05276577000001,275.447265115845,0.45657286667561,20.626335178475536,1101.0213462559154,1095.158311387121,3.2779497042048646,-0.2641677300647463,3,-1.488897457994648,-1.533469633471021,-1.43782659008374,-1.3562746822390557,0.08155190784468425,4.113459993126661,38207.3202495637,0.6362724035574017,119,67.99647941835006,68.49535442370555,70.40181745875891,0.6849535442370555,0.14950643077353729,0.16554002498940718,True,3.304827269535347,-0.29644911461791157,3.466418082551814,37073.121609592585,55761.52613724091,73446.44539014698,1.1001909692219332,0.056928230688095494,0.282886940397881,-0.18313510571503622,0.443339907818085,-0.39155990902525295,0.2214106135265953,-0.10367942236335109,0.2447505248967663
AP0120,2026-05-31 02:17:00,False,68.49535442370555,67.99647941835006,0.007283340739716364,70.40181745875891,0.6849535442370555,0.14950643077353729,0.16554002498940718,36.17572,7.89616,8.742971904,51.38463935422062,41.05276577,274.96051277870623,0.45943370915615606,20.12500243507925,1051.5277619754393,1007.4112865651059,3.200066990072366,-0.2919620497695554,3,-1.3784441552404232,-1.509297893520415,-1.088007568455491,-1.2648415669191977,-0.17683399846370662,4.03575693602457,38631.90691409595,0.28044649237681174,120,66.75667092196463,67.45212522669513,64.38597487413709,0.6745212522669514,0.14098574866345623,0.18449299906959235,True,3.284734189811597,-0.381362954219145,3.4566635566658435,37345.00540097159,55742.53095987531,74153.09455712304,0.9641385235167441,-0.6821058934513159,0.10416245326039142,-0.5230149910250914,0.001732540129282728,-0.5117844098039541,0.03726986131739313,-0.35654537383313417,0.12262606168955026
AP0121,2026-05-31 09:59:00,False,67.45212522669513,66.75667092196463,0.010310339405811384,64.38597487413709,0.6745212522669514,0.14098574866345623,0.18449299906959235,33.73062,7.05024,9.225896476,52.38814829772672,41.05276577,274.96051277870623,0.4492593578271692,20.257209409666416,1050.1652119546623,1059.176934046436,3.1573532611786463,-0.456640702076972,3,-1.570579504065751,-1.6843604626799016,-1.440539791349789,-1.2477643017484958,0.1927754896012932,3.5652461834172318,37831.7128483861,-1.4090537595910737,121,69.55998775272788,70.19702705991743,67.78579603835547,0.7019702705991743,0.1415617786559881,0.15646795074483746,True,3.1903148371262056,-0.49039912555191206,3.208282062729064,37190.87113880954,55375.27987347201,76239.46461158888,1.0819746726000419,0.08773531763837325,-0.11181348899398014,-0.01868325121294817,-0.33636636671030967,0.1629360733923491,-0.16838466548457354,0.2755614930211166,-0.33878737119155544
AP0122,2026-05-31 17:39:00,False,70.19702705991743,69.55998775272788,0.00907501832870794,67.78579603835547,0.7019702705991743,0.1415617786559881,0.15646795074483746,35.06832,7.072,7.816667452000001,51.734024013168145,41.05276577,274.96051277870623,0.4581358469623688,20.559546987471666,1111.2389610719163,1118.4720138436812,2.9703187051164037,-0.25528413098867186,3,-1.3612350694347,-1.476092153893504,-1.1025009665561176,-1.207860342122718,-0.10535937556660047,4.48100046672206,39704.5447914459,0.41747739522968486,122,70.14900140914891,71.38927536616988,67.32431137186096,0.7138927536616989,0.09711335760622933,0.1889938887320717,True,3.0501814081895833,-0.3467614833188163,3.90465805388019,38586.73142530374,56191.608540783636,71453.95008389662,1.06084791293193,-0.27853713476929093,-0.06595329646938053,-0.21009922235238965,0.0603485406257952,0.11192972581381398,-0.035596981280450635,-0.22436457464284332,0.005988457145551407
AP0123,2026-06-01 01:19:00,False,71.38927536616988,70.14900140914891,0.017373393281545208,67.32431137186096,0.7138927536616989,0.09711335760622933,0.1889938887320717,35.11634,4.777,9.296597592000001,52.159969087596664,41.38141076,274.4602209748508,0.4499688509084896,18.593151977366293,1098.9078879728906,1059.75046660197,2.13190630180666,-0.19387495061337454,3,-1.3880759779525336,-1.473864502624585,-1.1701016190699007,-1.292948413617486,-0.12284679454758529,5.1795374899930975,42373.45307895513,0.19315679567291455,123,69.49960314497643,70.91459476986874,68.00491329730613,0.7091459476986873,0.12545983982435388,0.16539421247695874,True,2.1571694383115254,-0.247202439952666,4.746159849636732,41827.79039914722,56793.37450381205,66473.98412900358,1.0685583270402357,-0.8276388486076365,-0.44655475900753494,-0.7196139701493094,-0.37703474322138475,-0.7619807764737471,-0.44117126604706464,-0.7144897638103986,-0.39744246864476385
