Batch,orden_escalon_fase,T_prev_S1,hist__gn_S1,hab__gn_S1,rec__gn_S1,delta__gn_S1,z_hist__gn_S1,beta__gn_S1,t__gn_S1,motivo__gn_S1,valor_hist_pp__gn_S1,valor_rec_pp__gn_S1,hist__carbon_S1,hab__carbon_S1,rec__carbon_S1,delta__carbon_S1,z_hist__carbon_S1,beta__carbon_S1,t__carbon_S1,motivo__carbon_S1,valor_hist_pp__carbon_S1,valor_rec_pp__carbon_S1,efecto_ln_sn_dep_S1,efecto_ln_feo_ret_S1,inicio_bloque_S1,T_prev_S3p,hist__gn_S3p,hab__gn_S3p,rec__gn_S3p,delta__gn_S3p,z_hist__gn_S3p,beta__gn_S3p,t__gn_S3p,motivo__gn_S3p,valor_hist_pp__gn_S3p,valor_rec_pp__gn_S3p,hist__carbon_S3p,hab__carbon_S3p,rec__carbon_S3p,delta__carbon_S3p,z_hist__carbon_S3p,beta__carbon_S3p,t__carbon_S3p,motivo__carbon_S3p,valor_hist_pp__carbon_S3p,valor_rec_pp__carbon_S3p,efecto_ln_sn_dep_S3p,efecto_ln_feo_ret_S3p,inicio_bloque_S3p,sd_gn,diff_gn,diff_gn_sd,dir_S1__gn,dir_S3p__gn,cambia_accion__gn,revierte__gn,sd_carbon,diff_carbon,diff_carbon_sd,dir_S1__carbon,dir_S3p__carbon,cambia_accion__carbon,revierte__carbon
AP0222,0,988.2300424261716,22.649357898853445,27.53485694978568,27.53485694978568,0.0,-1.9593013024344208,-1.74531222873803,-1.2722920234057868,"mantener: horno frio (T_prev < P10), no recortar GN",3.419592522921144,-0.0,66.05401178175403,61.79950750449844,61.79950750449844,0.0,0.5232331825983167,-0.7136046672920946,-0.3815445229927258,mantener: beta no distinguible de 0,-0.3733816411842556,-0.0,0.0,0.0,220,988.2300424261716,22.649357898853445,27.45604682784461,27.45604682784461,0.0,-1.942520555146187,-0.939318245492661,-0.7060797981795146,mantener: beta no distinguible de 0,1.8246449996933465,-0.0,66.05401178175403,59.27021431679616,59.27021431679616,0.0,0.8359942520214363,-0.4605897375199204,-0.2507489856432016,mantener: beta no distinguible de 0,-0.3850503731067155,-0.0,0.0,0.0,220,2.122363483623381,-0.07881012194107129,-0.03713318785834159,0,0,False,False,6.720399091145465,-2.5292931877022866,-0.37636056332350626,0,0,False,False
AP0222,1,965.3426495018954,22.856689995659725,23.864484434889903,23.864484434889903,0.0,-0.3717580915868357,-1.74531222873803,-1.2722920234057868,"mantener: horno frio (T_prev < P10), no recortar GN",0.648833943378817,-0.0,26.278712033002805,31.18639716451469,31.18639716451469,0.0,-0.8072970529471664,-0.7136046672920946,-0.3815445229927258,mantener: beta no distinguible de 0,0.5760909448742512,-0.0,0.0,0.0,220,965.3426495018954,22.856689995659725,24.76395462670995,24.76395462670995,0.0,-0.7042895168354188,-0.939318245492661,-0.7060797981795146,mantener: beta no distinguible de 0,0.6615519932727195,-0.0,26.278712033002805,34.55584913343424,34.55584913343424,0.0,-1.351316600780713,-0.4605897375199204,-0.2507489856432016,mantener: beta no distinguible de 0,0.6224025584598996,-0.0,0.0,0.0,220,2.8308825168256773,0.899470191820047,0.31773490650846226,0,0,False,False,5.7711178432488435,3.3694519689195523,0.5838473689912947,0,0,False,False
AP0222,2,920.7921094450452,19.62946130075762,21.151528259867312,21.151528259867312,0.0,-0.5334990503217578,-1.74531222873803,-1.2722920234057868,"mantener: horno frio (T_prev < P10), no recortar GN",0.9311224165466896,-0.0,7.423974570773896,15.165841127977409,15.165841127977409,0.0,-1.3505190601248072,-0.7136046672920946,-0.3815445229927258,mantener: beta no distinguible de 0,0.9637367045719952,-0.0,0.0,0.0,220,920.7921094450452,19.62946130075762,20.52631616605687,20.52631616605687,0.0,-0.317063111886141,-0.939318245492661,-0.7060797981795146,mantener: beta no distinguible de 0,0.2978231659673332,-0.0,7.423974570773896,15.382554152280502,15.382554152280502,0.0,-1.4439848065899206,-0.4605897375199204,-0.2507489856432016,mantener: beta no distinguible de 0,0.6650845830500045,-0.0,0.0,0.0,220,2.8027788200374375,-0.6252120938104433,-0.2230686522035628,0,0,False,False,5.397532728317554,0.21671302430309325,0.04015038633598876,0,0,False,False
AP0222,3,929.6333575741522,24.644039879316168,17.21281969532635,17.21281969532635,0.0,3.5770837243937663,-1.74531222873803,-1.2722920234057868,"mantener: horno frio (T_prev < P10), no recortar GN",-6.2431279674042175,-0.0,8.118420329846835,8.852343013402319,8.852343013402319,0.0,-0.1976144819885587,-0.7136046672920946,-0.3815445229927258,mantener: beta no distinguible de 0,0.1410186166715451,-0.0,0.0,0.0,220,929.6333575741522,24.644039879316168,18.061807887850748,18.061807887850748,0.0,3.1476477982757287,-0.939318245492661,-0.7060797981795146,mantener: beta no distinguible de 0,-2.956643007305195,-0.0,8.118420329846835,9.434849714404628,9.434849714404628,0.0,-0.3389187212740897,-0.4605897375199204,-0.2507489856432016,mantener: beta no distinguible de 0,0.15610248487222,-0.0,0.0,0.0,220,2.2436315336498733,0.8489881925243985,0.3783991175874096,0,0,False,False,3.3546102368058524,0.5825067010023091,0.1736436306701766,0,0,False,False
AP0223,0,1002.7529572787996,29.650527829770688,28.362693979414637,28.362693979414637,0.0,0.5164783605556681,-1.74531222873803,-1.2722920234057868,"mantener: horno frio (T_prev < P10), no recortar GN",-0.901415998556377,-0.0,63.61288320069672,57.80031447034702,57.80031447034702,0.0,0.7148491663555632,-0.7136046672920946,-0.3815445229927258,mantener: beta no distinguible de 0,-0.5101197015211928,-0.0,0.0,0.0,220,1002.7529572787996,29.650527829770688,28.323984732753807,28.323984732753807,0.0,0.5360940288231641,-0.939318245492661,-0.7060797981795146,mantener: beta no distinguible de 0,-0.5035629025732665,-0.0,63.61288320069672,59.21908315804577,59.21908315804577,0.0,0.5414653959175286,-0.4605897375199204,-0.2507489856432016,mantener: beta no distinguible de 0,-0.2493934045817742,-0.0,0.0,0.0,220,2.122363483623381,-0.03870924666082942,-0.018238745134619212,0,0,False,False,6.720399091145465,1.4187686876987513,0.21111375506970492,0,0,False,False
AP0223,1,977.3299696577228,29.52314131673177,25.11620384786922,25.11620384786922,0.0,1.6256436822754377,-1.74531222873803,-1.2722920234057868,"mantener: horno frio (T_prev < P10), no recortar GN",-2.837255798246042,-0.0,28.04300349308894,31.76228254767744,31.76228254767744,0.0,-0.6118084064884644,-0.7136046672920946,-0.3815445229927258,mantener: beta no distinguible de 0,0.4365893343587071,-0.0,0.0,0.0,220,977.3299696577228,29.52314131673177,25.394428226845942,25.394428226845942,0.0,1.5245966919790186,-0.939318245492661,-0.7060797981795146,mantener: beta no distinguible de 0,-1.4320814897936467,-0.0,28.04300349308894,34.50153686473026,34.50153686473026,0.0,-1.0544132899937395,-0.4605897375199204,-0.2507489856432016,mantener: beta no distinguible de 0,0.4856519404757323,-0.0,0.0,0.0,220,2.8308825168256773,0.2782243789767236,0.09828185285792146,0,0,False,False,5.7711178432488435,2.739254317052822,0.4746488273943757,0,0,False,False
AP0223,2,939.9682248158996,21.41796188354492,20.570027486055125,20.570027486055125,0.0,0.297209129393732,-1.74531222873803,-1.2722920234057868,"mantener: horno frio (T_prev < P10), no recortar GN",-0.5187227280234641,-0.0,14.413526892283604,14.342567663985951,14.342567663985951,0.0,0.0123783831198379,-0.7136046672920946,-0.3815445229927258,mantener: beta no distinguible de 0,-0.008833271967846,-0.0,0.0,0.0,220,939.9682248158996,21.41796188354492,20.9632376711845,20.9632376711845,0.0,0.1607576425120487,-0.939318245492661,-0.7060797981795146,mantener: beta no distinguible de 0,-0.151002586713954,-0.0,14.413526892283604,12.017976554643775,12.017976554643775,0.0,0.4346426715404446,-0.4605897375199204,-0.2507489856432016,mantener: beta no distinguible de 0,-0.2001919539997703,-0.0,0.0,0.0,220,2.8027788200374375,0.39321018512937655,0.14029297721185302,0,0,False,False,5.397532728317554,-2.324591109342176,-0.430676612139185,0,0,False,False
AP0223,3,947.802195803311,20.16306146127206,17.344821508253947,17.344821508253947,0.0,1.3565847892781482,-1.74531222873803,-1.2722920234057868,"mantener: horno frio (T_prev < P10), no recortar GN",-2.367664022047156,-0.0,5.969526576995849,5.883307211981388,5.883307211981388,0.0,0.0232152453337097,-0.7136046672920946,-0.3815445229927258,mantener: beta no distinguible de 0,-0.0165665074224663,-0.0,0.0,0.0,220,947.802195803311,20.16306146127206,18.970507558298785,18.970507558298785,0.0,0.5702837080014945,-0.939318245492661,-0.7060797981795146,mantener: beta no distinguible de 0,-0.5356778920330129,-0.0,5.969526576995849,6.518981855542935,6.518981855542935,0.0,-0.1414589210685472,-0.4605897375199204,-0.2507489856432016,mantener: beta no distinguible de 0,0.0651545273248133,-0.0,0.0,0.0,220,2.2436315336498733,1.6256860500448376,0.7245780002923294,0,0,False,False,3.3546102368058524,0.635674643561547,0.1894928467656544,0,0,False,False
AP0224,0,1028.734172662073,29.20823590313947,29.58994527219028,28.003721278684395,-1.586223993505886,-0.1530823476037652,-1.74531222873803,-1.2722920234057868,recomendar,0.2671764932767773,1.110273413487985,45.7915399565628,63.777689384970685,63.777689384970685,0.0,-2.2119968849074456,-0.7136046672920946,-0.3815445229927258,mantener: beta no distinguible de 0,1.5784913011055277,-0.0,-0.0216678990170917,0.0046069841939778,220,1028.734172662073,29.20823590313947,29.01241427901729,29.01241427901729,0.0,0.0791371223765223,-0.939318245492661,-0.7060797981795146,mantener: beta no distinguible de 0,-0.0743349429440529,-0.0,45.7915399565628,59.635390022449776,59.635390022449776,0.0,-1.7060325195012267,-0.4605897375199204,-0.2507489856432016,mantener: beta no distinguible de 0,0.7857810703575184,-0.0,0.0,0.0,220,2.122363483623381,1.0086930003328938,0.4752687313536012,-1,0,True,False,6.720399091145465,-4.142299362520909,-0.6163769898693428,0,0,False,False
AP0224,1,1007.1351567343258,28.08772884114584,24.142940670241455,24.142940670241455,0.0,1.4551647290790255,-1.74531222873803,-1.2722920234057868,"mantener: horno frio (T_prev < P10), no recortar GN",-2.539716796489885,-0.0,38.95830305050581,30.407807830754383,30.407807830754383,0.0,1.406526581711988,-0.7136046672920946,-0.3815445229927258,mantener: beta no distinguible de 0,-1.0037039333800704,-0.0,0.0,0.0,220,1007.1351567343258,28.08772884114584,25.226334173607285,25.226334173607285,0.0,1.0566180670830578,-0.939318245492661,-0.7060797981795146,mantener: beta no distinguible de 0,-0.9925006289283046,-0.0,38.95830305050581,33.28325920473274,33.28325920473274,0.0,0.9265016231943112,-0.4605897375199204,-0.2507489856432016,mantener: beta no distinguible de 0,-0.426737139438848,-0.0,0.0,0.0,220,2.8308825168256773,1.08339350336583,0.3827052153971617,0,0,False,False,5.7711178432488435,2.875451373978354,0.49824859794573567,0,0,False,False
AP0224,2,986.1903727126944,24.199004990179663,21.104203461170048,21.104203461170048,0.0,1.0847575836129577,-1.74531222873803,-1.2722920234057868,"mantener: horno frio (T_prev < P10), no recortar GN",-1.8932406758960112,-0.0,17.71379166860429,17.280391359293688,17.280391359293688,0.0,0.0756039094788248,-0.7136046672920946,-0.3815445229927258,mantener: beta no distinguible de 0,-0.0539513026696184,-0.0,0.0,0.0,220,986.1903727126944,24.199004990179663,20.16902962873351,20.16902962873351,0.0,1.42470825365735,-0.939318245492661,-0.7060797981795146,mantener: beta no distinguible de 0,-1.3382544571643349,-0.0,17.71379166860429,13.42916333367596,13.42916333367596,0.0,0.777392266315688,-0.4605897375199204,-0.2507489856432016,mantener: beta no distinguible de 0,-0.3580588998923588,-0.0,0.0,0.0,220,2.8027788200374375,-0.9351738324365364,-0.33365951881427625,0,0,False,False,5.397532728317554,-3.8512280256177274,-0.7135163822930964,0,0,False,False
AP0224,3,995.7086077655784,21.576687879178117,18.081918719273855,18.081918719273855,0.0,1.6822381214514035,-1.74531222873803,-1.2722920234057868,"mantener: horno frio (T_prev < P10), no recortar GN",-2.936030765018426,-0.0,8.196918900807699,6.534615748444394,6.534615748444394,0.0,0.4475882592575418,-0.7136046672920946,-0.3815445229927258,mantener: beta no distinguible de 0,-0.3194010708313259,-0.0,0.0,0.0,220,995.7086077655784,21.576687879178117,20.03731078517649,20.03731078517649,0.0,0.7361358467664001,-0.939318245492661,-0.7060797981795146,mantener: beta no distinguible de 0,-0.6914658320288692,-0.0,8.196918900807699,6.402523233128165,6.402523233128165,0.0,0.4619725845408726,-0.4605897375199204,-0.2507489856432016,mantener: beta no distinguible de 0,-0.2127798314550797,-0.0,0.0,0.0,220,2.2436315336498733,1.955392065902636,0.8715299444564599,0,0,False,False,3.3546102368058524,-0.1320925153162289,-0.0393764121586903,0,0,False,False
AP0225,0,998.3306825613082,29.17542695222077,29.309946153384736,29.309946153384736,0.0,-0.0539481521325239,-1.74531222873803,-1.2722920234057868,"mantener: horno frio (T_prev < P10), no recortar GN",0.0941563696347137,-0.0,56.68741303411093,60.65299616445055,60.65299616445055,0.0,-0.4877006924727425,-0.7136046672920946,-0.3815445229927258,mantener: beta no distinguible de 0,0.3480254903901356,-0.0,0.0,0.0,220,998.3306825613082,29.17542695222077,29.00773891012938,29.00773891012938,0.0,0.0677675367444911,-0.939318245492661,-0.7060797981795146,mantener: beta no distinguible de 0,-0.0636552837161948,-0.0,56.68741303411093,58.73732311796977,58.73732311796977,0.0,-0.2526185453087396,-0.4605897375199204,-0.2507489856432016,mantener: beta no distinguible de 0,0.1163535094764165,-0.0,0.0,0.0,220,2.122363483623381,-0.3022072432553564,-0.1423918407884669,0,0,False,False,6.720399091145465,-1.9156730464807765,-0.2850534649057959,0,0,False,False
AP0225,1,988.4722770665298,29.196541490342884,24.64321033047897,24.64321033047897,0.0,1.6796458051970449,-1.74531222873803,-1.2722920234057868,"mantener: horno frio (T_prev < P10), no recortar GN",-2.931506363758937,-0.0,29.415597455929493,29.9782562766742,29.9782562766742,0.0,-0.0925554096544076,-0.7136046672920946,-0.3815445229927258,mantener: beta no distinguible de 0,0.0660479723125171,-0.0,0.0,0.0,220,988.4722770665298,29.196541490342884,23.39827584796476,23.39827584796476,0.0,2.14110702902578,-0.939318245492661,-0.7060797981795146,mantener: beta no distinguible de 0,-2.0111808979165,-0.0,29.415597455929493,29.681509513640947,29.681509513640947,0.0,-0.0434125197605482,-0.4605897375199204,-0.2507489856432016,mantener: beta no distinguible de 0,0.0199953610815892,-0.0,0.0,0.0,220,2.8308825168256773,-1.244934482514207,-0.4397690384941074,0,0,False,False,5.7711178432488435,-0.2967467630332514,-0.051419286712433204,0,0,False,False
AP0225,2,972.8756808791042,20.422865634494357,20.598638325434287,20.598638325434287,0.0,-0.0616100120482254,-1.74531222873803,-1.2722920234057868,"mantener: horno frio (T_prev < P10), no recortar GN",0.1075287074404653,-0.0,17.1848394484747,12.474364998251534,12.474364998251534,0.0,0.8217121129965868,-0.7136046672920946,-0.3815445229927258,mantener: beta no distinguible de 0,-0.5863775990048133,-0.0,0.0,0.0,220,972.8756808791042,20.422865634494357,19.610394287807274,19.610394287807274,0.0,0.2872311936591603,-0.939318245492661,-0.7060797981795146,mantener: beta no distinguible de 0,-0.2698015008786852,-0.0,17.1848394484747,15.421399919264855,15.421399919264855,0.0,0.3199540648479706,-0.4605897375199204,-0.2507489856432016,mantener: beta no distinguible de 0,-0.1473675587467584,-0.0,0.0,0.0,220,2.8027788200374375,-0.9882440376270125,-0.35259437190045995,0,0,False,False,5.397532728317554,2.947034921013321,0.5459966746569281,0,0,False,False
AP0225,3,950.414718317326,16.698380805121527,19.48442790496228,19.48442790496228,0.0,-1.3410884739636533,-1.74531222873803,-1.2722920234057868,"mantener: horno frio (T_prev < P10), no recortar GN",2.340618113428387,-0.0,6.519492316968512,6.632629017796514,6.632629017796514,0.0,-0.0304629507017136,-0.7136046672920946,-0.3815445229927258,mantener: beta no distinguible de 0,0.0217385038002318,-0.0,0.0,0.0,220,950.414718317326,16.698380805121527,16.785511872119756,16.785511872119756,0.0,-0.0416664000226662,-0.939318245492661,-0.7060797981795146,mantener: beta no distinguible de 0,0.0391380097652862,-0.0,6.519492316968512,6.500215811836957,6.500215811836957,0.0,0.0049627944699934,-0.4605897375199204,-0.2507489856432016,mantener: beta no distinguible de 0,-0.0022858122022995,-0.0,0.0,0.0,220,2.2436315336498733,-2.6989160328425257,-1.2029230256235564,0,0,False,False,3.3546102368058524,-0.13241320595955752,-0.0394720091493064,0,0,False,False
