grupo,candidata,spec,muestra,n,pendiente,se,t,p_uni,spearman,sd_score,p_perm_bilateral
R,enriq,cand(xG+xC+R_enriq),TOTAL,261,0.42047358636948035,0.18854183394438565,2.2301341700829527,0.012869268473725316,0.15572654072259232,1.609003890152506,
R,enriq,PERM_bloques20(n=1200),DEV,198,0.4315379448126017,,1.9274504327367792,0.026961759831321184,0.18792702166423567,1.494292746942639,0.5670274771024146
R,aire,base(xG+xC),DEV,198,0.5935525012945231,0.2697287650848515,2.2005532154043816,0.013883834361021554,0.1938341144269262,1.2389574368774618,
R,aire,base(xG+xC),LOCKBOX,63,0.36744708271163773,0.47179969504650315,0.7788200937167205,0.21804284970082577,0.022801459293394777,1.2368779674145154,
R,aire,base(xG+xC),TOTAL,261,0.5277894076815706,0.22703418861755997,2.324713343375054,0.010043646654650788,0.15362814775818198,1.3343367130239272,
R,aire,cand(xG+xC+R_aire),DEV,198,0.44748554586863387,0.2386173962515464,1.8753265809543165,0.03037390435453646,0.17828026457468082,1.4037610585439837,
R,aire,cand(xG+xC+R_aire),LOCKBOX,63,0.33379820319522924,0.41218462361155217,0.8098269175363629,0.20901982987477086,0.034082181259600615,1.4600033682804585,
R,aire,cand(xG+xC+R_aire),TOTAL,261,0.406365938822216,0.19936044642847936,2.0383478573719986,0.02075757848402045,0.14899939930211054,1.500771805492768,
R,aire,PERM_bloques20(n=1200),DEV,198,0.44748554586863387,,1.8753265809543165,0.03037390435453646,0.17828026457468082,1.4037610585439837,0.6844296419650291
R,esteq,base(xG+xC),DEV,198,0.5935525012945231,0.2697287650848515,2.2005532154043816,0.013883834361021554,0.1938341144269262,1.2389574368774618,
R,esteq,base(xG+xC),LOCKBOX,63,0.36744708271163773,0.47179969504650315,0.7788200937167205,0.21804284970082577,0.022801459293394777,1.2368779674145154,
R,esteq,base(xG+xC),TOTAL,261,0.5277894076815706,0.22703418861755997,2.324713343375054,0.010043646654650788,0.15362814775818198,1.3343367130239272,
R,esteq,cand(xG+xC+R_esteq),DEV,198,0.5478005462951799,0.27342203148417865,2.003498194061505,0.022561920621767494,0.15297453271587905,1.2293547711173218,
R,esteq,cand(xG+xC+R_esteq),LOCKBOX,63,0.15770762417542067,0.370435661138563,0.42573553445338913,0.33515028296558985,0.06346006144393242,1.645140736984907,
R,esteq,cand(xG+xC+R_esteq),TOTAL,261,0.3933262236685133,0.21175330213279378,1.8574738608886123,0.03162188334475071,0.1302562752681205,1.4309226990370494,
R,esteq,PERM_bloques20(n=1200),DEV,198,0.5478005462951799,,2.003498194061505,0.022561920621767494,0.15297453271587905,1.2293547711173218,0.4521232306411324
R,caudal,base(xG+xC),DEV,198,0.5935525012945231,0.2697287650848515,2.2005532154043816,0.013883834361021554,0.1938341144269262,1.2389574368774618,
R,caudal,base(xG+xC),LOCKBOX,63,0.36744708271163773,0.47179969504650315,0.7788200937167205,0.21804284970082577,0.022801459293394777,1.2368779674145154,
R,caudal,base(xG+xC),TOTAL,261,0.5277894076815706,0.22703418861755997,2.324713343375054,0.010043646654650788,0.15362814775818198,1.3343367130239272,
R,caudal,cand(xG+xC+R_caudal),DEV,198,0.4674903061410914,0.25149335107309606,1.8588575170928325,0.03152366858602907,0.15988958791805513,1.3365670789509525,
R,caudal,cand(xG+xC+R_caudal),LOCKBOX,63,0.3308495641358588,0.4231729139400673,0.7818306730820584,0.21715704607344843,0.033602150537634407,1.4209318713211347,
R,caudal,cand(xG+xC+R_caudal),TOTAL,261,0.4193049426757966,0.20710491756952962,2.0246015768072083,0.021454146111389443,0.13912973049587948,1.4407183921946092,
R,caudal,PERM_bloques20(n=1200),DEV,198,0.4674903061410914,,1.8588575170928325,0.03152366858602907,0.15988958791805513,1.3365670789509525,0.7260616153205662
R,ppunta,base(xG+xC),DEV,155,0.571559271579153,0.28533893792802895,2.0030889430285796,0.022583871291858765,0.2337114498404821,1.3543474853113577,
R,ppunta,base(xG+xC),LOCKBOX,63,0.23519539734971157,0.4871467127507477,0.482801979760153,0.31461817248559953,-0.012000768049155145,1.1915576225318196,
