canal,palanca,W,s,beta
f_polvo,xG,100,120,0.267079398474127
f_polvo,xG,100,130,0.6242452652064611
f_polvo,xG,100,140,1.0263690664956748
f_polvo,xG,100,150,1.4665077685415902
f_polvo,xG,100,160,1.4172248617166658
f_polvo,xG,100,170,1.3111942059096606
f_polvo,xG,100,180,1.5169439220942114
f_polvo,xG,100,190,2.0837262702706645
f_polvo,xG,100,200,2.2551204422566045
f_polvo,xG,100,210,1.8395700502847077
f_polvo,xG,100,220,1.0181894954132686
f_polvo,xG,100,230,0.5002014118313219
f_polvo,xG,100,240,0.14105721875957472
f_polvo,xG,100,250,0.06567833838704577
f_polvo,xG,100,260,-0.20081198475524467
f_polvo,xG,100,270,-0.2912696749164358
f_polvo,xG,100,280,-0.27575973320058744
f_polvo,xG,100,290,-0.22796071825044245
f_polvo,xG,100,300,-0.46285614265987285
f_polvo,xG,100,310,-0.7655543232588795
f_polvo,xG,100,320,-0.8015647552912037
f_polvo,xG,100,330,-0.911790515115898
f_polvo,xG,100,340,-1.030737174864715
f_polvo,xG,100,350,-0.982117901395796
f_polvo,xG,100,360,-1.1722454976254644
f_polvo,xC,80,80,0.8001644472574949
f_polvo,xC,80,90,0.3951437564720179
f_polvo,xC,80,100,0.19186250159402615
f_polvo,xC,80,110,0.18756959458852993
f_polvo,xC,80,120,0.009828876355765508
f_polvo,xC,80,130,-0.2741689831984087
f_polvo,xC,80,140,-0.19682132354778756
f_polvo,xC,80,150,-0.8401615312308423
f_polvo,xC,80,160,-1.2147405207411364
f_polvo,xC,80,170,-0.6601597400214309
f_polvo,xC,80,180,-1.1715658980958665
f_polvo,xC,80,190,-0.6482111964823002
f_polvo,xC,80,200,-0.021354792029326775
f_polvo,xC,80,210,-0.03539229800080472
f_polvo,xC,80,220,0.08020872077685831
f_polvo,xC,80,230,0.30581853597040287
f_polvo,xC,80,240,0.787642050494
f_polvo,xC,80,250,0.023553207713547936
f_polvo,xC,80,260,-0.5503283326273424
f_polvo,xC,80,270,-1.3630980748481611
f_polvo,xC,80,280,-0.4135024508040504
f_polvo,xC,80,290,-0.47113412562314
f_polvo,xC,80,300,-0.3885949740108319
f_polvo,xC,80,310,-0.7887656273139968
f_polvo,xC,80,320,-0.9805778051895483
f_polvo,xC,80,330,-0.9184164745750484
f_polvo,xC,80,340,-0.2823896808054476
f_polvo,xC,80,350,-0.6905681072851045
f_polvo,xC,80,360,-1.2092608677232595
f_polvo,xC,90,90,0.5172883635872811
f_polvo,xC,90,100,0.34462672906232744
f_polvo,xC,90,110,0.24697106352352657
f_polvo,xC,90,120,0.07973003815177702
f_polvo,xC,90,130,-0.15830843659718682
f_polvo,xC,90,140,-0.3482158270938511
f_polvo,xC,90,150,-0.5888891293536921
f_polvo,xC,90,160,-0.7373354140359933
f_polvo,xC,90,170,-1.0943367535365132
f_polvo,xC,90,180,-0.4182227411888641
f_polvo,xC,90,190,-0.4753797896818746
f_polvo,xC,90,200,-0.44313459539415756
f_polvo,xC,90,210,-0.6003294131032255
f_polvo,xC,90,220,-0.11816787646082433
f_polvo,xC,90,230,-0.2785603472277873
f_polvo,xC,90,240,0.5100853757628544
f_polvo,xC,90,250,0.14086391448336835
f_polvo,xC,90,260,-0.4191655085334347
f_polvo,xC,90,270,-0.7462958167532997
f_polvo,xC,90,280,-0.581449378475346
f_polvo,xC,90,290,-0.508768855018091
f_polvo,xC,90,300,-0.11219399485900762
f_polvo,xC,90,310,-0.264939230214851
f_polvo,xC,90,320,-0.9073866810848362
f_polvo,xC,90,330,-1.0257769125629592
f_polvo,xC,90,340,-1.017751881817962
f_polvo,xC,90,350,-0.7390997092915179
f_polvo,xC,90,360,-0.7736253900026048
f_polvo,xC,100,100,0.3163390460013831
f_polvo,xC,100,110,0.3551319602743231
f_polvo,xC,100,120,0.16869484960789566
f_polvo,xC,100,130,-0.01821828546450359
f_polvo,xC,100,140,-0.26146864633237193
f_polvo,xC,100,150,-0.584950964871372
f_polvo,xC,100,160,-0.4640877256323148
f_polvo,xC,100,170,-0.6769504460528356
f_polvo,xC,100,180,-0.8093455840352491
f_polvo,xC,100,190,0.046891174620395645
f_polvo,xC,100,200,-0.5515874440963453
f_polvo,xC,100,210,-0.736329469063186
f_polvo,xC,100,220,-0.5494106634508127
f_polvo,xC,100,230,-0.4098119815033397
f_polvo,xC,100,240,0.02255004611098534
f_polvo,xC,100,250,-0.02727592764854758
f_polvo,xC,100,260,-0.21032744614477
f_polvo,xC,100,270,-0.6328765223067957
f_polvo,xC,100,280,-0.3684517339502365
f_polvo,xC,100,290,-0.703719462986299
f_polvo,xC,100,300,-0.17409297154279918
f_polvo,xC,100,310,-0.01108450915014809
f_polvo,xC,100,320,-0.4047929847706871
f_polvo,xC,100,330,-0.9875963509251313
f_polvo,xC,100,340,-1.027225038896132
f_polvo,xC,100,350,-1.3501545335938476
f_polvo,xC,100,360,-0.7098750421886355
sn_perdido_escoria_frac,xG,80,80,-0.14731266046169358
sn_perdido_escoria_frac,xG,80,90,0.08878047013458706
sn_perdido_escoria_frac,xG,80,100,0.05120430736446766
sn_perdido_escoria_frac,xG,80,110,0.051695507259735554
sn_perdido_escoria_frac,xG,80,120,0.07768100543418366
sn_perdido_escoria_frac,xG,80,130,-0.02085588475179254
sn_perdido_escoria_frac,xG,80,140,-0.04460313569370159
sn_perdido_escoria_frac,xG,80,150,0.01745814197374303
sn_perdido_escoria_frac,xG,80,160,-0.08335000837754883
sn_perdido_escoria_frac,xG,80,170,0.0844072453521684
sn_perdido_escoria_frac,xG,80,180,0.07132328627759181
sn_perdido_escoria_frac,xG,80,190,0.18119027717684344
sn_perdido_escoria_frac,xG,80,200,-0.06270163969052577
sn_perdido_escoria_frac,xG,80,210,0.06985737259524309
sn_perdido_escoria_frac,xG,80,220,-0.22327344421107875
sn_perdido_escoria_frac,xG,80,230,-0.20868346907784135
sn_perdido_escoria_frac,xG,80,240,-0.1827565507074979
sn_perdido_escoria_frac,xG,80,250,-0.2326413519876035
sn_perdido_escoria_frac,xG,80,260,-0.27158171245318613
sn_perdido_escoria_frac,xG,80,270,-0.2624277155015193
sn_perdido_escoria_frac,xG,80,280,-0.19678534291425995
sn_perdido_escoria_frac,xG,80,290,-0.2865775463666355
sn_perdido_escoria_frac,xG,80,300,-0.08947161665018329
sn_perdido_escoria_frac,xG,80,310,-0.13105910276664623
sn_perdido_escoria_frac,xG,80,320,-0.04818104889729575
sn_perdido_escoria_frac,xG,80,330,-0.020738265025934694
sn_perdido_escoria_frac,xG,80,340,-0.02208252986274137
sn_perdido_escoria_frac,xG,80,350,-0.07516505246318124
sn_perdido_escoria_frac,xG,80,360,-0.04187675491961776
sn_perdido_escoria_frac,xG,90,90,-0.08961402895102669
sn_perdido_escoria_frac,xG,90,100,0.030290984772626216
sn_perdido_escoria_frac,xG,90,110,0.04397132284105345
sn_perdido_escoria_frac,xG,90,120,0.05477819432221828
sn_perdido_escoria_frac,xG,90,130,0.039988178116674475
sn_perdido_escoria_frac,xG,90,140,-0.02767500399618915
sn_perdido_escoria_frac,xG,90,150,0.0030385493763898297
sn_perdido_escoria_frac,xG,90,160,-0.0719979113812224
sn_perdido_escoria_frac,xG,90,170,0.10312432216397649
sn_perdido_escoria_frac,xG,90,180,0.07541023797817276
sn_perdido_escoria_frac,xG,90,190,0.1206693159448104
sn_perdido_escoria_frac,xG,90,200,-0.024698086913577486
sn_perdido_escoria_frac,xG,90,210,0.06734031544323213
sn_perdido_escoria_frac,xG,90,220,-0.21829785503954302
sn_perdido_escoria_frac,xG,90,230,-0.17878232577610154
sn_perdido_escoria_frac,xG,90,240,-0.16993652449551325
sn_perdido_escoria_frac,xG,90,250,-0.19128977086683946
sn_perdido_escoria_frac,xG,90,260,-0.21850507870703345
sn_perdido_escoria_frac,xG,90,270,-0.23470718521840217
sn_perdido_escoria_frac,xG,90,280,-0.24176978106975344
sn_perdido_escoria_frac,xG,90,290,-0.18885041179110024
sn_perdido_escoria_frac,xG,90,300,-0.25045752414878825
sn_perdido_escoria_frac,xG,90,310,-0.08886222981329119
sn_perdido_escoria_frac,xG,90,320,-0.11410561560437045
