idx_cronologico,T_media_R,kpi,kalman_continuo_qctrl0,kalman_periodico10_qctrl0,kalman_adaptativo20_qctrl0,W100_duro (referencia v9),exp_semivida60,expansiva
AP0200,1019.1544144820964,71.8065918254643,-2.332251300479762,-2.238730195845334,-3.049538816698386,-2.7853985995062467,-2.5145509519679456,-1.6836609142002859
AP0201,1001.6247510454064,66.75306615048929,-0.9222693638310279,-1.0029200196436616,-1.573097663440207,-1.8048797980816014,-1.1464011976495085,-0.46340781479677723
AP0202,980.699619058071,66.4514440756962,0.916553716040206,0.916553716040206,0.8764700933443296,1.3142813622922471,0.9984702915038108,0.7830112771305339
AP0203,1045.0886593393168,66.19553935976042,-2.1435705695515606,-2.163016695362432,-2.5979342356836477,-3.4623229835275184,-2.2969564343364532,-1.5013977145988102
AP0204,1007.9126118017128,60.41009357637024,-0.4392713634078267,-0.4429517634996958,-0.5744359531762622,-0.7431779227668259,-0.46475876783929837,-0.2746606549862545
AP0205,1012.0620825372588,63.66233755856593,-0.34449521953752765,-0.31946477150148683,-0.6102919490507592,-0.6119246673335821,-0.3226921300011297,-0.12515333033879544
AP0206,1039.3500579078882,63.96967014025942,-1.932294846879313,-1.9273272939248833,-2.2203035981636767,-2.998827291282259,-2.060868113227037,-1.420629442530241
AP0207,1032.85076168703,69.79008827869758,-0.034887504324520785,-0.025939951063100902,-0.09054653006444187,-0.06371036439712457,-0.023893428733698388,0.003307951770896777
AP0208,1025.3638149727635,73.79294245621271,0.18805498595252346,0.2135912639880918,0.02824133009100721,0.2396766687519932,0.24364494594442698,0.24644436348741786
AP0209,1014.8869390067832,71.55359338258206,-2.1382608596906123,-2.071813258594953,-2.5456058816985507,-3.2214604668193316,-2.2157241076251823,-1.5292237536589992
AP0210,1011.7462557648942,67.08815572778333,-0.09460311259314533,-0.08028352407238837,-0.24765082533721466,-0.21160088037082497,-0.07157587839461682,0.024088228173467743
AP0211,1001.7894003894196,74.60280343253305,-0.1520853762838062,-0.13360528558777215,-0.34538552932255007,-0.3133355773118123,-0.12550240635545903,0.002813307435871132
AP0212,999.6158382272304,70.93343629838353,-1.4884743783709429,-1.4884743783709429,-1.6964563693274834,-2.036705712815215,-1.577386401051781,-1.045346171523856
AP0213,987.9351675221064,70.13314182765484,-0.3055940991591359,-0.3173727377644983,-0.3929748508679679,-0.4994394656017311,-0.3364109240973373,-0.16748132300187124
AP0214,1011.7305928505202,75.15219181323657,-0.46581915316150296,-0.4812740239936639,-0.4876367542007191,-0.6463290815944307,-0.5100072334972349,-0.348373364911037
AP0215,965.5530824773537,69.04243746866473,-1.4814657718783455,-1.5889093950007291,-1.7574852677314277,-2.405887008934134,-1.6841064971973745,-0.9188518313041136
AP0216,969.9018880324294,73.48446419256281,-1.2651149385557563,-1.3887684830517035,-1.3211506374364033,-2.0109174324256993,-1.4718611163005342,-0.8812602804655448
AP0217,945.510133468082,76.75021429676049,0.4154088857261923,0.42805123768413395,0.3442446133341863,0.48739297521317015,0.4534990903668726,0.3842033485145045
AP0218,1031.5628858328637,63.18360377448334,4.521458065842686,4.885438199983006,4.196626947478204,6.473213695793606,5.177002403388224,3.610922044999561
AP0219,1047.6324488132827,59.321399986192574,-2.3210263519776757,-3.498115475413294,-1.0528261511832198,-4.860180381165644,-3.707161515781008,-2.394092095420967
AP0220,987.3169913793804,77.40069151848783,0.38523468394290666,0.4446339868002069,0.20457349621542503,0.39481308193519055,0.47093027170356855,0.49384805066622217
AP0221,981.8484250243092,67.5295878084326,-0.6656571355763987,-0.8820827893039347,-0.5165372513735251,-1.2859083771793751,-0.934870146205566,-0.5523701003983865
AP0222,939.645783740832,57.98409620648263,0.6376938734059238,0.6376938734059238,0.4980999837114987,0.773292038800945,0.4750991394086408,0.3932502930698395
AP0223,951.6163005761148,67.90518378251541,-0.8534034754841561,-0.929104772028652,-0.5098954082781004,-1.1266470304414906,-0.7108835085895258,-0.5949253374314161
AP0224,993.3774328183258,64.28045817732976,-1.2294517668087355,-1.3124086714200403,-0.8529815877824916,-1.5912933431933023,-1.140888256540989,-1.0012051590246405
