fase,Batch,avance_prev,palanca,valor,pred_sn_dep,sn_dep_lo,sn_dep_hi,pred_feo_ret,feo_ret_lo,feo_ret_hi,pred_dT,dT_lo,dT_hi,pred_temperatura,support_score,derivada__exceso_o2_combustion_pct,derivada__relacion_C_Sn_carga,derivada__v5_dosis_C_sn,derivada__v5_exceso_C_pos,J_costo,J_temperatura,J_soporte,J_sn,J_feo,J_incertidumbre,J
Reducción,AP0247,0.8997893085894728,tasa_o2_nm3_min,8.812760661684635,1.300644017157491,0.9175987358266995,1.6836892984882823,-0.04031116471249155,-0.13274701171742043,0.05212468229243733,-11.867196555091052,-26.25174890660061,2.5173557964185047,983.5770064751961,0.11497602831672384,-39.091860888407325,,0.13015372135069134,0.0,-57.3545297094729,-0.0,-373.2428330487079,1415.8160448767867,-265.03953882060733,-512.3575150931067,207.8216282048919
Reducción,AP0247,0.8997893085894728,tasa_o2_nm3_min,9.988064476740245,1.2998628858414623,0.9168176045106708,1.6829081671722537,-0.040136126279484416,-0.13257197328441328,0.05229972072544446,-12.359233640965083,-26.743785992474642,2.0253187105444734,983.084969389322,0.12633619394345885,-36.97408567402941,,0.13015372135069134,0.0,-57.6483556632368,-0.0,-350.5225017952378,1414.9657443827236,-263.88868877965785,-512.3575150931067,230.54868305148437
Reducción,AP0247,0.8997893085894728,tasa_o2_nm3_min,11.163368291795857,1.2990817545254338,0.9160364731946424,1.6821270358562253,-0.03996108784647729,-0.13239693485140616,0.05247475915845159,-12.851270726839116,-27.235823078348673,1.5332816246704404,982.592932303448,0.13815257267958714,-34.85631045965151,,0.13015372135069134,0.0,-57.9421816170007,-0.0,-326.88974432298124,1414.115443888661,-262.73783873870843,-512.3575150931067,254.18816411686402
Reducción,AP0247,0.8997893085894728,tasa_o2_nm3_min,12.338672106851467,1.2983006232094052,0.9152553418786138,1.6813459045401966,-0.039786049413470165,-0.13222189641839904,0.052649797591458714,-13.34330781271315,-27.727860164222704,1.0412445387964073,982.1008952175739,0.15018204554373446,-32.73853524527361,,0.13015372135069134,0.0,-58.236007570764606,-0.0,-302.8307985946866,1413.265143394598,-261.586988697759,-512.3575150931067,278.2538334382813
Reducción,AP0247,0.8997893085894728,tasa_o2_nm3_min,13.513975921907077,1.2975194918933768,0.9144742105625854,1.6805647732241682,-0.03961101098046303,-0.1320468579853919,0.052824836024465846,-13.83534489858718,-28.219897250096736,0.549207452922376,981.6088581316999,0.1621863758170682,-30.6207600308957,,0.13015372135069134,0.0,-58.529833524528506,-0.0,-278.8221380480191,1412.4148429005352,-260.43613865680953,-512.3575150931067,302.26921757807116
Reducción,AP0247,0.8997893085894728,tasa_o2_nm3_min,14.689279736962689,1.2967383605773481,0.9136930792465567,1.6797836419081396,-0.03943597254745591,-0.13187181955238478,0.05299987445747297,-14.327381984461214,-28.71193433597077,0.057170367048342996,981.1168210458259,0.1741602996058699,-28.502984816517806,,0.13015372135069134,0.0,-58.82365947829241,-0.0,-254.8742904704157,1411.5645424064724,-259.28528861586005,-512.3575150931067,326.2237887487974
Reducción,AP0247,0.8997893085894728,tasa_o2_nm3_min,15.864583552018301,1.2959572292613197,0.9129119479305283,1.6790025105921111,-0.03926093411444878,-0.13169678111937766,0.0531749128904801,-14.819419070335247,-29.203971421844805,-0.43486671882569006,980.6247839599519,0.18633957109907956,-26.385209602139895,,0.13015372135069134,0.0,-59.11748543205631,-0.0,-230.5157474839964,1410.7142419124095,-258.13443857491063,-512.3575150931067,350.58905532833955
Reducción,AP0247,0.8997893085894728,tasa_o2_nm3_min,17.03988736707391,1.2951760979452913,0.9121308166144999,1.6782213792760827,-0.03908589568144165,-0.1315217426863705,0.05334995132348723,-15.311456156209278,-29.696008507718837,-0.9269038046997213,980.1327468740778,0.19858525386574538,-24.267434387761988,,0.13015372135069134,0.0,-59.41131138582021,-0.0,-206.02438195066475,1409.8639414183467,-256.98358853396115,-512.3575150931067,375.0871444547938
Reducción,AP0247,0.8997893085894728,tasa_o2_nm3_min,18.215191182129523,1.2943949666292627,0.9113496852984713,1.677440247960054,-0.03891085724843452,-0.1313467042533634,0.053524989756494355,-15.803493242083313,-30.188045593592868,-1.4189408905737562,979.6407097882038,0.210397017772939,-22.149659173384077,,0.13015372135069134,0.0,-59.70513733958412,-0.0,-182.4008541362775,1409.013640924284,-255.83273849301173,-512.3575150931067,398.7173958623039
Reducción,AP0247,0.8997893085894728,tasa_o2_nm3_min,19.390494997185137,1.2936138353132343,0.9105685539824429,1.6766591166440257,-0.03873581881542739,-0.13117166582035628,0.05370002818950149,-16.295530327957344,-30.6800826794669,-1.9109779764477874,979.1486727023298,0.22280115453066132,-20.03188395900617,,0.13015372135069134,0.0,-59.99896329334802,-0.0,-157.59258062083288,1408.163340430221,-254.68188845206225,-512.3575150931067,423.53239297087134
