target,fase,feature,rol,ks_stat,ks_p,frac_fuera_p1p99_lockbox,p1_dev,p99_dev,media_dev,media_lockbox,n_dev,n_lockbox,features_100pct_fuera,r2_oof_con,r2_lockbox_con,r2_oof_sin,r2_lockbox_sin
v5_ln_feo_ret,Reducción,basicidad_B4_prev,estado,0.05736387381957002,0.4807337035009291,0.003968253968253968,0.36233588723292476,0.5643030781593699,0.457182031602236,0.4561844179378432,1185,252,(ninguna),0.2194731974728953,0.2659970185372792,,
v5_ln_feo_ret,Reducción,indice_estructural_molar_prev,estado,0.23572232947232946,1.2484743158587777e-10,0.007936507936507936,0.7548776505156481,1.052905852440351,0.8948499416204644,0.9145282732991965,1184,252,(ninguna),0.2194731974728953,0.2659970185372792,,
v5_ln_feo_ret,Reducción,indice_irf_prev,estado,0.21675246675246676,4.807560237811656e-09,0.023809523809523808,0.18693927076384773,0.3321528639204223,0.25168653752706244,0.26593698990242964,1184,252,(ninguna),0.2194731974728953,0.2659970185372792,,
v5_ln_feo_ret,Reducción,ratio_sn_feo_prev,estado,0.10746460746460747,0.015090580122587453,0.027777777777777776,0.0406741059748253,1.3019669849931492,0.320376156572687,0.3672389880088666,1184,252,(ninguna),0.2194731974728953,0.2659970185372792,,
v5_ln_feo_ret,Reducción,interaccion_Sn_x_FeO_prev,estado,0.10275900900900901,0.022875291151157003,0.06349206349206349,12.648549423093783,371.2268894357496,106.4528468398345,120.77435560892549,1184,252,(ninguna),0.2194731974728953,0.2659970185372792,,
v5_ln_feo_ret,Reducción,interaccion_FeO_x_B2_prev,estado,0.06362612612612613,0.35241912748901905,0.003968253968253968,7.272325264828037,13.161988346674395,10.261648393704435,10.137214523595352,1184,252,(ninguna),0.2194731974728953,0.2659970185372792,,
v5_ln_feo_ret,Reducción,grad_temperatura_horno_celsius_prev,estado,0.13165578382969687,0.0013078114290463734,0.003968253968253968,-2.7108537226707043,1.2003441885722361,-0.33020350675553245,-0.16017205090955508,1196,252,(ninguna),0.2194731974728953,0.2659970185372792,,
v5_ln_feo_ret,Reducción,cum_feed_total_kg_prev,estado,0.5523172479694218,1.8838640012455418e-59,0.13095238095238096,105923.28328619881,136966.8007162449,126656.20992008099,133236.5814938873,1196,252,(ninguna),0.2194731974728953,0.2659970185372792,,
v5_ln_feo_ret,Reducción,cum_feed_CaO_kg_prev,estado,0.6653106803860572,3.4200001266938696e-89,0.0,7.875125078253161e-21,15574.207166146947,11999.50878982267,11307.424357968303,1194,252,(ninguna),0.2194731974728953,0.2659970185372792,,
v5_ln_feo_ret,Reducción,cum_feed_Carbon_kg_prev,estado,0.2999946912990391,4.561076467635404e-17,0.0873015873015873,12445.361752147164,18140.658399824086,15385.89959969271,16167.931321675347,1196,252,(ninguna),0.2194731974728953,0.2659970185372792,,
v5_ln_feo_ret,Reducción,sn_inventario_escoria_est_kg_prev,estado,0.10376447876447877,0.020962535535132897,0.023809523809523808,1.3532265256291726e-21,15637.985943441656,3511.7220989467532,4101.234894669954,1184,252,(ninguna),0.2194731974728953,0.2659970185372792,,
v5_ln_feo_ret,Reducción,feo_inventario_escoria_est_kg_prev,estado,0.1371513102282333,0.0007125102032663951,0.0,6.225823728470005e-21,15535.54978309322,10382.183186180206,10363.407990301812,1183,252,(ninguna),0.2194731974728953,0.2659970185372792,,
