target,n_estado,n_palancas,n_dev,n_lockbox,r2_oof,mae_oof,r2_lockbox,mae_lockbox,sd_target_dev,estado,parametrizacion,grupo
feo_extraido_est_kg,37,4,1046,242,0.3581442611425103,543.5908944330736,0.3785058506829747,484.29542672531755,891.5347262928811,FULL,P1_primitivas,FeO
feo_extraido_est_kg,37,5,1045,242,0.3574831088668692,544.0048385230765,0.37832840370409837,490.1916049775411,891.7942308115367,FULL,P2_cinetica_v4,FeO
feo_extraido_est_kg,37,5,1045,242,0.3570143384261454,544.2909787004487,0.37944772256852277,493.04579846432694,891.7942308115367,FULL,P3_dosis_sobrante,FeO
feo_extraido_est_kg,37,5,1010,242,0.33851969748398536,559.7979225501347,0.36351089847923457,499.22454864344223,899.291220475373,FULL,P4_log_dosis,FeO
feo_extraido_est_kg,37,3,1045,242,0.3603895900876575,542.9180366100326,0.3793636573451947,491.81631156631477,891.7942308115367,FULL,P5_minima,FeO
feo_extraido_est_kg,20,4,1070,242,0.34713988263907714,546.7576434471623,0.3205320563612648,507.67455873639864,891.5341054101499,CURADO,P1_primitivas,FeO
feo_extraido_est_kg,20,5,1069,242,0.3706912347236784,540.6385198892115,0.34113958397014976,501.9947594017347,891.7887263237851,CURADO,P2_cinetica_v4,FeO
feo_extraido_est_kg,20,5,1069,242,0.37149609108021064,541.2000793341521,0.34602437902515937,500.85250523442767,891.7887263237851,CURADO,P3_dosis_sobrante,FeO
feo_extraido_est_kg,20,5,1034,242,0.3433741765087691,560.8233118268591,0.3443639301421787,499.8711794398864,899.1578099583458,CURADO,P4_log_dosis,FeO
feo_extraido_est_kg,20,3,1069,242,0.3742182673379989,539.2907086066425,0.3462379770076305,500.65326565134586,891.7887263237851,CURADO,P5_minima,FeO
v5_sdi_w10,37,4,1016,242,0.14355303420472343,0.5413430140383795,0.1586693709412108,0.46785225457415147,0.9536750593335304,FULL,P1_primitivas,SDI
v5_sdi_w10,37,5,1015,242,0.13734091879555588,0.548540792133429,0.14361378170410666,0.47173069557466724,0.9540930612609453,FULL,P2_cinetica_v4,SDI
v5_sdi_w10,37,5,1015,242,0.13625332023775483,0.5490856314459309,0.15324195930659623,0.46900298561417164,0.9540930612609453,FULL,P3_dosis_sobrante,SDI
v5_sdi_w10,37,5,1015,242,0.13672006475634224,0.549011463151382,0.14846663836787344,0.4703849195271956,0.9540930612609453,FULL,P4_log_dosis,SDI
v5_sdi_w10,20,4,1040,242,0.14868104401684712,0.5442311140478114,0.15375796819274035,0.4723860587876273,0.9512735692357714,CURADO,P1_primitivas,SDI
v5_sdi_w10,20,5,1039,242,0.15565763758659967,0.5434245973664332,0.1414476680194221,0.4759352692147679,0.9516792876785815,CURADO,P2_cinetica_v4,SDI
v5_sdi_w10,20,5,1039,242,0.15595318568553485,0.5436432928776445,0.1799316164564243,0.4655358033017754,0.9516792876785815,CURADO,P3_dosis_sobrante,SDI
v5_sdi_w10,20,5,1039,242,0.1543962190124506,0.5439369572116487,0.16165007127022224,0.4694880846821784,0.9516792876785815,CURADO,P4_log_dosis,SDI
