target,variable,fuente,x,pd,ale
v5_ln_sn_dep,tasa_o2_nm3_min,pd,9.453725261106372,0.0005527345364204112,
v5_ln_sn_dep,tasa_o2_nm3_min,pd,10.569979548431679,0.0005527345364204112,
v5_ln_sn_dep,tasa_o2_nm3_min,pd,11.686233835756985,0.0005527345364204112,
v5_ln_sn_dep,tasa_o2_nm3_min,pd,12.80248812308229,0.002643344717474013,
v5_ln_sn_dep,tasa_o2_nm3_min,pd,13.918742410407596,0.0060333263380191885,
v5_ln_sn_dep,tasa_o2_nm3_min,pd,15.0349966977329,0.0065862886719506705,
v5_ln_sn_dep,tasa_o2_nm3_min,pd,16.15125098505821,0.0065862886719506705,
v5_ln_sn_dep,tasa_o2_nm3_min,pd,17.267505272383513,0.003266689007873351,
v5_ln_sn_dep,tasa_o2_nm3_min,pd,18.383759559708817,0.003266689007873351,
v5_ln_sn_dep,tasa_o2_nm3_min,pd,19.500013847034126,0.0026692200076921446,
v5_ln_sn_dep,tasa_o2_nm3_min,pd,20.61626813435943,0.0023744695784177284,
v5_ln_sn_dep,tasa_o2_nm3_min,pd,21.732522421684735,0.0023744695784177284,
v5_ln_sn_dep,tasa_o2_nm3_min,pd,22.84877670901004,0.0023744695784177284,
v5_ln_sn_dep,tasa_o2_nm3_min,pd,23.965030996335347,0.0023744695784177284,
v5_ln_sn_dep,tasa_o2_nm3_min,pd,25.08128528366065,0.01042521744491673,
v5_ln_sn_dep,tasa_o2_nm3_min,pd,26.197539570985956,0.014608260844416075,
v5_ln_sn_dep,tasa_o2_nm3_min,pd,27.313793858311264,0.014608260844416075,
v5_ln_sn_dep,tasa_o2_nm3_min,pd,28.43004814563657,0.022548352015930154,
v5_ln_sn_dep,tasa_o2_nm3_min,pd,29.546302432961873,0.019750324849434068,
v5_ln_sn_dep,tasa_o2_nm3_min,pd,30.662556720287178,0.005495791821713215,
v5_ln_sn_dep,tasa_o2_nm3_min,ale,3.615748312865867,,-0.023094454432831018
v5_ln_sn_dep,tasa_o2_nm3_min,ale,5.874415164478009,,-0.010862522167732879
v5_ln_sn_dep,tasa_o2_nm3_min,ale,6.535753201417842,,-0.016634354848080603
v5_ln_sn_dep,tasa_o2_nm3_min,ale,7.396262396502383,,-0.01568995648229311
v5_ln_sn_dep,tasa_o2_nm3_min,ale,8.305423208371685,,-0.014993834099219571
v5_ln_sn_dep,tasa_o2_nm3_min,ale,9.096084307691786,,-0.008362535319111894
v5_ln_sn_dep,tasa_o2_nm3_min,ale,10.073185572795378,,-0.002427358922077752
