variante,w,split,kpi,n,rho,p,ci_lo,ci_hi
tiempo_orden,2,lockbox,recuperacion_refinada_pct,63,0.35997503840245776,0.0037576115383366254,0.1149773016597411,0.5610599110726234
tiempo_orden,2,total,recuperacion_refinada_pct,349,0.20395980069727718,0.00012453458615861574,0.10070717079069696,0.30487784711525995
tiempo_orden,3,dev,recuperacion_refinada_pct,286,0.19585933963340899,0.000868189728262863,0.08959742621918403,0.31322385643379
tiempo_orden,3,lockbox,recuperacion_refinada_pct,63,0.3644873271889401,0.0033156562825892334,0.13548284911127212,0.5572470742204756
tiempo_orden,3,total,recuperacion_refinada_pct,349,0.24142927717475685,5.072973761202914e-06,0.14647202494064793,0.3379275755149652
tiempo_orden,4,dev,recuperacion_refinada_pct,286,0.22538975786729315,0.00012075976417475933,0.10821205523511111,0.3466925445821128
tiempo_orden,4,lockbox,recuperacion_refinada_pct,63,0.35330261136712754,0.00450684976587696,0.08775458733923744,0.5593301077685364
tiempo_orden,4,total,recuperacion_refinada_pct,349,0.25955114542605895,8.836605355674549e-07,0.15595545398070987,0.36242199129869007
tiempo_orden,5,dev,recuperacion_refinada_pct,286,0.24374880575137312,3.084503032102893e-05,0.13381574806070015,0.34969545312564687
tiempo_orden,5,lockbox,recuperacion_refinada_pct,63,0.31576420890937024,0.011703133696471234,0.07213713359690918,0.5338383372604794
tiempo_orden,5,total,recuperacion_refinada_pct,349,0.2667678236199133,4.2433784414103614e-07,0.17104798593740866,0.3576935720609372
tiempo_orden,6,dev,recuperacion_refinada_pct,286,0.26114142596812684,7.646497717438569e-06,0.15675280549690362,0.37430549494593596
tiempo_orden,6,lockbox,recuperacion_refinada_pct,63,0.2891225038402458,0.02155009319677681,0.018206827367160953,0.5457853539014405
tiempo_orden,6,total,recuperacion_refinada_pct,349,0.27592812680847456,1.6205390364537428e-07,0.17091649970302958,0.37569679590506533
tiempo_orden,8,dev,recuperacion_refinada_pct,286,0.28659889532803523,8.248562693837719e-07,0.1786831958507519,0.39053602074236704
tiempo_orden,8,lockbox,recuperacion_refinada_pct,63,0.24467165898617513,0.05328335290772547,-0.04320997162779423,0.47041261392912315
tiempo_orden,8,total,recuperacion_refinada_pct,349,0.2878843140852823,4.3709393509830515e-08,0.19066753643611176,0.3828064500456907
tiempo_orden,10,dev,recuperacion_refinada_pct,286,0.3009250056746847,2.1307384856256556e-07,0.19937519706116114,0.4001733652297804
tiempo_orden,10,lockbox,recuperacion_refinada_pct,63,0.1976766513056836,0.12043308517142429,-0.08556577852663536,0.4085486682461175
tiempo_orden,10,total,recuperacion_refinada_pct,349,0.29144268635228027,2.924144445423068e-08,0.17890293453056713,0.38377431215367724
tiempo_orden,12,dev,recuperacion_refinada_pct,286,0.30530368219713533,1.3880439357845222e-07,0.20416131115949823,0.4098740969810988
tiempo_orden,12,lockbox,recuperacion_refinada_pct,63,0.18663594470046085,0.14302578212438646,-0.07655581595964073,0.44406699695176427
tiempo_orden,12,total,recuperacion_refinada_pct,349,0.2916473527460584,2.8568298975495348e-08,0.18947555339142397,0.3856515182662047
tiempo_orden,14,dev,recuperacion_refinada_pct,286,0.30961516019282387,9.039258017926955e-08,0.19951353823990273,0.414316400009638
tiempo_orden,14,lockbox,recuperacion_refinada_pct,63,0.17785138248847926,0.16315787109254673,-0.07256332262265502,0.42005098100314586
tiempo_orden,14,total,recuperacion_refinada_pct,349,0.29044786652928134,3.2737694451815084e-08,0.1959071066802793,0.3793401032131268
tiempo_orden,16,dev,recuperacion_refinada_pct,286,0.3106369881722898,8.15731158416463e-08,0.20143196610595054,0.42213877380077713
tiempo_orden,16,lockbox,recuperacion_refinada_pct,63,0.16690668202764977,0.19106166899789126,-0.10760459658083582,0.4092641911898639
tiempo_orden,16,total,recuperacion_refinada_pct,349,0.28870467345123996,3.986034296807045e-08,0.193769789575347,0.38311535538968505
tiempo_orden,20,dev,recuperacion_refinada_pct,286,0.3112940974301693,7.634593091692075e-08,0.2039254824179988,0.4086069040852453
tiempo_orden,20,lockbox,recuperacion_refinada_pct,63,0.14717741935483875,0.24970216816769994,-0.10541477853377651,0.393346511295095
tiempo_orden,20,total,recuperacion_refinada_pct,349,0.28498652024785803,6.039036145946888e-08,0.1796329508615901,0.3843785189391476
tiempo_orden,30,dev,recuperacion_refinada_pct,286,0.30836711427212066,1.0241422865908561e-07,0.20370084066400027,0.4189305906539507
tiempo_orden,30,lockbox,recuperacion_refinada_pct,63,0.1431451612903226,0.263053582276224,-0.10960978256921956,0.3686368097281065
tiempo_orden,30,total,recuperacion_refinada_pct,349,0.2767196917300662,1.488704532412877e-07,0.1659111175122053,0.37077209064518235
tiempo_real,0,dev,recuperacion_refinada_pct,286,-0.0007727830577638022,0.9896184468123503,-0.10876527114995196,0.11851488060162828
tiempo_real,0,lockbox,recuperacion_refinada_pct,63,0.3541186635944701,0.004408639251244759,0.11707847934411615,0.5298047697351329
tiempo_real,0,total,recuperacion_refinada_pct,349,0.07794006803393226,0.14621595710503693,-0.012915355650762355,0.17471108258891233
tiempo_real,1,dev,recuperacion_refinada_pct,286,0.07419050782337047,0.21096908661387553,-0.03578553361077417,0.18415318259315042
tiempo_real,1,lockbox,recuperacion_refinada_pct,63,0.36511136712749614,0.003258318136048986,0.08555457632556344,0.5731306628566972
tiempo_real,1,total,recuperacion_refinada_pct,349,0.14398153767978883,0.007055799516111996,0.03954465685930746,0.24191568630551188
tiempo_real,2,dev,recuperacion_refinada_pct,286,0.13335342449591486,0.024107164853761347,0.024405501116771474,0.24061256169694753
tiempo_real,2,lockbox,recuperacion_refinada_pct,63,0.37893625192012287,0.0021944021176976284,0.13672304076695416,0.5828300151909204
tiempo_real,2,total,recuperacion_refinada_pct,349,0.194016966138298,0.00026610644860586145,0.0889758493477174,0.2968422264447681
tiempo_real,3,dev,recuperacion_refinada_pct,286,0.174022383265002,0.003150501269625745,0.06504572479575998,0.2943571305881507
tiempo_real,3,lockbox,recuperacion_refinada_pct,63,0.3826324884792627,0.0019685719092579993,0.15377930991524238,0.5763169108333392
tiempo_real,3,total,recuperacion_refinada_pct,349,0.22737448304091917,1.7966393717573064e-05,0.12974465948339647,0.31792276012155796
tiempo_real,4,dev,recuperacion_refinada_pct,286,0.20112442115009505,0.0006228712218093316,0.08379389524449263,0.319450464071501
tiempo_real,4,lockbox,recuperacion_refinada_pct,63,0.3655913978494624,0.0032148129829357446,0.09002249159521278,0.5761893320518983
tiempo_real,4,total,recuperacion_refinada_pct,349,0.24635933772777957,3.195348491275413e-06,0.14531582007101343,0.3494115656325257
tiempo_real,5,dev,recuperacion_refinada_pct,286,0.22091464376445116,0.0001656972058737032,0.11450196381790784,0.33098876116161985
tiempo_real,5,lockbox,recuperacion_refinada_pct,63,0.34293394777265745,0.005933767015032147,0.0863986863197947,0.5663060247835865
tiempo_real,5,total,recuperacion_refinada_pct,349,0.255949581492512,1.2640494921072476e-06,0.15808423348191492,0.345499017224987
tiempo_real,6,dev,recuperacion_refinada_pct,286,0.2369514952313412,5.1778099620692674e-05,0.12394293228529425,0.352995622238066
tiempo_real,6,lockbox,recuperacion_refinada_pct,63,0.3254608294930876,0.00924612921673019,0.07130876574889194,0.5736149838556539
tiempo_real,6,total,recuperacion_refinada_pct,349,0.2613714059875506,7.359009098268883e-07,0.15597095739903832,0.36378907443721686
tiempo_real,8,dev,recuperacion_refinada_pct,286,0.2572864875817379,1.050743489722798e-05,0.1434284779389071,0.36709497234375804
tiempo_real,8,lockbox,recuperacion_refinada_pct,63,0.2625768049155146,0.03761390580693651,0.0002529440339994074,0.4915971584545909
tiempo_real,8,total,recuperacion_refinada_pct,349,0.27128657529606054,2.651027472009064e-07,0.16886150434617353,0.3729951573239455
tiempo_real,10,dev,recuperacion_refinada_pct,286,0.2674267965667195,4.505227023612517e-06,0.16071400000302125,0.3686301519433516
tiempo_real,10,lockbox,recuperacion_refinada_pct,63,0.24198348694316438,0.05603987141599676,-0.049347428947690605,0.4676228261197671
tiempo_real,10,total,recuperacion_refinada_pct,349,0.27363840388442695,2.0682524985547885e-07,0.16284128366103262,0.3680113465436531
tiempo_real,12,dev,recuperacion_refinada_pct,286,0.2764596122747599,2.057076130165702e-06,0.15149352302651,0.38580005525837247
tiempo_real,12,lockbox,recuperacion_refinada_pct,63,0.21260560675883258,0.09434742369878842,-0.05016861801370033,0.4554386853986317
tiempo_real,12,total,recuperacion_refinada_pct,349,0.2769545640605812,1.4516160493250525e-07,0.17114759807174101,0.3669298792366513
tiempo_real,14,dev,recuperacion_refinada_pct,286,0.27999805072975803,1.5015141783575656e-06,0.16941022125660693,0.3841716814317124
tiempo_real,14,lockbox,recuperacion_refinada_pct,63,0.20046082949308758,0.11519112237367428,-0.059317765935436736,0.43445454310074283
tiempo_real,14,total,recuperacion_refinada_pct,349,0.27700904766609735,1.443140610355425e-07,0.17640830803136037,0.3654926532498023
tiempo_real,16,dev,recuperacion_refinada_pct,286,0.2784540235117898,1.7235436613453078e-06,0.17026383631181047,0.3916202811456233
tiempo_real,16,lockbox,recuperacion_refinada_pct,63,0.18610791090629802,0.14418074333353884,-0.08799295694839666,0.4185816329523334
tiempo_real,16,total,recuperacion_refinada_pct,349,0.27321298008384265,2.1636199156158674e-07,0.1791792127100735,0.37147393386483163
tiempo_real,20,dev,recuperacion_refinada_pct,286,0.2767473861183745,2.0054045640389143e-06,0.16899546689337644,0.37806376964054583
tiempo_real,20,lockbox,recuperacion_refinada_pct,63,0.17684331797235023,0.16559504902419944,-0.08717976722281989,0.4322624512647106
tiempo_real,20,total,recuperacion_refinada_pct,349,0.2673583920278911,3.992302886220379e-07,0.16215393492127816,0.3625231902862788
tiempo_real,30,dev,recuperacion_refinada_pct,286,0.2781985665169233,1.7631796791095914e-06,0.17371082807203117,0.39130508906230654
tiempo_real,30,lockbox,recuperacion_refinada_pct,63,0.16527457757296468,0.19549963651517602,-0.08631895679509227,0.4009268380696672
tiempo_real,30,total,recuperacion_refinada_pct,349,0.26212853049529267,6.816950438002137e-07,0.1519044946950789,0.35801102873823604
