avance_base,control,x,pred_ln_sn_dep,pred_ln_feo_ret,J,es_argmax,tipo_optimo
0.965,carbon,56.770304472541994,0.4579139038823501,-0.026683044724459547,0.1910834566377546,False,frontera_alta
0.965,carbon,59.91556687373375,0.4583034934352206,-0.02656456115189516,0.19265788191626898,False,frontera_alta
0.965,carbon,63.06082927492551,0.4586924109986066,-0.026446077579330773,0.19423163520529885,False,frontera_alta
0.965,carbon,66.20609167611727,0.45908065657250796,-0.026327594006766392,0.19580471650484405,True,frontera_alta
0.965,gn,10.90501097545885,0.44375744633829495,-0.008615354503441319,0.35760390130388175,True,frontera_baja
0.965,gn,11.840758957680325,0.4428632014716313,-0.011117102293682906,0.3316921785348022,False,frontera_baja
0.965,gn,12.7765069399018,0.4425160809232075,-0.013618850083924496,0.30632758008396255,False,frontera_baja
0.965,gn,13.712254922123275,0.44271608469302376,-0.016120597874166084,0.28151010595136294,False,frontera_baja
0.965,gn,14.64800290434475,0.4434632127810799,-0.018622345664407677,0.2572397561370031,False,frontera_baja
0.965,gn,15.583750886566225,0.444757465187376,-0.021124093454649263,0.2335165306408834,False,frontera_baja
0.965,gn,16.5194988687877,0.44659884191191207,-0.023625841244890852,0.21034042946300355,False,frontera_baja
0.965,gn,17.45524685100917,0.44898734295468806,-0.02612758903513243,0.18771145260336375,False,frontera_baja
0.965,gn,18.39099483323065,0.45192296831570405,-0.02862933682537403,0.16562960006196376,False,frontera_baja
0.965,gn,19.32674281545212,0.45540571799496,-0.03113108461561561,0.14409487183880387,False,frontera_baja
0.965,gn,20.2624907976736,0.45943559199245587,-0.03363283240585721,0.12310726793388377,False,frontera_baja
0.965,gn,21.19823877989507,0.46401259030819164,-0.03613458019609879,0.10266678834720377,False,frontera_baja
0.965,gn,22.133986762116546,0.4691367129421674,-0.03863632798634038,0.08277343307876361,False,frontera_baja
0.965,gn,23.06973474433802,0.4748079598943832,-0.041138075776581975,0.06342720212856345,False,frontera_baja
0.965,gn,24.005482726559496,0.48102633116483884,-0.04363982356682356,0.04462809549660324,False,frontera_baja
0.965,gn,24.94123070878097,0.4877918267535345,-0.04614157135706515,0.02637611318288302,False,frontera_baja
0.965,gn,25.876978691002446,0.49510444666047004,-0.04864331914730674,0.008671255187402638,False,frontera_baja
0.965,gn,26.81272667322392,0.5029641908856456,-0.051145066937548334,-0.008486478489837745,False,frontera_baja
0.965,gn,27.748474655445396,0.5113710594290609,-0.05364681472778992,-0.02509708784883824,False,frontera_baja
0.965,gn,28.68422263766687,0.5203250522907165,-0.056148562518031506,-0.04116057288959862,False,frontera_baja
0.965,gn,29.619970619888345,0.5298261694706118,-0.0586503103082731,-0.05667693361211923,False,frontera_baja
0.985,carbon,3.300843652282098,0.2607814439957584,-0.06035602902210512,-0.34277884622529275,False,frontera_alta
0.985,carbon,6.446106053473857,0.26169011232926553,-0.060235094012928946,-0.34066082780002394,False,frontera_alta
0.985,carbon,9.591368454665616,0.26259530744284165,-0.06011415900375278,-0.3385462825946862,False,frontera_alta
0.985,carbon,12.736630855857374,0.26349702933648667,-0.05999322399457661,-0.3364352106092794,False,frontera_alta
0.985,carbon,15.881893257049132,0.26439527801020074,-0.059872288985400444,-0.3343276118438037,False,frontera_alta
0.985,carbon,19.02715565824089,0.26529005346398377,-0.05975135397622427,-0.3322234862982589,False,frontera_alta
0.985,carbon,22.17241805943265,0.2661813556978357,-0.059630418967048106,-0.33012283397264536,False,frontera_alta
0.985,carbon,25.31768046062441,0.2670691847117566,-0.05950948395787193,-0.3280256548669627,False,frontera_alta
0.985,carbon,28.462942861816167,0.26795354050574655,-0.05938854894869577,-0.3259319489812111,False,frontera_alta
0.985,carbon,31.608205263007925,0.2688344230798054,-0.05926761393951959,-0.32384171631539055,False,frontera_alta
0.985,carbon,34.75346766419968,0.2697118324339332,-0.05914667893034343,-0.3217549568695011,False,frontera_alta
0.985,carbon,37.89873006539144,0.27058576856813005,-0.05902574392116725,-0.31967167064354246,False,frontera_alta
0.985,carbon,41.043992466583205,0.2714562314823958,-0.05890480891199109,-0.31759185763751513,False,frontera_alta
0.985,carbon,44.18925486777496,0.2723232211767305,-0.058783873902814913,-0.31551551785141857,False,frontera_alta
0.985,carbon,47.33451726896672,0.2731867376511342,-0.05866293889363874,-0.31344265128525317,False,frontera_alta
