index,estado,parametrizacion,grupo,target,palanca,theta_unidad,ci_lo,ci_hi,sd_palanca,theta_1sd,ci_lo_1sd,ci_hi_1sd,significativo,signo_teorico,concuerda,theta_1sd_rel,ancho_ic_1sd_rel
2,FULL,P2_cinetica_v4,Sn,sn_extraido_est_kg,exceso_o2_combustion_pct,-0.04917509841314516,-1.9101034350463126,2.220720968781937,10.776273061898971,-0.529924288345807,-20.58379619253027,23.931095553878972,False,-1.0,True,-0.00013999371630323676,0.011759802793469035
3,FULL,P2_cinetica_v4,Sn,sn_extraido_est_kg,tasa_aire_nm3_min,0.060091099759034705,-3.130615539424021,3.279738485758888,9.284099513956056,0.5578917500659389,-29.06494620794983,30.449418481537062,False,0.0,,0.00014738207156053505,0.015722315941235954
0,FULL,P3_dosis_sobrante,Sn,sn_extraido_est_kg,v5_dosis_C_sn,-57.09949000173307,-95.91579550057968,38.3668745757605,0.46298406549402576,-26.436154018637854,-44.407484945951964,17.76325157138497,False,0.0,,-0.006922172185065657,0.01627909047367284
1,FULL,P3_dosis_sobrante,Sn,sn_extraido_est_kg,tasa_gn_nm3_min,20.340077906735015,7.970772184868665,33.636323100090216,4.9297851865134525,100.27221475715183,39.29419464203901,165.819847347605,True,1.0,True,0.026255768348056048,0.03313009726143493
2,FULL,P3_dosis_sobrante,Sn,sn_extraido_est_kg,exceso_o2_combustion_pct,0.21720207146485926,-1.6643058606713144,2.3421926936070663,10.7412412849971,2.3330198572052367,-17.876710821505352,25.158056857990783,False,-1.0,False,0.0006108893582389584,0.01126843456925509
3,FULL,P3_dosis_sobrante,Sn,sn_extraido_est_kg,tasa_aire_nm3_min,1.4586443704857857,-3.4465426101527488,4.858982756882986,9.435272288561059,13.762706807710124,-32.51906798091913,45.84582535661405,False,0.0,,0.0036036946292709463,0.02051944789564589
0,FULL,P4_log_dosis,Sn,sn_extraido_est_kg,v5_ln_dosis_C,34.92601872735041,-36.4124039708459,100.55454047139497,0.74532266681547,26.031153419115856,-27.138990032713075,74.94557826454421,False,0.0,,0.006816124842363326,0.026730323884991507
1,FULL,P4_log_dosis,Sn,sn_extraido_est_kg,tasa_gn_nm3_min,19.030401737768223,7.09744899056392,32.52587509512688,4.9297851865134525,93.81579258024965,34.98889889571687,160.3455772223433,True,1.0,True,0.024565187109329548,0.032824007278556
2,FULL,P4_log_dosis,Sn,sn_extraido_est_kg,exceso_o2_combustion_pct,0.04537864968085681,-1.8151070382031533,2.2281429854451535,10.7412412849971,0.48742302540943966,-19.49650265543652,23.933021424140176,False,-1.0,False,0.00012762923481498252,0.011371799520548224
3,FULL,P4_log_dosis,Sn,sn_extraido_est_kg,tasa_aire_nm3_min,1.0898143567446539,-3.4516516339162995,4.19642533726595,9.435272288561059,10.28269519986883,-32.56727301125696,39.59441569572091,False,0.0,,0.002692471327329167,0.018895170380783956
0,FULL,P5_minima,Sn,sn_extraido_est_kg,v5_dosis_C_sn,-56.6051146281922,-94.09557272712654,45.516468840222174,0.46298406549402576,-26.207266098315774,-43.564750806193814,21.073399790578208,False,0.0,,-0.006862239049767913,0.016925170273997175
