tipo_tramo,tramo,target,index,palanca,theta_unidad,ci_lo,ci_hi,sd_palanca,theta_1sd,ci_lo_1sd,ci_hi_1sd,significativo,signo_teorico,concuerda,theta_1sd_rel,ancho_ic_1sd_rel,r2_oof,n_dev,n_lockbox
avance,0.96-0.975,v5_ln_sn_dep,2,exceso_o2_combustion_pct,0.00031757610774421846,-0.0034603330145938746,0.004186705349575936,10.043601925006996,0.003189608007076062,-0.034754207326540304,0.042049601908437956,False,-1,False,0.01095541597603254,0.2637997135843569,-0.22928633544480737,256,53
avance,0.96-0.975,v5_ln_sn_dep,3,tasa_aire_nm3_min,0.0026734854549349523,-0.0023451526602311468,0.006046007470589635,10.139463719318927,0.027107708774439805,-0.02377859031467798,0.0613032733947748,False,0,,0.09310743675156989,0.2922325272840132,-0.22928633544480737,256,53
avance,>0.975,v5_ln_sn_dep,0,v5_dosis_C_sn,0.014060625611345879,-0.28220001026054903,0.25600550162150293,0.20988223066209138,0.0029510754678138055,-0.05922876764634911,0.05373100574208869,False,1,True,0.009652870737008875,0.3694877013118804,-0.07910877970408103,380,101
avance,>0.975,v5_ln_sn_dep,1,tasa_gn_nm3_min,0.008652599780885954,-0.008424272218453642,0.030874186470143238,3.238695357526084,0.02802313474088655,-0.027283651324441778,0.09999208438824754,False,1,True,0.09166275151206255,0.4163147429443542,-0.07910877970408103,380,101
avance,>0.975,v5_ln_sn_dep,2,exceso_o2_combustion_pct,0.0006553629241136554,-0.0015648964671816467,0.0031596207051822456,14.067001877469927,0.009218991483930973,-0.02201340154189028,0.04444639039189151,False,-1,False,0.030155017752187832,0.21738779226156243,-0.07910877970408103,380,101
avance,>0.975,v5_ln_sn_dep,3,tasa_aire_nm3_min,-0.0003031982348633052,-0.0032806413502799526,0.0025618990697479976,8.702271745995786,-0.0026385134326867353,-0.028549032531286694,0.022294341890760887,False,0,,-0.008630490606346491,0.16630700450807112,-0.07910877970408103,380,101
orden_escalon_fase,0,v5_ln_sn_dep,0,v5_dosis_C_sn,0.3864701761126583,-1.0275379273899077,2.41232090342584,0.06920800049414796,0.026746828139378308,-0.0711138453865565,0.16695190627633902,False,1,True,0.06392742921582845,0.5689994869237041,-0.04918531000997395,284,63
orden_escalon_fase,0,v5_ln_sn_dep,1,tasa_gn_nm3_min,0.02991183582633775,-0.003251759232139863,0.07285306200810367,2.5334172576475535,0.07577916109036442,-0.008238062956417885,0.18456720456379716,False,1,True,0.1811193062368005,0.46082268251056646,-0.04918531000997395,284,63
orden_escalon_fase,0,v5_ln_sn_dep,2,exceso_o2_combustion_pct,0.0036428984620578073,-0.004794426787905329,0.01591920206699868,8.236252881404646,0.030003832954788166,-0.039488111446568885,0.13111457389398068,False,-1,False,0.0717119763669048,0.4077564275773499,-0.04918531000997395,284,63
orden_escalon_fase,0,v5_ln_sn_dep,3,tasa_aire_nm3_min,-0.0017595974237853418,-0.013017526180345882,0.004823234845274428,9.123701514622866,-0.016054041680516815,-0.11876802332826453,0.04400575506321208,False,0,,-0.03837066615193247,0.3890446052926234,-0.04918531000997395,284,63
orden_escalon_fase,1,v5_ln_sn_dep,0,v5_dosis_C_sn,-0.12202123533463329,-0.4008565392615205,0.3980433895798336,0.18938045002749782,-0.02310843646058407,-0.0759143918018121,0.07538163624909952,False,1,False,-0.05571579029278972,0.3647835622888163,0.4746818201217219,283,63
orden_escalon_fase,1,v5_ln_sn_dep,1,tasa_gn_nm3_min,0.003427424929733449,-0.017592650232534653,0.025585309383088926,2.891668757244025,0.009910977587109512,-0.05087211703454229,0.07398423978750064,False,1,True,0.02389594595817045,0.3010359703601878,0.4746818201217219,283,63
orden_escalon_fase,1,v5_ln_sn_dep,2,exceso_o2_combustion_pct,-0.00017186806816410385,-0.004897539951363693,0.004810304112290545,9.924818263136494,-0.0017057593417650857,-0.048607193953734994,0.04774139410490179,False,-1,True,-0.004112685422826242,0.23230207445829545,0.4746818201217219,283,63
orden_escalon_fase,1,v5_ln_sn_dep,3,tasa_aire_nm3_min,0.002059238830077877,-0.0033026170551037183,0.005014668110533105,10.607001617570395,0.02184234960159981,-0.035030864445700714,0.053190592760003326,False,0,,0.05266318091145207,0.21270708718789247,0.4746818201217219,283,63
orden_escalon_fase,2,v5_ln_sn_dep,0,v5_dosis_C_sn,0.3126952660105653,-0.24783162298007053,0.7798134681606513,0.09533740621712389,0.029811555597820876,-0.02362762411350008,0.07434539338761623,False,1,True,0.09488223487501796,0.3118219989377093,-0.020716115276784963,277,63
orden_escalon_fase,2,v5_ln_sn_dep,1,tasa_gn_nm3_min,-0.004954126750658582,-0.0228908446479734,0.015562566490051317,2.667511848499739,-0.01321519180635128,-0.06106159932063589,0.041513330505276884,False,1,False,-0.04206043286718959,0.3264686591779919,-0.020716115276784963,277,63
orden_escalon_fase,2,v5_ln_sn_dep,2,exceso_o2_combustion_pct,-0.002266917326907086,-0.006380640898701481,0.0019926830408200404,9.500870484511788,-0.021537687922039892,-0.060621642786741675,0.01893222348751432,False,-1,True,-0.06854871955199823,0.25319875040675427,-0.020716115276784963,277,63
orden_escalon_fase,2,v5_ln_sn_dep,3,tasa_aire_nm3_min,0.0005840774887775077,-0.00339051176132457,0.0032819673831151895,11.4283508347233,0.00667504245641352,-0.03874795791767281,0.03750747468235912,False,0,,0.02124488083394211,0.24270071525489953,-0.020716115276784963,277,63
orden_escalon_fase,3,v5_ln_sn_dep,0,v5_dosis_C_sn,0.1730113794725103,-0.10325655821216705,0.41282772749623986,0.16174784157904323,0.02798421719829133,-0.01670152541969885,0.06677399386649824,False,1,True,0.08893474746388479,0.26528790048084216,-0.13473251299352973,195,53
orden_escalon_fase,3,v5_ln_sn_dep,1,tasa_gn_nm3_min,0.012171521894147323,-0.017618040505749853,0.04490626726929445,2.554385585192219,0.031090760076261416,-0.04500326870722006,0.1147079217974749,False,1,True,0.09880744121766499,0.507567329614591,-0.13473251299352973,195,53
orden_escalon_fase,3,v5_ln_sn_dep,2,exceso_o2_combustion_pct,-0.00030638953094608724,-0.003992480678137459,0.002971044948345373,17.073388639377562,-0.005231107536879146,-0.06816517425304652,0.05072580506815999,False,-1,True,-0.016624628963256376,0.3778393780588243,-0.13473251299352973,195,53
orden_escalon_fase,3,v5_ln_sn_dep,3,tasa_aire_nm3_min,0.0011899548449197921,-0.0055178670659439665,0.006852212389739841,7.457900161181772,0.008874564429726348,-0.0411517016804831,0.051103115885892496,False,0,,0.028203652823916698,0.2931887943999141,-0.13473251299352973,195,53
avance,<0.84,v5_ln_feo_ret,0,v5_exceso_C_pos,-0.0002509911248368057,-0.0008651567513540644,4.521830739504794e-06,33.965244958997516,-0.008524975037616431,-0.029385260987671306,0.0001535850887304052,False,-1,True,-0.07874787664750318,0.27285961505694273,0.09215778947464703,229,49
avance,<0.84,v5_ln_feo_ret,1,v5_C_x_avance,2.015235698435622e-05,-7.6239691423039e-05,9.208164875048678e-05,203.26264715887402,0.004096221427130869,-0.015496681497222609,0.018716759679777567,False,-1,False,0.03783808612239066,0.3160403207756864,0.09215778947464703,229,49
avance,<0.84,v5_ln_feo_ret,2,tasa_gn_nm3_min,-0.001826026851454074,-0.011762465172888863,0.006691766159377094,2.6877724101183333,-0.004907944591473508,-0.03161482936666846,0.017985944458137275,False,-1,True,-0.045336228385039146,0.45817795378185705,0.09215778947464703,229,49
avance,<0.84,v5_ln_feo_ret,3,exceso_o2_combustion_pct,-0.0006493381636544796,-0.0028848860316226686,0.0022971831895327844,9.059950783344588,-0.005882971804456938,-0.026136925462059656,0.02081236663749357,False,1,False,-0.054342861525568074,0.4336853828462274,0.09215778947464703,229,49
avance,<0.84,v5_ln_feo_ret,4,tasa_aire_nm3_min,0.0010308544067273537,-0.001724908676596512,0.003517996701040179,10.127552887382713,0.010440032523322805,-0.017469103848136498,0.03562869764742232,False,1,True,0.09643786518023775,0.490481098651401,0.09215778947464703,229,49
avance,0.84-0.96,v5_ln_feo_ret,0,v5_exceso_C_pos,-4.444439275063343e-05,-0.0002438628792609958,0.00012055490583910923,268.6895898865063,-0.011941745660922511,-0.06552341701717956,0.03239184820871665,False,-1,True,-0.1042524552349988,0.8548085928667494,-0.02338257549370515,179,34
avance,0.84-0.96,v5_ln_feo_ret,1,v5_C_x_avance,0.00011028921435854474,-7.80040887837526e-05,0.00035333806549247567,480.9373154965213,0.0530421986818189,-0.037515077057410286,0.16993346068068527,False,-1,False,0.463062905596589,1.8110433774249433,-0.02338257549370515,179,34
avance,0.84-0.96,v5_ln_feo_ret,2,tasa_gn_nm3_min,0.0004855601242680748,-0.010787556038933891,0.01262653312488041,3.551773254140786,0.0017245994626526244,-0.038314953016630314,0.04484658264547292,False,-1,False,0.015055899981762506,0.7260072790076008,-0.02338257549370515,179,34
avance,0.84-0.96,v5_ln_feo_ret,3,exceso_o2_combustion_pct,0.0018914506271876248,-0.0011309753976589355,0.0053680995258919145,8.454612394510857,0.015991481916225826,-0.009561958614934082,0.04538520078657363,False,1,True,0.13960699716358194,0.4796933746915444,-0.02338257549370515,179,34
avance,0.84-0.96,v5_ln_feo_ret,4,tasa_aire_nm3_min,-0.0017847302291566275,-0.0036635510426236678,8.12847357368871e-05,11.363568752365406,-0.020280904663446203,-0.04163101415065402,0.0009236846830639698,False,1,False,-0.17705402255132852,0.3715061399874365,-0.02338257549370515,179,34
avance,0.96-0.975,v5_ln_feo_ret,0,v5_exceso_C_pos,4.989137663551826e-05,-0.00017774893440083617,0.0003519018327429908,240.33696084719915,0.011990741833063418,-0.04271963868772513,0.0845750169980098,False,-1,False,0.11711618845294211,1.2433146415707728,0.030769357536708064,256,53
avance,0.96-0.975,v5_ln_feo_ret,1,v5_C_x_avance,-5.0609008083465574e-05,-0.00024409774299644947,0.00015029000942682399,293.86815798876273,-0.014872375983126431,-0.07173255410358101,0.04416544823437455,False,-1,True,-0.14526173714957283,1.1320010448147342,0.030769357536708064,256,53
avance,0.96-0.975,v5_ln_feo_ret,2,tasa_gn_nm3_min,-0.002762715122010935,-0.006616192365970746,0.00013747044092955933,3.9789494641346197,-0.01099270385428202,-0.026325495069190862,0.00054698793727102,False,-1,True,-0.10736813402616331,0.26246939745672276,0.030769357536708064,256,53
avance,0.96-0.975,v5_ln_feo_ret,3,exceso_o2_combustion_pct,-0.00015120402114261405,-0.0011571201856281582,0.0007924249279310661,10.043601925006996,-0.001518632997816757,-0.011621654523839422,0.007958800531591986,False,1,False,-0.014832819423460526,0.19124657141253784,0.030769357536708064,256,53
avance,0.96-0.975,v5_ln_feo_ret,4,tasa_aire_nm3_min,0.001167712550474593,0.00018211278327684888,0.0024574465884861646,10.139463719318927,0.011839979040130507,0.0018465259588597998,0.024917190526119536,True,1,True,0.11564365540080554,0.22533620828558085,0.030769357536708064,256,53
avance,>0.975,v5_ln_feo_ret,0,v5_exceso_C_pos,1.697885780269898e-05,-0.0001779356339305658,0.000266965736330398,183.93430827563884,0.00312299446524987,-0.032728467744605916,0.049104158045228344,False,-1,False,0.033463656768923,0.8768567899820565,-0.06629032482215602,380,101
avance,>0.975,v5_ln_feo_ret,1,v5_C_x_avance,-2.9429332344484512e-05,-0.000260434461831576,0.00017182046990495836,217.40852201762925,-0.00639818764897999,-0.05662067142925962,0.03735523441441154,False,-1,True,-0.06855816038453919,1.0069750339597943,-0.06629032482215602,380,101
avance,>0.975,v5_ln_feo_ret,2,tasa_gn_nm3_min,-0.001319926286771064,-0.007576757716247969,0.0034765998762079074,3.238695357526084,-0.004274839137242088,-0.024538810040712233,0.01125964787905031,False,-1,True,-0.04580595682214334,0.3835893153233045,-0.06629032482215602,380,101
avance,>0.975,v5_ln_feo_ret,3,exceso_o2_combustion_pct,0.00032208740542153796,-0.00042701973460444373,0.0010602757209263428,14.067001877469927,0.004530804136774192,-0.00600688740839742,0.014914900556906644,False,1,True,0.048548684990415814,0.22418212368080606,-0.06629032482215602,380,101
avance,>0.975,v5_ln_feo_ret,4,tasa_aire_nm3_min,-7.95548797745519e-05,-0.0009003289603853707,0.0009254575299857096,8.702271745995786,-0.0006923081825181746,-0.00783490727406337,0.008053582915313688,False,1,False,-0.007418253107999503,0.17024909528015258,-0.06629032482215602,380,101
orden_escalon_fase,0,v5_ln_feo_ret,0,v5_exceso_C_pos,8.118345770241467e-06,-0.00010440274241022659,0.00014833385969464894,229.62453144239873,0.0018641713435790764,-0.023973430807249733,0.03406109302942628,False,-1,False,0.017697440059050527,0.550948554430209,0.031152691778204233,284,63
orden_escalon_fase,0,v5_ln_feo_ret,1,v5_C_x_avance,-6.978418571662161e-05,-0.00015795828194942603,1.4868781218075705e-05,203.95414369138518,-0.014232773841034154,-0.03221624613395757,0.0030325495410671818,False,-1,True,-0.13511829950251544,0.33463310696257803,0.031152691778204233,284,63
orden_escalon_fase,0,v5_ln_feo_ret,2,tasa_gn_nm3_min,-0.0029513947670693694,-0.013754221220131972,0.006670448713065907,2.5334172576475535,-0.0074771144370242215,-0.03484518140458453,0.016899029885934082,False,-1,True,-0.07098370276942535,0.49123171047069236,0.031152691778204233,284,63
orden_escalon_fase,0,v5_ln_feo_ret,3,exceso_o2_combustion_pct,-0.0005831196266380044,-0.002552624134918505,0.0022230968862153103,8.236252881404646,-0.004802720705100865,-0.021024057886365577,0.018309988134732544,False,1,False,-0.045594447147598256,0.3734162764254456,0.031152691778204233,284,63
orden_escalon_fase,0,v5_ln_feo_ret,4,tasa_aire_nm3_min,0.0027157038805054397,0.0004384699706997812,0.005342646570112808,9.123701514622866,0.024777271607834675,0.004000469135790237,0.04874471260383288,True,1,True,0.23522208975951253,0.42477778101820596,0.031152691778204233,284,63
orden_escalon_fase,1,v5_ln_feo_ret,0,v5_exceso_C_pos,0.00010995566035503935,-0.00013466577296957822,0.0004177383089310816,214.05988465474644,0.0235370959727362,-0.028826539828810185,0.08942101422565615,False,-1,False,0.22460699077906923,1.1283986484111483,0.1577393145605125,283,63
orden_escalon_fase,1,v5_ln_feo_ret,1,v5_C_x_avance,-3.6379378416544714e-05,-0.00021084635721018818,0.00015504786918632703,158.70755195993104,-0.005773682090313764,-0.03346290919249812,0.02460726775516559,False,-1,True,-0.055096404480931636,0.5541451550918144,0.1577393145605125,283,63
orden_escalon_fase,1,v5_ln_feo_ret,2,tasa_gn_nm3_min,-0.007559551498470893,-0.01339605751670467,-0.0031722193587287797,2.891668757244025,-0.021859718886905535,-0.03873696099129887,-0.009173007610760689,True,-1,True,-0.20860031688494937,0.282119366468447,0.1577393145605125,283,63
