n_escalones,uplift_fisico_fusion_kg,uplift_fisico_reduccion_kg,uplift_fisico_total_kg,uplift_J_total_kg,pct_escalones_con_mejora,support_medio_historico,support_medio_recomendado,R_sdi_pred_hist,R_sdi_pred_rec,R_d_sn_dep_pred,R_d_feo_ret_pred,F_d_sn_dep_pred,Batch,es_lockbox,fold,dist_Fusión_tasa_feed_Carbon_kg_min,dir_Fusión_tasa_feed_Carbon_kg_min,dist_Fusión_tasa_gn_nm3_min,dir_Fusión_tasa_gn_nm3_min,dist_Fusión_tasa_o2_nm3_min,dir_Fusión_tasa_o2_nm3_min,dist_Fusión_tasa_aire_nm3_min,dir_Fusión_tasa_aire_nm3_min,dist_Fusión_posicion_vertical_lanza_mm,dir_Fusión_posicion_vertical_lanza_mm,dist_F,dist_Reducción_tasa_feed_Carbon_kg_min,dir_Reducción_tasa_feed_Carbon_kg_min,dist_Reducción_tasa_gn_nm3_min,dir_Reducción_tasa_gn_nm3_min,dist_Reducción_tasa_o2_nm3_min,dir_Reducción_tasa_o2_nm3_min,dist_Reducción_tasa_aire_nm3_min,dir_Reducción_tasa_aire_nm3_min,dist_Reducción_posicion_vertical_lanza_mm,dir_Reducción_posicion_vertical_lanza_mm,dist_R,dist_total,rendimiento_proxy_batch,recuperacion_refinada_pct,recuperacion_real_pct,f_metal,f_dross,f_polvo,ley_sn_conc_batch_pct,espesor_ladrillo_norm_mm,sn_cargado_batch_kg,temperatura_media_fusion,frac_carga_secundaria_media_fusion,feed_dross_Fe_total_t,fecha_inicio_batch,idx_cronologico,recuperacion_refinada_pct_next,recuperacion_refinada_pct_media2,rendimiento_proxy_batch_next,rendimiento_proxy_batch_media2,recuperacion_real_pct_next,recuperacion_real_pct_media2
10,78.24604453637266,33.69287765231373,111.9389221886864,111.32492984185524,70.0,0.41569790168208093,0.42024861926013407,2.495158347232924,2.5339017618221327,0.03882293611774723,-1.316581598331118e-05,-0.03865867166603959,AP0176,False,3,0.6525288433258963,-0.651429107836882,0.09422423072734455,-0.09422423072734455,0.13745290333463783,-0.04672575312313169,0.17693229546674574,0.17693229546674574,0.17768891711455873,0.17768891711455873,0.24776543799383668,0.08912026727068988,0.08912026727068988,0.10898355578110416,-0.03036425860880749,0.12152434703433398,-0.12141176129877812,0.06668731165437856,-0.06668731165437856,0.10209160762222969,-0.01811661354547394,0.09768141787254725,0.1727234279331919,67.43467254270297,66.12018177517912,63.596652818701045,0.6743467254270297,0.14116170594894256,0.18449156862402769,38.36008214,264.07106033448366,51640.705201300545,1094.2121068423126,0.46315092728407325,20.30055001378737,2026-06-18 06:37:00,176,73.1548127993984,69.63749728728877,74.24335351979437,70.83901303124867,71.63530196179043,67.61597739024575
10,104.17260848188569,287.16143836984776,391.33404685173343,328.91627796907767,80.0,0.3988366277416719,0.4128804165114566,1.942327033077385,2.2131827087746885,0.05622788502433301,0.0355344024292997,0.10723277148837068,AP0177,False,4,1.1260121078114451,-1.1260121078114451,0.43640857497810676,0.3136440846126665,0.28596208369743614,-0.17357892919010162,0.4804236434721352,0.41757349405462696,0.3643282488559501,-0.35591397191663815,0.5386269317630147,0.10520999728571331,0.07243735885658856,0.11360068261687345,-0.11360068261687345,0.24130770318349704,0.03501965289022588,0.07795479991668122,-0.00872976448304658,0.6893754247023707,-0.6893754247023707,0.24548972154102713,0.3920583266520209,74.24335351979437,73.1548127993984,71.63530196179043,0.7424335351979438,0.07397315609166814,0.18359330871038804,38.36008214000001,264.07106033448366,49389.000996842755,1098.1480512447154,0.4672616811338887,19.119836851918997,2026-06-18 14:23:00,177,72.96918734475213,73.06200007207526,73.73316950812031,73.98826151395734,69.7522155538076,70.69375875779902
10,57.315132659374825,243.74118488381393,301.05631754318875,104.69290282762174,80.0,0.41990843309848874,0.4153952077845188,0.48631411469577823,0.688122578720395,-0.06866251652831984,0.044779963667704696,-0.032248114178394405,AP0178,False,0,0.42388949915558594,-0.42388949915558594,0.13484928204714622,-0.08924189991349134,0.04502502974639921,0.04502502974639921,0.041845673313731624,0.041845673313731624,0.04716366626807855,0.04716366626807855,0.13855463010618832,0.17783843846865546,-0.14402096742344275,0.3640951828242096,-0.3640951828242096,0.35437549671332014,-0.35426216280976164,0.08727469329999141,0.07228598176109,0.3560785012287848,-0.27206093277889615,0.26793246250699226,0.2032435463065903,73.73316950812031,72.96918734475213,69.7522155538076,0.7373316950812031,0.0837938033603143,0.17887450155848267,38.36008214,263.7436215972739,50165.97640974843,1081.9353283245575,0.4590300250609168,19.770584949095074,2026-06-18 22:29:00,178,68.8241809147443,70.89668412974822,70.13008619595749,71.9316278520389,77.76140270509424,73.75680912945091
10,24.2418891225538,295.74139784697354,319.9832869695273,300.8790078328944,80.0,0.39870435771102086,0.40986981111488385,1.0403294299206962,1.319364602346593,0.02022338283304559,0.042849634038551535,0.009705313182753084,AP0179,False,1,0.23668941851573713,-0.23668941851573713,0.06640031505802729,-0.029658526304188356,0.15364716944851736,0.0013865145466587236,0.14138303166322652,0.14138303166322652,0.12013029902320106,-0.11158709887246816,0.1436500467417419,0.17317336682468476,0.13488788300959698,0.43134796519497165,-0.43134796519497165,0.20571618955321738,-0.2056020407939383,0.5215977839698424,-0.5215977839698424,0.7629116588948477,-0.6847842188288853,0.41894939288751276,0.2812997198146273,70.13008619595749,68.8241809147443,77.76140270509424,0.7013008619595749,0.08084889313818,0.2178502449022451,38.36008214,263.6208320708202,49107.49892825473,1134.3852173735752,0.46185181229395766,19.81029336206969,2026-06-19 06:26:00,179,69.40097316818414,69.11257704146422,70.57977974260392,70.3549329692807,72.99196359687046,75.37668315098236
10,43.110058039766045,177.6921938284065,220.80225186817253,202.8737507717526,90.0,0.4055858681253882,0.4198690139840108,1.5495350514659323,1.7012603251648575,-0.02090125717398597,0.02858055146902498,-0.004347994835748881,AP0180,False,0,0.420788749282142,-0.420788749282142,0.13984454348223743,-0.057653763631353,0.2461599260323396,0.2461599260323396,0.14159201922664347,0.09543437329129933,0.11940942547841672,-0.0940026694838444,0.21355893270035584,0.08422585812290435,-0.08422585812290435,0.2646653658035624,-0.2646653658035624,0.12522946412556973,-0.12522946412556973,0.25418212317643457,-0.13933046678876596,0.3348198420788582,-0.3348198420788582,0.21262453066146586,0.21309173168091083,70.57977974260392,69.40097316818414,72.99196359687046,0.7057977974260392,0.11890940982783,0.17529279274613077,38.36008214000001,263.6208320708202,48406.589244730094,1090.6484145260479,0.4531998968615053,18.953413545268507,2026-06-19 14:49:00,180,60.880923793292574,65.14094848073836,61.566424845284466,66.07310229394419,61.56346671990153,67.277715158386
10,127.35824812423296,130.43174247429948,257.7899905985324,248.9590302274388,70.0,0.3932061839600408,0.4068088481834239,1.5359994408908564,1.6412781359905408,0.007791348026417011,0.016140289250540993,-0.15296890622050707,AP0181,False,2,0.7345619508450979,-0.7345619508450979,0.601714746016221,-0.601714746016221,0.4782258056971311,-0.4782258056971311,0.2186163498656427,0.044468255153850424,0.3564912652508397,0.32230956950882333,0.4779220235349865,0.2428619457169014,-0.09001916821978327,0.5711302123997252,-0.5711302123997252,0.36785909885079227,-0.2678476999157028,0.21700699716222652,-0.20285116819148752,0.3240800995388405,-0.024525805930163624,0.34458767073369717,0.4112548471343418,61.566424845284466,60.880923793292574,61.56346671990153,0.6156642484528446,0.1453188528826246,0.23901689866453069,38.36008214,263.6208320708202,48124.90520522037,1103.1531964353567,0.45670944659426144,18.589637112376256,2026-06-19 22:41:00,181,68.50290935570159,64.69191657449709,72.27615768788192,66.9212912665832,51.24811549003251,56.40579110496702
10,9.299835944836815,565.6074290791203,574.9072650239572,566.2105892564847,40.0,0.19477792607172623,0.19565904377176507,2.38530533837093,2.908834137900816,-0.009410504155237753,0.0882349840538284,-0.050882354386837914,AP0182,False,0,0.030259526070328682,0.030259526070328682,0.017388238500933226,-0.017388238500933226,0.04940166126845985,-0.04445131696477522,0.061714778507935164,-0.015615352537080301,0.07081328365633834,0.07081328365633834,0.04591549760079905,0.16605199339650106,0.16605199339650106,0.5302063178841405,-0.5302063178841405,0.6785265298099987,-0.648015752126655,0.3510823199875147,-0.19158361403971963,0.9122853619577191,-0.9122853619577191,0.5276305046071748,0.28677300110398696,72.27615768788192,68.50290935570159,51.24811549003251,0.7227615768788193,0.11605401201245291,0.1611844111087278,38.36008214,263.6208320708202,67942.79100228025,1152.8315055411304,0.4019354658627292,23.10062057670409,2026-06-20 06:49:00,182,60.067392287869666,64.28515082178563,61.809401595145594,67.04277964151376,62.83809539396241,57.04310544199746
10,150.6966092228039,414.60700438433514,565.303613607139,513.0364392579177,90.0,0.36282779910580404,0.3661447908158663,1.5150859971560529,1.8957250317341863,0.11581028633557,0.043845819245457524,-0.07684846233380932,AP0183,False,1,1.1581600469420523,-1.1581600469420523,0.5223479230734788,-0.49810110341918395,0.4291298195412623,-0.417943485247992,0.20529840181906708,0.20035329521857673,0.15234373342132893,0.0880019528733394,0.4934559849594379,0.23552517538971574,0.04702779131347465,0.19636204197172386,-0.10807730410772091,0.6430817799920272,-0.6430817799920272,0.27172179280824493,0.27172179280824493,1.1144780358462003,-0.845184953451475,0.4922337652015824,0.4928448750805101,61.809401595145594,60.067392287869666,62.83809539396241,0.618094015951456,0.1642205216386546,0.2176854624098895,38.9181859,263.6208320708202,48932.86438301942,1147.4508942160394,0.44811847392746146,19.90862612264185,2026-06-20 15:50:00,183,63.853562342251784,61.96047731506073,64.8089817681888,63.3091916816672,63.659007961804875,63.24855167788364
10,85.1543044411794,53.402339212674136,138.55664365385354,138.55664365385383,90.0,0.4264115380581964,0.4327528821304747,1.842299415175996,1.8931551132537612,-0.07766290287541067,0.0212779140650953,-0.1079335826846759,AP0184,False,3,0.3990787355144083,-0.3990787355144083,0.5242696326023292,-0.5242696326023292,0.3478875449902071,-0.33655494239343486,0.12122039153460518,-0.07017840662366277,0.09576516276485707,0.04926642958008139,0.2976442934812814,0.10689670276336752,0.046138860700312034,0.35286857552223627,-0.35286857552223627,0.09778834963498562,0.002102952636774666,0.10855957622766774,0.09314845188031182,0.21046639767945902,0.08485947725880269,0.17531592036554322,0.2364801069234123,64.8089817681888,63.853562342251784,63.659007961804875,0.648089817681888,0.12493108104011452,0.22697910127799747,38.9181859,261.78818904751733,48652.847399983075,1126.0121094344145,0.4512114942532387,19.553089416979347,2026-06-21 01:28:00,184,65.39070870804228,64.62213552514703,67.10540922287353,65.95719549553117,63.88967238343151,63.774340172618196
10,40.0959786197576,261.5793113524185,301.6752899721761,297.7699496033509,80.0,0.36358621779645994,0.36835379952810876,0.9965008005941567,1.223944253650676,-0.05901899740694716,0.047427558023752696,-0.054787236194450084,AP0185,False,1,0.1720308701241552,-0.1720308701241552,0.3813134504291855,-0.3813134504291855,0.3368393678103146,-0.3368393678103146,0.07153934638001196,0.07153934638001196,0.22565083518467746,0.021061466700461953,0.23747477398566894,0.10529852115800141,-0.10529852115800141,0.26839694645425577,-0.26839694645425577,0.0946980687468737,-0.06396792262254503,0.18423095149316693,0.17277039225375312,0.5572057962456229,-0.5572057962456229,0.24196605681958414,0.23972041540262654,67.10540922287353,65.39070870804228,63.88967238343151,0.6710540922287355,0.18770765227533354,0.14123825549593105,38.9181859,261.78818904751733,49449.682274772575,1151.265008893234,0.4480431891685704,19.050482073005682,2026-06-21 09:29:00,185,72.17341000720207,68.78205935762217,73.01234197969465,70.05887560128409,71.29062728116087,67.59014983229619
10,58.79128176104423,182.97802087695467,241.7693026379989,231.0006772241341,100.0,0.41493961919495215,0.4269420578646952,2.1869724273711926,2.3543109065542307,0.030433425271372022,0.022666399654249297,-0.03032157442515071,AP0186,False,2,0.46039439389288034,-0.46039439389288034,0.2137046108474693,-0.2137046108474693,0.08882596600357802,-0.044546256516953535,0.0888738240496254,0.0888738240496254,0.07831426238079019,0.07831426238079019,0.18602261143486867,0.09716830961422246,-0.0067162899598950596,0.3942258277263909,-0.28938536648461,0.3198171082732332,0.3198171082732332,0.11980619233997211,-0.028824741094294025,0.3208173459058521,-0.23318980328154876,0.2503669567719341,0.2181947841034014,73.01234197969465,72.17341000720207,71.29062728116087,0.7301234197969464,0.11849258364246386,0.1513839965605897,38.918185900000005,261.78818904751733,48382.34886609675,1125.7608332906032,0.44570946401784656,19.718074876705483,2026-06-21 17:19:00,186,62.86507158225252,67.5192407947273,64.03645857564088,68.52440027766777,68.24507003553833,69.7678486583496
10,76.70858277684547,795.6001000220351,872.3086827988805,869.7740660367525,80.0,0.3234955622637915,0.3278806367773287,1.1079938865840766,1.8297755776462579,-0.14670379762465968,0.14378898819318559,-0.04318295271797562,AP0187,False,0,0.540818818021464,-0.5387741579356948,0.33334826109514765,-0.33334826109514765,0.36715689552878866,-0.3559879447126891,0.05952252186778597,0.0478593953840812,0.22952127262993305,-0.0854270877105981,0.3060735538286239,0.1559293838329072,0.1559293838329072,1.1591931556545125,-1.1591931556545125,1.1571184558008663,-1.1266076781175223,0.42913927045851386,-0.2141101717261908,1.0083767312316227,-1.0083767312316227,0.7819513993956845,0.5440124766121541,64.03645857564088,62.86507158225252,68.24507003553833,0.6403645857564088,0.1233817526181193,0.236253661625472,38.9181859,260.1628198054785,50949.321294407724,1144.6515021371779,0.43055311584543804,19.539524506361442,2026-06-22 01:16:00,187,70.89124963941455,66.87816061083353,72.62896642012767,68.33271249788427,77.84680425210846,73.0459371438234
9,91.38340570114408,190.55680254454367,281.94020824568776,279.7847487468856,100.0,0.40393598380537465,0.4122955603999483,1.005731402061321,1.184305798845506,-0.028217441540700716,0.034237059325312166,-0.0736493432441791,AP0188,False,1,0.6914380662164533,-0.6901204110190471,0.5468460211558342,-0.5468460211558342,0.5252986429577575,-0.5118750418058324,0.20071803636588612,0.20071803636588612,0.370375219146604,-0.12252941933337799,0.466935197168507,0.1607322366019823,0.012020407494465948,0.18275278808116255,-0.08126619993199632,0.2253276411891429,0.19540420152517285,0.10245126184094888,0.08806230072914753,0.3968230153050464,-0.318695575239084,0.21361738860365662,0.3402762928860818,72.62896642012767,70.89124963941455,77.84680425210846,0.7262896642012766,0.10413796974478494,0.16957236605393855,38.9181859,260.1628198054785,50272.224243476296,1138.610815239008,0.44886256153283294,19.40101904114167,2026-06-22 09:27:00,188,71.80665930929668,71.34895447435562,72.57204105498306,72.60050373755536,72.69863885317751,75.27272155264299
10,36.077973224045124,100.24024939385913,136.31822261790424,125.7748235197881,80.0,0.4712350059796913,0.47852438709923684,2.466092480266786,2.5655240082892607,-0.014343129418265849,0.0188368638146921,-0.006962361866214906,AP0189,False,3,0.31760626555143906,-0.3165065300624243,0.19225506974225545,0.02946743869177575,0.13508299470371724,-0.11241778951017267,0.0747227461309559,0.0392738421537488,0.10014107155554726,0.09305314152896242,0.16396162953678298,0.12367953297826217,0.0829203029229103,0.14057294007013024,-0.14057294007013024,0.2010098539903915,0.037440971925620056,0.05697067241267908,-0.0018210037708289734,0.23098330538786438,-0.23098330538786438,0.15064326096786546,0.15730244525232423,72.57204105498306,71.80665930929668,72.69863885317751,0.7257204105498306,0.11076384299909155,0.16351574645107797,38.9181859,260.1628198054785,48488.6657523152,1108.9374279198087,0.45104418734629254,19.225997885727708,2026-06-22 17:30:00,189,66.81005936546053,69.3083593373786,67.47735364116184,70.02469734807245,74.92127868008384,73.80995876663067
10,81.59954237103607,263.4145119682854,345.0140543393215,334.38950068476316,100.0,0.4554565771439895,0.46603405689407984,0.4587819770116094,0.680482347358652,-0.06289508516586298,0.0471184528994877,-0.06525608356353496,AP0190,False,4,0.5310328640183191,-0.5310328640183191,0.36384995753746585,-0.36384995753746585,0.17960343453398786,-0.15732566667641565,0.16434755590430966,-0.10715865387268536,0.2593456194202551,-0.07076586523835722,0.2996358862828675,0.19849860776570516,-0.19132832252298604,0.4007457805014293,-0.4007457805014293,0.17543735676696914,-0.08785150049384177,0.13483635722201356,-0.08614845182727124,0.34804843439017197,-0.34804843439017197,0.2515133073292578,0.2755745968060627,67.47735364116184,66.81005936546053,74.92127868008384,0.6747735364116184,0.07747257609514883,0.24775388749323263,39.011745600000005,259.53462293396666,50087.45267180749,1119.6571244642348,0.4424681869683352,18.854805466141237,2026-06-23 01:25:00,190,69.79776534234806,68.3039123539043,70.41753166784619,68.94744265450402,66.91714333045739,70.91921100527063
10,44.69121597071292,133.08785076437252,177.77906673508545,150.4200472970167,80.0,0.4346499289622286,0.43930253313054646,1.1746829500235467,1.3028906944310843,0.024881047948960205,0.0171070689500956,-0.03812663654395798,AP0191,False,0,0.3177903490692499,-0.3177903490692499,0.08432329215458956,-0.08432329215458956,0.06058642230901056,-0.027079569860713863,0.041282811061495575,0.041282811061495575,0.04698554524367876,0.04698554524367876,0.1101936839676049,0.10326495635230296,0.08861042525834106,0.06640964980037657,-0.06640964980037657,0.25058306737325875,-0.15014128954697706,0.0796811018969312,-0.07089728448711854,0.2563532379965507,-0.2563532379965507,0.15125840268388405,0.13072604332574445,70.41753166784619,69.79776534234806,66.91714333045739,0.7041753166784619,0.16344195678198742,0.13238272653955063,39.011745600000005,259.53462293396666,52590.11106647529,1077.8927077988496,0.4312983744394003,19.523458036794686,2026-06-23 09:32:00,191,69.72912579126411,69.76344556680608,71.22162920900416,70.81958043842518,67.92857617556784,67.42285975301262
