subset,kpi,variable,n,coef_por_sd,ci_lo,ci_hi,p_hc3,p_perm,spearman,p_spearman,r2_adj
LOCKBOX,f_dross,dist_F,63,0.0034467594054901603,-0.008789590517332312,0.01568310932831263,0.5808890517486314,,0.06797235023041476,0.5965814706418567,0.038564319411777515
LOCKBOX,f_dross,dist_R,63,0.003338430017878426,-0.0037685962573267145,0.010445456293083567,0.3572244542619465,,0.16076228878648235,0.20815160113378775,0.037724134141827625
LOCKBOX,f_dross,uplift_fisico_total_kg,63,0.0019629809031810083,-0.008934484336050765,0.012860446142412782,0.724049458751578,,0.20626920122887862,0.10482040770355064,0.03187064159973019
LOCKBOX,f_dross,dir_Fusión_tasa_feed_Carbon_kg_min,63,-0.0003691829275751207,-0.011840130249045611,0.011101764393895371,0.9497029471052933,,0.17756336405529954,0.16385150023908512,0.03002597169678889
LOCKBOX,f_dross,dir_Fusión_tasa_gn_nm3_min,63,0.002406721927276842,-0.010370828815564729,0.015184272670118414,0.7120010218931229,,-0.03355414746543779,0.79404000572197,0.034320999037142697
LOCKBOX,f_dross,dir_Fusión_tasa_o2_nm3_min,63,-0.00235087046753929,-0.023362636171074386,0.018660895235995806,0.8264259547815351,,-0.23401497695852536,0.06489738764628147,0.03402961941082594
LOCKBOX,f_dross,dir_Fusión_tasa_aire_nm3_min,63,-0.007806439404400425,-0.024425056054646316,0.008812177245845466,0.35722028322976396,,-0.28072196620583717,0.025843000981463343,0.07141570451691692
LOCKBOX,f_dross,dir_Reducción_tasa_feed_Carbon_kg_min,63,0.004533626227551375,-0.005034039212924235,0.014101291668026986,0.3530308606045456,,0.0538594470046083,0.675040706296838,0.04237140494568181
LOCKBOX,f_dross,dir_Reducción_tasa_gn_nm3_min,63,0.0001650025013961745,-0.009321554750275293,0.00965155975306764,0.9728051958023163,,0.026497695852534562,0.8366788473489656,0.029977441315331976
LOCKBOX,f_dross,dir_Reducción_tasa_o2_nm3_min,63,0.0002846640650929293,-0.010535006390895142,0.011104334521081002,0.9588742028804468,,0.03576228878648234,0.7808133933505746,0.03001551507620659
LOCKBOX,f_dross,dir_Reducción_tasa_aire_nm3_min,63,-0.0016277833682710708,-0.014669102368783243,0.011413535632241102,0.8067370600472776,,-0.08491743471582182,0.5081564737094917,0.031959228483861124
LOCKBOX,f_polvo,dist_total,63,0.004936380414843969,-0.0025960976786607148,0.012468858508348652,0.1989828606449855,,0.12058371735791093,0.3465108817868615,0.031132739499483697
LOCKBOX,f_polvo,dist_F,63,0.0028686089448111372,-0.0051396036792228355,0.01087682156884511,0.4826320542896477,,0.07982910906298003,0.5339882896634589,0.012287702829269831
LOCKBOX,f_polvo,dist_R,63,0.005098122450368929,-0.0023389615876570615,0.012535206488394918,0.17909211418987392,,0.04728302611367128,0.7128821780618604,0.032324855667815844
LOCKBOX,f_polvo,uplift_fisico_total_kg,63,-0.0042591484216282696,-0.01605606116272222,0.00753776431946568,0.4791788411101464,,-0.06422811059907833,0.6170024956667648,0.01731104246663051
LOCKBOX,f_polvo,dir_Fusión_tasa_feed_Carbon_kg_min,63,-0.004240956669745884,-0.01484890015014273,0.006366986810650961,0.43328936274248986,,-0.03341013824884792,0.7949046645539881,0.017426346768577905
LOCKBOX,f_polvo,dir_Fusión_tasa_gn_nm3_min,63,0.004248454476193015,-0.0028643732223178108,0.011361282174703842,0.2417289743950788,,0.11631144393241168,0.36398767964376827,0.02487992364511138
LOCKBOX,f_polvo,dir_Fusión_tasa_o2_nm3_min,63,0.003919913908373524,-0.0028160614122300373,0.010655889228977086,0.25404651467913686,,0.13388056835637482,0.2955227403878348,0.021127849435995216
LOCKBOX,f_polvo,dir_Fusión_tasa_aire_nm3_min,63,0.0011990977786837127,-0.009211991110268831,0.011610186667636257,0.8214044482767049,,0.15188172043010753,0.23471847422270595,0.004069605576046631
LOCKBOX,f_polvo,dir_Reducción_tasa_feed_Carbon_kg_min,63,-6.402333017537214e-05,-0.01002453289987016,0.009896486239519418,0.9899484423504077,,-0.005520353302611368,0.9657498948815291,0.0024606658261062675
LOCKBOX,f_polvo,dir_Reducción_tasa_gn_nm3_min,63,0.010944635845773817,0.004671284093224645,0.01721798759832299,0.0006275964927734962,,0.25547235023041476,0.043299242897108556,0.14946778826326101
LOCKBOX,f_polvo,dir_Reducción_tasa_o2_nm3_min,63,0.008850469196590762,0.002013327711983458,0.015687610681198068,0.011177085466967447,,0.2158698156682028,0.08928132800485916,0.09544600200217468
LOCKBOX,f_polvo,dir_Reducción_tasa_aire_nm3_min,63,0.007727305298318641,0.002505521442253163,0.012949089154384119,0.0037269170116416895,,0.0650441628264209,0.6125263377537093,0.07685457198492296
TOTAL,rendimiento_proxy_batch,dist_total,361,0.0746437708571012,-0.40195982894062154,0.551247370654824,0.7588724427211853,0.778,-0.01897610164120262,0.7193498289269278,0.00011610413810181353
TOTAL,rendimiento_proxy_batch,dist_F,360,-0.1523830624014244,-0.6226371450125673,0.31787102020971847,0.5253535638299631,0.508,-0.003528589315334058,0.9468064876437029,0.0013682549963320856
TOTAL,rendimiento_proxy_batch,dist_R,361,0.151692363892757,-0.28499822760389115,0.5883829553894051,0.49597976850814274,0.522,-4.2597096510516205e-05,0.999356475918111,0.0009642364924933311
TOTAL,rendimiento_proxy_batch,uplift_fisico_total_kg,361,0.24135336911668862,-0.2502573872460965,0.7329641254794736,0.3359327617921556,0.318,0.014478922421684597,0.7839618070754293,0.0021279063959598332
TOTAL,rendimiento_proxy_batch,dir_Fusión_tasa_feed_Carbon_kg_min,360,0.22989575673820783,-0.25970319921603213,0.7194947126924478,0.3574058889790186,0.342,0.014200777992435602,0.788301158335004,0.00239247086711869
TOTAL,rendimiento_proxy_batch,dir_Fusión_tasa_gn_nm3_min,360,-0.10507991072122791,-0.6461700503733756,0.4360102289309198,0.7034809709258607,0.648,-0.05840858281355865,0.2690232744065462,0.0007352896574400747
TOTAL,rendimiento_proxy_batch,dir_Fusión_tasa_o2_nm3_min,360,0.29281029963113214,-0.2718528368057498,0.8574734360680141,0.3094608388542498,0.24,0.033988038959508984,0.5203404479433825,0.003334075080148158
TOTAL,rendimiento_proxy_batch,dir_Fusión_tasa_aire_nm3_min,360,0.3615193069989959,-0.23518641944959462,0.9582250334475865,0.23504580288716692,0.128,0.11376749119662559,0.03092079461325653,0.004985139614751999
TOTAL,rendimiento_proxy_batch,dir_Reducción_tasa_feed_Carbon_kg_min,361,-0.3646607150299524,-0.8378497834828385,0.10852835342293365,0.13093217384530595,0.144,-0.12760228085781034,0.015267964273924567,0.006101891234743362
TOTAL,rendimiento_proxy_batch,dir_Reducción_tasa_gn_nm3_min,361,0.35930465556326957,-0.06857176974869406,0.7871810808752332,0.09979283086004112,0.144,0.08785765937889355,0.09556799206540546,0.00607092207885207
TOTAL,rendimiento_proxy_batch,dir_Reducción_tasa_o2_nm3_min,361,0.26540667321605055,-0.15118767251455983,0.682001018946661,0.21178697561158255,0.252,0.045825678768556394,0.38532624431454604,0.003218444613555471
TOTAL,rendimiento_proxy_batch,dir_Reducción_tasa_aire_nm3_min,361,0.17204210062862138,-0.23963049595809507,0.5837146972153379,0.4127358790675161,0.47,0.007226712205604461,0.8911627055901801,0.0012747089180517035
TOTAL,f_dross,dist_total,361,-0.00218014163354455,-0.00612475520920133,0.0017644719421122295,0.2786978738549949,0.258,0.005449619081447597,0.9178165981479147,0.04990861481461739
TOTAL,f_dross,dist_F,360,0.0005823247370265018,-0.003468278527373721,0.004632928001426725,0.7781204380176647,0.804,0.00134260778672234,0.9797473894723638,0.0497500351736353
TOTAL,f_dross,dist_R,361,-0.00270783625288206,-0.006239375608580957,0.0008237031028168374,0.1328859376319817,0.158,-0.014005262144328822,0.790863007189566,0.05183344795503697
TOTAL,f_dross,uplift_fisico_total_kg,361,0.0005273112078360232,-0.0039013324855283233,0.00495595490120037,0.8154743876090711,0.79,0.03402332508387787,0.519323984330531,0.0466289839534223
TOTAL,f_dross,dir_Fusión_tasa_feed_Carbon_kg_min,360,0.001232763348658644,-0.0031226593402506296,0.005588186037567918,0.579065509707321,0.462,0.04521450345660797,0.3923635787005168,0.05042831721682228
TOTAL,f_dross,dir_Fusión_tasa_gn_nm3_min,360,0.0014043788038376262,-0.0028326348318333684,0.005641392439508621,0.5159250423667733,0.468,0.05476039337929243,0.30012301355622417,0.050734409917373546
TOTAL,f_dross,dir_Fusión_tasa_o2_nm3_min,360,-0.0027448875845098196,-0.00790589018865065,0.0024161150196310103,0.2972216247586299,0.158,-0.02090327153921672,0.6926395371610886,0.05356881864888541
