kpi,variable,grid_value,pd_value
f_polvo,lanza_std_F,1148.9587251395121,-0.0031248473808312385
f_polvo,lanza_std_F,1180.965135399754,-0.0031248473808312385
f_polvo,lanza_std_F,1212.9715456599956,-0.003766690690414158
f_polvo,lanza_std_F,1244.9779559202375,-0.003766690690414158
f_polvo,lanza_std_F,1276.9843661804794,-0.003766690690414158
f_polvo,lanza_std_F,1308.9907764407212,-0.0020445269461740003
f_polvo,lanza_std_F,1340.9971867009629,-0.0020445269461740003
f_polvo,lanza_std_F,1373.0035969612047,-0.0020445269461740003
f_polvo,lanza_std_F,1405.0100072214464,-0.0010333693093680385
f_polvo,lanza_std_F,1437.0164174816882,0.00047504059900518826
f_polvo,lanza_std_F,1469.02282774193,0.00047504059900518826
f_polvo,lanza_std_F,1501.029238002172,0.00047504059900518826
f_polvo,lanza_std_F,1533.0356482624136,-0.0003766033180073642
f_polvo,lanza_std_F,1565.0420585226555,0.007305118337751765
f_polvo,lanza_std_F,1597.048468782897,0.007305118337751765
f_polvo,lanza_std_F,1629.054879043139,0.007305118337751765
f_polvo,lanza_std_F,1661.0612893033808,0.007305118337751765
f_polvo,carbon_por_Sn_inv_R,0.1916977781069824,0.0015378640739939537
f_polvo,carbon_por_Sn_inv_R,0.2211316326467029,0.0015378640739939537
f_polvo,carbon_por_Sn_inv_R,0.2505654871864234,6.574778451607799e-05
f_polvo,carbon_por_Sn_inv_R,0.27999934172614394,-0.0006284917383626335
f_polvo,carbon_por_Sn_inv_R,0.3094331962658644,-0.0014462683011229951
f_polvo,carbon_por_Sn_inv_R,0.3388670508055849,-0.0014462683011229951
f_polvo,carbon_por_Sn_inv_R,0.3683009053453054,-0.0014462683011229951
f_polvo,carbon_por_Sn_inv_R,0.39773475988502593,-0.0014462683011229951
f_polvo,carbon_por_Sn_inv_R,0.4271686144247464,-0.0014462683011229951
f_polvo,carbon_por_Sn_inv_R,0.4566024689644669,-0.0014462683011229951
f_polvo,carbon_por_Sn_inv_R,0.4860363235041874,0.0027900831846914215
f_polvo,carbon_por_Sn_inv_R,0.5154701780439079,0.0027900831846914215
f_polvo,carbon_por_Sn_inv_R,0.5449040325836284,0.0027900831846914215
f_polvo,carbon_por_Sn_inv_R,0.5743378871233489,0.0027900831846914215
f_polvo,carbon_por_Sn_inv_R,0.6037717416630695,0.0027900831846914215
f_polvo,carbon_por_Sn_inv_R,0.6332055962027899,0.0027900831846914215
f_polvo,carbon_por_Sn_inv_R,0.6626394507425104,0.0027900831846914215
f_polvo,carbon_por_Sn_inv_R,0.6920733052822309,0.0027900831846914215
f_polvo,carbon_por_Sn_inv_R,0.7215071598219513,0.0027900831846914215
f_polvo,carbon_por_Sn_inv_R,0.7509410143616719,0.0027900831846914215
f_polvo,cal_por_carga_F,0.0761393539899436,0.0002018670501617587
f_polvo,cal_por_carga_F,0.0779615827307124,0.0002018670501617587
f_polvo,cal_por_carga_F,0.07978381147148117,0.0002018670501617587
f_polvo,cal_por_carga_F,0.08160604021224996,0.0002018670501617587
f_polvo,cal_por_carga_F,0.08342826895301873,0.0002018670501617587
f_polvo,cal_por_carga_F,0.08525049769378752,0.0002018670501617587
f_polvo,cal_por_carga_F,0.0870727264345563,0.0002018670501617587
f_polvo,cal_por_carga_F,0.08889495517532509,0.0002018670501617587
f_polvo,cal_por_carga_F,0.09071718391609387,0.0002018670501617587
f_polvo,cal_por_carga_F,0.09253941265686265,0.0002018670501617587
f_polvo,cal_por_carga_F,0.09436164139763144,0.0002018670501617587
f_polvo,cal_por_carga_F,0.09618387013840021,0.0002018670501617587
f_polvo,cal_por_carga_F,0.098006098879169,0.0015605658946287592
f_polvo,cal_por_carga_F,0.09982832761993779,0.00036942096967005554
f_polvo,cal_por_carga_F,0.10165055636070656,-4.787967581520291e-05
f_polvo,cal_por_carga_F,0.10347278510147535,-0.006350954932336091
f_polvo,cal_por_carga_F,0.10529501384224413,-0.004972472997770458
f_polvo,cal_por_carga_F,0.10711724258301292,0.0027357843966456952
f_polvo,cal_por_carga_F,0.1089394713237817,0.0027357843966456952
f_polvo,cal_por_carga_F,0.11076170006455048,0.0027357843966456952
