fase,feature,periodo,n,mediana,p5,p95,p1_dev,p99_dev,pct_fuera_rango_p1_p99_dev
Reducción,grad_temperatura_horno_celsius_prev,dev_tercio3,400,-0.2483306018700186,-1.10388998838633,0.34796034839839646,-2.7108537226707043,1.2003441885722361,
Reducción,grad_temperatura_horno_celsius_prev,lockbox,252,-0.16313081906885185,-0.8699917713905225,0.545960577007644,-2.7108537226707043,1.2003441885722361,0.3968253968253968
Reducción,ley_cao_escoria_pct_prev,dev_tercio1,394,22.82725,18.146949999999997,26.240509999999997,15.435648,27.155928,
Reducción,ley_cao_escoria_pct_prev,dev_tercio2,398,22.1,17.788845000000002,24.599164999999996,15.435648,27.155928,
Reducción,ley_cao_escoria_pct_prev,dev_tercio3,393,21.4859,16.8888,23.965259999999997,15.435648,27.155928,
Reducción,ley_cao_escoria_pct_prev,lockbox,252,21.043799999999997,16.240005,23.104915000000002,15.435648,27.155928,1.1904761904761905
Reducción,ley_feo_escoria_pct_prev,dev_tercio1,394,17.673984217029275,15.79387002739726,19.716897206553853,15.457338554284178,22.161800822347573,
Reducción,ley_feo_escoria_pct_prev,dev_tercio2,398,18.9984250443191,16.678530889067957,21.370885156056943,15.457338554284178,22.161800822347573,
Reducción,ley_feo_escoria_pct_prev,dev_tercio3,392,18.809568401826482,16.623063899006176,21.22987305398872,15.457338554284178,22.161800822347573,
Reducción,ley_feo_escoria_pct_prev,lockbox,252,18.60244360999194,16.378354319634703,20.931600488853075,15.457338554284178,22.161800822347573,1.984126984126984
Reducción,ley_sn_escoria_pct_prev,dev_tercio1,394,2.8278,1.03173,19.897219999999994,0.706001,21.818936999999966,
Reducción,ley_sn_escoria_pct_prev,dev_tercio2,398,2.4868,1.025255,18.038564999999995,0.706001,21.818936999999966,
Reducción,ley_sn_escoria_pct_prev,dev_tercio3,398,2.52105,1.118125,17.229705,0.706001,21.818936999999966,
Reducción,ley_sn_escoria_pct_prev,lockbox,252,2.8321,1.419605,21.271769999999997,0.706001,21.818936999999966,3.571428571428571
Reducción,masa_escoria_est_kg_prev,dev_tercio1,393,53456.68881644799,5.447056465668547e-20,69549.17772092401,3.563337867802647e-20,83413.12220047145,
Reducción,masa_escoria_est_kg_prev,dev_tercio2,398,56121.38157669478,50538.533541256955,70060.06457595895,3.563337867802647e-20,83413.12220047145,
Reducción,masa_escoria_est_kg_prev,dev_tercio3,393,59284.530105956874,52289.06163783082,75497.78422040143,3.563337867802647e-20,83413.12220047145,
Reducción,masa_escoria_est_kg_prev,lockbox,252,53704.00337603985,47914.67569303646,70019.12824006513,3.563337867802647e-20,83413.12220047145,0.0
Reducción,orden_escalon_fase,dev_tercio1,396,1.5,0.0,3.0,0.0,3.0,
Reducción,orden_escalon_fase,dev_tercio2,400,1.5,0.0,3.0,0.0,3.0,
Reducción,orden_escalon_fase,dev_tercio3,400,1.5,0.0,3.0,0.0,3.0,
Reducción,orden_escalon_fase,lockbox,252,1.5,0.0,3.0,0.0,3.0,0.0
Reducción,sn_inventario_escoria_est_kg_prev,dev_tercio1,393,1337.0488071889715,8.104319935042475e-21,12906.199041362679,1.3532265256291726e-21,15637.985943441656,
Reducción,sn_inventario_escoria_est_kg_prev,dev_tercio2,398,1381.4159422162238,538.5722897234127,12196.698707888083,1.3532265256291726e-21,15637.985943441656,
Reducción,sn_inventario_escoria_est_kg_prev,dev_tercio3,393,1501.84060143463,629.6074132550208,12136.20767581402,1.3532265256291726e-21,15637.985943441656,
Reducción,sn_inventario_escoria_est_kg_prev,lockbox,252,1467.855436176124,691.9129686989673,14561.27375074632,1.3532265256291726e-21,15637.985943441656,2.380952380952381
Reducción,temperatura_horno_celsius_prev,dev_tercio1,396,1121.4827345591625,1061.6987531664945,1206.8237143190522,923.3678844861591,1217.4002710436127,
Reducción,temperatura_horno_celsius_prev,dev_tercio2,400,1082.9059791541656,997.4951965796301,1154.3569657357496,923.3678844861591,1217.4002710436127,
Reducción,temperatura_horno_celsius_prev,dev_tercio3,400,993.1194760452279,930.3562126203416,1056.10440097891,923.3678844861591,1217.4002710436127,
Reducción,temperatura_horno_celsius_prev,lockbox,252,975.3794697953181,940.3825092658105,1021.0090892099917,923.3678844861591,1217.4002710436127,0.0
Reducción,termocupla_media_celsius_prev,dev_tercio1,395,291.23728179369954,280.5544249136912,305.20506921325347,279.697982171939,378.4431819513806,
Reducción,termocupla_media_celsius_prev,dev_tercio2,400,319.0968004423838,294.81112060285085,340.7216914303238,279.697982171939,378.4431819513806,
Reducción,termocupla_media_celsius_prev,dev_tercio3,400,351.6160686552759,329.8935378963929,376.4855140792009,279.697982171939,378.4431819513806,
Reducción,termocupla_media_celsius_prev,lockbox,252,378.771790584596,362.18603124015743,393.11740111972836,279.697982171939,378.4431819513806,50.39682539682539
Reducción,tiro_horno_pct_prev,dev_tercio1,394,83.0,69.84182472229004,95.0,55.41734622501192,98.0,
Reducción,tiro_horno_pct_prev,dev_tercio2,400,88.39277971707858,76.97221581595285,97.0,55.41734622501192,98.0,
Reducción,tiro_horno_pct_prev,dev_tercio3,400,89.35158612876585,74.99411486671085,97.50043674742919,55.41734622501192,98.0,
Reducción,tiro_horno_pct_prev,lockbox,252,91.88753446236184,80.36899481273832,98.0,55.41734622501192,98.0,4.365079365079365
