,perm_media,perm_frac_pos,boruta_frac,score
d_posicion_vertical_lanza_mm,-0.0009302690246235399,0.4666666666666667,0.0,0.25
temperatura_gas_pre_bhf_celsius_prev,-0.0010720015030928516,0.26666666666666666,0.0,0.24152542372881355
tasa_feed_Sn_kg_min,-0.0011637760238482038,0.6,0.0,0.23728813559322032
ley_sn_reciclo_batch_pct,-0.001196177056039042,0.26666666666666666,0.0,0.2330508474576271
exceso_o2_combustion_pct,-0.001315690415181862,0.26666666666666666,0.0,0.22457627118644066
feo_inventario_escoria_est_kg_prev,-0.0013845030280103942,0.4,0.0,0.22033898305084745
d_presion_suministro_gn_lanza_kpa,-0.0015210782882343218,0.26666666666666666,0.0,0.21610169491525422
interaccion_C_x_exceso_o2,-0.0016317177852691353,0.3333333333333333,0.0,0.211864406779661
feed_reciclo_t3_kgh,-0.001657744342759335,0.4666666666666667,0.0,0.2076271186440678
sn_inventario_escoria_est_kg_prev,-0.0025497222323875982,0.2,0.0,0.20338983050847456
feed_Carbon_reduccion_kgh,-0.0038111422543921566,0.0,0.0,0.19915254237288135
