Batch,fase,orden_escalon_fase,ley_sn_escoria_pct_prev,sn_inventario_escoria_est_kg_prev,sn_extraido_real_kg,d_ley_sn_real_pts,feo_extraido_real_kg,temperatura_real,pred_sn_kg_historico,pred_sn_kg_recomendado,pred_feo_reducido_kg_historico,pred_feo_reducido_kg_recomendado,pred_T_historico,pred_T_recomendado,support_historico,support_recomendado,J_historico,J_recomendado,uplift_J_kgSn,hist__duracion_plan_min,rec__duracion_plan_min,hist__tasa_feed_conc_kg_min,rec__tasa_feed_conc_kg_min,hist__tasa_feed_reciclo_kg_min,rec__tasa_feed_reciclo_kg_min,hist__tasa_feed_Fe_kg_min,rec__tasa_feed_Fe_kg_min,hist__tasa_feed_dross_Fe_kg_min,rec__tasa_feed_dross_Fe_kg_min,hist__tasa_feed_pellets_kg_min,rec__tasa_feed_pellets_kg_min,hist__tasa_feed_CaO_kg_min,rec__tasa_feed_CaO_kg_min,hist__tasa_feed_Carbon_kg_min,rec__tasa_feed_Carbon_kg_min,hist__tasa_gn_nm3_min,rec__tasa_gn_nm3_min,hist__tasa_o2_nm3_min,rec__tasa_o2_nm3_min,hist__tasa_aire_nm3_min,rec__tasa_aire_nm3_min,rec_derivada__exceso_o2_combustion_pct,rec_derivada__oxygen_enrichment_pct,rec_derivada__relacion_C_Sn_carga,rec_derivada__relacion_CaO_carga,rec_derivada__ley_sn_carga_pct,rec_derivada__frac_carga_secundaria,fold,es_lockbox
AP0008,Reducción,0,14.5649,10821.13621837054,8922.022716714462,-11.5856,1432.123093067943,1186.3480462884586,9208.650929076708,9659.541402856845,1831.553260238195,1573.9533527112849,1186.4004632571327,1182.635633822921,0.2981034406109366,0.2984122867165987,6705.404799454571,7236.906332478464,531.501533023893,30.0,29.13640355967893,,,,,,,0.0439708478679281,0.0439708478679281,3.0273241892216665e-05,3.0273241892216665e-05,,,58.29182312668011,61.47560391927301,24.980627362286604,24.93481355259537,21.607621572989004,22.534234584623256,119.5115682418258,118.18477176442576,-5.0463390165918005,33.650775317226845,,,,,0,False
AP0008,Reducción,1,2.9793,1906.9866537064456,788.780652171172,-1.1022999999999998,610.8226653966813,1188.4256279193432,793.5393088106408,918.1688452535524,492.9053173917173,268.05501340935973,1184.9832002298906,1184.485739230638,0.3081245983051848,0.2789810122090921,-1229.2334501077728,-1102.9717436824135,126.2617064253593,25.0,25.64815523222585,,,,,,,0.0171081811052341,0.0171081811052341,1.270242367818146e-25,1.270242367818146e-25,,,39.85201329940405,48.93915729926574,23.29102557905568,23.94056456521586,19.01240070936415,29.08538400111508,117.9055015733507,76.98480755098804,-5.490546257686903,42.66249822372959,,,,,0,False
AP0008,Reducción,2,1.877,1118.4577537336845,102.8460886636295,-0.1344,292.2822035959798,1183.6155001156258,519.7991034859454,606.9851397902997,687.9210318806075,0.0,1187.0159755689597,1187.102770295506,0.3780682338767934,0.2966064758693725,-1400.6033704414822,-1295.5133160033588,105.0900544381234,20.0,25.64815523222585,,,,,,,1.4211127175019626e-22,1.4211127175019626e-22,0.0017450054955728,0.0017450054955728,,,17.07627703954303,48.93915729926574,18.276666191948785,23.94056456521586,8.995235140058728,29.08538400111508,121.11616644965277,76.98480755098804,-5.490546257686903,42.66249822372959,,,,,0,False
AP0008,Reducción,3,1.7426,1015.7603881679164,395.90599306455,-0.6643999999999999,309.2177015213674,1187.477009863462,469.1217785802278,577.4007774719782,652.8591089348618,0.0,1181.1917359099086,1179.285606972675,0.3637784304562191,0.2983831825361605,-1458.97651473746,-1312.5651711247667,146.41134361269314,15.0,25.64815523222585,,,,,,,1.4211127175019628e-22,1.4211127175019628e-22,4.395302826870061e-24,4.395302826870061e-24,,,15.162362813949583,48.93915729926574,14.972577446831597,23.94056456521586,2.9015825307324588,29.08538400111508,119.77607494212964,76.98480755098804,-5.490546257686903,42.66249822372959,,,,,0,False
AP0011,Fusión,1,13.2308,4.710744781639911e-22,5785.005272573475,4.169400000000001,-1.1262561265577789e-21,1237.1240797852936,5065.556367574306,5065.556367574306,0.0,0.0,1239.9898630487078,1239.9898630487078,0.065420476511276,0.065420476511276,-3865.288236840393,-3865.288236840393,0.0,30.0,30.0,169.27604663990164,169.27604663990164,39.70572882758246,39.70572882758246,0.0126072512456664,0.0126072512456664,84.95777440954137,84.95777440954137,133.1071341055411,133.1071341055411,3.58245373437211e-23,3.58245373437211e-23,37.77234655309606,37.77234655309606,27.56276626829117,27.56276626829117,39.46619756789434,39.46619756789434,122.9027347625248,122.9027347625248,18.41295469518833,40.20213160925947,0.2285273853813191,8.388656582138943e-26,38.70325931866397,0.6035944952700658,0,False
AP0011,Fusión,2,17.4002,1.6479849613906077e-21,6577.205646255124,3.309799999999999,-1.3681912356055495e-21,1223.0996898228375,5582.349072225928,5582.349072225928,2.692602382570396e-23,2.692602382570396e-23,1229.5131443201085,1229.5131443201085,0.2081782128261852,0.2081782128261852,-3623.528424472468,-3623.528424472468,0.0,35.0,35.0,168.7133209476626,168.7133209476626,39.66990222465701,39.66990222465701,0.0170516274869442,0.0170516274869442,83.12404338557545,83.12404338557545,133.47110069709095,133.47110069709095,3.5824537343721096e-23,3.5824537343721096e-23,42.69855976880082,42.69855976880082,27.691710925632048,27.691710925632048,39.90919559054904,39.90919559054904,123.03548940022786,123.03548940022786,18.71178444185688,40.34905978572933,0.2596759904754517,8.429393765683839e-26,38.689862019865465,0.6029830791615901,0,False
AP0011,Fusión,3,20.71,3.706506786222503e-21,7213.115518368566,0.8901000000000003,-1.37531461571464e-21,1219.7411707027209,6179.720573790959,5913.550417920396,3.128866768904376e-23,2.906022091820619e-23,1211.5234246398754,1211.055542890876,0.3408887481620248,0.3487027307902781,-3421.435502405994,-3359.643703349482,61.79179905651199,40.0,40.0,168.75879507755886,168.75879507755886,39.69188993149909,39.69188993149909,0.0177501300538795,0.0177501300538795,72.8708527661752,72.8708527661752,133.87052833446558,133.87052833446558,3.5824537343721096e-23,2.0311371810206232e-23,45.51315811820652,42.04083642077008,27.231508502724733,27.231508502724733,38.81847339838892,38.81847339838892,122.44471752025464,122.44471752025464,18.487494130531637,40.01648715372275,0.2622774630625272,4.891833240878372e-26,38.60492928981948,0.5935150408145531,0,False
AP0011,Fusión,4,21.6001,5.671373837074435e-21,7564.669798007004,-4.495800000000003,-1.0539558212870564e-21,1209.2686413761735,6704.397525549571,6497.509923217103,2.1891840738101512e-23,1.5737497089317466e-23,1209.9148768409525,1210.6368955314483,0.3588523025552704,0.3681149364341536,-3471.2674468487644,-3419.7241872167265,51.54325963203792,45.0,45.0,169.80642744076798,169.80642744076798,39.06652449065564,39.06652449065564,0.0156577351338723,0.0156577351338723,81.9763321658365,81.9763321658365,103.16317374558795,103.16317374558795,3.58245373437211e-23,2.0311371810206232e-23,47.52150089039522,40.634479577584656,28.13102190406825,28.13102190406825,40.894621365017365,40.894621365017365,122.6317122124566,122.6317122124566,18.458691541516423,40.75629867776478,0.2685806562785481,5.1548026669143657e-26,38.396599120398974,0.5690102343920369,0,False
AP0011,Fusión,5,17.1043,5.433393193452556e-21,8790.46637872089,-0.4066999999999972,-1.942278857258888e-21,1201.0983967078523,7907.927565332917,7907.927565332917,4.0847475621034663e-23,4.0847475621034663e-23,1198.0978886833898,1198.0978886833898,0.2139817673959126,0.2139817673959126,-3945.396857811117,-3945.396857811117,0.0,50.0,50.0,168.88635893322174,168.88635893322174,34.491028776622954,34.491028776622954,0.0153862550499893,0.0153862550499893,86.49708099365235,86.49708099365235,119.37133985246932,119.37133985246932,3.58245373437211e-23,3.58245373437211e-23,50.46850854782832,50.46850854782832,28.704588394935687,28.704588394935687,42.470884615194926,42.470884615194926,123.33968814117742,123.33968814117742,19.096323877100097,41.23513838004913,0.3157702732189349,8.753465463605391e-26,39.05248370911191,0.5873008549802404,0,False
AP0011,Fusión,6,16.6976,7.210883564642682e-21,6737.830935387153,-6.616300000000001,-2.208545332039706e-21,1192.736254967442,10363.340820298752,10363.340820298752,8.136307432451309e-23,8.136307432451309e-23,1186.4827027677832,1186.4827027677832,0.2158186896533953,0.2158186896533953,-4268.720953519656,-4268.720953519656,0.0,65.0,65.0,162.60475753905283,162.60475753905283,7.104508288519123,7.104508288519123,0.0221455377482232,0.0221455377482232,82.79803142850362,82.79803142850362,139.56216347179716,139.56216347179716,3.5824537343721096e-23,3.5824537343721096e-23,52.83553040519593,52.83553040519593,29.133842927265945,29.133842927265945,43.3224928941184,43.3224928941184,123.21829721507665,123.21829721507665,18.75936772577772,41.55038250023525,0.3215065452645645,9.136777419165636e-26,41.91299616247378,0.5852323781534101,0,False
