fase,Batch,orden_escalon_fase,avance_reduccion_sn_prev,palanca,valor_historico,J_historico,x_optimo,J_optimo,rango_J,tipo_forma,delta_relativo_optimo_vs_hist,lo_grid,hi_grid
Fusión,AP0123,4,0.779591124657675,tasa_feed_CaO_kg_min,40.929740820990666,-3049.15375388768,39.657534732465294,-3032.7631610517155,1011.430629148625,óptimo_interior,-0.02566384616911433,2.0311371810206232e-23,49.57191841558162
Fusión,AP0182,6,0.6489540097599817,tasa_feed_Carbon_kg_min,33.075450105656266,-4698.620660270924,24.328760902215688,-4691.157442767686,145.4919565719738,frontera_baja,-0.2198442106191757,24.328760902215688,64.11461279618254
Fusión,AP0182,6,0.6489540097599817,tasa_feed_CaO_kg_min,25.921491848689573,-4699.981635084712,39.657534732465294,-4637.09762492379,123.81032404890902,óptimo_interior,0.2770932278355836,2.0311371810206232e-23,49.57191841558162
Fusión,AP0189,1,0.7707063052256032,tasa_feed_Carbon_kg_min,37.90047487201113,-2503.323785993372,36.26451647040574,-2489.4687946557424,718.11931893673,óptimo_interior,-0.041119099471977644,24.328760902215688,64.11461279618254
Fusión,AP0189,1,0.7707063052256032,tasa_feed_CaO_kg_min,46.337037612452654,-2512.9264919524176,44.61472657402346,-2497.173020283609,1073.2632448375853,frontera_alta,-0.03474368338926004,2.0311371810206232e-23,49.57191841558162
Fusión,AP0175,6,0.81193917045664,tasa_feed_Carbon_kg_min,34.34308474466681,-3571.4541503634173,34.2752238757074,-3571.4541503634173,451.03670430197417,óptimo_interior,-0.0017056532844959566,24.328760902215688,64.11461279618254
Fusión,AP0175,6,0.81193917045664,tasa_feed_CaO_kg_min,34.108365556048106,-3536.1258043117828,42.13613065324437,-3517.694510310945,663.4191398320513,óptimo_interior,0.16194178788676755,2.0311371810206232e-23,49.57191841558162
Fusión,AP0160,2,0.7667064256823142,tasa_feed_Carbon_kg_min,50.960658344469564,-2915.430959532243,52.17885722799248,-2911.8203282354243,324.223139887029,óptimo_interior,0.030618896555728765,24.328760902215688,64.11461279618254
Fusión,AP0160,2,0.7667064256823142,tasa_feed_CaO_kg_min,41.28911346970943,-2911.532106194905,42.13613065324437,-2911.532106194905,892.9026401162723,óptimo_interior,0.017086633130355255,2.0311371810206232e-23,49.57191841558162
Fusión,AP0007,1,0.6561813002146002,tasa_feed_Carbon_kg_min,33.441975120261866,-3058.164294141937,36.26451647040574,-3044.367904403549,663.0070452761365,óptimo_interior,0.07094334331878122,24.328760902215688,64.11461279618254
Fusión,AP0007,1,0.6561813002146002,tasa_feed_CaO_kg_min,50.77022117332176,-3063.3852743350567,49.57191841558162,-3063.3852743350567,810.5782418029844,frontera_alta,-0.024173015611263542,2.0311371810206232e-23,49.57191841558162
Fusión,AP0011,4,1.0,tasa_feed_Carbon_kg_min,47.52150089039522,-3430.9696601342785,44.221686849199116,-3370.6763953566683,594.0618830073659,óptimo_interior,-0.08293938382896575,24.328760902215688,64.11461279618254
Fusión,AP0011,4,1.0,tasa_feed_CaO_kg_min,3.58245373437211e-23,-3412.4599877538085,2.0311371810206232e-23,-3412.4599877538085,556.8791885079445,frontera_baja,-3.129426100370309e-25,2.0311371810206232e-23,49.57191841558162
Fusión,AP0133,3,0.7115510699211721,tasa_feed_Carbon_kg_min,57.247578087148746,-2987.8004496582016,56.15744241738916,-2966.1502924843862,606.7291447585794,óptimo_interior,-0.02740008364442969,24.328760902215688,64.11461279618254
Fusión,AP0133,3,0.7115510699211721,tasa_feed_CaO_kg_min,38.377558555898744,-3016.502570240722,44.61472657402346,-2926.6418322019567,1198.3650371105691,frontera_alta,0.1258205899121351,2.0311371810206232e-23,49.57191841558162
Fusión,AP0224,5,0.6600350542593778,tasa_feed_Carbon_kg_min,50.355723408633054,-3074.8758209363655,50.18956463329414,-3074.8758209363655,676.3231426019588,óptimo_interior,-0.004176328202843148,24.328760902215688,64.11461279618254
Fusión,AP0224,5,0.6600350542593778,tasa_feed_CaO_kg_min,45.14197360824489,-3070.704562620171,44.61472657402346,-3070.704562620171,1016.9129087911829,frontera_alta,-0.010636002218056297,2.0311371810206232e-23,49.57191841558162
Fusión,AP0107,3,0.7467421645450525,tasa_feed_Carbon_kg_min,48.98390418572154,-3007.448906152639,50.18956463329414,-2984.400278638047,380.13193020368817,óptimo_interior,0.03030374844770949,24.328760902215688,64.11461279618254
Fusión,AP0107,3,0.7467421645450525,tasa_feed_CaO_kg_min,43.035300947980176,-2993.109462980658,44.61472657402346,-2981.2433552007137,874.4975601318542,frontera_alta,0.03186129721271451,2.0311371810206232e-23,49.57191841558162
