n_escalones_evaluados,fusion_sn_extraido_adicional_kg,reduccion_sn_extraido_adicional_kg,reduccion_feo_reducido_adicional_kg,metal_equivalente_kg,uplift_J_total_kgSn,pct_escalones_con_mejora,support_medio_historico,support_medio_recomendado,Batch,fold,es_lockbox,dist_Fusión_tasa_feed_Carbon_kg_min,dist_Fusión_tasa_feed_CaO_kg_min,dist_Reducción_tasa_feed_Carbon_kg_min,dist_Reducción_tasa_gn_nm3_min,dist_Reducción_tasa_o2_nm3_min,dist_Reducción_tasa_aire_nm3_min,dist_Reducción_duracion_plan_min,dir_Fusión_tasa_feed_Carbon_kg_min,dir_Fusión_tasa_feed_CaO_kg_min,dir_Reducción_tasa_feed_Carbon_kg_min,dir_Reducción_tasa_gn_nm3_min,dir_Reducción_tasa_o2_nm3_min,dir_Reducción_tasa_aire_nm3_min,dir_Reducción_duracion_plan_min,dist_total,dist_F,dist_R,pct_escalones_sin_cambio,rendimiento_proxy_batch,rendimiento_ha_batch,frac_sn_metal,frac_sn_dross,frac_sn_polvo,ley_sn_conc_batch_pct,ley_sn_carga_batch_pct,espesor_ladrillo_norm_mm,sn_cargado_batch_kg,temperatura_media_fusion,frac_carga_secundaria_media_fusion,fecha_inicio_batch,metal_equivalente_kg_por_t_cargada
10,-449.3839225525671,203.39375737506555,323.1582928475343,164.866179452639,596.5927695961377,90.0,0.4500015154604428,0.46634959740957116,AP0298,3,False,0.2030558569472598,0.37797793336913643,0.04307527727430785,0.0868436536166157,0.10546215397082975,0.22704999579434587,0.020558866003513587,-0.08119733416429781,0.3323720923781242,-0.04307527727430785,-0.0868436536166157,-0.10546215397082975,-0.22704999579434587,0.020558866003513587,0.15200339099657273,0.2905168951581981,0.09659798933192255,0.1,58.61201797619076,0.5981000000000001,0.5861201797619076,0.18104235932225402,0.23283746091583854,39.20999649,39.50461649479558,230.46563023032823,52034.61918268497,1080.2725789724955,0.47701259961819625,2026-07-29 03:57:00,3.1683940815214005
10,-1382.2570614270358,941.5805478800535,317.4444191354787,1026.0406401249247,1970.8415380185982,100.0,0.3721503939671183,0.4202368654047769,AP0299,3,False,0.52276974923275,0.6502004571375969,0.9264351766610088,1.2473095588380438,1.106273034312507,2.5769340450969924,0.8231993385735343,-0.3796917254142061,0.6242738105935114,0.8652079570141368,1.212467882092637,0.9070236097963453,-1.554624537710974,0.6524930489115286,1.121874479978919,0.5864851031851734,1.3360302306964171,0.0,66.914701893064,0.6828,0.66914701893064,0.14568374322216732,0.18516923784719272,39.20999649,39.446883271131604,230.46563023032823,53720.527197288895,1037.4674976944302,0.4757217424347729,2026-07-29 11:24:00,19.099601095811764
10,-2238.0030644948547,733.1648035212427,-113.26104948803822,1058.0835167519851,3030.3055902978917,90.0,0.2863018724781769,0.3795057922449375,AP0300,-1,True,0.8434327631576725,0.6293319833955656,0.35030296916388076,0.7814896477140508,0.5172028848456645,1.5708144086958544,0.2983157653663028,0.4225688033246812,0.6293319833955656,0.3113072987820479,0.7814896477140508,0.47084893989695226,-1.5708144086958544,0.2983157653663028,0.7129843460484272,0.736382373276619,0.7036251351571507,0.1,61.295334254739316,0.6255,0.6129533425473932,0.1980953537513303,0.18895130370127652,39.20999649,39.44056350479159,229.4263017781532,53393.69623139887,1024.950498400765,0.4798008506104433,2026-07-29 18:58:00,19.816637382930704
10,-1737.5097610672883,1043.4516378835174,-354.02479829756146,1375.5353463115332,2637.071426083493,100.0,0.3770787383704088,0.4366210977136983,AP0301,-1,True,0.7661875704255493,0.5752896814154839,0.4118824284190857,0.6441838998426583,0.7508211941115943,1.1512257609252186,0.19729511176383005,0.3156159609978271,0.5752896814154839,0.26693635842471325,0.5529773732413036,0.5945182584410754,-1.1512257609252186,0.19729511176383005,0.642412235271917,0.6707386259205166,0.6310816790124775,0.0,63.655865098284764,0.6494,0.6365586509828477,0.11554380159096392,0.2478975474261884,39.20999649,39.562743125177946,227.6074769868469,52696.954188127966,1032.6898923912051,0.48249550171320965,2026-07-30 02:26:00,26.102748583929085
10,-1064.0346802654744,822.4276689001404,455.31354576835935,824.1581136041443,1717.6869210750378,90.0,0.33360785929690034,0.37670866157962496,AP0302,-1,True,0.6828749187487713,0.46218443822002914,0.10222495201091071,0.2672536196271893,0.14557939908218823,1.1609007639938946,0.32837186545950053,0.4847564933434092,0.46218443822002914,0.09510896680173407,-0.23825096422642192,-0.10910917480457255,-1.1609007639938946,-0.250715475280911,0.4499128510203549,0.5725296784844002,0.4008661200347367,0.1,68.96048025564419,0.7037,0.6896048025564419,0.15188331627714208,0.15851188116641607,39.20999649,39.44570014020243,227.6074769868469,53574.94629428877,1051.9095525772675,0.48007444884377254,2026-07-30 10:50:00,15.383274657468052
10,-1451.4756347194916,910.682416376882,1323.752724813442,702.2484314463833,2643.927365387214,100.0,0.31089289661404845,0.3982141142491077,AP0303,-1,True,0.7977877879079808,0.8525537547033147,0.11338412323064069,0.45495755936734517,0.32870822353586926,1.005975086159541,0.32619674263674214,-0.08961662480670929,-0.05541863564435926,0.1092203425077118,0.3232490300869866,0.03244395543407735,-1.005975086159541,-0.32619674263674214,0.554223325363062,0.8251707713056478,0.4458443469860277,0.0,67.95762562185553,0.6934,0.6795762562185553,0.12973971213390775,0.19068403164753686,37.46618825284555,38.586603879089886,227.2154822417463,50209.86584287377,1039.5559265174445,0.39744945607416104,2026-07-30 18:42:00,13.986263847905752
10,-452.2285883147006,359.0156286529244,-92.28692531505686,445.4914227283525,2998.3571663513994,100.0,0.32642267410671566,0.44902029288802475,AP0304,-1,True,0.8943889042523674,0.20129846802648974,0.13889272192476063,0.9626618308039604,0.4103324290087981,1.2572775949274877,0.3195843594245996,-0.07238628782351861,0.09693801027858617,0.032083302518242804,0.761990580819881,0.28709946729433994,-1.2572775949274877,-0.2961312935575624,0.597776615481209,0.5478436861394286,0.6177497872179213,0.0,65.25104153742109,0.6658,0.652510415374211,0.12488041385783327,0.22260917076795578,37.46618825284555,38.574084091057365,226.1701629214779,49904.90822043563,1030.4428711957348,0.3933191851521637,2026-07-31 02:00:00,8.926805771499799
10,-517.600072566293,360.4740759841802,379.5431824134727,313.8991306937565,1268.5372071758613,80.0,0.36268963584218933,0.4063987220414983,AP0305,-1,True,0.4458419541487258,0.19943415023226937,0.2786133929947681,0.27469328295395645,0.2460620305970706,0.5692155237601303,0.20163797372593475,0.43977760196007987,0.06564356591994593,0.18754190588398845,0.007577547866487608,0.07089442738272145,-0.5692155237601303,0.17193155515729022,0.3164997583446936,0.32263805219049757,0.3140444408063721,0.2,74.24538638795586,0.7576,0.7424538638795586,0.12025944203856943,0.137286694081872,37.46618825284555,38.619481934755484,226.1701629214779,50154.50473129425,989.4824558311363,0.3955889646391458,2026-07-31 10:33:00,6.258642815346096
10,-1137.726682994577,541.504779549547,114.49587245522679,655.0604866022741,1665.7563490342957,100.0,0.3879411823171643,0.4364249741724942,AP0306,-1,True,0.5760307101251859,0.6168618372788509,0.0615153426366801,0.12725154636930616,0.18421516984635947,0.46812158692461514,0.0926290066806662,0.3661269810522075,0.3920845550117596,0.057351561913751195,-0.011869928622190475,-0.1501318718913061,-0.07167489473285363,-0.0926290066806662,0.3038035999802377,0.5964462737020184,0.1867465304915254,0.0,70.45913240780253,0.7190000000000001,0.7045913240780254,0.12942092367943678,0.16598775224253792,37.46618825284555,38.74725138632628,226.09847773257823,51274.9619313306,992.9442905333219,0.3998469561121437,2026-07-31 17:47:00,12.775445596226016
10,-1229.8268601183709,440.7093121433109,124.3700647956532,563.2757845200032,1327.7749461446647,100.0,0.42195208842722653,0.4572806328637428,AP0307,-1,True,0.3448468909047546,0.3242495730589769,0.169801963420125,0.15018459560042172,0.1501288368401036,0.12015413639412478,0.05023021655928438,-0.14116188768317595,0.3242495730589769,-0.06955911665039324,0.012278257729086833,-0.1501288368401036,0.08787729074309925,0.03327361052534297,0.18708517325397014,0.3345482319818658,0.1280999497628119,0.0,69.59642918083054,0.7094,0.6959642918083054,0.058483639799920016,0.2455520683917745,41.449812264285704,40.91454650843927,225.38162584358167,53540.43700374028,1039.3257446022958,0.3830421115665669,2026-08-01 01:35:00,10.520567556829118
