kpi,modelo,muestra,variable,coef_por_sd,ci_lo,ci_hi,p,r2_adj,n,significativa,consistente
f_metal,M3_Conjunto,lockbox,ley_sn_conc_batch_pct,-0.024045752381971153,-0.09141141284769017,0.04331990808374786,0.4841790658981686,0.01292140031057143,63,False,True
f_metal,M3_Conjunto,lockbox,espesor_ladrillo_norm_mm,0.025992410518000886,-0.5955385545594911,0.6475233755954928,0.9346740301991007,0.01292140031057143,63,False,False
f_metal,M3_Conjunto,lockbox,frac_carga_secundaria_F,-0.011866825832845082,-0.24911003237629925,0.22537638071060911,0.9219031172744472,0.01292140031057143,63,False,False
f_metal,M3_Conjunto,lockbox,feed_dross_Fe_total_t,-0.04469827928058341,-0.18702805423096397,0.09763149566979716,0.5382104632790357,0.01292140031057143,63,False,True
f_metal,M4_Mecanismo,dev,F_avance_final,-0.005850358064775574,-0.013485959914678929,0.001785243785127782,0.13317095599503861,0.09531554510167406,276,False,True
f_metal,M4_Mecanismo,dev,FeO_reducido_R_t,-0.01394667049696761,-0.02494476813805082,-0.0029485728558844015,0.012939602193628842,0.09531554510167406,276,True,False
f_metal,M4_Mecanismo,dev,selectividad_R,0.002186895338387576,-0.006032686170680439,0.010406476847455591,0.6020418619508727,0.09531554510167406,276,False,True
f_metal,M4_Mecanismo,dev,feed_sn_total_t,0.0029792164552896253,-0.003981232651044309,0.00993966556162356,0.40152250915348453,0.09531554510167406,276,False,True
f_metal,M4_Mecanismo,dev,ley_sn_conc_batch_pct,-0.006916750113100036,-0.014932266442591515,0.001098766216391444,0.09078098843465085,0.09531554510167406,276,False,False
f_metal,M4_Mecanismo,dev,espesor_ladrillo_norm_mm,-0.0017385803529564548,-0.010048976631539832,0.006571815925626921,0.6817801372600969,0.09531554510167406,276,False,False
f_metal,M4_Mecanismo,dev,frac_carga_secundaria_F,0.002398523865006417,-0.008314564678734508,0.013111612408747341,0.6607985368899254,0.09531554510167406,276,False,False
f_metal,M4_Mecanismo,dev,feed_dross_Fe_total_t,-0.010321972778285747,-0.02198939114087675,0.0013454455843052559,0.08292733802063115,0.09531554510167406,276,False,False
f_metal,M4_Mecanismo,total,F_avance_final,-0.006948160800191573,-0.013881426926168892,-1.4894674214253542e-05,0.04950985222563427,0.07728718114950861,337,True,True
f_metal,M4_Mecanismo,total,FeO_reducido_R_t,-0.011827532714618604,-0.021452722706271497,-0.002202342722965711,0.01602156368296259,0.07728718114950861,337,True,False
