fase,target,variante,palanca,theta_unidad,theta_1sd,ci_lo,ci_hi,significativo,signo_teorico,concuerda
Reducción,feo_extraido_est_kg,v1,duracion_plan_min,-4.732854545333244,-27.826749852884436,-126.97933483622907,60.69178241632603,False,1,False
Reducción,d_temperatura_horno_celsius,v1,tasa_gn_nm3_min,0.5474224698119013,2.7376304375333245,0.48205137696505035,4.9741573660437295,True,1,True
Reducción,d_temperatura_horno_celsius,v1,tasa_o2_nm3_min,-0.5026726852436469,-4.416093305753868,-6.971405086429157,-1.5834321012166264,True,0,
Reducción,d_temperatura_horno_celsius,v1,tasa_aire_nm3_min,-0.0726821780114954,-0.7364683048371463,-1.5135597562815906,0.04410534010990322,False,-1,True
Reducción,d_temperatura_horno_celsius,v1,tasa_feed_Carbon_kg_min,0.1573405680631009,3.461455701261466,0.919599652147497,6.5529753291287065,True,-1,False
Reducción,d_temperatura_horno_celsius,v1,duracion_plan_min,0.13317114050228968,0.8260148897937638,-10.222084448216993,11.727511326196698,False,0,
Fusión,frac_sn_extraido_escalon,A_frac_a_kg,relacion_C_Sn_carga,-0.2615411941682456,-0.013501406955816501,-0.04448771989046163,0.01736362679015006,False,1,False
Fusión,frac_sn_extraido_escalon,A_frac_a_kg,relacion_CaO_carga,-3.2007250572965167,-0.07488936147774317,-0.11157837848268812,-0.04505168575205075,True,-1,True
Fusión,frac_sn_extraido_escalon,A_frac_a_kg,carga_termica_relativa,-0.4611054422670977,-0.005643127855224226,-0.02207066644859981,0.011116777964603013,False,1,False
Fusión,frac_sn_extraido_escalon,A_frac_a_kg,exceso_o2_combustion_pct,0.0005103104591962712,0.0013889474950733122,-0.004110460243788831,0.00911057376956403,False,0,
Fusión,frac_sn_extraido_escalon,A_frac_a_kg,tasa_feed_total_kg_min,-8.438785815467753e-06,-0.0003334307376045182,-0.01528596593453176,0.015142265041739374,False,1,False
Fusión,frac_sn_extraido_escalon,A_frac_a_kg,duracion_plan_min,0.0031009404867090584,0.030649662637740417,0.005826634353899498,0.05854999207037722,True,1,True
Fusión,frac_sn_extraido_escalon,A_frac_a_kg,_relC_sq,0.6213609422553227,0.018155845773562072,-0.011064224277634718,0.045859941542057844,False,-1,False
Fusión,frac_sn_extraido_escalon,A_frac_a_kg,_relCaO_sq,8.417421457122803,0.027172499676728145,0.006899591864173216,0.05173463685209648,True,-1,False
Fusión,sn_extraido_est_kg,B_kg_directo,relacion_C_Sn_carga,2544.501992266123,131.35352160000895,-376.31473844561725,593.0666855326973,False,1,True
Fusión,sn_extraido_est_kg,B_kg_directo,relacion_CaO_carga,-31514.32494967391,-737.3603263744969,-1301.745529682402,-371.0944711471188,True,-1,True
Fusión,sn_extraido_est_kg,B_kg_directo,carga_termica_relativa,486.22268190311684,5.950519140695669,-95.89613150486488,156.6965787536179,False,1,True
Fusión,sn_extraido_est_kg,B_kg_directo,exceso_o2_combustion_pct,20.219047993264283,55.03159019558795,0.8480280219794312,150.80499739475295,True,0,
Fusión,sn_extraido_est_kg,B_kg_directo,tasa_feed_total_kg_min,-4.264255127565775,-168.48795118273713,-330.6401553867481,7.601968248689922,False,1,False
Fusión,sn_extraido_est_kg,B_kg_directo,duracion_plan_min,32.41582283555332,320.39764655041193,-155.1836742843957,988.1767365258429,False,1,True
Fusión,sn_extraido_est_kg,B_kg_directo,_relC_sq,-1903.227619181095,-55.61132793511965,-472.47203160565726,404.7650258759925,False,-1,True
Fusión,sn_extraido_est_kg,B_kg_directo,_relCaO_sq,101484.38977189753,327.60442878102265,65.32230742043352,674.6024573032868,True,-1,False
Fusión,sn_extraido_est_kg,B_kg_directo,feed_Sn_kgf,0.7971400313908816,1763.8234911114746,1428.6186530795244,2019.4450921605962,True,1,True
