Batch,fase,orden_escalon_fase,avance_reduccion_sn_prev,ley_sn_escoria_pct_prev,sn_extraido_real_kg,feo_extraido_real_kg,temperatura_real,pred_sn_kg_historico,pred_sn_kg_recomendado,pred_feo_reducido_kg_historico,pred_feo_reducido_kg_recomendado,pred_T_historico,pred_T_recomendado,support_historico,support_recomendado,J_historico,J_recomendado,uplift_J_kgSn,J_sn_hist,J_sn_rec,J_feo_hist,J_feo_rec,J_costo_hist,J_costo_rec,J_temperatura_hist,J_temperatura_rec,J_soporte_hist,J_soporte_rec,hist__duracion_plan_min,rec__duracion_plan_min,hist__tasa_feed_conc_kg_min,rec__tasa_feed_conc_kg_min,hist__tasa_feed_reciclo_kg_min,rec__tasa_feed_reciclo_kg_min,hist__tasa_feed_Fe_kg_min,rec__tasa_feed_Fe_kg_min,hist__tasa_feed_dross_Fe_kg_min,rec__tasa_feed_dross_Fe_kg_min,hist__tasa_feed_pellets_kg_min,rec__tasa_feed_pellets_kg_min,hist__tasa_feed_CaO_kg_min,rec__tasa_feed_CaO_kg_min,hist__tasa_feed_Carbon_kg_min,rec__tasa_feed_Carbon_kg_min,hist__tasa_gn_nm3_min,rec__tasa_gn_nm3_min,hist__tasa_o2_nm3_min,rec__tasa_o2_nm3_min,hist__tasa_aire_nm3_min,rec__tasa_aire_nm3_min,hist_derivada__exceso_o2_combustion_pct,rec_derivada__exceso_o2_combustion_pct,hist_derivada__relacion_C_Sn_carga,rec_derivada__relacion_C_Sn_carga,fold,es_lockbox
AP0002,Fusión,1,0.8923895489070387,9.3012,3398.371174469008,-1913.373616421048,1299.2700809478642,2861.3819678672726,2861.3819678672726,,,1292.8867355800603,1292.8867355800603,0.1189866901827762,0.1189866901827762,-1164.639595365392,-1164.639595365392,0.0,-162.3190029834168,-162.3190029834168,-282.8195607007179,-282.8195607007179,-99.24736608717178,-99.24736608717178,-170.74744415107853,-170.74744415107853,-440.5066549086119,-440.5066549086119,35.0,35.0,292.90078486689816,292.90078486689816,1.4398610499979896e-18,1.4398610499979896e-18,54.85773134584772,54.85773134584772,8.080525657587182e-24,8.080525657587182e-24,0.0010603485646209,0.0010603485646209,44.45665124963832,44.45665124963832,34.75911373562283,34.75911373562283,25.263929646809896,25.263929646809896,33.97654548766121,33.97654548766121,122.6278503999256,122.6278503999256,18.208835495208785,18.208835495208785,0.2261302060534667,0.2261302060534667,0,False
AP0002,Fusión,2,0.7384431290081397,16.6578,2728.8624927678925,-1465.5785256842732,1314.0402202686705,3400.9925670852813,3400.9925670852813,,,1289.8477131431798,1289.8477131431798,0.1402557623045799,0.1402557623045799,-1067.4023532266488,-1067.4023532266488,0.0,-78.90889174087164,-78.90889174087164,-278.9976590294555,-278.9976590294555,-105.954717796899,-105.954717796899,-164.66939927731755,-164.66939927731755,-429.87211884771006,-429.87211884771006,40.0,40.0,241.66538823064096,241.66538823064096,1.4398610499979896e-18,1.4398610499979896e-18,42.73488645203475,42.73488645203475,8.080525657587182e-24,8.080525657587182e-24,0.0001159210682196,0.0001159210682196,37.45590190721271,37.45590190721271,31.29612696316033,31.29612696316033,24.95900527954101,24.95900527954101,33.52914383782281,33.52914383782281,123.26221754286024,123.26221754286024,19.02359259991321,19.02359259991321,0.2497011037637234,0.2497011037637234,0,False
AP0002,Fusión,3,0.6695399442638845,20.265,4772.404739653895,-1353.5369181470037,1328.081161909652,4344.11314202635,4344.11314202635,,,1307.2150177270423,1307.2150177270423,0.1359326344796188,0.1359326344796188,-1103.8440946288392,-1103.8440946288392,0.0,-43.03033051620544,-43.03033051620544,-300.8389358850882,-300.8389358850882,-119.5375704879174,-119.5375704879174,-199.40400844504256,-199.40400844504256,-432.0336827601906,-432.0336827601906,45.0,45.0,237.08168499577485,237.08168499577485,1.4398610499979896e-18,1.4398610499979896e-18,42.595630423614,42.595630423614,0.0569877053244282,0.0569877053244282,0.0009258318048809,0.0009258318048809,35.49168813770601,35.49168813770601,32.05206493874285,32.05206493874285,24.37942170696494,24.37942170696494,32.24045571409626,32.24045571409626,123.52244912229938,123.52244912229938,19.322293057422414,19.322293057422414,0.2598400411661522,0.2598400411661522,0,False
AP0002,Fusión,4,0.72320388069582,17.629,2875.018447594652,-2567.8169019853167,1333.0329183609545,5226.190206393547,5226.190206393547,,,1322.17069548744,1322.17069548744,0.2333239134558325,0.2333239134558325,-980.7643719894633,-980.7643719894633,0.0,131.27323136483062,131.27323136483062,-319.6473293782268,-319.6473293782268,-170.7373002037502,-170.7373002037502,-229.3153639658381,-229.3153639658381,-383.3380432720838,-383.3380432720838,50.0,50.0,281.9811270793553,281.9811270793553,1.4398610499979896e-18,1.4398610499979896e-18,52.7004505721768,52.7004505721768,4.279598810826319e-20,4.279598810826319e-20,0.0019799658982425,0.0019799658982425,44.00619554356174,44.00619554356174,45.720362106239655,45.720362106239655,25.821520494249132,25.821520494249132,35.408228393554694,35.408228393554694,123.0849757215712,123.0849757215712,18.614380800556173,18.614380800556173,0.3090965565505325,0.3090965565505325,0,False
AP0002,Fusión,5,0.6318281998420364,20.9924,7500.757457325093,-855.5545041567548,1315.354084593162,6536.644454717081,6536.644454717081,,,1316.9169707252602,1316.9169707252602,0.1553595147079726,0.1553595147079726,-857.9345911790117,-857.9345911790117,0.0,303.1925008516056,303.1925008516056,-313.04019834646687,-313.04019834646687,-197.9591700622636,-197.9591700622636,-218.80791444147823,-218.80791444147823,-422.3202426460136,-422.3202426460136,55.0,55.0,262.0345924551888,262.0345924551888,1.4398610499979896e-18,1.4398610499979896e-18,49.23786954624763,49.23786954624763,4.2795988108263204e-20,4.2795988108263204e-20,0.0015737281074215,0.0015737281074215,40.93283070155552,40.93283070155552,49.220043939635865,49.220043939635865,25.99743381488649,25.99743381488649,35.83324260673138,35.83324260673138,122.46985050702337,122.46985050702337,18.380744137063253,18.380744137063253,0.3576792937646253,0.3576792937646253,0,False
AP0002,Fusión,6,0.7103146146975498,18.6521,13361.818518268656,-3544.6862097957783,1277.1968162671606,7635.032273904405,7635.032273904405,,,1296.434320478102,1296.434320478102,0.1643250148566148,0.1643250148566148,-847.912846560464,-847.912846560464,0.0,286.70236585263046,286.70236585263046,-287.2810350505709,-287.2810350505709,-242.6545043092744,-242.6545043092744,-177.84261394716168,-177.84261394716168,-417.83749257169256,-417.83749257169256,63.0,63.0,292.74306036565724,292.74306036565724,1.4398610499979896e-18,1.4398610499979896e-18,53.49175669310989,53.49175669310989,4.0474699770286585e-20,4.0474699770286585e-20,0.002000308719559,0.002000308719559,44.4181314077295,44.4181314077295,53.95611530317064,53.95611530317064,26.281275632646345,26.281275632646345,36.54147644219882,36.54147644219882,122.9209445812084,122.9209445812084,18.629848253628847,18.629848253628847,0.3530193397194986,0.3530193397194986,0,False
AP0002,Reducción,0,0.7699241950178262,15.249,8543.606560411645,775.9961373745464,1252.5006195267988,9771.15078000676,9771.15078000676,2308.0717038895373,2308.0717038895373,1259.05584788298,1259.05584788298,0.063651482602816,0.063651482602816,7410.237155595263,7410.237155595263,0.0,9771.15078000676,9771.15078000676,-1384.8430223337225,-1384.8430223337225,-99.23517913651264,-99.23517913651264,-178.20925646631895,-178.20925646631895,-468.174258698592,-468.174258698592,30.0,30.0,,,,,,,2.76806658018272e-09,2.76806658018272e-09,0.0001671497049755,0.0001671497049755,,,48.93401318538786,48.93401318538786,21.85699074184345,21.85699074184345,20.542892302572437,20.542892302572437,99.57244811900576,99.57244811900576,-5.171972443111773,-5.171972443111773,,,0,False
AP0002,Reducción,1,0.9398138838677615,4.3802,1335.0988267386354,-117.29602658948896,1259.587720832462,1698.8955141061626,1698.8955141061626,1404.9592584973884,1404.9592584973884,1235.6692797786034,1235.6692797786034,0.1776534564207862,0.1776534564207862,7.606869675809094,7.606869675809094,0.0,1698.8955141061626,1698.8955141061626,-842.975555098433,-842.975555098433,-75.25178950839575,-75.25178950839575,-131.43612025756556,-131.43612025756556,-411.1732717896069,-411.1732717896069,25.0,25.0,,,,,,,0.0,0.0,0.0,0.0,,,40.05152709960939,40.05152709960939,25.714768371582032,25.714768371582032,23.60521742078993,23.60521742078993,121.1510972764757,121.1510972764757,-4.632724782672534,-4.632724782672534,,,0,False
AP0002,Reducción,2,0.9667909582175248,2.5081,752.5369620228224,802.0908077937893,1237.5127113048793,710.6498089013685,710.6498089013685,1154.323139342402,1154.323139342402,1267.8174451097468,1267.8174451097468,0.201419610344108,0.201419610344108,-842.6602072956496,-842.6602072956496,0.0,710.6498089013685,710.6498089013685,-692.5938836054412,-692.5938836054412,-35.24157906742612,-35.24157906742612,-195.73245091985245,-195.73245091985245,-399.290194827946,-399.290194827946,20.0,20.0,,,,,,,0.0,0.0,0.0,0.0,,,19.54537619938926,19.54537619938926,21.27144466824001,21.27144466824001,14.666680335464264,14.666680335464264,120.01602043999564,120.01602043999564,-6.282706112122823,-6.282706112122823,,,0,False
AP0002,Reducción,3,0.9819962092180676,1.3397,213.4704819350042,1167.0826472530462,1240.1655592857196,336.22495993621163,336.22495993621163,1221.7422072517456,1221.7422072517456,1235.1909791251574,1235.1909791251574,0.2685653299196167,0.2685653299196167,-1137.6385437511933,-1137.6385437511933,0.0,336.22495993621163,336.22495993621163,-733.0453243510474,-733.0453243510474,-14.1694175691401,-14.1694175691401,-130.47951895067354,-130.47951895067354,-365.7173350401917,-365.7173350401917,15.0,15.0,,,,,,,0.0,0.0,0.0,0.0,,,5.740853294284865,5.740853294284865,18.66490333193824,18.66490333193824,9.763807327028305,9.763807327028305,118.83897564600385,118.83897564600385,-6.991234845351739,-6.991234845351739,,,0,False
