estado,avance_objetivo,n_rep,ventana,variable_barrida,valor,sn_kg_pred,feo_kg_pred,J
R1,0.93,120,0.03,tasa_feed_Carbon_kg_min,50.0,1752.4200611602153,544.3681750137791,1589.1096086560815
R1,0.93,120,0.03,tasa_feed_Carbon_kg_min,55.0,1770.1314296774833,531.794973722305,1610.5929375607918
R1,0.93,120,0.03,tasa_feed_Carbon_kg_min,60.0,1787.8427981947516,519.2217724308308,1632.0762664655024
R1,0.93,120,0.03,tasa_feed_Carbon_kg_min,65.0,1805.5541667120199,506.6485711393563,1653.559595370213
R1,0.93,120,0.03,tasa_feed_Carbon_kg_min,70.0,1823.2655352292882,494.0753698478824,1675.0429242749235
R1,0.93,120,0.03,tasa_gn_nm3_min,10.380907532254955,1450.3088041798335,705.1207687516691,1238.7725735543327
R1,0.93,120,0.03,tasa_gn_nm3_min,11.753752936103767,1472.9219794648895,694.3848008923217,1264.6065391971931
R1,0.93,120,0.03,tasa_gn_nm3_min,13.12659833995258,1495.5351547499458,683.6488330329743,1290.4405048400536
R1,0.93,120,0.03,tasa_gn_nm3_min,14.499443743801393,1518.148330035002,672.9128651736269,1316.2744704829138
R1,0.93,120,0.03,tasa_gn_nm3_min,15.872289147650205,1540.7615053200582,662.1768973142795,1342.1084361257745
R1,0.93,120,0.03,tasa_gn_nm3_min,17.245134551499017,1563.3746806051142,651.4409294549321,1367.9424017686347
R1,0.93,120,0.03,tasa_gn_nm3_min,18.61797995534783,1585.9878558901705,640.7049615955847,1393.7763674114951
R1,0.93,120,0.03,tasa_gn_nm3_min,19.99082535919664,1608.6010311752266,629.9689937362373,1419.6103330543554
R1,0.93,120,0.03,tasa_gn_nm3_min,21.363670763045455,1631.2142064602829,619.2330258768899,1445.4442986972158
R1,0.93,120,0.03,tasa_gn_nm3_min,22.73651616689427,1653.827381745339,608.4970580175425,1471.2782643400762
R1,0.93,120,0.03,tasa_gn_nm3_min,24.10936157074308,1676.440557030395,597.7610901581951,1497.1122299829365
R1,0.93,120,0.03,tasa_gn_nm3_min,25.482206974591893,1699.0537323154513,587.0251222988477,1522.946195625797
R1,0.93,120,0.03,tasa_gn_nm3_min,26.855052378440707,1721.6669076005073,576.2891544395003,1548.7801612686571
R1,0.93,120,0.03,tasa_gn_nm3_min,28.227897782289517,1744.2800828855636,565.5531865801529,1574.6141269115178
R1,0.93,120,0.03,tasa_gn_nm3_min,29.60074318613833,1766.8932581706197,554.8172187208055,1600.448092554378
R1,0.93,120,0.03,exceso_o2_combustion_pct,-14.189854185897381,1684.9386813827075,667.4598480558296,1484.7007269659587
R1,0.93,120,0.03,exceso_o2_combustion_pct,-9.663934500168137,1682.10755279536,635.0385922256746,1491.5959751276578
