analisis,subset,n,variable,coef,se,p,ci95_lo,ci95_hi,r2,metodo
PLACEBO_OLS_frac_sn_polvo,TOTAL,356,temperatura_media_fusion,0.00012047476403771666,4.341743617678716e-05,0.005523542114289614,3.537815283014741e-05,0.00020557137524528592,0.059904658475964156,ols_hc3_placebo
PLACEBO_OLS_frac_sn_polvo,TOTAL,356,frac_carga_secundaria_media_fusion,0.034221324075642684,0.027396514094915624,0.21162398453455156,-0.019474856852335895,0.08791750500362126,0.059904658475964156,ols_hc3_placebo
correlacion_placebo,TOTAL,357,frac_sn_polvo~dist_total_placebo,0.02789814689292954,,0.5993235042751016,,,,spearman_placebo
permutacion_dist_total,DEV,293,coef_dist_total_vs_null,1.06374018997546,1.1975651288769784,0.364,-2.296925824881534,2.351254526756648,,permutacion_1000
permutacion_dist_total,LOCKBOX,63,coef_dist_total_vs_null,-2.3722770366300114,2.5415288622774272,0.366,-5.107775213210399,5.009653872255274,,permutacion_1000
permutacion_dist_total,TOTAL,356,coef_dist_total_vs_null,0.6097582976913518,0.9777377578326015,0.522,-1.9289019779223724,1.9096894981427324,,permutacion_1000
direccional_ttest,DEV,293,Fusión_tasa_feed_Carbon_kg_min_dirmenos,0.33577565188855374,,0.5382629643148493,,,,ttest_welch
OLS_direccional_Fusión_tasa_feed_Carbon_kg_min,DEV,293,Intercept,77.8377638468144,11.1142919882056,2.498352673336386e-12,56.05415183626935,99.62137585735945,0.01904684167564963,ols_hc3_direccional
OLS_direccional_Fusión_tasa_feed_Carbon_kg_min,DEV,293,en_direccion_deseada,0.2254632698863216,0.5728797182049714,0.6939049796244263,-0.8973603452688775,1.3482868850415208,0.01904684167564963,ols_hc3_direccional
OLS_direccional_Fusión_tasa_feed_Carbon_kg_min,DEV,293,ley_sn_conc_batch_pct,-0.30744969535348865,0.23933031881822803,0.19892338074925364,-0.7765285006457043,0.16162910993872703,0.01904684167564963,ols_hc3_direccional
OLS_direccional_Fusión_tasa_feed_Carbon_kg_min,DEV,293,ley_sn_carga_batch_pct,0.13886163584048708,0.30245691637383765,0.646153654183679,-0.45394302712727774,0.7316662988082518,0.01904684167564963,ols_hc3_direccional
OLS_direccional_Fusión_tasa_feed_Carbon_kg_min,DEV,293,espesor_ladrillo_norm_mm,-0.001024969115280491,0.02823493141254382,0.9710419891290996,-0.05636441778982502,0.05431447955926403,0.01904684167564963,ols_hc3_direccional
OLS_direccional_Fusión_tasa_feed_Carbon_kg_min,DEV,293,sn_cargado_batch_kg,-3.606692450599688e-05,0.0001335813031209721,0.7871604110420442,-0.00029788146763103015,0.00022574761861903636,0.01904684167564963,ols_hc3_direccional
OLS_direccional_Fusión_tasa_feed_Carbon_kg_min,DEV,293,temperatura_media_fusion,0.0016565485733793706,0.006891117166128335,0.8100287264548726,-0.011849792885477885,0.015162890032236627,0.01904684167564963,ols_hc3_direccional
OLS_direccional_Fusión_tasa_feed_Carbon_kg_min,DEV,293,frac_carga_secundaria_media_fusion,-4.385932000165075,4.164871089936595,0.2923054778759233,-12.54892933669288,3.777065336362731,0.01904684167564963,ols_hc3_direccional
direccional_ttest,LOCKBOX,63,Fusión_tasa_feed_Carbon_kg_min_dirmenos,-1.1276215350350896,,0.3061721059796457,,,,ttest_welch
OLS_direccional_Fusión_tasa_feed_Carbon_kg_min,LOCKBOX,63,Intercept,61.51223229389655,98.11195737055944,0.5306857261041387,-130.78367060512906,253.80813519292215,0.15027210898164323,ols_hc3_direccional
OLS_direccional_Fusión_tasa_feed_Carbon_kg_min,LOCKBOX,63,en_direccion_deseada,0.4419282809664482,1.3232274318730783,0.7383964851123499,-2.1515498288602135,3.03540639079311,0.15027210898164323,ols_hc3_direccional
OLS_direccional_Fusión_tasa_feed_Carbon_kg_min,LOCKBOX,63,ley_sn_conc_batch_pct,-0.38526726202426076,2.630937760394449,0.8835762315566315,-5.541810517963851,4.77127599391533,0.15027210898164323,ols_hc3_direccional
OLS_direccional_Fusión_tasa_feed_Carbon_kg_min,LOCKBOX,63,ley_sn_carga_batch_pct,0.6263359429782476,4.100687969507013,0.8786039187995341,-7.410864789092182,8.663536675048677,0.15027210898164323,ols_hc3_direccional
OLS_direccional_Fusión_tasa_feed_Carbon_kg_min,LOCKBOX,63,espesor_ladrillo_norm_mm,0.24182582601554126,0.5714137198956366,0.6721448274928061,-0.878124485251965,1.3617761372830475,0.15027210898164323,ols_hc3_direccional
OLS_direccional_Fusión_tasa_feed_Carbon_kg_min,LOCKBOX,63,sn_cargado_batch_kg,0.00012303902321969692,0.0007102463825258347,0.8624672766361083,-0.0012690183066807975,0.0015150963531201914,0.15027210898164323,ols_hc3_direccional
OLS_direccional_Fusión_tasa_feed_Carbon_kg_min,LOCKBOX,63,temperatura_media_fusion,-0.03542848873553439,0.026734002955745285,0.18509753220384284,-0.0878261716913825,0.01696919422031372,0.15027210898164323,ols_hc3_direccional
OLS_direccional_Fusión_tasa_feed_Carbon_kg_min,LOCKBOX,63,frac_carga_secundaria_media_fusion,-66.84906187085727,42.4777713663189,0.11554705870651287,-150.10396389236905,16.405840150654527,0.15027210898164323,ols_hc3_direccional
direccional_ttest,TOTAL,356,Fusión_tasa_feed_Carbon_kg_min_dirmenos,-0.03776831251470014,,0.9377761278301477,,,,ttest_welch
OLS_direccional_Fusión_tasa_feed_Carbon_kg_min,TOTAL,356,Intercept,72.63609485369352,10.617568613687233,7.85746492418222e-12,51.82604276748367,93.44614693990337,0.021266644840040816,ols_hc3_direccional
OLS_direccional_Fusión_tasa_feed_Carbon_kg_min,TOTAL,356,en_direccion_deseada,0.0534541614829549,0.5140127471772125,0.9171742337988062,-0.9539923105788739,1.0609006335447837,0.021266644840040816,ols_hc3_direccional
OLS_direccional_Fusión_tasa_feed_Carbon_kg_min,TOTAL,356,ley_sn_conc_batch_pct,-0.1335980624044839,0.21276651338268263,0.5300633893291686,-0.5506127657507013,0.28341664094173347,0.021266644840040816,ols_hc3_direccional
OLS_direccional_Fusión_tasa_feed_Carbon_kg_min,TOTAL,356,ley_sn_carga_batch_pct,0.3138823420678438,0.3029183720126214,0.3001114259518881,-0.27982675733240003,0.9075914414680877,0.021266644840040816,ols_hc3_direccional
OLS_direccional_Fusión_tasa_feed_Carbon_kg_min,TOTAL,356,espesor_ladrillo_norm_mm,-0.02283781856445395,0.019290144062086054,0.23644819646967108,-0.0606458061827318,0.014970169053823895,0.021266644840040816,ols_hc3_direccional
OLS_direccional_Fusión_tasa_feed_Carbon_kg_min,TOTAL,356,sn_cargado_batch_kg,-0.00010407447281274307,0.00014045274641658943,0.45869781031199053,-0.00037935679731899546,0.00017120785169350933,0.021266644840040816,ols_hc3_direccional
OLS_direccional_Fusión_tasa_feed_Carbon_kg_min,TOTAL,356,temperatura_media_fusion,0.002291749796193133,0.006242133699622902,0.7135130587333349,-0.009942607441751518,0.014526107034137785,0.021266644840040816,ols_hc3_direccional
OLS_direccional_Fusión_tasa_feed_Carbon_kg_min,TOTAL,356,frac_carga_secundaria_media_fusion,-3.8855737641326513,4.059529843776455,0.3384921994018186,-11.842106052100016,4.0709585238347135,0.021266644840040816,ols_hc3_direccional
direccional_ttest,DEV,293,Fusión_tasa_feed_CaO_kg_min_dirmas,0.36284869178560086,,0.5034011974100607,,,,ttest_welch
OLS_direccional_Fusión_tasa_feed_CaO_kg_min,DEV,293,Intercept,78.40359263971114,11.039018230212909,1.2260315244968103e-12,56.76751448381275,100.03967079560952,0.018473368691027114,ols_hc3_direccional
OLS_direccional_Fusión_tasa_feed_CaO_kg_min,DEV,293,en_direccion_deseada,-0.020310022524269073,0.5660313041563197,0.971376889089983,-1.1297109927928928,1.0890909477443544,0.018473368691027114,ols_hc3_direccional
OLS_direccional_Fusión_tasa_feed_CaO_kg_min,DEV,293,ley_sn_conc_batch_pct,-0.3149212175796846,0.23789124294792593,0.18556837273467774,-0.7811794859950876,0.15133705083571836,0.018473368691027114,ols_hc3_direccional
OLS_direccional_Fusión_tasa_feed_CaO_kg_min,DEV,293,ley_sn_carga_batch_pct,0.12696390953515727,0.3008865525047819,0.6730497993577063,-0.4627628968066353,0.7166907158769498,0.018473368691027114,ols_hc3_direccional
OLS_direccional_Fusión_tasa_feed_CaO_kg_min,DEV,293,espesor_ladrillo_norm_mm,-5.1212888443258595e-05,0.02826205797680641,0.9985541763917508,-0.055443828651966766,0.05534140287508025,0.018473368691027114,ols_hc3_direccional
OLS_direccional_Fusión_tasa_feed_CaO_kg_min,DEV,293,sn_cargado_batch_kg,-3.299391456254927e-05,0.0001352425388379128,0.8072609702436531,-0.0002980644198626179,0.00023207659073751935,0.018473368691027114,ols_hc3_direccional
OLS_direccional_Fusión_tasa_feed_CaO_kg_min,DEV,293,temperatura_media_fusion,0.0016588748987166725,0.006911872322614643,0.8103273919034424,-0.01188814591934724,0.015205895716780587,0.018473368691027114,ols_hc3_direccional
OLS_direccional_Fusión_tasa_feed_CaO_kg_min,DEV,293,frac_carga_secundaria_media_fusion,-4.5833408838479786,4.222212103800507,0.2776866717259153,-12.858724542386064,3.6920427746901074,0.018473368691027114,ols_hc3_direccional
direccional_ttest,LOCKBOX,63,Fusión_tasa_feed_CaO_kg_min_dirmas,-0.12301689648947445,,0.946809374678895,,,,ttest_welch
OLS_direccional_Fusión_tasa_feed_CaO_kg_min,LOCKBOX,63,Intercept,56.01667603693102,117.69253609915671,0.634104469947484,-174.65645596659633,286.6898080404584,0.14853386540818148,ols_hc3_direccional
OLS_direccional_Fusión_tasa_feed_CaO_kg_min,LOCKBOX,63,en_direccion_deseada,0.38855998913690115,4.6054416611712545,0.9327624527594203,-8.637939799659076,9.415059777932878,0.14853386540818148,ols_hc3_direccional
OLS_direccional_Fusión_tasa_feed_CaO_kg_min,LOCKBOX,63,ley_sn_conc_batch_pct,-0.29199131228945774,2.6580038203048195,0.9125254744748068,-5.5015830708567774,4.917600446277862,0.14853386540818148,ols_hc3_direccional
OLS_direccional_Fusión_tasa_feed_CaO_kg_min,LOCKBOX,63,ley_sn_carga_batch_pct,0.5184073248155308,4.224061677074846,0.9023231124692257,-7.760601430727027,8.797416080358088,0.14853386540818148,ols_hc3_direccional
OLS_direccional_Fusión_tasa_feed_CaO_kg_min,LOCKBOX,63,espesor_ladrillo_norm_mm,0.2546793435812882,0.5597760139702823,0.649133327242464,-0.8424614832098554,1.3518201703724317,0.14853386540818148,ols_hc3_direccional
OLS_direccional_Fusión_tasa_feed_CaO_kg_min,LOCKBOX,63,sn_cargado_batch_kg,0.0001528550575574985,0.000720450608951618,0.8319776027978688,-0.0012592021886276231,0.00156491230374262,0.14853386540818148,ols_hc3_direccional
