Batch,rendimiento_proxy_batch,fusion_carbon_total_kg,fusion_carbon_rate_mean,fusion_carbon_rate_cv,fusion_b2_mean,fusion_frac_b2_optimo,fusion_o2_exceso_mean,fusion_o2_exceso_std,fusion_duracion_total_min,fusion_ley_sn_pico,fusion_ley_sn_final,fusion_temp_mean,fusion_temp_trend,fusion_cao_total_kg,fusion_interaccion_C_x_Sn_prev_mean,delta_FR_ley_sn_escoria_pct,delta_FR_ley_feo_escoria_pct,delta_FR_temperatura_horno_celsius,delta_FR_presion_punta_lanza_kpa,delta_FR_exceso_o2_combustion_pct,reduccion_carbon_total_kg,reduccion_carbon_rate_first,reduccion_carbon_decay_ratio,reduccion_gn_total_nm3,reduccion_o2_total_nm3,reduccion_aire_total_nm3,reduccion_o2_exceso_mean,reduccion_lanza_pos_mean,reduccion_lanza_pos_std,reduccion_frac_en_valle_lanza,reduccion_selectividad_media,reduccion_duracion_total_min,reduccion_ley_sn_inicio,reduccion_ley_sn_final,reduccion_ley_feo_final,reduccion_feo_caida_total,reduccion_sn_caida_total,n_escalones_reduccion,suma_pred_delta_sn_reduccion_modelo,recuperacion_real_batch_pct
AP0216,74.64826729378122,14273.005699231673,44.09034677084734,0.2506779963994185,0.5390785367296499,0.0,19.57504461062201,1.3142208601135679,307.0,22.5041,14.6482,1006.6542343228273,-0.7550308345593393,20579.430457926646,918.7608485235855,-11.8493,1.8728712543647603,-20.4976220503612,-0.877875718616302,-27.09103620501427,2877.0385316206225,47.511159531054986,0.13711030902035004,2329.8445526123046,2032.4419963412815,11409.83486735026,-4.823599265590827,2862.198237092772,831.7105396280617,0.25,-1.3140761339556564,94.0,14.6482,1.4164,18.751483405855492,-0.6673020467365021,-13.2318,4,-12.762765001286565,77.57604347502986
AP0217,77.43659000960069,14533.259982808122,45.707896968341,0.27686402269560173,0.4184405549556374,0.0,18.76930718540346,0.13716385977867443,301.0,21.8847,12.9454,993.2126449843712,-1.7902226154899696,20448.492662076256,936.1819768958286,-9.926599999999999,0.6626706849315092,-16.00534045392135,1.4502342621484985,-24.44515304038977,2826.083889012581,56.71172931630124,0.10690969506310558,1949.3410591718257,1866.9885038578852,10231.516669644056,8.062208641467736,3472.8664729242737,606.7807012138865,0.25,-3.351541441175364,85.0,12.9454,0.6319,15.91580349180768,-4.550698920225624,-12.313499999999998,4,-10.640679323416947,72.67050029471659
AP0218,66.11835591013704,13584.622740980078,42.29680822395897,0.2647989990823231,0.4462774848453536,0.0,18.91129512942609,0.3157760585881416,305.0,23.2383,12.8301,1055.3278846433893,8.73873136056169,20471.2950668499,892.8995691544693,-8.4992,0.731626516250337,-11.273556902784776,9.3119407653809,-24.612756915572003,2899.851903881411,61.17538012432795,0.08925153955947839,1491.4933519151475,1610.2851077185735,10142.755122884115,68.47621804044326,3372.746429120749,407.1914297859094,0.5,-11.616856157099521,86.0,12.8301,,,0.731626516250337,-11.4301,4,-11.348164725965262,68.54000429338728
AP0219,60.280124423987154,14248.057112564866,33.62470218271669,0.5453248989151872,,0.0,10.095844390595108,46.41133558754723,381.0,22.41,14.49,1067.1995163139204,-2.692888821909412,21528.401124679614,588.8564285524093,-11.58,,-24.095976430983455,-20.667667096726497,-29.25000045150888,2894.4870675062452,58.48759696157274,0.10341354944442607,2265.6133484464485,2057.073245361176,10733.562197536892,-4.9316333110073405,3354.087691567161,572.8628487631634,0.25,-0.02624944578873779,89.0,14.49,1.6028,21.234793875906526,-1.965755788342733,-12.8872,4,-0.3122115944743156,63.69177599977402
AP0220,78.80569506549615,14220.051866545757,45.437750478233625,0.23508543398862558,0.5668002719731949,0.0,18.922827010873796,0.18609469344782767,302.0,15.7657,11.7888,1083.2373448787703,-14.389284915552413,21252.581362703637,674.2460434798793,-4.5723,2.324686328229923,-20.38732418223924,20.169309095541607,-24.312176069947302,3078.8822663578003,45.09456602157018,0.11072851170483715,2278.474556231629,2516.9585388608975,11587.715154332263,12.656124191895435,4590.470108752889,1075.4205000982477,0.5,-0.781766988641649,109.0,11.7888,1.2876,29.10296298683857,2.7119196347031966,-10.5012,4,-12.607036539566517,74.77305363592089
AP0221,68.34855929233406,14379.181472277,41.27364185338394,0.2605270728862025,0.6018982023631309,0.0,20.46120708710373,2.3885508968779505,344.0,23.02,10.6537,1000.4750643941104,4.086796401020242,22178.333526772403,705.1373344554349,-7.619000000000001,-1.311318635509,-15.58444823478601,-10.1019448097022,-23.598489026227625,2897.9632660015295,59.76116427170537,0.08243098590998059,2208.055017937554,2058.172306484646,10161.631628417968,-5.267580858121322,3048.7919285979096,715.0263554791668,0.25,2.4710400823064864,85.0,10.6537,,,-3.5144317163577767,-9.6431,4,-9.338617194238305,68.56644777351153
AP0222,59.15619740294824,14915.750254971124,46.55086682320518,0.2582949841791262,0.554833609278156,0.0,19.608305743908993,0.9741240385699664,304.0,24.4174,15.943,985.6405350372528,3.8463496920565707,21393.16467008376,1117.6835429377318,-11.619399999999999,2.6219940263228594,-22.88739292427624,34.478574173934,-14.462375733313728,2933.199211630412,66.05401178175403,0.12290578741334482,2087.0799306999397,2096.9010444384326,10436.183788374397,2.0602144241010265,4248.619758484856,1217.8392627561866,0.0,-0.7477120593272918,93.0,15.943,2.0636,16.965192887456354,0.3797716680096741,-13.879399999999997,4,-13.480512029746174,62.64225041905432
AP0223,68.96693629425373,14283.382455567065,44.849228723341,0.23701203691071282,0.5388643731920363,0.0,18.907579781657823,0.18859117584075416,304.0,22.593,18.0882,1001.1614728193197,1.34925106318969,21705.478524087317,916.4216429525327,-14.0457,1.5443018640881014,-25.422987621076686,5.104617041972098,-24.01488080417151,2987.275019848735,63.61288320069672,0.09384147167425463,2358.399527401394,2351.0598821004232,10854.29710422092,-0.04478300299012393,3613.4321076766305,654.1326331465672,0.25,-1.7220121100385641,90.0,18.0882,1.4821,15.598169261348373,-1.6777108138597914,-16.6061,4,-15.892185870172083,73.03520867215123
AP0224,65.65726134183335,14429.70645282047,45.48719694873105,0.2919575944316053,0.5075087217396504,0.0,19.047030676013613,0.6373178407784,300.0,25.3972,18.9759,1020.0770964339689,6.761737508693768,21490.42271301795,1120.751639432783,-9.5434,1.2624320386784866,-21.599015927747132,-6.489393178878299,-24.73337568978251,2824.9333918437305,45.791539956562794,0.17900509370471446,2386.0707161140945,2228.5456725105405,10757.068299155224,-6.087814905467221,3606.522676714526,886.0500971797189,0.25,-3.6936380126860504,90.0,18.9759,1.49,15.306522116572655,-1.5915160247112539,-17.4859,4,-24.186994044458864,59.96581455139282
AP0225,60.86118849974752,13213.218599169411,41.41141830044722,0.38100790971102105,0.5322925043806136,0.0,18.83320956874299,0.181143707120745,298.0,21.1244,14.2965,996.870268759498,-3.512650706956929,21687.885385139954,862.1294195881648,-10.3768,1.2877758796669347,-9.858405494778367,-8.961212746041696,-24.534936713583875,2844.9040395607444,56.68741303411093,0.11500775865438577,2180.617466566298,1982.2522179497612,10332.163346354168,-4.256532419713593,3436.978481342266,924.7020476575501,0.25,-1.559664732712012,85.0,14.2965,0.5011,13.777786774106902,-4.304722148804727,-13.7954,4,-12.53285516101569,67.67957062210127
