kpi,variable,importancia_perm_lockbox,importancia_perm_std,r2_oof_dev,r2_lockbox,n_dev,n_lockbox
f_dross,ley_sn_conc_batch_pct,-0.018951445069199213,0.010368980458977235,0.121378539175508,-0.8454343275873597,297,63
f_dross,espesor_ladrillo_norm_mm,0.0,0.0,0.121378539175508,-0.8454343275873597,297,63
f_dross,frac_carga_secundaria_F,-0.014759340608049242,0.0044647359373094055,0.121378539175508,-0.8454343275873597,297,63
f_dross,feed_dross_Fe_total_t,-0.0016827605836230663,0.005861993095050474,0.121378539175508,-0.8454343275873597,297,63
f_polvo,C_por_Sn_F,0.022714739395107753,0.027680585664234786,-0.08149292794255247,-0.23755958892029838,297,63
f_polvo,cal_por_carga_F,0.006443008782610482,0.005792991276408396,-0.08149292794255247,-0.23755958892029838,297,63
f_polvo,gn_por_t_carga_F,-0.014580184825609655,0.013603391976307755,-0.08149292794255247,-0.23755958892029838,297,63
f_polvo,exceso_o2_F,-0.011703569740467623,0.043665943760840306,-0.08149292794255247,-0.23755958892029838,297,63
f_polvo,enriq_o2_F,0.0052456714022233175,0.016768092500218365,-0.08149292794255247,-0.23755958892029838,297,63
f_polvo,T_media_F,-0.018736978590301635,0.026874588988503367,-0.08149292794255247,-0.23755958892029838,297,63
f_polvo,T_final_F,-0.0001375221011932659,0.026824934997807557,-0.08149292794255247,-0.23755958892029838,297,63
f_polvo,dur_F,-0.002294536209870035,0.00100763444065968,-0.08149292794255247,-0.23755958892029838,297,63
f_polvo,feed_rate_F,-0.1067003301844475,0.04289877369628123,-0.08149292794255247,-0.23755958892029838,297,63
f_polvo,lanza_media_F,-0.006585349041882305,0.019382740545438995,-0.08149292794255247,-0.23755958892029838,297,63
f_polvo,lanza_std_F,0.017543783244840183,0.03407604938328678,-0.08149292794255247,-0.23755958892029838,297,63
f_polvo,carbon_total_R,-0.00366040255503246,0.005089577600044098,-0.08149292794255247,-0.23755958892029838,297,63
f_polvo,carbon_por_Sn_inv_R,0.01044631984429074,0.013504146317675615,-0.08149292794255247,-0.23755958892029838,297,63
f_polvo,gn_total_R,-0.0005443836202581043,0.0024587883855083236,-0.08149292794255247,-0.23755958892029838,297,63
f_polvo,exceso_o2_R,-0.016804548603634117,0.007419735680579256,-0.08149292794255247,-0.23755958892029838,297,63
f_polvo,dur_R,0.0,0.0,-0.08149292794255247,-0.23755958892029838,297,63
f_polvo,carbon_rate_R0,-0.027346051421624874,0.006332017014880113,-0.08149292794255247,-0.23755958892029838,297,63
f_polvo,perfil_carbon_R,0.029662431667717072,0.01275853986754215,-0.08149292794255247,-0.23755958892029838,297,63
f_polvo,T_media_R,0.0023582981544267856,0.008661882871795819,-0.08149292794255247,-0.23755958892029838,297,63
f_polvo,lanza_media_R,-0.008262580785815788,0.028613059840693726,-0.08149292794255247,-0.23755958892029838,297,63
