limpiar_dataset: 2 valor(es) marcados como NaN en 2 columna(s) (detalle en el reporte devuelto).
26  Reducción     sn_extraido_est_kg             tasa_gn_nm3_min  1074           19.8449     11.0816    34.4883                98.4694                       0.0261       0.6339                 True                   1.0000                 ROBUSTO
27  Reducción     sn_extraido_est_kg    exceso_o2_combustion_pct  1073           -3.0733     -5.5045    -0.8759               -34.4869                      -0.0091       0.8283                 True                   1.0000                 ROBUSTO
28  Reducción     sn_extraido_est_kg       oxygen_enrichment_pct  1073           -8.9954    -25.3891    18.1742               -42.1551                      -0.0112       2.5031                 True                   1.0000        NO_SIGNIFICATIVO
29  Reducción     sn_extraido_est_kg           duracion_plan_min  1074          128.7954   -394.8775   757.6715               757.0236                       0.2004       1.0955                 True                   0.6667        NO_SIGNIFICATIVO
30  Reducción     sn_extraido_est_kg  posicion_vertical_lanza_mm  1074           -0.0871     -0.1480    -0.0339               -63.0486                      -0.0167       0.0133                 True                   1.0000                 ROBUSTO
31  Reducción   d_ley_sn_escoria_pct     tasa_feed_Carbon_kg_min  1093           -0.0174     -0.0273    -0.0069                -0.3824                      -0.0739       0.0010                 True                   1.0000                 ROBUSTO
32  Reducción   d_ley_sn_escoria_pct             tasa_gn_nm3_min  1091           -0.0309     -0.0545    -0.0182                -0.1541                      -0.0298       0.0029                 True                   1.0000                 ROBUSTO
33  Reducción   d_ley_sn_escoria_pct    exceso_o2_combustion_pct  1090            0.0036      0.0010     0.0075                 0.0433                       0.0084       0.0006                 True                   1.0000                 ROBUSTO
34  Reducción   d_ley_sn_escoria_pct       oxygen_enrichment_pct  1090            0.0114     -0.0189     0.0281                 0.0536                       0.0104       0.0049                False                   1.0000        NO_SIGNIFICATIVO
35  Reducción   d_ley_sn_escoria_pct           duracion_plan_min  1093           -0.0284     -0.5964     1.2772                -0.1673                      -0.0323       0.0058                 True                   0.6667        NO_SIGNIFICATIVO
36  Reducción   d_ley_sn_escoria_pct  posicion_vertical_lanza_mm  1091            0.0002      0.0001     0.0003                 0.1495                       0.0289       0.0000                 True                   1.0000                 ROBUSTO
37  Reducción  d_ley_feo_escoria_pct     tasa_feed_Carbon_kg_min  1087           -0.0033     -0.0112     0.0033                -0.0725                      -0.0639       0.0001                 True                   1.0000        NO_SIGNIFICATIVO
38  Reducción  d_ley_feo_escoria_pct             tasa_gn_nm3_min  1085           -0.0295     -0.0452    -0.0143                -0.1465                      -0.1289       0.0072                 True                   1.0000                 ROBUSTO
39  Reducción  d_ley_feo_escoria_pct    exceso_o2_combustion_pct  1084            0.0071      0.0034     0.0108                 0.0797                       0.0701       0.0013                 True                   1.0000                 ROBUSTO
40  Reducción  d_ley_feo_escoria_pct       oxygen_enrichment_pct  1084           -0.0116     -0.0347     0.0022                -0.0544                      -0.0478       0.0059                False                   1.0000        NO_SIGNIFICATIVO
41  Reducción  d_ley_feo_escoria_pct           duracion_plan_min  1087           -0.1893     -0.4414     0.5940                -1.1155                      -0.9823       0.0033                 True                   1.0000        NO_SIGNIFICATIVO
42  Reducción  d_ley_feo_escoria_pct  posicion_vertical_lanza_mm  1085           -0.0001     -0.0002    -0.0000                -0.0683                      -0.0601       0.0000                False                   1.0000  SIGNIFICATIVO_MODERADO
