variable,theta,se,ci_lo,ci_hi,p,n,batches,rank,target,escenario,fraccion_fe_dross,periodo
gn_0,0.11634697483138297,0.03641167659323994,0.04356107043406536,0.1891328792287006,0.002197661765069246,242,63,12,ysn,SnII_FeIII30F,0.3,LB
gn_1,0.03714317622647358,0.016285467079143003,0.004588991393681949,0.06969736105926522,0.02601133514893078,242,63,12,ysn,SnII_FeIII30F,0.3,LB
gn_2,0.034837236755158096,0.017094155013973353,0.0006665077744720457,0.06900796573584414,0.04582595877684621,242,63,12,ysn,SnII_FeIII30F,0.3,LB
gn_3,0.05531794955222638,0.021890337317533495,0.011559788756224064,0.09907611034822869,0.014067502917684833,242,63,12,ysn,SnII_FeIII30F,0.3,LB
gn_0,0.0443711864062418,0.018320764024051354,0.008316224634603464,0.08042614817788013,0.016037949678693608,1084,298,12,ysn,SnII_FeIII30F,0.5,DEV
gn_1,0.01646381367670913,0.011026471788614553,-0.005236101146309929,0.03816372849972819,0.13646806978292098,1084,298,12,ysn,SnII_FeIII30F,0.5,DEV
gn_2,0.031646963343430715,0.011356077696798294,0.009298389523239387,0.05399553716362204,0.005666199861338,1084,298,12,ysn,SnII_FeIII30F,0.5,DEV
gn_3,0.03529900357192488,0.015322801023935295,0.0051439835942024,0.06545402354964736,0.021930360019896386,1084,298,12,ysn,SnII_FeIII30F,0.5,DEV
gn_0,0.11634697483138297,0.03641167659323994,0.04356107043406536,0.1891328792287006,0.002197661765069246,242,63,12,ysn,SnII_FeIII30F,0.5,LB
gn_1,0.03714317622647358,0.016285467079143003,0.004588991393681949,0.06969736105926522,0.02601133514893078,242,63,12,ysn,SnII_FeIII30F,0.5,LB
gn_2,0.034837236755158096,0.017094155013973353,0.0006665077744720457,0.06900796573584414,0.04582595877684621,242,63,12,ysn,SnII_FeIII30F,0.5,LB
gn_3,0.05531794955222638,0.021890337317533495,0.011559788756224064,0.09907611034822869,0.014067502917684833,242,63,12,ysn,SnII_FeIII30F,0.5,LB
gn_0,0.0443711864062418,0.018320764024051354,0.008316224634603464,0.08042614817788013,0.016037949678693608,1084,298,12,ysn,SnII_FeIII30F,0.6,DEV
gn_1,0.01646381367670913,0.011026471788614553,-0.005236101146309929,0.03816372849972819,0.13646806978292098,1084,298,12,ysn,SnII_FeIII30F,0.6,DEV
gn_2,0.031646963343430715,0.011356077696798294,0.009298389523239387,0.05399553716362204,0.005666199861338,1084,298,12,ysn,SnII_FeIII30F,0.6,DEV
gn_3,0.03529900357192488,0.015322801023935295,0.0051439835942024,0.06545402354964736,0.021930360019896386,1084,298,12,ysn,SnII_FeIII30F,0.6,DEV
gn_0,0.11634697483138297,0.03641167659323994,0.04356107043406536,0.1891328792287006,0.002197661765069246,242,63,12,ysn,SnII_FeIII30F,0.6,LB
gn_1,0.03714317622647358,0.016285467079143003,0.004588991393681949,0.06969736105926522,0.02601133514893078,242,63,12,ysn,SnII_FeIII30F,0.6,LB
