target,modelo,orden,n,mae,r2
m8_ln_feo_ret_dross50,conjunto_hgb,0,259,0.04973590675475081,0.027051320339911422
m8_ln_feo_ret_dross50,conjunto_hgb,1,257,0.05521594134360486,0.12757082579641088
m8_ln_feo_ret_dross50,conjunto_hgb,2,257,0.044858401688265076,-0.014002210385877456
m8_ln_feo_ret_dross50,conjunto_hgb,3,189,0.03806420458471376,-0.06316325376958432
m8_ln_feo_ret_dross50,conjunto_interacciones,0,259,0.05183962003598617,-0.08841177182950055
m8_ln_feo_ret_dross50,conjunto_interacciones,1,257,0.05581383221603276,0.08825102973640153
m8_ln_feo_ret_dross50,conjunto_interacciones,2,257,0.04380417151893017,-0.009445443988093105
m8_ln_feo_ret_dross50,conjunto_interacciones,3,189,0.040181568860874796,-0.07090090882573574
m8_ln_feo_ret_dross50,conjunto_lineal,0,259,0.052148873237789405,-0.10108723338932224
m8_ln_feo_ret_dross50,conjunto_lineal,1,257,0.05584739711599441,0.08868963699798238
m8_ln_feo_ret_dross50,conjunto_lineal,2,257,0.043822610487545544,-0.006477976248237871
m8_ln_feo_ret_dross50,conjunto_lineal,3,189,0.039989047668176604,-0.06880215706086168
m8_ln_feo_ret_dross50,estado,0,259,0.052607311037500354,-0.11091119052044274
m8_ln_feo_ret_dross50,estado,1,257,0.0558707638497749,0.09107822116807296
m8_ln_feo_ret_dross50,estado,2,257,0.04430993684049046,-0.016646398901025705
m8_ln_feo_ret_dross50,estado,3,189,0.041380691173201076,-0.10291662398898382
m8_ln_feo_ret_dross50,estado_hgb,0,259,0.05096968507683751,0.003120959019023317
m8_ln_feo_ret_dross50,estado_hgb,1,257,0.05618745926653875,0.10892217209284039
m8_ln_feo_ret_dross50,estado_hgb,2,257,0.044857956859188794,-0.03428788074154343
m8_ln_feo_ret_dross50,estado_hgb,3,189,0.039713095682964,-0.0862569501389201
m8_ln_feo_ret_dross50,gn_por_orden,0,259,0.05231004797228952,-0.10417687585582724
m8_ln_feo_ret_dross50,gn_por_orden,1,257,0.055799034023332354,0.09358408268791263
m8_ln_feo_ret_dross50,gn_por_orden,2,257,0.04391554400112533,-0.007929222871025043
m8_ln_feo_ret_dross50,gn_por_orden,3,189,0.04020390386225909,-0.08172639374837054
