train_end,modelo,variable,theta
239,acoplado,d_carbon,0.00018371350675649783
239,acoplado,d_exceso,0.00012017228009996059
239,acoplado,d_aire,0.0009132932363590178
239,acoplado,C_x_exceso,-3.672897983278417e-05
239,acoplado,C_x_GN,1.171569185254599e-06
239,acoplado,C_x_Sn,0.00013772793272718567
259,v11_gn,gn_0,-0.0029123839511610216
259,v11_gn,gn_1,-0.0034635337720576513
259,v11_gn,gn_2,-0.0033054736830472756
259,v11_gn,gn_3,-0.007254820067538029
259,v11_gn,d_carbon,0.0011588562257103079
259,conjunto,gn_0,-0.004104558379299941
259,conjunto,gn_1,-0.003566376000303248
259,conjunto,gn_2,-0.004638267189514416
259,conjunto,gn_3,-0.007788816629997053
259,conjunto,d_carbon,0.0009293892196372333
259,conjunto,d_exceso,0.0004373124036866346
259,conjunto,d_aire,0.0007392793049542981
259,acoplado,gn_0,-0.005141427606175925
259,acoplado,gn_1,-0.0035460936229901132
259,acoplado,gn_2,-0.004423441357801755
259,acoplado,gn_3,-0.007597378442620121
259,acoplado,d_carbon,0.0001706931507111022
259,acoplado,d_exceso,0.0004835945712477916
259,acoplado,d_aire,0.0008150486866762701
259,acoplado,C_x_exceso,-5.374834665013731e-05
259,acoplado,C_x_GN,-1.3324516270265792e-05
259,acoplado,C_x_Sn,0.00011447517197305033
279,v11_gn,gn_0,-0.002593393214780604
279,v11_gn,gn_1,-0.00358097658203039
279,v11_gn,gn_2,-0.00294668271527712
279,v11_gn,gn_3,-0.007298239563333087
279,v11_gn,d_carbon,0.0011587227373373921
279,conjunto,gn_0,-0.0035709660863750448
279,conjunto,gn_1,-0.0038207537592303753
279,conjunto,gn_2,-0.004308641990094231
279,conjunto,gn_3,-0.008129853104905525
279,conjunto,d_carbon,0.0009131600498052531
279,conjunto,d_exceso,0.0003108054670689747
279,conjunto,d_aire,0.0006489334071919309
279,acoplado,gn_0,-0.004040397769672566
279,acoplado,gn_1,-0.003974695836354386
279,acoplado,gn_2,-0.004197393650898978
