periodo,target,modelo,delta_mae,ci_lo,ci_hi,n_batches
LB,d_temperatura_horno_celsius,reciente_150,-1.5414388006210833,-2.1621755066098207,-0.9326036908121923,63
LB,d_temperatura_horno_celsius,selector_pasado,-1.5414388006210833,-2.1485774478896333,-0.958713642948407,63
LB,ley_feo_escoria_pct,fenomenologico,-0.02409505955786226,-0.04883336943712503,0.00034933098970423135,63
LB,ley_feo_escoria_pct,persistencia,0.3503109261131408,0.2737368720887394,0.42251096721889425,63
LB,ley_feo_escoria_pct,reciente_150,0.005098934858773678,-0.024322915047524315,0.039960658684472246,63
LB,ley_feo_escoria_pct,selector_pasado,0.0,0.0,0.0,63
LB,ley_sn_escoria_pct,fenomenologico,-0.02904354033031145,-0.08206867248222399,0.023575365188208835,63
LB,ley_sn_escoria_pct,persistencia,3.872113555618089,3.6506734290776794,4.1201303957076485,63
LB,ley_sn_escoria_pct,reciente_150,0.023188914634487755,-0.03750933479583214,0.08317770516793345,63
LB,ley_sn_escoria_pct,selector_pasado,-0.02904354033031145,-0.083368961316379,0.024146920895516816,63
LB,m6_ln_sn_dep,fenomenologico,-0.0028428153403659705,-0.011351132192514565,0.006328861033086029,63
LB,m6_ln_sn_dep,reciente_150,-0.002901389780813946,-0.015135409279142427,0.009535561286755062,63
LB,m6_ln_sn_dep,selector_pasado,-0.0028428153403659705,-0.011651924690195745,0.0059677121506798835,63
LB,m8_ln_feo_ret_dross50,fenomenologico,-0.0008099459419067474,-0.0027303258021668477,0.0011651046062722146,63
LB,m8_ln_feo_ret_dross50,reciente_150,0.001025068501590844,-0.00135317263093486,0.003461816802230486,63
LB,m8_ln_feo_ret_dross50,selector_pasado,-0.0008099459419067474,-0.00270256412350554,0.001118294284595162,63
LB,temperatura_horno_celsius,fenomenologico,-1.042168040578858,-1.3072703567465132,-0.7771542824857062,63
LB,temperatura_horno_celsius,persistencia,2.4706786675463013,1.6868233128748942,3.145536388408095,63
LB,temperatura_horno_celsius,reciente_150,-0.9576187243177414,-1.431848563500289,-0.45241563203865354,63
LB,temperatura_horno_celsius,selector_pasado,-0.6651441962402378,-1.0359514840333435,-0.30406877485209105,63
