Batch,pos,y,R3_observado,pred,modelo,target,train_end
AP0110,109,13.45013874823783,False,14.894928187570233,acoplado,dross_pp,99
AP0111,110,17.56929522824832,True,14.243756434911646,acoplado,dross_pp,99
AP0112,111,14.098359586201786,True,15.125257627692324,acoplado,dross_pp,99
AP0113,112,11.336840477066264,True,16.021619698536217,acoplado,dross_pp,99
AP0114,113,15.70853868130271,True,15.429608826051993,acoplado,dross_pp,99
AP0115,114,17.933117655326907,False,15.45991023093064,acoplado,dross_pp,99
AP0116,115,13.639342675016891,True,15.16573369296888,acoplado,dross_pp,99
AP0117,116,18.440033809326213,True,16.365634416864655,acoplado,dross_pp,99
AP0118,117,15.591018673349128,True,14.719003773831641,acoplado,dross_pp,99
AP0119,118,17.47367886643327,False,15.091327861361288,acoplado,dross_pp,99
AP0120,119,14.950643077353728,False,15.31086731842817,acoplado,dross_pp,99
AP0101,100,16.298890841810472,True,21.113005624918053,solo_contexto,polvo_pp,99
AP0102,101,19.49580550241691,True,20.053980502478602,solo_contexto,polvo_pp,99
AP0104,103,17.232547818161557,True,20.910970595620764,solo_contexto,polvo_pp,99
AP0105,104,18.17541581149464,False,20.03428887117154,solo_contexto,polvo_pp,99
AP0106,105,20.125625716541247,False,19.75312499148572,solo_contexto,polvo_pp,99
AP0107,106,17.750660087838448,False,20.052660616929685,solo_contexto,polvo_pp,99
AP0108,107,18.88405671839842,True,20.924530038373494,solo_contexto,polvo_pp,99
AP0109,108,18.98379154890007,True,20.308324460256323,solo_contexto,polvo_pp,99
AP0110,109,19.035920555682285,False,21.9136553960782,solo_contexto,polvo_pp,99
AP0111,110,22.471232601779327,True,20.756593687711863,solo_contexto,polvo_pp,99
AP0112,111,15.62160512798722,True,19.06228391706394,solo_contexto,polvo_pp,99
AP0113,112,13.456422633312542,True,20.256735549896185,solo_contexto,polvo_pp,99
AP0114,113,19.672488504434867,True,20.072588483854606,solo_contexto,polvo_pp,99
AP0115,114,16.760711773879176,False,21.167864770132635,solo_contexto,polvo_pp,99
AP0116,115,15.189570591205312,True,20.77713292954792,solo_contexto,polvo_pp,99
AP0117,116,20.304276411965624,True,21.748990497325597,solo_contexto,polvo_pp,99
AP0118,117,19.132410946338943,True,19.91606296221461,solo_contexto,polvo_pp,99
AP0119,118,15.18439386750755,False,20.48053666820603,solo_contexto,polvo_pp,99
AP0120,119,16.55400249894072,False,20.793942316850817,solo_contexto,polvo_pp,99
AP0101,100,16.298890841810472,True,21.218276500364365,v11_gn,polvo_pp,99
AP0102,101,19.49580550241691,True,20.09505634747466,v11_gn,polvo_pp,99
AP0104,103,17.232547818161557,True,20.96716076529065,v11_gn,polvo_pp,99
AP0105,104,18.17541581149464,False,19.998896820637686,v11_gn,polvo_pp,99
AP0106,105,20.125625716541247,False,19.6997345697217,v11_gn,polvo_pp,99
AP0107,106,17.750660087838448,False,19.873054259151605,v11_gn,polvo_pp,99
AP0108,107,18.88405671839842,True,20.738440468500226,v11_gn,polvo_pp,99
AP0109,108,18.98379154890007,True,20.191098065515256,v11_gn,polvo_pp,99
AP0110,109,19.035920555682285,False,21.856025093268187,v11_gn,polvo_pp,99
AP0111,110,22.471232601779327,True,20.759200220067978,v11_gn,polvo_pp,99
AP0112,111,15.62160512798722,True,18.927367620949237,v11_gn,polvo_pp,99
AP0113,112,13.456422633312542,True,20.149324417322088,v11_gn,polvo_pp,99
AP0114,113,19.672488504434867,True,19.8367290325807,v11_gn,polvo_pp,99
AP0115,114,16.760711773879176,False,21.213373381293223,v11_gn,polvo_pp,99
AP0116,115,15.189570591205312,True,20.52691211682056,v11_gn,polvo_pp,99
AP0117,116,20.304276411965624,True,21.83023406810409,v11_gn,polvo_pp,99
AP0118,117,19.132410946338943,True,20.03151284920749,v11_gn,polvo_pp,99
AP0119,118,15.18439386750755,False,20.457990148263512,v11_gn,polvo_pp,99
AP0120,119,16.55400249894072,False,20.543819484310383,v11_gn,polvo_pp,99
AP0101,100,16.298890841810472,True,21.031570225381977,conjunto,polvo_pp,99
AP0102,101,19.49580550241691,True,19.907591804326433,conjunto,polvo_pp,99
AP0104,103,17.232547818161557,True,20.89529427399834,conjunto,polvo_pp,99
AP0105,104,18.17541581149464,False,20.095106852118555,conjunto,polvo_pp,99
AP0106,105,20.125625716541247,False,19.8397591612691,conjunto,polvo_pp,99
AP0107,106,17.750660087838448,False,20.31163049305439,conjunto,polvo_pp,99
AP0108,107,18.88405671839842,True,21.164606157213957,conjunto,polvo_pp,99
AP0109,108,18.98379154890007,True,20.460299238253334,conjunto,polvo_pp,99
AP0110,109,19.035920555682285,False,21.993061764095135,conjunto,polvo_pp,99
AP0111,110,22.471232601779327,True,20.74799487486435,conjunto,polvo_pp,99
AP0112,111,15.62160512798722,True,19.08778473482331,conjunto,polvo_pp,99
AP0113,112,13.456422633312542,True,20.361492728130123,conjunto,polvo_pp,99
AP0114,113,19.672488504434867,True,20.324542177280332,conjunto,polvo_pp,99
AP0115,114,16.760711773879176,False,21.15544637478697,conjunto,polvo_pp,99
AP0116,115,15.189570591205312,True,20.717472751706673,conjunto,polvo_pp,99
AP0117,116,20.304276411965624,True,21.5849636425177,conjunto,polvo_pp,99
AP0118,117,19.132410946338943,True,19.780367615090373,conjunto,polvo_pp,99
AP0119,118,15.18439386750755,False,20.466938415108224,conjunto,polvo_pp,99
AP0120,119,16.55400249894072,False,21.101266050102193,conjunto,polvo_pp,99
AP0101,100,16.298890841810472,True,21.090182703217526,acoplado,polvo_pp,99
AP0102,101,19.49580550241691,True,19.896249177041028,acoplado,polvo_pp,99
AP0104,103,17.232547818161557,True,20.943811181968258,acoplado,polvo_pp,99
AP0105,104,18.17541581149464,False,20.07361568415112,acoplado,polvo_pp,99
AP0106,105,20.125625716541247,False,19.838922705079014,acoplado,polvo_pp,99
AP0107,106,17.750660087838448,False,20.165461134253224,acoplado,polvo_pp,99
AP0108,107,18.88405671839842,True,21.11557349327077,acoplado,polvo_pp,99
AP0109,108,18.98379154890007,True,20.482304982517622,acoplado,polvo_pp,99
AP0110,109,19.035920555682285,False,21.923048672224045,acoplado,polvo_pp,99
