Batch,orden_escalon_fase,pos,y,pred,modelo,target,train_end
AP0109,3,108,0.12418393312657323,0.38520174976022226,estado,m6_ln_sn_dep,99
AP0110,0,109,1.6589997848490785,1.4698217194016667,estado,m6_ln_sn_dep,99
AP0110,1,109,0.5060818061686883,0.4765623191123563,estado,m6_ln_sn_dep,99
AP0110,2,109,0.5660681409991276,0.40937556807588243,estado,m6_ln_sn_dep,99
AP0111,0,110,1.6479566619580424,1.7090841318702743,estado,m6_ln_sn_dep,99
AP0111,1,110,0.7300735097946124,0.6287798766981644,estado,m6_ln_sn_dep,99
AP0111,2,110,0.21960039869733738,0.48244356977938907,estado,m6_ln_sn_dep,99
AP0111,3,110,0.2734098144824702,0.4221497875717905,estado,m6_ln_sn_dep,99
AP0112,0,111,1.9135626356103732,1.5793002420582436,estado,m6_ln_sn_dep,99
AP0112,1,111,0.21451993865616967,0.5710934512044631,estado,m6_ln_sn_dep,99
AP0112,2,111,0.55567910552799,0.46546475191263514,estado,m6_ln_sn_dep,99
AP0112,3,111,0.28396693403615425,0.38846892910229963,estado,m6_ln_sn_dep,99
AP0113,0,112,1.3522705702350653,1.4078909994095357,estado,m6_ln_sn_dep,99
AP0113,1,112,0.42413728407287365,0.5874351505485896,estado,m6_ln_sn_dep,99
AP0113,2,112,0.4705014329869836,0.5121393001818462,estado,m6_ln_sn_dep,99
AP0113,3,112,0.48738793507992373,0.42196238967932315,estado,m6_ln_sn_dep,99
AP0114,0,113,1.5949686584675706,1.692771588758994,estado,m6_ln_sn_dep,99
AP0114,1,113,0.5315498937215366,0.6207753557677702,estado,m6_ln_sn_dep,99
AP0114,2,113,0.5112264845369012,0.4896188913955468,estado,m6_ln_sn_dep,99
AP0114,3,113,0.3096945272852654,0.3781987573865785,estado,m6_ln_sn_dep,99
AP0115,0,114,1.9831597378793921,1.6298973877162612,estado,m6_ln_sn_dep,99
AP0115,1,114,0.0919376976064999,0.4752839879281076,estado,m6_ln_sn_dep,99
AP0115,2,114,0.8415481674149644,0.44578378395909396,estado,m6_ln_sn_dep,99
AP0116,0,115,1.2942424888807251,1.2839051923625404,estado,m6_ln_sn_dep,99
AP0116,1,115,0.6533346080244727,0.5941681608847985,estado,m6_ln_sn_dep,99
AP0116,2,115,0.17590409895480952,0.46843480520467307,estado,m6_ln_sn_dep,99
AP0116,3,115,0.32403446171019307,0.4071358311390286,estado,m6_ln_sn_dep,99
AP0117,0,116,1.1724925527175518,1.2219630491986924,estado,m6_ln_sn_dep,99
AP0117,1,116,0.4227527327573284,0.489704224052287,estado,m6_ln_sn_dep,99
AP0117,2,116,0.34319918545466765,0.4057972324447703,estado,m6_ln_sn_dep,99
AP0117,3,116,0.49233595628688565,0.3316959157583316,estado,m6_ln_sn_dep,99
AP0118,0,117,1.8545489158730026,1.492806939643227,estado,m6_ln_sn_dep,99
AP0118,1,117,0.5494620071928313,0.5108749431878938,estado,m6_ln_sn_dep,99
AP0118,2,117,-0.10093240086507327,0.3647960757367039,estado,m6_ln_sn_dep,99
AP0118,3,117,0.35929850203806446,0.3634371621247209,estado,m6_ln_sn_dep,99
AP0119,0,118,2.1607226809439455,1.606957164603357,estado,m6_ln_sn_dep,99
AP0119,1,118,0.5828573661636198,0.4842196619414962,estado,m6_ln_sn_dep,99
AP0119,2,118,0.5612472224277814,0.3759675617871904,estado,m6_ln_sn_dep,99
AP0120,0,119,1.8504495030651607,1.6029300916191636,estado,m6_ln_sn_dep,99
AP0120,1,119,0.6618022242618078,0.5555197291996639,estado,m6_ln_sn_dep,99
AP0120,2,119,0.7724824624846285,0.392756907708031,estado,m6_ln_sn_dep,99
AP0101,0,100,2.0136043058871227,1.7840088075309055,estado_hgb,m6_ln_sn_dep,99
AP0101,1,100,0.17491778831373844,0.2528453000710717,estado_hgb,m6_ln_sn_dep,99
AP0101,2,100,0.23730192475964507,0.5522593274198347,estado_hgb,m6_ln_sn_dep,99
AP0101,3,100,0.4784284106729349,0.5776791349490346,estado_hgb,m6_ln_sn_dep,99
AP0102,0,101,1.711209127262046,1.7721711941789131,estado_hgb,m6_ln_sn_dep,99
AP0102,1,101,0.8707430974355465,0.7567096684230877,estado_hgb,m6_ln_sn_dep,99
AP0102,2,101,0.17660252441488136,0.29892550549540764,estado_hgb,m6_ln_sn_dep,99
AP0102,3,101,0.613275149019787,0.2894544587843749,estado_hgb,m6_ln_sn_dep,99
AP0103,0,102,2.351066264860745,1.6617737860108752,estado_hgb,m6_ln_sn_dep,99
AP0103,1,102,0.5634408317319498,0.2873395247168297,estado_hgb,m6_ln_sn_dep,99
AP0104,0,103,1.8539058291990682,1.7207365846225087,estado_hgb,m6_ln_sn_dep,99
AP0104,1,103,0.44488824982898895,0.37835765989524667,estado_hgb,m6_ln_sn_dep,99
AP0104,2,103,0.10896257494541933,0.18509780727786201,estado_hgb,m6_ln_sn_dep,99
AP0104,3,103,0.380599970068584,0.2712389906756,estado_hgb,m6_ln_sn_dep,99
AP0105,0,104,1.7725852981274919,1.953781882399548,estado_hgb,m6_ln_sn_dep,99
AP0105,1,104,0.7484530719282255,0.76250593017775,estado_hgb,m6_ln_sn_dep,99
AP0105,2,104,0.5772673491192105,0.3880471248080132,estado_hgb,m6_ln_sn_dep,99
AP0106,0,105,0.9767984660798376,1.9156946162930335,estado_hgb,m6_ln_sn_dep,99
AP0106,1,105,1.5786601998738439,1.4536672302417777,estado_hgb,m6_ln_sn_dep,99
AP0106,2,105,0.9411630344159095,0.4405717036103958,estado_hgb,m6_ln_sn_dep,99
AP0107,0,106,1.8985838613959742,1.8368351886259624,estado_hgb,m6_ln_sn_dep,99
AP0107,1,106,0.12092651146738907,0.5003406465599992,estado_hgb,m6_ln_sn_dep,99
AP0107,2,106,0.5982994084259353,0.3844848960007885,estado_hgb,m6_ln_sn_dep,99
AP0108,0,107,1.7634794375259824,1.6779562636426157,estado_hgb,m6_ln_sn_dep,99
AP0108,1,107,0.5827333641068588,0.7273569534828251,estado_hgb,m6_ln_sn_dep,99
AP0108,2,107,0.3422494721641726,0.45689978363747513,estado_hgb,m6_ln_sn_dep,99
AP0108,3,107,0.08262177028603328,0.38689006415386706,estado_hgb,m6_ln_sn_dep,99
AP0109,0,108,0.9913748960903911,1.9156946162930335,estado_hgb,m6_ln_sn_dep,99
AP0109,1,108,1.3659947324992525,1.4536672302417777,estado_hgb,m6_ln_sn_dep,99
AP0109,2,108,0.29999699259106377,0.45520154996446116,estado_hgb,m6_ln_sn_dep,99
AP0109,3,108,0.12418393312657323,0.2846601391127035,estado_hgb,m6_ln_sn_dep,99
AP0110,0,109,1.6589997848490785,1.782986744504846,estado_hgb,m6_ln_sn_dep,99
AP0110,1,109,0.5060818061686883,0.31592132239851123,estado_hgb,m6_ln_sn_dep,99
AP0110,2,109,0.5660681409991276,0.2821510367824762,estado_hgb,m6_ln_sn_dep,99
AP0111,0,110,1.6479566619580424,1.6919602918212286,estado_hgb,m6_ln_sn_dep,99
AP0111,1,110,0.7300735097946124,0.49529092638195243,estado_hgb,m6_ln_sn_dep,99
AP0111,2,110,0.21960039869733738,0.27536611362027313,estado_hgb,m6_ln_sn_dep,99
AP0111,3,110,0.2734098144824702,0.2782802848440834,estado_hgb,m6_ln_sn_dep,99
AP0112,0,111,1.9135626356103732,1.839029234815243,estado_hgb,m6_ln_sn_dep,99
AP0112,1,111,0.21451993865616967,0.6136112998352595,estado_hgb,m6_ln_sn_dep,99
AP0112,2,111,0.55567910552799,0.38890939989653395,estado_hgb,m6_ln_sn_dep,99
AP0112,3,111,0.28396693403615425,0.3877503313422432,estado_hgb,m6_ln_sn_dep,99
AP0113,0,112,1.3522705702350653,1.6162486905770717,estado_hgb,m6_ln_sn_dep,99
AP0113,1,112,0.42413728407287365,0.38089376003964764,estado_hgb,m6_ln_sn_dep,99
AP0113,2,112,0.4705014329869836,0.4913515261188097,estado_hgb,m6_ln_sn_dep,99
AP0113,3,112,0.48738793507992373,0.27615724822003646,estado_hgb,m6_ln_sn_dep,99
AP0114,0,113,1.5949686584675706,1.7673326699532255,estado_hgb,m6_ln_sn_dep,99
AP0114,1,113,0.5315498937215366,0.6587550755844407,estado_hgb,m6_ln_sn_dep,99
AP0114,2,113,0.5112264845369012,0.48834518817642014,estado_hgb,m6_ln_sn_dep,99
AP0114,3,113,0.3096945272852654,0.262944908177913,estado_hgb,m6_ln_sn_dep,99
AP0115,0,114,1.9831597378793921,1.7124738284852699,estado_hgb,m6_ln_sn_dep,99
AP0115,1,114,0.0919376976064999,0.1910759242415214,estado_hgb,m6_ln_sn_dep,99
AP0115,2,114,0.8415481674149644,0.3442282037718903,estado_hgb,m6_ln_sn_dep,99
AP0116,0,115,1.2942424888807251,1.6142260816738185,estado_hgb,m6_ln_sn_dep,99
