periodo,target,modelo,referencia,delta_mae_batch,ci_lo,ci_hi,n_batches
LB,d_temperatura_horno_celsius,gn_por_orden,estado_hgb,1.1667466970643383,0.5523338806605302,1.8213390178677087,63
LB,d_temperatura_horno_celsius,conjunto_lineal,estado_hgb,0.4200632599270874,-0.29723289970545674,1.1051244276858452,63
LB,d_temperatura_horno_celsius,conjunto_interacciones,estado_hgb,0.3787676289589252,-0.3331316918704093,1.1068155752779218,63
LB,d_temperatura_horno_celsius,conjunto_hgb,estado_hgb,0.2378908314373863,-0.1399406142817761,0.5797942209957492,63
LB,m6_ln_sn_dep,estado,gn_por_orden,0.008163127720645287,0.004050050642428738,0.012295300133836904,63
LB,m6_ln_sn_dep,estado_hgb,gn_por_orden,-0.031205334272875945,-0.047640599410166254,-0.013579770565905279,63
LB,m6_ln_sn_dep,conjunto_lineal,gn_por_orden,-0.0007051245698597657,-0.004939530730494495,0.0033846948221801757,63
LB,m6_ln_sn_dep,conjunto_interacciones,gn_por_orden,-0.0013865462076551526,-0.00547490707184484,0.0025447703291695076,63
LB,m6_ln_sn_dep,conjunto_hgb,gn_por_orden,-0.030462636283603784,-0.04976565407979577,-0.011771649961581728,63
LB,m6_ln_sn_dep,estado,estado_hgb,0.03936846199352124,0.021457166310749225,0.058609614766101235,63
LB,m6_ln_sn_dep,gn_por_orden,estado_hgb,0.031205334272875945,0.014044551017319022,0.048862817781320386,63
LB,m6_ln_sn_dep,conjunto_lineal,estado_hgb,0.030500209703016184,0.0138513168559835,0.04753228023734495,63
LB,m6_ln_sn_dep,conjunto_interacciones,estado_hgb,0.029818788065220796,0.013654726037676125,0.04734393898346166,63
LB,m6_ln_sn_dep,conjunto_hgb,estado_hgb,0.0007426979892721675,-0.008198732510027522,0.010252711535401941,63
LB,m8_ln_feo_ret_dross50,estado,gn_por_orden,0.00024383945814249262,-0.0009646988514240549,0.0015020827075256254,63
LB,m8_ln_feo_ret_dross50,estado_hgb,gn_por_orden,-0.0017022397301806901,-0.003776931923930909,0.0002816521197047977,63
LB,m8_ln_feo_ret_dross50,conjunto_lineal,gn_por_orden,0.0001237174165723764,-0.0006953352930261761,0.0009269711634699345,63
LB,m8_ln_feo_ret_dross50,conjunto_interacciones,gn_por_orden,-0.0003573958692336632,-0.0009980408592542415,0.00027153301923938197,63
LB,m8_ln_feo_ret_dross50,conjunto_hgb,gn_por_orden,-0.0025161713550597214,-0.004776796714067278,-0.0003265279694508737,63
LB,m8_ln_feo_ret_dross50,estado,estado_hgb,0.0019460791883231827,-2.6475054411362026e-05,0.0038523523376005507,63
LB,m8_ln_feo_ret_dross50,gn_por_orden,estado_hgb,0.0017022397301806901,-0.0002853828112245417,0.0037530030533144353,63
LB,m8_ln_feo_ret_dross50,conjunto_lineal,estado_hgb,0.0018259571467530665,-0.0003732285626572996,0.003934564791455588,63
LB,m8_ln_feo_ret_dross50,conjunto_interacciones,estado_hgb,0.001344843860947027,-0.0006914953756200068,0.003340375012739149,63
LB,m8_ln_feo_ret_dross50,conjunto_hgb,estado_hgb,-0.0008139316248790306,-0.0025953020491130564,0.0010524910552420451,63
