variable,theta,se,ci_lo,ci_hi,p,n,batches,rank,target,periodo,modelo,q_bh
C_x_GN,-0.003912020900684732,0.002337816561145735,-0.008550756151009562,0.0007267143496400988,0.09741246936847413,359,100,15,m6_ln_sn_dep,T2,acoplado,0.28999481008518113
C_x_Sn,0.0017904413587034578,0.0014231988958963108,-0.0010334940160130748,0.00461437673341999,0.2113363470845676,359,100,15,m6_ln_sn_dep,T2,acoplado,0.4226726941691352
gn_0,-0.03470179395122473,0.022774392013257528,-0.07990265782730865,0.010499069924859189,0.13083241830608844,361,98,10,m6_ln_sn_dep,T3,v11_estructura,0.5615401918221395
gn_1,-0.002722522973188131,0.01091185479457736,-0.024379534186403685,0.01893448824002742,0.8035005544262109,361,98,10,m6_ln_sn_dep,T3,v11_estructura,0.9009264156652281
gn_2,0.016427753080243898,0.012705115717524654,-0.008788384665317981,0.041643890825805774,0.19908114110135222,361,98,10,m6_ln_sn_dep,T3,v11_estructura,0.5615401918221395
gn_3,0.01606903694404776,0.013382722579247667,-0.010491962850977959,0.04263003673907348,0.2327799245598227,361,98,10,m6_ln_sn_dep,T3,v11_estructura,0.5615401918221395
d_carbon,0.0025503429426433906,0.004447851446339358,-0.0062774109508521685,0.01137809683613895,0.5677092577487508,361,98,10,m6_ln_sn_dep,T3,v11_estructura,0.800753588045718
gn_0,-0.039747430961988794,0.025100276511879096,-0.08956453173047746,0.010069669806499863,0.11655226886529683,361,98,12,m6_ln_sn_dep,T3,conjunto,0.5615401918221395
gn_1,-0.0055001728131421615,0.01258316824006979,-0.030474278572723456,0.01947393294643913,0.6630063719746896,361,98,12,m6_ln_sn_dep,T3,conjunto,0.8415080875063369
gn_2,0.019936673444866104,0.01672664231150478,-0.013261081374939983,0.05313442826467219,0.2362039870037583,361,98,12,m6_ln_sn_dep,T3,conjunto,0.5615401918221395
gn_3,0.01545722613343379,0.019790013713070518,-0.02382047293443197,0.05473492520129955,0.4366681798915359,361,98,12,m6_ln_sn_dep,T3,conjunto,0.7029292651912529
d_carbon,0.0050708597924446755,0.004928554935358547,-0.004710957461305087,0.014852677046194439,0.30609784746615093,361,98,12,m6_ln_sn_dep,T3,conjunto,0.5876339450688414
d_exceso,-0.00627047360904867,0.007922457497557793,-0.02199435869466195,0.009453411476564609,0.43059459238015335,361,98,12,m6_ln_sn_dep,T3,conjunto,0.7029292651912529
d_aire,-0.00287161508234484,0.002609377775424642,-0.008050507654299719,0.0023072774896100386,0.2738387414192395,361,98,12,m6_ln_sn_dep,T3,conjunto,0.5834302946283781
gn_0,-0.041823179436844125,0.030553961609129446,-0.10246433546706449,0.018817976593376237,0.1742140332254328,361,98,15,m6_ln_sn_dep,T3,acoplado,0.5615401918221395
gn_1,-0.006203310262176065,0.01654625440549388,-0.03904304502244581,0.02663642449809368,0.7085479209307488,361,98,15,m6_ln_sn_dep,T3,acoplado,0.8502575051168986
gn_2,0.01796728445209893,0.01705300107332718,-0.015878202169254885,0.05181277107345275,0.29467702881464525,361,98,15,m6_ln_sn_dep,T3,acoplado,0.5876339450688414
gn_3,0.004870228278494172,0.020661776914100195,-0.03613767942716896,0.0458781359841573,0.8141531316645246,361,98,15,m6_ln_sn_dep,T3,acoplado,0.9009264156652281
d_carbon,-0.003925719830675297,0.006593929694464033,-0.017012844982224173,0.009161405320873579,0.5529936045249287,361,98,15,m6_ln_sn_dep,T3,acoplado,0.800753588045718
d_exceso,-0.012033897919601027,0.009676291116195092,-0.031238657252534566,0.0071708614133325094,0.21662646010581155,361,98,15,m6_ln_sn_dep,T3,acoplado,0.5615401918221395
d_aire,-0.00466402284598178,0.0025707780832024325,-0.009766305713810236,0.0004382600218466757,0.07273123011273072,361,98,15,m6_ln_sn_dep,T3,acoplado,0.5615401918221395
C_x_exceso,-0.001098568271736496,0.0006397637993332324,-0.0023683223178455606,0.00017118577437256837,0.08914371579904316,361,98,15,m6_ln_sn_dep,T3,acoplado,0.5615401918221395
C_x_GN,-0.0022888454077249136,0.0012216605032157898,-0.004713503333894803,0.00013581251844497653,0.06400258779758648,361,98,15,m6_ln_sn_dep,T3,acoplado,0.5615401918221395
C_x_Sn,0.0013772584534435188,0.0010136453769283703,-0.0006345470285421026,0.00338906393542914,0.17738711232569548,361,98,15,m6_ln_sn_dep,T3,acoplado,0.5615401918221395
gn_0,-0.002374751614517262,0.002151115766152,-0.006608112003481435,0.0018586087744469106,0.2705029276447289,1084,298,10,m8_ln_feo_ret_dross50,DEV,v11_estructura,0.42507602915600257
gn_1,-0.0029209227434082857,0.0012898921298255045,-0.005459409204417318,-0.0003824362823992536,0.024265946600669677,1084,298,10,m8_ln_feo_ret_dross50,DEV,v11_estructura,0.08429223556022097
gn_2,-0.002509543162810077,0.001272650952780861,-0.005014099271437157,-4.987054182997632e-06,0.04954848608269887,1084,298,10,m8_ln_feo_ret_dross50,DEV,v11_estructura,0.14864545824809663
gn_3,-0.0066659854024543625,0.0018968940000891569,-0.010399041544014814,-0.002932929260893911,0.0005098793553413225,1084,298,10,m8_ln_feo_ret_dross50,DEV,v11_estructura,0.016826018726263645
d_carbon,0.0009794234375833629,0.00039523549721858447,0.0002016064904133113,0.0017572403847534144,0.013765051032862163,1084,298,10,m8_ln_feo_ret_dross50,DEV,v11_estructura,0.07849662103716361
gn_0,-0.0034035766179063448,0.0027891306180773605,-0.008892539724404973,0.002085386488592284,0.22331911741170798,1084,298,12,m8_ln_feo_ret_dross50,DEV,conjunto,0.36847654372931815
gn_1,-0.0031600280140896397,0.0016972436374334092,-0.0065001755311081925,0.0001801195029289132,0.0636105676954255,1084,298,12,m8_ln_feo_ret_dross50,DEV,conjunto,0.16173190116492628
