xcols,controles,paso,start,n,pendiente,t,p_perm
solo_dC,full(+idx),10,120,241,0.0866623886312741,0.12461257742311839,0.2956810631229236
solo_dC,full(+idx),10,150,211,0.19755105719382726,0.2780965122577753,0.21926910299003322
solo_dC,full(+idx),20,100,261,-1.2330252817763203,-1.0821705564530386,0.7375415282392026
solo_dC,full(+idx),20,120,241,-1.2240704590835116,-1.0650812550894122,0.7342192691029901
solo_dC,full(+idx),20,150,211,0.08521216654799793,0.11968471903287609,0.29900332225913623
solo_dC,sin_idx,5,100,261,-3.2198649438622624,-1.9326697970837556,0.9667774086378738
solo_dC,sin_idx,5,120,241,-3.3890004591559197,-2.0064600860289548,0.973421926910299
solo_dC,sin_idx,5,150,211,-3.8500055855392263,-1.9326001337591014,0.9867109634551495
solo_dC,sin_idx,10,100,261,-1.390545081557426,-0.9241745656205248,0.7574750830564784
solo_dC,sin_idx,10,120,241,-1.4805191147922256,-0.975060494879298,0.760797342192691
solo_dC,sin_idx,10,150,211,-1.2340746530763973,-0.7157428249365534,0.6943521594684385
solo_dC,sin_idx,20,100,261,-0.9634659515498306,-0.853810340244297,0.6179401993355482
solo_dC,sin_idx,20,120,241,-0.9861476872432416,-0.8677939887912476,0.6112956810631229
solo_dC,sin_idx,20,150,211,-1.0389273729145154,-0.5140011632734883,0.5913621262458472
solo_dC,espesor_en_vez_idx,5,100,261,-0.1753325331631421,-0.19939411410828906,0.4684385382059801
solo_dC,espesor_en_vez_idx,5,120,241,-0.21629541595867952,-0.2435845426055201,0.47840531561461797
solo_dC,espesor_en_vez_idx,5,150,211,-0.07667089862967058,-0.08330296632241928,0.38205980066445183
solo_dC,espesor_en_vez_idx,10,100,261,0.07982420977290769,0.10902377313726845,0.31893687707641194
solo_dC,espesor_en_vez_idx,10,120,241,0.055778263169482735,0.07558513100499092,0.3588039867109635
solo_dC,espesor_en_vez_idx,10,150,211,0.16857886057892385,0.22329215808323152,0.26245847176079734
solo_dC,espesor_en_vez_idx,20,100,261,-1.1369624368590199,-0.9781841833260564,0.717607973421927
