Batch,orden_escalon_fase,inicio_bloque,receta__gn,hist__gn,rec__gn,z_hist__gn,z_rec__gn,dev_hist__gn,dev_rec__gn,beta__gn,t__gn,motivo__gn,valor_hist_pp__gn,valor_rec_pp__gn,receta__carbon,hist__carbon,rec__carbon,z_hist__carbon,z_rec__carbon,dev_hist__carbon,dev_rec__carbon,beta__carbon,t__carbon,motivo__carbon,valor_hist_pp__carbon,valor_rec_pp__carbon
AP0146,3,140,16.666666666666668,16.751694813481084,16.666666666666668,0.0462241555439959,0.0,0.08502814681441606,0.0,-1.6835216514777016,-2.7072066004051605,ejecutar la receta: horno frio,-0.07781936667959014,-0.0,13.333333333333334,9.70686551607572,10.798737010587445,-0.8089224249957921,-0.5653688126016465,-3.6264678172576144,-2.534596322745889,-0.4594836085259159,-1.1307376252032932,recomendar,0.37168659485460115,0.25977770216221685
AP0147,0,140,27.5,25.434263124819154,24.589899517211734,-0.7098507035748791,-1.0,-2.0657368751808463,-2.910100482788266,-1.6835216514777016,-2.7072066004051605,recomendar,1.195049028784989,1.6835216514777016,60.0,64.22055362168177,55.0089902171328,0.47809351081676543,-0.5653688126016464,4.220553621681773,-4.991009782867202,-0.4594836085259159,-1.1307376252032932,recomendar,-0.2196761315629114,0.25977770216221685
AP0147,1,140,25.0,20.12065664543135,22.31017386407456,-1.813999533055286,-1.0000000000000002,-4.87934335456865,-2.68982613592544,-1.6835216514777016,-2.7072066004051605,recomendar,3.053907489669015,1.6835216514777023,18.333333333333332,24.592974853515624,18.333333333333332,0.9587143477981436,0.0,6.259641520182292,0.0,-0.4594836085259159,-1.1307376252032932,recomendar,-0.440513528071861,-0.0
AP0147,2,140,17.5,18.564711330613484,15.928449582025477,0.3896149755157921,-0.5750850582835171,1.064711330613484,-1.5715504179745228,-1.6835216514777016,-2.7072066004051605,recomendar,-0.6559252470207906,0.9681681470616169,16.666666666666668,7.857935272701202,12.919700317689735,-1.329123761704688,-0.5653688126016465,-8.808731393965466,-3.746966348976933,-0.4594836085259159,-1.1307376252032932,recomendar,0.6107105822056097,0.2597777021622169
AP0147,3,140,16.666666666666668,16.612590363066072,14.827192352560774,-0.02939769432272839,-0.9999999999999997,-0.054076303600595566,-1.8394743141058942,-1.6835216514777016,-2.7072066004051605,recomendar,0.04949165489583635,1.683521651477701,13.333333333333334,5.946745762680516,10.798737010587445,-1.6476573435069848,-0.5653688126016465,-7.386587570652818,-2.534596322745889,-0.4594836085259159,-1.1307376252032932,recomendar,0.7570715418088139,0.25977770216221685
AP0148,0,140,27.5,28.44489348234953,24.589899517211734,0.3246944522837221,-1.0,0.9448934823495314,-2.910100482788266,-1.6835216514777016,-2.7072066004051605,recomendar,-0.5466301405343397,1.6835216514777016,60.0,66.1826677219842,55.0089902171328,0.7003567736308204,-0.5653688126016464,6.182667721984203,-4.991009782867202,-0.4594836085259159,-1.1307376252032932,recomendar,-0.3218024576034573,0.25977770216221685
AP0148,1,140,25.0,25.101921698676215,22.31017386407456,0.03789155637791744,-1.0000000000000002,0.10192169867621459,-2.68982613592544,-1.6835216514777016,-2.7072066004051605,recomendar,-0.063791255570412,1.6835216514777023,18.333333333333332,26.18247555463742,18.333333333333332,1.202159139818166,0.0,7.8491422213040885,0.0,-0.4594836085259159,-1.1307376252032932,recomendar,-0.552372419586062,-0.0
AP0148,2,140,17.5,13.867306410471599,17.5,-1.3293291648591365,0.0,-3.632693589528401,0.0,-1.6835216514777016,-2.7072066004051605,ejecutar la receta: horno frio,2.2379544309811275,-0.0,16.666666666666668,5.764266846671935,12.919700317689735,-1.645031277748679,-0.5653688126016465,-10.902399819994733,-3.746966348976933,-0.4594836085259159,-1.1307376252032932,recomendar,0.7558649076379612,0.2597777021622169
AP0148,3,140,16.666666666666668,16.487649349636502,16.666666666666668,-0.09731982428750564,0.0,-0.17901731703016566,0.0,-1.6835216514777016,-2.7072066004051605,ejecutar la receta: horno frio,0.16384003130602123,-0.0,13.333333333333334,5.02741162849195,10.798737010587445,-1.8527246527135492,-0.5653688126016465,-8.305921704841385,-2.534596322745889,-0.4594836085259159,-1.1307376252032932,recomendar,0.851296609033746,0.25977770216221685
AP0149,0,140,27.5,28.46083291512948,24.589899517211734,0.33017173146161366,-1.0,0.9608329151294797,-2.910100482788266,-1.6835216514777016,-2.7072066004051605,recomendar,-0.555851258621508,1.6835216514777016,60.0,61.11106206422211,55.0089902171328,0.1258582666241796,-0.5653688126016464,1.1110620642221107,-4.991009782867202,-0.4594836085259159,-1.1307376252032932,recomendar,-0.05782981051129488,0.25977770216221685
