dep,muestra,variable,coef_1sd,p,ci_lo,ci_hi,n,r2adj
J_R_batch,dev,cum_feed_Carbon_kg_prev,-1.5350645390533626,0.030068037432907372,-2.922064804380115,-0.14806427372661002,295,0.19044909363051044
J_R_batch,dev,relacion_C_cum_Sn_cum_prev,1.601436732816792,0.06894866990323338,-0.1243353814173438,3.327208847050928,295,0.19044909363051044
J_R_batch,total,ley_sn_escoria_pct_prev,-1.2125691433178343,0.331967752501087,-3.6622648631727275,1.237126576537059,358,0.2249133554238245
J_R_batch,total,ley_feo_escoria_pct_prev,-1.6330984571471272,0.05342952460783899,-3.2903209032835896,0.024123988989334988,358,0.2249133554238245
J_R_batch,total,basicidad_B2_prev,0.31944883554545933,0.0018963433428356737,0.11786884068499226,0.5210288304059264,358,0.2249133554238245
J_R_batch,total,indice_irf_prev,0.8127438269415753,0.00014446822755296478,0.3935898963346641,1.2318977575484866,358,0.2249133554238245
J_R_batch,total,temperatura_horno_celsius_prev,0.060571720563300895,0.623445043140487,-0.18123021049025365,0.3023736516168554,358,0.2249133554238245
J_R_batch,total,m6_masa_kg_prev,-0.9983311222282917,0.48984355981599337,-3.8318280821393285,1.8351658376827449,358,0.2249133554238245
J_R_batch,total,m6_sn_inv_kg_prev,0.5979917136979223,0.8100486988080262,-4.278138193687983,5.474121621083828,358,0.2249133554238245
J_R_batch,total,m6_feo_inv_kg_prev,1.171586062924012,0.3923279401001756,-1.5128396325016784,3.8560117583497027,358,0.2249133554238245
J_R_batch,total,m6_avance_prev,-0.6885581185055875,0.8120304863749148,-6.363525205254609,4.986408968243435,358,0.2249133554238245
J_R_batch,total,cum_feed_Carbon_kg_prev,-1.5876119622922862,0.015519369291216356,-2.873408652124053,-0.30181527246051965,358,0.2249133554238245
J_R_batch,total,relacion_C_cum_Sn_cum_prev,1.5040848149156738,0.03921145909286155,0.0744010254708094,2.933768604360538,358,0.2249133554238245
recuperacion_refinada_pct,dev,ley_sn_escoria_pct_prev,-2.0103612588860695,0.5421216017230264,-8.473919068397938,4.453196550625799,296,0.07811982029746967
recuperacion_refinada_pct,dev,ley_feo_escoria_pct_prev,-0.4731843373565514,0.8377069146877768,-5.0010155165198364,4.054646841806734,296,0.07811982029746967
recuperacion_refinada_pct,dev,basicidad_B2_prev,0.5750372773248208,0.0549749283406704,-0.01225230235836039,1.162326857008002,296,0.07811982029746967
recuperacion_refinada_pct,dev,indice_irf_prev,0.006317501922421087,0.9946435803026267,-1.8380848810479413,1.8507198848927835,296,0.07811982029746967
recuperacion_refinada_pct,dev,temperatura_horno_celsius_prev,0.40714614667959115,0.3491279420851694,-0.445152269807898,1.2594445631670803,296,0.07811982029746967
recuperacion_refinada_pct,dev,m6_masa_kg_prev,-6.107271890881968,0.12938258011659334,-14.000254657290327,1.78571087552639,296,0.07811982029746967
recuperacion_refinada_pct,dev,m6_sn_inv_kg_prev,8.722039391723047,0.03787754673972091,0.4882135713841933,16.9558652120619,296,0.07811982029746967
recuperacion_refinada_pct,dev,m6_feo_inv_kg_prev,3.7492999302610315,0.2823415898570848,-3.08603669977421,10.584636560296273,296,0.07811982029746967
recuperacion_refinada_pct,dev,m6_avance_prev,2.8781403323218484,0.5340559725975569,-6.193604886572816,11.949885551216513,296,0.07811982029746967
recuperacion_refinada_pct,dev,cum_feed_Carbon_kg_prev,0.7951899422759041,0.42561532697877946,-1.1610170586089683,2.7513969431607768,296,0.07811982029746967
recuperacion_refinada_pct,dev,relacion_C_cum_Sn_cum_prev,-0.2063050419214978,0.8725321579409215,-2.726518300591329,2.3139082167483336,296,0.07811982029746967
recuperacion_refinada_pct,total,ley_sn_escoria_pct_prev,-1.7960101823677483,0.5600320435649205,-7.8360788905150525,4.244058525779556,359,0.10179735753992714
recuperacion_refinada_pct,total,ley_feo_escoria_pct_prev,-0.2717603388951826,0.8990739174229101,-4.471358171373104,3.9278374935827385,359,0.10179735753992714
recuperacion_refinada_pct,total,basicidad_B2_prev,0.5275574685932545,0.03869001390031244,0.027432046720464287,1.0276828904660447,359,0.10179735753992714
recuperacion_refinada_pct,total,indice_irf_prev,0.2003016896019984,0.7985388574738499,-1.3378049018343812,1.738408281038378,359,0.10179735753992714
recuperacion_refinada_pct,total,temperatura_horno_celsius_prev,0.40761677089539894,0.34921487852330213,-0.4458207647880783,1.2610543065788762,359,0.10179735753992714
recuperacion_refinada_pct,total,m6_masa_kg_prev,-5.537294251015253,0.1434585294894557,-12.955378591892835,1.8807900898623284,359,0.10179735753992714
recuperacion_refinada_pct,total,m6_sn_inv_kg_prev,7.4713834381732696,0.05411665966655136,-0.13214227339873563,15.074909149745274,359,0.10179735753992714
recuperacion_refinada_pct,total,m6_feo_inv_kg_prev,3.057786382588798,0.33227079762961775,-3.1235870206401977,9.239159785817794,359,0.10179735753992714
recuperacion_refinada_pct,total,m6_avance_prev,1.8452125454308415,0.6766571496887623,-6.826965130130542,10.517390220992226,359,0.10179735753992714
recuperacion_refinada_pct,total,cum_feed_Carbon_kg_prev,0.6771694199034639,0.49640156642762734,-1.2741696371903197,2.6285084769972475,359,0.10179735753992714
recuperacion_refinada_pct,total,relacion_C_cum_Sn_cum_prev,-0.03435794942825432,0.9766049626900659,-2.330662054095749,2.2619461552392406,359,0.10179735753992714
