target,n_batches,rep,modelo,r2_oof,mae_oof,r2_lockbox,mae_lockbox,tiempo_s
R_feo_ret,50,2,PLM_v6,0.24838253225519935,0.057582663216748216,0.4599473043512132,0.04467666660343581,17.057090997695923
R_feo_ret,50,2,HGB_estado_palancas,0.2400827837707723,0.05788281379998885,0.47084286903170935,0.044096420812619205,0.9667367935180664
R_feo_ret,100,0,PLM_v6,0.2071379220767099,0.0537496959734401,0.30498661361667645,0.048291969546312666,23.379446029663086
R_feo_ret,100,0,HGB_estado_palancas,0.16534087854001933,0.05424646962830485,0.28438229238859614,0.04990048951446799,1.3218379020690918
R_feo_ret,100,1,PLM_v6,0.275293635567731,0.048668083894547985,0.42746109041157854,0.043758980750862875,23.59636092185974
R_feo_ret,100,1,HGB_estado_palancas,0.20730757493472518,0.05041098719087308,0.42094346064793087,0.04420593820914461,1.372089147567749
R_feo_ret,100,2,PLM_v6,0.18977698514249275,0.054003247087453875,0.3774050461255519,0.0481666187171219,26.842817544937134
R_feo_ret,100,2,HGB_estado_palancas,0.21944208462667814,0.05264341797253305,0.3736139034336058,0.04796659054898395,1.370567798614502
R_feo_ret,150,0,PLM_v6,0.2907065685625233,0.04860235851867856,0.4226267005195068,0.045019846140423946,31.47965693473816
R_feo_ret,150,0,HGB_estado_palancas,0.26398785713112005,0.04996917028559568,0.4248602788264425,0.045042262681494846,1.5804808139801025
R_feo_ret,150,1,PLM_v6,0.24221254425335437,0.05040538688640743,0.3677101542429999,0.0485598538739294,29.914423942565918
R_feo_ret,150,1,HGB_estado_palancas,0.19632389632106417,0.05145834900326656,0.3055910685354969,0.05111195633327727,1.3284797668457031
R_feo_ret,150,2,PLM_v6,0.2750083706226192,0.05119336686754218,0.4498194008950269,0.04338493632768254,32.70328187942505
R_feo_ret,150,2,HGB_estado_palancas,0.2915768235460583,0.05020848512298295,0.39370450221318876,0.04572250906625449,2.092536449432373
R_feo_ret,200,0,PLM_v6,0.28300164141468986,0.049673835779570685,0.46564044787845904,0.04265646571717141,38.409151554107666
R_feo_ret,200,0,HGB_estado_palancas,0.2699120270638682,0.050079882729695775,0.4153982790067071,0.04475038552689681,2.0868563652038574
R_feo_ret,200,1,PLM_v6,0.32983423936233647,0.04649525245011021,0.4581045765907673,0.04283577096022789,37.8542754650116
R_feo_ret,200,1,HGB_estado_palancas,0.3231604263264346,0.047522953748164065,0.45589239025268147,0.043136368582435615,1.9645118713378906
R_feo_ret,200,2,PLM_v6,0.32367221486029796,0.04946636100209697,0.4665464140714616,0.044631832109649903,43.565043926239014
R_feo_ret,200,2,HGB_estado_palancas,0.33942359764984775,0.04830072190763195,0.4508725187702689,0.04414540206962911,2.285290002822876
R_feo_ret,250,0,PLM_v6,0.27643038444011825,0.04844481270702614,0.4690105255610383,0.043364161715316187,39.50120234489441
R_feo_ret,250,0,HGB_estado_palancas,0.25819693356079254,0.048922730368010744,0.4340100842157708,0.04462471899887268,1.3901681900024414
R_feo_ret,250,1,PLM_v6,0.29212972747722654,0.04837916575906035,0.47682445887627267,0.04289878647350306,32.811296463012695
R_feo_ret,250,1,HGB_estado_palancas,0.27147809184402294,0.04894919512373206,0.46049551075943396,0.043548134677611,1.7773184776306152
R_feo_ret,250,2,PLM_v6,0.3038458671022708,0.04757665854443379,0.4874309871491471,0.04285515546271393,36.10006546974182
R_feo_ret,250,2,HGB_estado_palancas,0.29400649749575125,0.0477711434060404,0.4754986423946731,0.043049243349159015,1.7884972095489502
R_feo_ret,290,0,PLM_v6,0.3293346891031186,0.04704865425124657,0.48614296954594594,0.04182412600413477,38.20627999305725
R_feo_ret,290,0,HGB_estado_palancas,0.3052284496693173,0.0475219769527248,0.45482194571570156,0.04318401680669101,1.969428539276123
