[estabilidad] FULL/sn_dep listo en 36.3s (r2 walkforward global=0.754)
[estabilidad] FULL/feo_ret listo en 38.9s (r2 walkforward global=0.233)
[estabilidad] CURADO/sn_dep listo en 20.9s (r2 walkforward global=0.743)
[estabilidad] CURADO/feo_ret listo en 30.7s (r2 walkforward global=0.232)
[estabilidad] libre_k20/sn_dep listo en 24.4s (r2 walkforward global=0.763)
[estabilidad] libre_k20/feo_ret listo en 29.9s (r2 walkforward global=0.267)
[estabilidad] libre_k16/sn_dep listo en 20.7s (r2 walkforward global=0.761)
[estabilidad] libre_k16/feo_ret listo en 25.3s (r2 walkforward global=0.261)
        config    clave  tercio                   palanca  theta_1sd   ci_lo   ci_hi      n        tabla  bloque  n_train  n_test  r2_bloque  r2_global_walkforward
113       FULL  feo_ret     NaN                       NaN        NaN     NaN     NaN    NaN  walkforward     1.0    186.0   179.0     0.3538                 0.2331
114       FULL  feo_ret     NaN                       NaN        NaN     NaN     NaN    NaN  walkforward     2.0    365.0   176.0     0.2329                 0.2331
115       FULL  feo_ret     NaN                       NaN        NaN     NaN     NaN    NaN  walkforward     3.0    541.0   184.0     0.1079                 0.2331
116       FULL  feo_ret     NaN                       NaN        NaN     NaN     NaN    NaN  walkforward     4.0    725.0   181.0     0.1664                 0.2331
117       FULL  feo_ret     NaN                       NaN        NaN     NaN     NaN    NaN  walkforward     5.0    906.0   152.0     0.2858                 0.2331
118     CURADO   sn_dep     NaN                       NaN        NaN     NaN     NaN    NaN  walkforward     1.0    181.0   181.0     0.6822                 0.7431
119     CURADO   sn_dep     NaN                       NaN        NaN     NaN     NaN    NaN  walkforward     2.0    362.0   175.0     0.7584                 0.7431
120     CURADO   sn_dep     NaN                       NaN        NaN     NaN     NaN    NaN  walkforward     3.0    537.0   184.0     0.7498                 0.7431
121     CURADO   sn_dep     NaN                       NaN        NaN     NaN     NaN    NaN  walkforward     4.0    721.0   178.0     0.6973                 0.7431
122     CURADO   sn_dep     NaN                       NaN        NaN     NaN     NaN    NaN  walkforward     5.0    899.0   183.0     0.8102                 0.7431
123     CURADO  feo_ret     NaN                       NaN        NaN     NaN     NaN    NaN  walkforward     1.0    181.0   181.0     0.3360                 0.2319
124     CURADO  feo_ret     NaN                       NaN        NaN     NaN     NaN    NaN  walkforward     2.0    362.0   175.0     0.1186                 0.2319
125     CURADO  feo_ret     NaN                       NaN        NaN     NaN     NaN    NaN  walkforward     3.0    537.0   184.0     0.3061                 0.2319
126     CURADO  feo_ret     NaN                       NaN        NaN     NaN     NaN    NaN  walkforward     4.0    721.0   178.0    -0.0621                 0.2319
127     CURADO  feo_ret     NaN                       NaN        NaN     NaN     NaN    NaN  walkforward     5.0    899.0   183.0     0.3351                 0.2319
128  libre_k20   sn_dep     NaN                       NaN        NaN     NaN     NaN    NaN  walkforward     1.0    181.0   181.0     0.7258                 0.7629
129  libre_k20   sn_dep     NaN                       NaN        NaN     NaN     NaN    NaN  walkforward     2.0    362.0   175.0     0.7636                 0.7629
130  libre_k20   sn_dep     NaN                       NaN        NaN     NaN     NaN    NaN  walkforward     3.0    537.0   184.0     0.7632                 0.7629
131  libre_k20   sn_dep     NaN                       NaN        NaN     NaN     NaN    NaN  walkforward     4.0    721.0   178.0     0.7259                 0.7629
132  libre_k20   sn_dep     NaN                       NaN        NaN     NaN     NaN    NaN  walkforward     5.0    899.0   183.0     0.8197                 0.7629
133  libre_k20  feo_ret     NaN                       NaN        NaN     NaN     NaN    NaN  walkforward     1.0    181.0   181.0     0.3522                 0.2670
134  libre_k20  feo_ret     NaN                       NaN        NaN     NaN     NaN    NaN  walkforward     2.0    362.0   175.0     0.2570                 0.2670
135  libre_k20  feo_ret     NaN                       NaN        NaN     NaN     NaN    NaN  walkforward     3.0    537.0   184.0     0.2842                 0.2670
136  libre_k20  feo_ret     NaN                       NaN        NaN     NaN     NaN    NaN  walkforward     4.0    721.0   178.0     0.0153                 0.2670
137  libre_k20  feo_ret     NaN                       NaN        NaN     NaN     NaN    NaN  walkforward     5.0    899.0   183.0     0.3370                 0.2670
138  libre_k16   sn_dep     NaN                       NaN        NaN     NaN     NaN    NaN  walkforward     1.0    182.0   181.0     0.7188                 0.7606
139  libre_k16   sn_dep     NaN                       NaN        NaN     NaN     NaN    NaN  walkforward     2.0    363.0   175.0     0.7622                 0.7606
140  libre_k16   sn_dep     NaN                       NaN        NaN     NaN     NaN    NaN  walkforward     3.0    538.0   184.0     0.7598                 0.7606
141  libre_k16   sn_dep     NaN                       NaN        NaN     NaN     NaN    NaN  walkforward     4.0    722.0   178.0     0.7262                 0.7606
142  libre_k16   sn_dep     NaN                       NaN        NaN     NaN     NaN    NaN  walkforward     5.0    900.0   183.0     0.8204                 0.7606
143  libre_k16  feo_ret     NaN                       NaN        NaN     NaN     NaN    NaN  walkforward     1.0    182.0   181.0     0.3068                 0.2605
144  libre_k16  feo_ret     NaN                       NaN        NaN     NaN     NaN    NaN  walkforward     2.0    363.0   175.0     0.2264                 0.2605
145  libre_k16  feo_ret     NaN                       NaN        NaN     NaN     NaN    NaN  walkforward     3.0    538.0   184.0     0.2540                 0.2605
146  libre_k16  feo_ret     NaN                       NaN        NaN     NaN     NaN    NaN  walkforward     4.0    722.0   178.0     0.0515                 0.2605
147  libre_k16  feo_ret     NaN                       NaN        NaN     NaN     NaN    NaN  walkforward     5.0    900.0   183.0     0.3650                 0.2605
FIN estabilidad
tiempo total: 227.3s
