rep,Batch,policy,J_batch
0,AP0326,historica,-1548.2535705871048
0,AP0326,miope,-1082.235501618431
0,AP0326,horizonte,-1082.235501618431
0,AP0327,historica,-1880.4403477315882
0,AP0327,miope,-1642.7497091241844
0,AP0327,horizonte,-1642.7497091241844
0,AP0328,historica,-2267.966461947059
0,AP0328,miope,-2043.9059240757879
0,AP0328,horizonte,-2043.9059240757879
0,AP0329,historica,-1496.9186838815976
0,AP0329,miope,-1520.5774960919837
0,AP0329,horizonte,-1520.5774960919837
0,AP0330,historica,-1921.5165542758473
0,AP0330,miope,-1907.9992434383862
0,AP0330,horizonte,-1907.9992434383862
0,AP0331,historica,-1716.8802897187866
0,AP0331,miope,-1630.2362717474077
0,AP0331,horizonte,-1630.2362717474077
0,AP0332,historica,-2105.519756086555
0,AP0332,miope,-1855.2383891892114
0,AP0332,horizonte,-1855.2383891892114
0,AP0333,historica,-2150.755384961367
0,AP0333,miope,-2014.329866584668
0,AP0333,horizonte,-2014.329866584668
0,AP0334,historica,-1966.1232974297475
0,AP0334,miope,-1779.2479649256816
0,AP0334,horizonte,-1779.2479649256816
0,AP0335,historica,-2255.6540794002117
0,AP0335,miope,-2049.6633041292725
0,AP0335,horizonte,-2049.6633041292725
0,AP0336,historica,-1831.0216347262972
0,AP0336,miope,-1828.2490603334654
0,AP0336,horizonte,-1828.2490603334654
0,AP0337,historica,-2093.274024414245
0,AP0337,miope,-2008.1049668908518
0,AP0337,horizonte,-2008.1049668908518
0,AP0338,historica,-1616.4291124219549
0,AP0338,miope,-1142.2584582920404
0,AP0338,horizonte,-1142.2584582920404
0,AP0339,historica,-2174.9105222219255
0,AP0339,miope,-2138.6503878949925
0,AP0339,horizonte,-2138.6503878949925
0,AP0340,historica,-2176.7388028262876
0,AP0340,miope,-2023.38907113581
0,AP0340,horizonte,-2326.5657346662065
0,AP0341,historica,-2821.6072179406983
0,AP0341,miope,-2658.146022464838
0,AP0341,horizonte,-2658.146022464838
0,AP0342,historica,-2211.132541216759
0,AP0342,miope,-2094.074128951441
0,AP0342,horizonte,-2094.074128951441
0,AP0343,historica,-2103.3132308768763
0,AP0343,miope,-1885.815239907036
0,AP0343,horizonte,-1885.815239907036
0,AP0344,historica,-1420.6692398878579
0,AP0344,miope,-1104.4568369914177
0,AP0344,horizonte,-1104.4568369914177
0,AP0345,historica,-1749.5130387359281
0,AP0345,miope,-1659.5077607432604
0,AP0345,horizonte,-1761.6157676199196
0,AP0346,historica,-1584.9062285260306
0,AP0346,miope,-1253.840939724437
0,AP0346,horizonte,-1253.840939724437
0,AP0347,historica,-1921.3722526906915
0,AP0347,miope,-1493.7626910866934
0,AP0347,horizonte,-1502.9912088823928
0,AP0348,historica,-1835.7857436124775
0,AP0348,miope,-1826.0044397826368
0,AP0348,horizonte,-1826.0044397826368
0,AP0349,historica,-1700.916749366535
0,AP0349,miope,-1847.3373828586373
0,AP0349,horizonte,-1700.916749366535
0,AP0350,historica,-2302.9081354552527
0,AP0350,miope,-1942.6124768686136
0,AP0350,horizonte,-1942.6124768686136
0,AP0351,historica,-1486.8240475223315
0,AP0351,miope,-1307.6675042513175
0,AP0351,horizonte,-1307.6675042513175
0,AP0352,historica,-1357.7954312635268
0,AP0352,miope,-946.0507954824989
0,AP0352,horizonte,-814.3169332575692
0,AP0353,historica,-2528.62400277462
0,AP0353,miope,-2095.9668851250008
0,AP0353,horizonte,-2095.9668851250008
0,AP0354,historica,-1611.8978641531933
0,AP0354,miope,-1281.5639591696172
0,AP0354,horizonte,-1281.5639591696172
0,AP0355,historica,-2255.729004756825
0,AP0355,miope,-1642.7257084200637
0,AP0355,horizonte,-1642.7257084200637
0,AP0356,historica,-2451.2658988624207
0,AP0356,miope,-2243.579952006138
0,AP0356,horizonte,-2243.579952006138
0,AP0357,historica,-2775.4463485225715
0,AP0357,miope,-2200.125111520748
0,AP0357,horizonte,-2200.125111520748
0,AP0358,historica,-1515.4571184401575
0,AP0358,miope,-1045.8589644852623
0,AP0358,horizonte,-1517.330173365642
0,AP0359,historica,-2180.157889750819
0,AP0359,miope,-1900.2244203591367
0,AP0359,horizonte,-1900.2244203591367
0,AP0360,historica,-2592.734665194883
0,AP0360,miope,-1981.4080774417162
0,AP0360,horizonte,-1981.4080774417162
0,AP0361,historica,-2615.0945516404336
0,AP0361,miope,-2127.263943527206
0,AP0361,horizonte,-2127.263943527206
0,AP0362,historica,-1810.0759964349782
0,AP0362,miope,-1820.2544098771964
0,AP0362,horizonte,-1726.7511372334438
1,AP0300,historica,-1529.526713559902
1,AP0300,miope,-1482.4675087570376
1,AP0300,horizonte,-1644.5666645731176
1,AP0301,historica,-2247.8628403075786
1,AP0301,miope,-1945.1613165066497
1,AP0301,horizonte,-1945.1613165066497
1,AP0302,historica,-1506.0218375311656
1,AP0302,miope,-1073.138921385616
1,AP0302,horizonte,-1073.138921385616
1,AP0303,historica,-2144.568658788852
1,AP0303,miope,-1708.0263572966392
1,AP0303,horizonte,-1708.0263572966392
1,AP0304,historica,-2454.839632823622
1,AP0304,miope,-2445.6055589151183
1,AP0304,horizonte,-2116.8419262058005
1,AP0305,historica,-1514.4901191353429
1,AP0305,miope,-1443.4576549975095
1,AP0305,horizonte,-947.864688141102
1,AP0306,historica,-1696.7586356239879
1,AP0306,miope,-1425.3525615537226
1,AP0306,horizonte,-1425.3525615537226
1,AP0307,historica,-1870.6363908136007
1,AP0307,miope,-1729.9990963523278
1,AP0307,horizonte,-1729.9990963523278
1,AP0308,historica,-2299.40961403099
1,AP0308,miope,-1765.6033093113547
1,AP0308,horizonte,-1765.6033093113547
1,AP0309,historica,-1941.750710624311
1,AP0309,miope,-1674.981574920911
1,AP0309,horizonte,-1674.981574920911
1,AP0310,historica,-2412.969040229036
1,AP0310,miope,-2376.0939789551717
1,AP0310,horizonte,-2376.0939789551717
1,AP0311,historica,-1492.4397609014575
1,AP0311,miope,-1228.679785113168
1,AP0311,horizonte,-1171.095656850419
1,AP0312,historica,-2731.445954612892
1,AP0312,miope,-2500.374096410301
1,AP0312,horizonte,-2500.374096410301
1,AP0313,historica,-1766.8009286980528
1,AP0313,miope,-1417.0921383853556
1,AP0313,horizonte,-1417.0921383853556
1,AP0314,historica,-1411.912553476
1,AP0314,miope,-1370.9677738143441
1,AP0314,horizonte,-1370.9677738143441
1,AP0315,historica,-2455.749424699371
1,AP0315,miope,-2244.6978769377433
1,AP0315,horizonte,-2244.6978769377433
1,AP0316,historica,-1720.0098984771998
1,AP0316,miope,-1647.9091487518422
1,AP0316,horizonte,-1647.9091487518422
1,AP0317,historica,-2140.605229307268
1,AP0317,miope,-2049.9522865593153
1,AP0317,horizonte,-2049.9522865593153
1,AP0318,historica,-2224.990789452161
1,AP0318,miope,-2161.0683691670683
1,AP0318,horizonte,-2161.0683691670683
1,AP0319,historica,-2371.586168165836
1,AP0319,miope,-2350.533080023575
1,AP0319,horizonte,-2350.533080023575
1,AP0320,historica,-2187.4691040716943
1,AP0320,miope,-2162.3834048448625
1,AP0320,horizonte,-2061.8369232942655
1,AP0321,historica,-1849.7025789028198
1,AP0321,miope,-1860.744660010996
1,AP0321,horizonte,-1849.7025789028198
1,AP0322,historica,-2088.854396434317
1,AP0322,miope,-1754.964718927555
1,AP0322,horizonte,-1754.964718927555
1,AP0323,historica,-2143.4231800631514
1,AP0323,miope,-2091.459026594093
1,AP0323,horizonte,-2056.3480383877795
1,AP0324,historica,-2506.64347699534
1,AP0324,miope,-2223.2722994443393
1,AP0324,horizonte,-2223.2722994443393
1,AP0325,historica,-1378.9750881302575
1,AP0325,miope,-1342.1588206195165
1,AP0325,horizonte,-1342.1588206195165
1,AP0326,historica,-1555.9134630369192
1,AP0326,miope,-1036.300854875517
1,AP0326,horizonte,-1036.300854875517
1,AP0327,historica,-1845.6921895328096
1,AP0327,miope,-1656.5700036918954
1,AP0327,horizonte,-1656.5700036918954
1,AP0328,historica,-2234.5627350624754
1,AP0328,miope,-1985.6673573041508
1,AP0328,horizonte,-1985.6673573041508
1,AP0329,historica,-1457.579003795386
1,AP0329,miope,-1467.2964618125975
1,AP0329,horizonte,-1467.2964618125975
1,AP0330,historica,-1892.6001059011844
1,AP0330,miope,-1883.5316303162394
1,AP0330,horizonte,-1883.5316303162394
1,AP0331,historica,-1742.397003023521
1,AP0331,miope,-1610.0246501256831
1,AP0331,horizonte,-1610.0246501256831
1,AP0332,historica,-2072.3547098755676
1,AP0332,miope,-1796.7803078815296
1,AP0332,horizonte,-1796.7803078815296
1,AP0333,historica,-2102.545786178111
1,AP0333,miope,-1961.8440476668304
1,AP0333,horizonte,-1961.8440476668304
1,AP0334,historica,-1817.4008264999716
1,AP0334,miope,-1762.054287215072
1,AP0334,horizonte,-1762.054287215072
1,AP0335,historica,-2234.506630694842
1,AP0335,miope,-2020.3947284795017
1,AP0335,horizonte,-2020.3947284795017
1,AP0336,historica,-1812.405845580779
1,AP0336,miope,-1818.2404698485213
1,AP0336,horizonte,-1818.2404698485213
1,AP0337,historica,-2095.552361917542
1,AP0337,miope,-1986.515820800507
1,AP0337,horizonte,-1986.515820800507
1,AP0338,historica,-1550.908663508097
1,AP0338,miope,-1117.989129814514
1,AP0338,horizonte,-1117.989129814514
1,AP0339,historica,-2142.5283569197395
1,AP0339,miope,-2071.2319172967277
1,AP0339,horizonte,-2071.2319172967277
1,AP0340,historica,-2263.034719506643
1,AP0340,miope,-2040.563401840347
1,AP0340,horizonte,-2356.3464840491806
1,AP0341,historica,-2801.80920904529
1,AP0341,miope,-2634.8740188781067
1,AP0341,horizonte,-2634.8740188781067
1,AP0342,historica,-2175.6208812698155
1,AP0342,miope,-2043.183508380173
1,AP0342,horizonte,-2043.183508380173
1,AP0343,historica,-2060.54600781659
1,AP0343,miope,-1828.589859690755
1,AP0343,horizonte,-1828.589859690755
1,AP0344,historica,-1415.5749164730232
1,AP0344,miope,-1052.1864746903107
1,AP0344,horizonte,-1052.1864746903107
1,AP0345,historica,-1688.224459026039
1,AP0345,miope,-1647.4454661984619
1,AP0345,horizonte,-1703.3902890654006
1,AP0346,historica,-1570.317648601786
1,AP0346,miope,-1170.862010924357
1,AP0346,horizonte,-1170.862010924357
1,AP0347,historica,-1863.5646174780206
1,AP0347,miope,-1423.4311037175357
1,AP0347,horizonte,-1469.926183344511
1,AP0348,historica,-1820.3036268086719
1,AP0348,miope,-1757.6829548682945
1,AP0348,horizonte,-1757.6829548682945
1,AP0349,historica,-1634.0032674638205
1,AP0349,miope,-1783.828544806185
1,AP0349,horizonte,-1634.0032674638205
1,AP0350,historica,-2237.6476675161002
1,AP0350,miope,-1886.7285898997334
1,AP0350,horizonte,-1886.7285898997334
1,AP0351,historica,-1527.6114572665647
1,AP0351,miope,-1294.1545981205088
1,AP0351,horizonte,-1294.1545981205088
1,AP0352,historica,-1326.6407046877387
1,AP0352,miope,-875.5370454119053
1,AP0352,horizonte,-827.0178220792876
1,AP0353,historica,-2453.551715451248
1,AP0353,miope,-2004.8972163415065
1,AP0353,horizonte,-2004.8972163415065
1,AP0354,historica,-1627.7139208821318
1,AP0354,miope,-1276.003507161193
1,AP0354,horizonte,-1276.003507161193
1,AP0355,historica,-2267.176771960978
1,AP0355,miope,-1620.6467684696763
1,AP0355,horizonte,-1620.6467684696763
1,AP0356,historica,-2378.3846505741976
1,AP0356,miope,-2235.353253132431
1,AP0356,horizonte,-2235.353253132431
1,AP0357,historica,-2760.27797189773
1,AP0357,miope,-2206.649037936844
1,AP0357,horizonte,-2206.649037936844
1,AP0358,historica,-1542.1502955021301
1,AP0358,miope,-1043.4701876061395
1,AP0358,horizonte,-1451.8274404908693
1,AP0359,historica,-2076.2291301824876
1,AP0359,miope,-1776.9509887403742
1,AP0359,horizonte,-1776.9509887403742
1,AP0360,historica,-2559.6136053412874
1,AP0360,miope,-1954.1120474808936
1,AP0360,horizonte,-1954.1120474808936
1,AP0361,historica,-2585.3853167619086
1,AP0361,miope,-2060.2545466021284
1,AP0361,horizonte,-2060.2545466021284
1,AP0362,historica,-1775.2869091220489
1,AP0362,miope,-1744.9788710859805
1,AP0362,horizonte,-1638.1490270722884
2,AP0300,historica,-1441.935310744534
2,AP0300,miope,-1516.4078613870379
2,AP0300,horizonte,-1727.9196210033263
2,AP0301,historica,-2177.913925658517
2,AP0301,miope,-1935.1692265235865
2,AP0301,horizonte,-1935.1692265235865
2,AP0302,historica,-1442.2811774372253
2,AP0302,miope,-1079.2952042047264
2,AP0302,horizonte,-1079.2952042047264
2,AP0303,historica,-1914.495101538023
2,AP0303,miope,-1796.5182765134978
2,AP0303,horizonte,-1796.5182765134978
2,AP0304,historica,-2432.0572322441
2,AP0304,miope,-2405.888756832092
2,AP0304,horizonte,-2166.673979339398
2,AP0305,historica,-1511.5106197259347
2,AP0305,miope,-1503.4719935539624
2,AP0305,horizonte,-1227.1840975318314
2,AP0306,historica,-1759.1333446181497
2,AP0306,miope,-1420.193780480296
2,AP0306,horizonte,-1420.193780480296
2,AP0307,historica,-1927.5486411658235
2,AP0307,miope,-1726.414630859277
2,AP0307,horizonte,-1726.414630859277
2,AP0308,historica,-2261.8259728467174
2,AP0308,miope,-1822.4470651492827
2,AP0308,horizonte,-1822.4470651492827
2,AP0309,historica,-1988.2067362921323
2,AP0309,miope,-1711.4804324114893
2,AP0309,horizonte,-1711.4804324114893
2,AP0310,historica,-2365.9431328456967
2,AP0310,miope,-2373.7180568968406
2,AP0310,horizonte,-2373.7180568968406
2,AP0311,historica,-1438.8017678329252
2,AP0311,miope,-1202.6417977955257
2,AP0311,horizonte,-1157.2488483868858
2,AP0312,historica,-2672.2953166638026
2,AP0312,miope,-2469.123906334763
2,AP0312,horizonte,-2469.123906334763
2,AP0313,historica,-1729.55272809096
2,AP0313,miope,-1415.3498437273267
2,AP0313,horizonte,-1415.3498437273267
2,AP0314,historica,-1413.204744102401
2,AP0314,miope,-1358.4880017859798
2,AP0314,horizonte,-1358.4880017859798
2,AP0315,historica,-2379.988738287058
2,AP0315,miope,-2269.4264206545613
2,AP0315,horizonte,-2269.4264206545613
2,AP0316,historica,-1676.252137120682
2,AP0316,miope,-1684.5021233539437
2,AP0316,horizonte,-1684.5021233539437
2,AP0317,historica,-2120.64312571966
2,AP0317,miope,-1978.424306971295
2,AP0317,horizonte,-1978.424306971295
2,AP0318,historica,-2172.6749678035376
2,AP0318,miope,-2111.184421918865
2,AP0318,horizonte,-2111.184421918865
2,AP0319,historica,-2325.380102041481
2,AP0319,miope,-2230.4229542428293
2,AP0319,horizonte,-2230.4229542428293
2,AP0320,historica,-2090.192414816459
2,AP0320,miope,-2112.521196023536
2,AP0320,horizonte,-2032.2176746478085
2,AP0321,historica,-1860.4124381691488
2,AP0321,miope,-1844.5168553177357
2,AP0321,horizonte,-1860.4124381691488
2,AP0322,historica,-2022.510069413866
2,AP0322,miope,-1800.6893843276057
2,AP0322,horizonte,-1800.6893843276057
2,AP0323,historica,-2031.6013174243612
2,AP0323,miope,-2016.9921385670661
2,AP0323,horizonte,-2089.1584315407717
2,AP0324,historica,-2230.8139451460897
2,AP0324,miope,-2265.9670733550056
2,AP0324,horizonte,-2265.9670733550056
2,AP0325,historica,-1394.5455107068487
2,AP0325,miope,-1349.8536159981331
2,AP0325,horizonte,-1349.8536159981331
2,AP0326,historica,-1527.9470000401723
2,AP0326,miope,-1010.7650472863004
2,AP0326,horizonte,-1010.7650472863004
2,AP0327,historica,-1810.3282053438502
2,AP0327,miope,-1633.9835937273704
2,AP0327,horizonte,-1633.9835937273704
2,AP0328,historica,-2267.199040678971
2,AP0328,miope,-1977.424343945896
2,AP0328,horizonte,-1977.424343945896
2,AP0329,historica,-1427.1161481055092
2,AP0329,miope,-1477.8584238745552
2,AP0329,horizonte,-1477.8584238745552
2,AP0330,historica,-1915.9720880461887
2,AP0330,miope,-1871.4645718704442
2,AP0330,horizonte,-1871.4645718704442
2,AP0331,historica,-1696.6619062154032
2,AP0331,miope,-1616.6314217222443
2,AP0331,horizonte,-1616.6314217222443
2,AP0332,historica,-2001.444508244031
2,AP0332,miope,-1780.5123843912556
2,AP0332,horizonte,-1780.5123843912556
2,AP0333,historica,-2102.0547892428162
2,AP0333,miope,-1968.047546609648
2,AP0333,horizonte,-1968.047546609648
2,AP0334,historica,-1878.9460374080857
2,AP0334,miope,-1772.565029948274
2,AP0334,horizonte,-1772.565029948274
2,AP0335,historica,-2183.9660439489962
2,AP0335,miope,-2042.1242156854491
2,AP0335,horizonte,-2042.1242156854491
2,AP0336,historica,-1813.938960932389
2,AP0336,miope,-1806.3853812251623
2,AP0336,horizonte,-1806.3853812251623
2,AP0337,historica,-2051.962124832252
2,AP0337,miope,-1971.883861788804
2,AP0337,horizonte,-1971.883861788804
2,AP0338,historica,-1493.091265154906
2,AP0338,miope,-1126.541503997917
2,AP0338,horizonte,-1126.541503997917
2,AP0339,historica,-2068.241116614467
2,AP0339,miope,-2109.1926810661867
2,AP0339,horizonte,-2109.1926810661867
2,AP0340,historica,-2173.072974731953
2,AP0340,miope,-1999.5581071993734
2,AP0340,horizonte,-2288.6318146167296
2,AP0341,historica,-2707.695638155446
2,AP0341,miope,-2666.357080467368
2,AP0341,horizonte,-2666.357080467368
2,AP0342,historica,-2160.4175182628096
2,AP0342,miope,-2040.199428446166
2,AP0342,horizonte,-2040.199428446166
2,AP0343,historica,-2073.0330326030394
2,AP0343,miope,-1832.2562342347655
2,AP0343,horizonte,-1832.2562342347655
2,AP0344,historica,-1362.2293741207818
2,AP0344,miope,-1060.3429830406956
2,AP0344,horizonte,-1060.3429830406956
2,AP0345,historica,-1684.3657240975963
2,AP0345,miope,-1611.1701137654004
2,AP0345,horizonte,-1700.2106352507694
2,AP0346,historica,-1515.1096581862237
2,AP0346,miope,-1194.8464150461837
2,AP0346,horizonte,-1194.8464150461837
2,AP0347,historica,-1843.203102196323
2,AP0347,miope,-1394.812837093898
2,AP0347,horizonte,-1453.542257235743
2,AP0348,historica,-1927.1578109065836
2,AP0348,miope,-1758.7724003383332
2,AP0348,horizonte,-1758.7724003383332
2,AP0349,historica,-1608.124818454593
2,AP0349,miope,-1798.4197673425483
2,AP0349,horizonte,-1608.124818454593
2,AP0350,historica,-2181.1987607501405
2,AP0350,miope,-1940.3131554445872
2,AP0350,horizonte,-1940.3131554445872
2,AP0351,historica,-1440.2801331568278
2,AP0351,miope,-1250.458319997528
2,AP0351,horizonte,-1250.458319997528
2,AP0352,historica,-1264.1640108492174
2,AP0352,miope,-865.912602819518
2,AP0352,horizonte,-829.8548153208249
2,AP0353,historica,-2408.1015826165835
2,AP0353,miope,-2056.8705202499195
2,AP0353,horizonte,-2056.8705202499195
2,AP0354,historica,-1538.3958973989402
2,AP0354,miope,-1264.7646223429301
2,AP0354,horizonte,-1264.7646223429301
2,AP0355,historica,-2293.5149870315736
2,AP0355,miope,-1630.6536692160364
2,AP0355,horizonte,-1630.6536692160364
2,AP0356,historica,-2388.7646285024634
2,AP0356,miope,-2198.2128680749847
2,AP0356,horizonte,-2198.2128680749847
2,AP0357,historica,-2630.8536428774732
2,AP0357,miope,-2248.714601198875
2,AP0357,horizonte,-2248.714601198875
2,AP0358,historica,-1580.674464598658
2,AP0358,miope,-1015.0249745270266
2,AP0358,horizonte,-1531.0377890808827
2,AP0359,historica,-2047.0004007940151
2,AP0359,miope,-1809.5105605519789
2,AP0359,horizonte,-1809.5105605519789
2,AP0360,historica,-2532.618338893488
2,AP0360,miope,-1969.9472942951238
2,AP0360,horizonte,-1969.9472942951238
2,AP0361,historica,-2592.6142490030893
2,AP0361,miope,-2142.6034229284423
2,AP0361,horizonte,-2142.6034229284423
2,AP0362,historica,-1774.422446491269
2,AP0362,miope,-1759.8083137435503
2,AP0362,horizonte,-1714.1448848621117
3,AP0300,historica,-1572.8166965330852
3,AP0300,miope,-1671.962233962951
3,AP0300,horizonte,-1742.9673685292992
3,AP0301,historica,-2264.901114918739
3,AP0301,miope,-1935.8391018097325
3,AP0301,horizonte,-1935.8391018097325
3,AP0302,historica,-1290.9943989701303
3,AP0302,miope,-1054.2886180630767
3,AP0302,horizonte,-1054.2886180630767
3,AP0303,historica,-1954.9290225718978
3,AP0303,miope,-1779.362789541832
3,AP0303,horizonte,-1779.362789541832
3,AP0304,historica,-2556.744965007243
3,AP0304,miope,-2474.0698410773734
3,AP0304,horizonte,-2291.8635054747256
3,AP0305,historica,-1306.8156797617025
3,AP0305,miope,-1426.7909376049113
3,AP0305,horizonte,-1227.9160158083582
3,AP0306,historica,-1714.6051167540254
3,AP0306,miope,-1394.0524751122687
3,AP0306,horizonte,-1394.0524751122687
3,AP0307,historica,-1852.5946953677367
3,AP0307,miope,-1851.1931438635004
3,AP0307,horizonte,-1851.1931438635004
3,AP0308,historica,-2198.4943537227687
3,AP0308,miope,-1802.234471858299
3,AP0308,horizonte,-1802.234471858299
3,AP0309,historica,-1972.340595798702
3,AP0309,miope,-1647.4165842804496
3,AP0309,horizonte,-1647.4165842804496
3,AP0310,historica,-2347.9470512228936
3,AP0310,miope,-2346.1279077760983
3,AP0310,horizonte,-2346.1279077760983
3,AP0311,historica,-1416.1971932031356
3,AP0311,miope,-1206.0503728314898
3,AP0311,horizonte,-1157.0918007904352
3,AP0312,historica,-2600.96715021848
3,AP0312,miope,-2508.3594392684145
3,AP0312,horizonte,-2508.3594392684145
3,AP0313,historica,-1682.8566042420366
3,AP0313,miope,-1390.9226400183932
3,AP0313,horizonte,-1390.9226400183932
3,AP0314,historica,-1375.3855531890629
3,AP0314,miope,-1305.084066628709
3,AP0314,horizonte,-1305.084066628709
3,AP0315,historica,-2393.4107330593006
3,AP0315,miope,-2243.856712101593
3,AP0315,horizonte,-2243.856712101593
3,AP0316,historica,-1635.3535217694446
3,AP0316,miope,-1654.64263753244
3,AP0316,horizonte,-1654.64263753244
3,AP0317,historica,-2112.3974594032434
3,AP0317,miope,-1980.6012602486137
3,AP0317,horizonte,-1980.6012602486137
3,AP0318,historica,-2143.671882633397
3,AP0318,miope,-2085.774972937267
3,AP0318,horizonte,-2085.774972937267
3,AP0319,historica,-2284.706888786187
3,AP0319,miope,-2221.516204539964
3,AP0319,horizonte,-2221.516204539964
3,AP0320,historica,-2100.4309092173116
3,AP0320,miope,-2160.788832270604
3,AP0320,horizonte,-2089.6568346845843
3,AP0321,historica,-1806.3428932626884
3,AP0321,miope,-1809.3443302219798
3,AP0321,horizonte,-1806.3428932626884
3,AP0322,historica,-2069.079883772213
3,AP0322,miope,-1743.6481693270619
3,AP0322,horizonte,-1743.6481693270619
3,AP0323,historica,-2177.223270278694
3,AP0323,miope,-2088.729568362132
3,AP0323,horizonte,-2157.2722822222286
3,AP0324,historica,-2160.9987803294844
3,AP0324,miope,-2245.465921442893
3,AP0324,horizonte,-2245.465921442893
3,AP0325,historica,-1399.3357690177038
3,AP0325,miope,-1367.506165621284
3,AP0325,horizonte,-1367.506165621284
3,AP0326,historica,-1522.9260143370761
3,AP0326,miope,-979.0251845238201
3,AP0326,horizonte,-979.0251845238201
3,AP0327,historica,-1831.1761473046054
3,AP0327,miope,-1580.8609329286369
3,AP0327,horizonte,-1580.8609329286369
3,AP0328,historica,-2151.999179922773
3,AP0328,miope,-2002.930263163562
3,AP0328,horizonte,-2002.930263163562
3,AP0329,historica,-1426.918261579499
3,AP0329,miope,-1469.6977785199733
3,AP0329,horizonte,-1469.6977785199733
3,AP0330,historica,-1877.0218726583187
3,AP0330,miope,-1847.6998429171267
3,AP0330,horizonte,-1847.6998429171267
3,AP0331,historica,-1689.0223583172542
3,AP0331,miope,-1614.5542977500236
3,AP0331,horizonte,-1614.5542977500236
3,AP0332,historica,-1998.8743643672562
3,AP0332,miope,-1776.4792798513924
3,AP0332,horizonte,-1776.4792798513924
3,AP0333,historica,-2074.5168129808817
3,AP0333,miope,-1940.6493733871325
3,AP0333,horizonte,-1940.6493733871325
3,AP0334,historica,-1860.4107157205794
3,AP0334,miope,-1742.2568773237008
3,AP0334,horizonte,-1742.2568773237008
3,AP0335,historica,-2137.9056914393695
3,AP0335,miope,-1984.2546331169337
3,AP0335,horizonte,-1984.2546331169337
3,AP0336,historica,-1804.7262654839262
3,AP0336,miope,-1730.4615338348653
3,AP0336,horizonte,-1730.4615338348653
3,AP0337,historica,-2036.1259722365917
3,AP0337,miope,-1956.2175141316607
3,AP0337,horizonte,-1956.2175141316607
3,AP0338,historica,-1513.0429983763038
3,AP0338,miope,-1101.5004418300896
3,AP0338,horizonte,-1101.5004418300896
3,AP0339,historica,-2129.9191347527885
3,AP0339,miope,-2058.717735739039
