muestra,spec,y,variable,coef,lo,hi,p,n,r2adj
total,next_mediador_F0next,KPI_next,R_sum_m6_ln_sn_dep,0.4643507651832761,-0.4471859665708722,1.3758874969374244,0.318068150262365,358,0.16354183314362336
total,next_mediador_F0next,KPI_next,R_sum_m6_ln_feo_ret,7.067343062250547,1.9920277297163862,12.142658394784707,0.00634810826340415,358,0.16354183314362336
total,next_mediador_F0next,KPI_next,F_lnirf_F0_next,7.958097110533435,5.8251521013851715,10.091042119681699,2.6183011267793887e-13,358,0.16354183314362336
total,mediador_F0next_sobre_feo,F_lnirf_F0_next,R_sum_m6_ln_sn_dep,0.011354619732315632,-0.08505565424144447,0.10776489370607574,0.8174447610581423,358,0.15427383827503593
total,mediador_F0next_sobre_feo,F_lnirf_F0_next,R_sum_m6_ln_feo_ret,0.5778708981506232,0.3198900208055853,0.8358517754956611,1.1320911183324907e-05,358,0.15427383827503593
total,placebo_prev,KPI_prev,R_sum_m6_ln_sn_dep,0.2514972201180221,-0.9397503091018156,1.4427447493378598,0.6790284132223969,359,0.01760131623936534
total,placebo_prev,KPI_prev,R_sum_m6_ln_feo_ret,0.7321114919329066,-5.8449790574114076,7.309202041277221,0.8272980431914735,359,0.01760131623936534
total,placebo_prev_heel,KPI_prev,R_sum_m6_ln_sn_dep,0.18048117842035127,-1.1185097851321348,1.4794721419728374,0.7853787076640524,359,0.015481471458715035
total,placebo_prev_heel,KPI_prev,R_sum_m6_ln_feo_ret,-0.6032860114812442,-9.617217057102462,8.410645034139971,0.8956354285370619,359,0.015481471458715035
total,placebo_prev_heel,KPI_prev,R_lnirf_fin,1.2503678113769983,-4.382874079713527,6.883609702467523,0.6635346400262522,359,0.015481471458715035
total,actual_base,recuperacion_refinada_pct,R_sum_m6_ln_sn_dep,3.218311733952804,2.1843831639616993,4.252240303943909,1.0554932727780986e-09,360,0.11358134401266873
total,actual_base,recuperacion_refinada_pct,R_sum_m6_ln_feo_ret,15.70791164689501,10.002305514657134,21.413517779132885,6.817685613130798e-08,360,0.11358134401266873
total,actual_con_heel_propio,recuperacion_refinada_pct,R_sum_m6_ln_sn_dep,2.8716352692385816,1.909656457402558,3.833614081074605,4.893485478372322e-09,359,0.2090501119694913
total,actual_con_heel_propio,recuperacion_refinada_pct,R_sum_m6_ln_feo_ret,12.80811244748982,7.7646300248022015,17.85159487017744,6.444341692443264e-07,359,0.2090501119694913
total,actual_con_heel_propio,recuperacion_refinada_pct,F_lnirf_F0,7.775953261913445,5.91906627322743,9.632840250599461,2.2565078183409094e-16,359,0.2090501119694913
total,suma2,KPI_sum2,R_sum_m6_ln_sn_dep,3.823097229422095,2.1837127117176722,5.4624817471265175,4.861004875787068e-06,359,0.13459133445845017
total,suma2,KPI_sum2,R_sum_m6_ln_feo_ret,26.9426627790554,19.001022376642936,34.884303181467864,2.9441485360501404e-11,359,0.13459133445845017
total,suma2_con_heel_propio,KPI_sum2,R_sum_m6_ln_sn_dep,3.9594275328702517,2.2851067612802263,5.633748304460277,3.5708324420352276e-06,358,0.17700112910013532
total,suma2_con_heel_propio,KPI_sum2,R_sum_m6_ln_feo_ret,24.541542104251807,16.80709182678453,32.275992381719085,5.003364507605e-10,358,0.17700112910013532
total,suma2_con_heel_propio,KPI_sum2,F_lnirf_F0,7.468588267474374,4.032174633383721,10.905001901565026,2.0468204730385017e-05,358,0.17700112910013532
