muestra,spec,variable,coef,lo,hi,p,n,r2adj
dev,fase+F+heel,F_sum_m6_ln_sn_dep,-0.550578312008839,-1.3499941490483685,0.24883752503069045,0.17705519550451443,296,0.19581304562451196
dev,fase+F+heel,F_lnirf_F0,7.308635468092053,5.312462398062071,9.304808538122035,7.174787465224753e-13,296,0.19581304562451196
total,fase,R_sum_m6_ln_sn_dep,3.218311733952804,2.1843831639616993,4.252240303943909,1.0554932727780986e-09,360,0.11358134401266873
total,fase,R_sum_m6_ln_feo_ret,15.70791164689501,10.002305514657134,21.413517779132885,6.817685613130798e-08,360,0.11358134401266873
total,grupos_R,m6_ln_sn_dep__R0,3.3259906421331173,1.601290969535373,5.050690314730861,0.00015702674471754867,361,0.11635676415096996
total,grupos_R,m6_ln_sn_dep__R1,3.986181007737209,2.2406081355482943,5.731753879926123,7.613875806315206e-06,361,0.11635676415096996
total,grupos_R,m6_ln_sn_dep__R23,2.1586296414386923,0.6524673693386427,3.6647919135387417,0.0049692927567657925,361,0.11635676415096996
total,grupos_R,m6_ln_feo_ret__R0,23.212591622502053,13.148069193855362,33.27711405114874,6.171778633241489e-06,361,0.11635676415096996
total,grupos_R,m6_ln_feo_ret__R1,20.86896422592461,12.38088050520503,29.357047946644194,1.444207894309079e-06,361,0.11635676415096996
total,grupos_R,m6_ln_feo_ret__R23,10.411615975370198,2.7393141451915497,18.083917805548847,0.007819904849781558,361,0.11635676415096996
total,wald_homogeneidad,m6_ln_sn_dep,3.4289599183208264,,,0.180057333536663,361,
total,wald_homogeneidad,m6_ln_feo_ret,5.629760580088258,,,0.059911890360597624,361,
total,fase+F,R_sum_m6_ln_sn_dep,2.8907859643587224,1.7439799029017133,4.037592025815732,7.790819495734088e-07,359,0.10752953707048052
total,fase+F,R_sum_m6_ln_feo_ret,15.831141982385352,10.115875373935335,21.54640859083537,5.6654814976415616e-08,359,0.10752953707048052
total,fase+F,F_sum_m6_ln_sn_dep,-0.5293757681295029,-1.2798613036827966,0.22110976742379085,0.16681365676137727,359,0.10752953707048052
total,fase+F_grupos,R_sum_m6_ln_sn_dep,3.289513616887966,2.117701831849396,4.461325401926536,3.754710061506553e-08,360,0.11473257061942821
total,fase+F_grupos,R_sum_m6_ln_feo_ret,16.365730051226194,10.510381749380027,22.22107835307236,4.298931190824672e-08,360,0.11473257061942821
total,fase+F_grupos,F_m6_ln_sn_dep__F123,-1.1177756114790576,-2.5818149430928377,0.3462637201347225,0.1345474064409436,360,0.11473257061942821
total,fase+F_grupos,F_m6_ln_sn_dep__F456,0.1707221531520755,-0.9928159892464257,1.3342602955505767,0.7736689321372359,360,0.11473257061942821
total,fase+F+heel,R_sum_m6_ln_sn_dep,2.622018042717203,1.6250894994727236,3.618946585961682,2.5377448942966435e-07,359,0.21538349949067181
total,fase+F+heel,R_sum_m6_ln_feo_ret,13.076323380072733,8.04555354823975,18.107093211905713,3.497120074784892e-07,359,0.21538349949067181
total,fase+F+heel,F_sum_m6_ln_sn_dep,-0.7050881243198233,-1.4117974009941843,0.001621152354537747,0.05052786451576032,359,0.21538349949067181
total,fase+F+heel,F_lnirf_F0,7.929982153869734,6.102183440507096,9.757780867232372,1.8413811479157576e-17,359,0.21538349949067181
