palanca,theta_unidad,ci_lo,ci_hi,sd_palanca,theta_1sd,ci_lo_1sd,ci_hi_1sd,significativo,signo_teorico,concuerda,en_cota,tercio,n,target
relacion_C_Sn_carga,-0.05675610097275754,-0.1433221040361423,0.06320822178954622,0.050409425053845276,-0.002861042418334696,-0.007224784861969331,0.00318629011908696,False,0,,False,1,489,d_basicidad_B2
tasa_gn_nm3_min,0.002030850479133166,-0.0016391185063485592,0.007791575320867342,1.2413593527395117,0.0025210152362874745,-0.0020347350881042025,0.009672144897133037,False,0,,False,1,489,d_basicidad_B2
exceso_o2_combustion_pct,0.0017059791464307823,0.0006414576289692261,0.002605860125272371,3.5035840539799805,0.005977041333857267,0.0022474007201603876,0.009129849981806553,True,0,,False,1,489,d_basicidad_B2
tasa_aire_nm3_min,-0.00011312011124572918,-0.0010799303233818777,0.000515069199271926,6.069147563618786,-0.0006865426475633034,-0.006554256491031171,0.003126030975856289,False,0,,False,1,489,d_basicidad_B2
tasa_feed_CaO_kg_min,9.81748329003625e-12,1.0674341904013457e-17,0.0011374439025332687,4.630754613496255,4.5462356038257756e-11,4.943025801804672e-17,0.005267223599249119,False,1,,True,2,486,d_basicidad_B2
relacion_C_Sn_carga,-0.07209452849890731,-0.2991223896253741,0.15229782865898417,0.030351157926693205,-0.0021881524201208197,-0.009078710886929586,0.004622415449521291,False,0,,False,2,486,d_basicidad_B2
tasa_gn_nm3_min,0.005111266054549748,-0.0018767721882286292,0.018507550504201255,0.9649245861489573,0.00493198628238363,-0.001810943627022383,0.017858390510897323,False,0,,False,2,486,d_basicidad_B2
exceso_o2_combustion_pct,0.0016653830203092537,-0.0011016784394456097,0.0057163940813671444,2.3777335014529664,0.003959837000140238,-0.0026194977332982495,0.013592061714774114,False,0,,False,2,486,d_basicidad_B2
tasa_aire_nm3_min,-0.0005382306713554384,-0.0027783048255248803,0.0010295978829008147,5.8787286026122745,-0.0031641120425004226,-0.01633290004458882,0.006052726523398062,False,0,,False,2,486,d_basicidad_B2
tasa_feed_CaO_kg_min,-0.00014124074267915583,-0.0011257971579104306,-2.2748024001130932e-18,14.362303968724255,-0.0020285424791264012,-0.016169040989035464,-3.267140353920774e-17,False,-1,True,False,0,496,v5_d_lnirf
relacion_C_Sn_carga,0.12145838374320093,-0.024123295963640528,0.2479213405979925,0.03742593529162004,0.004545693610597794,-0.0009028369137558094,0.00927868805063216,False,0,,False,0,496,v5_d_lnirf
tasa_gn_nm3_min,-6.776342793813474e-10,-0.004795699785724412,-5.772798962947121e-26,1.7243974327764933,-1.1685108117265443e-09,-0.008269692398869955,-9.954599711640818e-26,False,-1,,True,0,496,v5_d_lnirf
exceso_o2_combustion_pct,0.0008804469940102439,2.0177879516766322e-23,0.002166365359453463,2.8225000266855513,0.002485061664089127,5.695206547453079e-23,0.006114566284868054,False,1,True,False,0,496,v5_d_lnirf
tasa_aire_nm3_min,0.0002001274691296521,-0.0004242677573970492,0.0014092160736057214,3.5253650853316723,0.0007055223922854675,-0.0014956987387595255,0.004968001143577798,False,0,,False,0,496,v5_d_lnirf
tasa_feed_CaO_kg_min,-0.002483686803863469,-0.003791884589665307,-0.0007313811591831884,4.358646344443957,-0.010825512408403204,-0.016527483905298065,-0.0031878318158689877,True,-1,True,False,1,489,v5_d_lnirf
relacion_C_Sn_carga,-0.18282619970435424,-0.33543964373071467,0.0034566188327083153,0.050409425053845276,-0.009216163611875994,-0.01690931958073202,0.00017424616798711995,False,0,,False,1,489,v5_d_lnirf
tasa_gn_nm3_min,-1.2504807378987582e-17,-3.3110266224160325e-11,-1.3188392620897374e-26,1.2413593527395117,-1.5522959594112296e-17,-4.1101738649056574e-11,-1.6371534527551716e-26,False,-1,,True,1,489,v5_d_lnirf
exceso_o2_combustion_pct,8.851536548711586e-14,3.926571878074164e-19,0.0006700612951868675,3.5035840539799805,3.10121023052869e-13,1.3757074618826865e-18,0.0023476160690058816,False,1,,True,1,489,v5_d_lnirf
tasa_aire_nm3_min,0.000859850222933364,-0.0003184261193153768,0.002381211649928877,6.069147563618786,0.005218557885593097,-0.0019325751062355043,0.014451924883626515,False,0,,False,1,489,v5_d_lnirf
tasa_feed_CaO_kg_min,-2.5357337693202696e-13,-0.001207850736725776,-8.685770178397706e-26,4.63501472179654,-1.175316335135608e-12,-0.005598405946456768,-4.0258672647014726e-25,False,-1,,True,2,485,v5_d_lnirf
relacion_C_Sn_carga,0.19086070808304645,-0.18873355169927053,0.47585513154312176,0.030366610411718915,0.005795792765262682,-0.005731198236071758,0.014450107391987235,False,0,,False,2,485,v5_d_lnirf
tasa_gn_nm3_min,-0.003429241104578642,-0.023431631792157234,-2.0506530200165666e-17,0.9657755149818738,-0.0033118770937714476,-0.022629696260936298,-1.9804704764556343e-17,False,-1,True,False,2,485,v5_d_lnirf
exceso_o2_combustion_pct,3.926657532232391e-15,3.3653557785190035e-25,9.95059409671324e-05,2.3801036936422015,9.345852096134285e-15,8.009895718873207e-25,0.00023683445763521467,False,1,,True,2,485,v5_d_lnirf
tasa_aire_nm3_min,0.0002553653114258629,-0.0020487370080923125,0.0019260731060828427,5.884694616429493,0.0015027468733706162,-0.012056191642000698,0.011334352038215336,False,0,,False,2,485,v5_d_lnirf
