Batch,fold,es_lockbox,J_batch__historica,J_batch__horizonte,J_batch__miope,tardio__historica,tardio__horizonte,tardio__miope,temprano__historica,temprano__horizonte,temprano__miope,temprano__uplift_horizonte_vs_miope,temprano__uplift_miope_vs_hist,temprano__uplift_horizonte_vs_hist,temprano__pct_mejora_horizonte_vs_miope,tardio__uplift_horizonte_vs_miope,tardio__uplift_miope_vs_hist,tardio__uplift_horizonte_vs_hist,tardio__pct_mejora_horizonte_vs_miope,J_batch__uplift_horizonte_vs_miope,J_batch__uplift_miope_vs_hist,J_batch__uplift_horizonte_vs_hist,J_batch__pct_mejora_horizonte_vs_miope
AP0012,3,False,-1173.8919725997357,-1021.0531915899878,-1021.0531915899878,-1299.4344635499388,-1139.2009386833633,-1139.2009386833633,125.54249095020305,118.14774709337553,118.14774709337553,0.0,-7.3947438568275174,-7.3947438568275174,0.0,0.0,160.2335248665754,160.2335248665754,0.0,0.0,152.8387810097479,152.8387810097479,0.0
AP0013,4,False,-1563.3326197177764,-1083.077663674669,-1445.094077624978,-1264.3373733060953,-831.3190993725173,-1152.2467822014678,-298.99524641168114,-251.75856430215188,-292.8472954235101,41.08873112135822,6.147950988171033,47.236682109529255,14.030770221707698,320.92768282895054,112.09059110462749,433.01827393357803,27.852339254598764,362.0164139503088,118.23854209279853,480.2549560431073,25.051408040180004
AP0014,3,False,-1067.1697192789218,-897.2189146624087,-1099.2246159578508,-1086.6234621683943,-973.4108404554729,-1125.6322428638473,19.453742889472665,76.19192579306417,26.407626905996494,49.78429888706768,6.95388401652383,56.73818290359151,188.52242598051453,152.2214024083744,-39.00878069545297,113.21262171292142,13.523191377415667,202.00570129544212,-32.054896678929026,169.9508046165131,18.377108587530753
AP0015,4,False,-1791.7222749161037,-1387.9719917012626,-1595.6959610974038,-1529.5474367650022,-991.3219874773097,-1333.5211229463025,-262.1748381511013,-396.650004223953,-262.1748381511013,-134.47516607285166,0.0,-134.47516607285166,-51.29217091204936,342.19913546899284,196.0263138186997,538.2254492876925,25.661320963025517,207.72396939614123,196.02631381869992,403.75028321484115,13.017766194838504
AP0016,2,False,-980.5011943042227,-627.5468185488029,-627.5468185488029,-1437.9877260369835,-1119.1559653144345,-1119.1559653144345,457.4865317327606,491.6091467656315,491.6091467656315,0.0,34.1226150328709,34.1226150328709,0.0,0.0,318.831760722549,318.831760722549,0.0,0.0,352.95437575541985,352.95437575541985,0.0
AP0017,4,False,-1215.469429293636,-981.4166559064831,-981.4166559064831,-1349.3415694053856,-1327.5652870423564,-1327.5652870423564,133.87214011174967,346.14863113587336,346.14863113587336,0.0,212.2764910241237,212.2764910241237,0.0,0.0,21.776282363029168,21.776282363029168,0.0,0.0,234.0527733871529,234.0527733871529,0.0
AP0018,4,False,-1345.4012311341444,-1303.8504615883571,-1303.8504615883571,-1235.2650626778213,-1223.5970461653226,-1223.5970461653226,-110.13616845632316,-80.25341542303465,-80.25341542303465,0.0,29.88275303328851,29.88275303328851,0.0,0.0,11.668016512498752,11.668016512498752,0.0,0.0,41.55076954578726,41.55076954578726,0.0
AP0019,1,False,-1152.0060408106028,-1152.0060408106028,-1200.6802479929165,-1126.807200127991,-1126.807200127991,-1184.8433877590187,-25.198840682611717,-25.198840682611717,-15.836860233897937,-9.36198044871378,9.36198044871378,0.0,-59.11512958026219,58.03618763102759,-58.03618763102759,0.0,4.898215935592609,48.674207182313694,-48.674207182313694,0.0,4.053885892074811
AP0020,1,False,-1018.4861094185562,-976.3030705488686,-976.3030705488686,-1303.4015641801948,-1279.2095121878092,-1279.2095121878092,284.9154547616387,302.9064416389406,302.9064416389406,0.0,17.99098687730185,17.99098687730185,0.0,0.0,24.192051992385586,24.192051992385586,0.0,0.0,42.18303886968761,42.18303886968761,0.0
AP0021,3,False,-2006.064645762301,-1673.98909671724,-1673.98909671724,-1187.5004017336655,-1037.1757570592038,-1037.1757570592038,-818.5642440286355,-636.8133396580363,-636.8133396580363,0.0,181.7509043705992,181.7509043705992,0.0,0.0,150.32464467446175,150.32464467446175,0.0,0.0,332.07554904506105,332.07554904506105,0.0
AP0022,2,False,-1730.0978861003377,-1730.0978861003377,-1847.6492637884176,-1497.636507053695,-1497.636507053695,-1627.7506712821437,-232.4613790466426,-232.4613790466426,-219.89859250627393,-12.562786540368677,12.562786540368677,0.0,-5.7129908823815,130.11416422844877,-130.11416422844877,0.0,7.993494736264534,117.55137768807981,-117.55137768807981,0.0,6.362212785290896
AP0023,0,False,-1829.1038108326863,-1829.1038108326863,-1830.0632357007416,-1290.9778436685106,-1290.9778436685106,-1291.937268536566,-538.1259671641757,-538.1259671641757,-538.1259671641757,0.0,0.0,0.0,0.0,0.9594248680555211,-0.9594248680555211,0.0,0.07426249644011769,0.9594248680552937,-0.9594248680552937,0.0,0.05242577684414956
AP0024,2,False,-2418.2718172798754,-2243.540745987052,-2243.540745987052,-2056.3249431706595,-1948.8734090579542,-1948.8734090579542,-361.94687410921597,-294.66733692909816,-294.66733692909816,0.0,67.27953718011781,67.27953718011781,0.0,0.0,107.4515341127053,107.4515341127053,0.0,0.0,174.73107129282334,174.73107129282334,0.0
AP0025,4,False,-1630.718358405487,-1565.6997345695406,-1492.4001508141891,-1322.0057080287345,-1176.6808744901653,-1275.5547026362156,-308.71265037675255,-389.0188600793754,-216.84544817797348,-172.1734119014019,91.86720219877907,-80.30620970262282,-79.39913581219952,98.8738281460503,46.45100539251894,145.32483353856924,7.751437703275735,-73.29958375535148,138.31820759129778,65.0186238359463,-4.911523475480915
AP0026,0,False,-1211.373559841937,-1024.8584633027426,-1024.8584633027426,-1430.6605196592893,-1252.879142151035,-1252.879142151035,219.28695981735234,228.0206788482924,228.0206788482924,0.0,8.733719030940051,8.733719030940051,0.0,0.0,177.7813775082543,177.7813775082543,0.0,0.0,186.51509653919447,186.51509653919447,0.0
AP0027,1,False,-2063.048872778252,-1979.2640818170378,-1979.2640818170378,-1173.1921284839182,-1100.4771439541566,-1100.4771439541566,-889.8567442943338,-878.7869378628812,-878.7869378628812,0.0,11.069806431452548,11.069806431452548,0.0,0.0,72.71498452976152,72.71498452976152,0.0,0.0,83.78479096121441,83.78479096121441,0.0
AP0028,2,False,-2367.8885199060874,-2235.1069533138825,-2235.1069533138825,-1820.6712363270394,-1790.7913746916506,-1790.7913746916506,-547.217283579048,-444.31557862223184,-444.31557862223184,0.0,102.9017049568161,102.9017049568161,0.0,0.0,29.879861635388806,29.879861635388806,0.0,0.0,132.78156659220485,132.78156659220485,0.0
AP0029,3,False,-2207.133972282267,-2139.668958061365,-2139.668958061365,-1578.5888548435137,-1544.7536601909487,-1544.7536601909487,-628.5451174387536,-594.9152978704163,-594.9152978704163,0.0,33.62981956833721,33.62981956833721,0.0,0.0,33.83519465256495,33.83519465256495,0.0,0.0,67.46501422090205,67.46501422090205,0.0
AP0030,0,False,-1988.6311615142517,-1962.9315759738329,-1962.9315759738329,-1665.8585810411032,-1641.7052839431217,-1641.7052839431217,-322.77258047314876,-321.22629203071097,-321.22629203071097,0.0,1.546288442437799,1.546288442437799,0.0,0.0,24.153297097981522,24.153297097981522,0.0,0.0,25.699585540418866,25.699585540418866,0.0
AP0031,4,False,-2164.1578132042578,-2050.813828091824,-2050.813828091824,-1323.1437352281496,-1258.3619918678214,-1258.3619918678214,-841.0140779761082,-792.4518362240024,-792.4518362240024,0.0,48.56224175210582,48.56224175210582,0.0,0.0,64.78174336032816,64.78174336032816,0.0,0.0,113.34398511243398,113.34398511243398,0.0
AP0032,1,False,-1447.1334445522498,-1447.1334445522498,-1620.368296162185,-1306.5941849100063,-1306.5941849100063,-1168.6030892774625,-140.5392596422436,-140.5392596422436,-451.7652068847225,311.2259472424789,-311.2259472424789,0.0,68.89108379740604,-137.99109563254387,137.99109563254387,0.0,-11.808209040236461,173.23485160993528,-173.23485160993528,0.0,10.69107881339317
AP0033,0,False,-2597.8924698339465,-2548.3103931855126,-2548.3103931855126,-1866.273049746955,-1833.2212833154467,-1833.2212833154467,-731.6194200869917,-715.0891098700658,-715.0891098700658,0.0,16.53031021692584,16.53031021692584,0.0,0.0,33.05176643150821,33.05176643150821,0.0,0.0,49.58207664843394,49.58207664843394,0.0
AP0034,2,False,-2889.901784200665,-2721.020898105403,-2721.020898105403,-2125.2739755909042,-1967.9106066524669,-1967.9106066524669,-764.627808609761,-753.1102914529362,-753.1102914529362,0.0,11.517517156824852,11.517517156824852,0.0,0.0,157.36336893843736,157.36336893843736,0.0,0.0,168.8808860952622,168.8808860952622,0.0
AP0035,0,False,-1517.8380976909366,-1517.8380976909366,-1703.54422483169,-1424.9383383374666,-1424.9383383374666,-1440.8534056752112,-92.8997593534699,-92.8997593534699,-262.6908191564788,169.79105980300892,-169.79105980300892,0.0,64.63532313318811,15.915067337744631,-15.915067337744631,0.0,1.1045584009489522,185.70612714075332,-185.70612714075332,0.0,10.90116267214026
AP0036,1,False,-1347.670827403643,-1273.4245406756208,-1273.4245406756208,-1254.8701555755497,-1327.2304871044664,-1327.2304871044664,-92.80067182809341,53.80594642884557,53.80594642884557,0.0,146.606618256939,146.606618256939,0.0,0.0,-72.36033152891673,-72.36033152891673,0.0,0.0,74.24628672802214,74.24628672802214,0.0
AP0037,0,False,-1563.411464368615,-1563.411464368615,-1563.411464368615,-1285.0852424861368,-1285.0852424861368,-1285.0852424861368,-278.3262218824781,-278.3262218824781,-278.3262218824781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AP0038,2,False,-2742.92925159017,-2534.703611587149,-2534.703611587149,-2143.127426589914,-2040.771216614919,-2040.771216614919,-599.801825000256,-493.9323949722303,-493.9323949722303,0.0,105.8694300280257,105.8694300280257,0.0,0.0,102.35620997499518,102.35620997499518,0.0,0.0,208.225640003021,208.225640003021,0.0
AP0039,0,False,-1313.4846246999605,-1250.5656864630027,-1250.5656864630027,-1852.6907273977708,-1803.9682932641174,-1803.9682932641174,539.2061026978106,553.4026068011145,553.4026068011145,0.0,14.196504103303937,14.196504103303937,0.0,0.0,48.72243413365345,48.72243413365345,0.0,0.0,62.91893823695773,62.91893823695773,0.0
AP0040,1,False,-1429.79584401456,-1357.6536450583626,-1357.6536450583626,-1288.857950265076,-1223.9350667884196,-1223.9350667884196,-140.93789374948426,-133.71857826994307,-133.71857826994307,0.0,7.219315479541194,7.219315479541194,0.0,0.0,64.92288347665635,64.92288347665635,0.0,0.0,72.14219895619749,72.14219895619749,0.0
AP0041,0,False,-2218.514196672633,-2103.2522188067273,-2103.2522188067273,-1666.5329718876349,-1545.967339918104,-1545.967339918104,-551.981224784998,-557.2848788886232,-557.2848788886232,0.0,-5.303654103625263,-5.303654103625263,0.0,0.0,120.56563196953084,120.56563196953084,0.0,0.0,115.26197786590546,115.26197786590546,0.0
AP0042,4,False,-2179.7417274315803,-2012.3235669583205,-2012.3235669583205,-1796.3139812944507,-1805.1417482129991,-1805.1417482129991,-383.4277461371296,-207.1818187453215,-207.1818187453215,0.0,176.2459273918081,176.2459273918081,0.0,0.0,-8.827766918548377,-8.827766918548377,0.0,0.0,167.41816047325983,167.41816047325983,0.0
AP0043,3,False,-2012.737413432636,-1876.2910308178293,-1876.2910308178293,-1610.221141117621,-1499.9375078817156,-1499.9375078817156,-402.516272315015,-376.3535229361137,-376.3535229361137,0.0,26.16274937890131,26.16274937890131,0.0,0.0,110.28363323590543,110.28363323590543,0.0,0.0,136.44638261480668,136.44638261480668,0.0
AP0044,4,False,-2162.423409420431,-2162.423409420431,-2215.274620201953,-1253.0546299181276,-1253.0546299181276,-1391.3262668981288,-909.3687795023035,-909.3687795023035,-823.9483533038242,-85.42042619847928,85.42042619847928,0.0,-10.3672063735506,138.27163698000118,-138.27163698000118,0.0,9.938117339527325,52.851210781521786,-52.851210781521786,0.0,2.385763385701754
AP0045,3,False,-1491.017465230591,-984.7952430246382,-1118.2407394915358,-1220.6710359218791,-958.3396714738649,-1177.1324687942365,-270.3464293087118,-26.4555715507733,58.89172930270075,-85.34730085347405,329.23815861141253,243.89085775793848,-144.92238870214337,218.79279732037162,43.53856712764264,262.33136444801426,18.58693079331046,133.44549646689757,372.7767257390551,506.2222222059527,11.933521267305576
AP0046,1,False,-2409.4942276022616,-2063.1721802563484,-2063.1721802563484,-1794.3976613262976,-1509.9074485864871,-1509.9074485864871,-615.096566275964,-553.2647316698611,-553.2647316698611,0.0,61.831834606102916,61.831834606102916,0.0,0.0,284.49021273981043,284.49021273981043,0.0,0.0,346.32204734591323,346.32204734591323,0.0
AP0047,1,False,-2501.8843733385856,-2501.8843733385856,-2513.6421752690667,-1520.9840857775746,-1520.9840857775746,-1573.408599082829,-980.9002875610108,-980.9002875610108,-940.2335761862378,-40.66671137477306,40.66671137477306,0.0,-4.32517114946318,52.42451330525432,-52.42451330525432,0.0,3.331907130532629,11.757801930481037,-11.757801930481037,0.0,0.46775957398242063
AP0048,2,False,-2879.0123107846616,-2817.2298356802366,-2817.2298356802366,-2170.8236966152235,-2199.4726147310857,-2199.4726147310857,-708.1886141694383,-617.7572209491503,-617.7572209491503,0.0,90.43139322028799,90.43139322028799,0.0,0.0,-28.648918115862216,-28.648918115862216,0.0,0.0,61.782475104424975,61.782475104424975,0.0
AP0049,0,False,-1818.9250150634937,-1381.4714559329777,-1713.8720104723434,-1824.5143425525673,-1424.2089576394899,-1731.0291874165619,5.5893274890735825,42.73750170651212,17.157176944218747,25.580324762293372,11.567849455145165,37.14817421743854,149.09401963656308,306.820229777072,93.48515513600546,400.30538491307743,17.724728849603014,332.40055453936566,105.05300459115028,437.45355913051594,19.394712820343923
AP0050,4,False,-2051.52315224221,-1895.5392366514304,-1915.2368804559849,-1638.5744486880778,-1244.023388610922,-1446.4740485192242,-412.9487035541322,-651.5158480405084,-468.76283193676056,-182.75301610374788,-55.81412838262838,-238.56714448637626,-38.98624286159329,202.4506599083022,192.10040016885364,394.55106007715585,13.996148780930692,19.697643804554446,136.28627178622514,155.9839155907796,1.0284703686295336
AP0051,3,False,-2170.794820153253,-2170.794820153253,-2269.0192050483884,-1593.8081382563757,-1593.8081382563757,-1729.7145468097547,-576.9866818968773,-576.9866818968773,-539.3046582386335,-37.68202365824379,37.68202365824379,0.0,-6.987149671822437,135.90640855337892,-135.90640855337892,0.0,7.857158211685364,98.22438489513524,-98.22438489513524,0.0,4.328935809648228
AP0052,3,False,-1600.5878656741415,-1456.7202865852664,-1456.7202865852664,-1568.1170792648395,-1501.0520206241063,-1501.0520206241063,-32.47078640930209,44.3317340388399,44.3317340388399,0.0,76.80252044814199,76.80252044814199,0.0,0.0,67.06505864073324,67.06505864073324,0.0,0.0,143.86757908887512,143.86757908887512,0.0
AP0053,3,False,-1758.8941939392976,-1758.8941939392976,-1823.016323584711,-1832.971572261532,-1832.971572261532,-1776.7766451349971,74.07737832223455,74.07737832223455,-46.23967844971395,120.3170567719485,-120.3170567719485,0.0,260.2030567811892,-56.19492712653482,56.19492712653482,0.0,-3.162745710351523,64.12212964541345,-64.12212964541345,0.0,3.517364535679313
AP0054,4,False,-2158.6016542973334,-2033.791473665386,-2033.791473665386,-1626.1156808591606,-1659.0332400419331,-1659.0332400419331,-532.4859734381729,-374.75823362345284,-374.75823362345284,0.0,157.72773981472005,157.72773981472005,0.0,0.0,-32.91755918277249,-32.91755918277249,0.0,0.0,124.81018063194733,124.81018063194733,0.0
AP0055,2,False,-2771.9724622210983,-2770.35624144187,-2922.7008043540786,-1519.5428406449023,-1568.9913809057718,-1830.3884816806367,-1252.4296215761963,-1201.3648605360984,-1092.312322673442,-109.05253786265644,160.11729890275433,51.06476104009789,-9.983640722440043,261.39710077486484,-310.8456410357344,-49.44854026086955,14.280962942623729,152.3445629122084,-150.7283421329803,1.6162207792281151,5.2124583770344834
AP0056,2,False,-2093.595056816197,-1976.6009362650643,-1976.6009362650643,-1642.3986381641885,-1675.3646557645711,-1675.3646557645711,-451.1964186520087,-301.2362805004932,-301.2362805004932,0.0,149.96013815151548,149.96013815151548,0.0,0.0,-32.966017600382656,-32.966017600382656,0.0,0.0,116.99412055113271,116.99412055113271,0.0
AP0057,2,False,-3001.310535236339,-2643.3279481866093,-2643.3279481866093,-1924.4659274684927,-1904.2695369304154,-1904.2695369304154,-1076.8446077678461,-739.0584112561941,-739.0584112561941,0.0,337.78619651165207,337.78619651165207,0.0,0.0,20.196390538077367,20.196390538077367,0.0,0.0,357.9825870497298,357.9825870497298,0.0
AP0058,4,False,-2851.3792325930663,-2040.7739752297853,-2040.7739752297853,-2005.9201494639333,-1683.015554031411,-1683.015554031411,-845.4590831291326,-357.7584211983743,-357.7584211983743,0.0,487.7006619307583,487.7006619307583,0.0,0.0,322.9045954325222,322.9045954325222,0.0,0.0,810.605257363281,810.605257363281,0.0
AP0059,0,False,-1741.0477906369333,-1741.0477906369333,-1742.752626459831,-1783.327671676086,-1783.327671676086,-1779.6434428878924,42.279881039152826,42.279881039152826,36.890816428061385,5.389064611091442,-5.389064611091442,0.0,14.608146777126334,-3.68422878819365,3.68422878819365,0.0,-0.20702061432121016,1.7048358228976213,-1.7048358228976213,0.0,0.09782431522486168
AP0061,0,False,-1960.3133801322952,-1523.4026841973202,-1661.1069042665295,-1532.889991637844,-1460.0982197576163,-1580.6250342069525,-427.42338849445105,-63.30446443970385,-80.48187005957698,17.177405619873127,346.94151843487407,364.1189240547472,21.34319891816318,120.52681444933614,-47.73504256910837,72.79177188022777,7.6252629080880086,137.7042200692092,299.2064758657657,436.9106959349749,8.289907152605164
AP0062,0,False,-1316.0163258721755,-1283.8943226147849,-1283.8943226147849,-1385.6544234665998,-1383.1332310176833,-1383.1332310176833,69.6380975944245,99.23890840289846,99.23890840289846,0.0,29.600810808473966,29.600810808473966,0.0,0.0,2.5211924489165085,2.5211924489165085,0.0,0.0,32.12200325739059,32.12200325739059,0.0
AP0063,4,False,-2203.5901086829444,-2169.944451767192,-2169.944451767192,-1631.6681489146422,-1732.2883065943308,-1732.2883065943308,-571.9219597683023,-437.6561451728611,-437.6561451728611,0.0,134.26581459544116,134.26581459544116,0.0,0.0,-100.62015767968865,-100.62015767968865,0.0,0.0,33.645656915752625,33.645656915752625,0.0
AP0064,2,False,-1921.699902087381,-1550.771252545756,-1590.863754304747,-1653.8190014069316,-1269.72796310389,-1462.9529925907127,-267.88090068044914,-281.0432894418658,-127.91076171403427,-153.13252772783153,139.97013896641488,-13.16238876141665,-119.71825175287807,193.22502948682268,190.86600881621894,384.0910383030416,13.20787683988701,40.09250175899115,330.8361477826338,370.92864954162496,2.5201719286459396
AP0065,0,False,-1536.7978639864114,-1505.8439653378957,-1505.8439653378957,-1371.4460444801018,-1353.6946928788866,-1353.6946928788866,-165.35181950630943,-152.149272459009,-152.149272459009,0.0,13.202547047300413,13.202547047300413,0.0,0.0,17.75135160121522,17.75135160121522,0.0,0.0,30.953898648515633,30.953898648515633,0.0
AP0066,1,False,-1772.0388369774669,-1772.0388369774669,-1821.1468219934266,-1469.586375809738,-1469.586375809738,-1435.9471936840366,-302.452461167729,-302.452461167729,-385.1996283093899,82.7471671416609,-82.7471671416609,0.0,21.481632135739993,-33.63918212570138,33.63918212570138,0.0,-2.3426475760154792,49.107985015959684,-49.107985015959684,0.0,2.696541784709379
AP0067,1,False,-590.5060252892622,-590.5060252892622,-590.5060252892622,-408.40527815846707,-408.40527815846707,-408.40527815846707,-182.10074713079507,-182.10074713079507,-182.10074713079507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AP0068,1,False,-1735.5133952289038,-1525.432431562329,-1525.432431562329,-1404.7344283003872,-1332.0468156330771,-1332.0468156330771,-330.7789669285165,-193.3856159292519,-193.3856159292519,0.0,137.3933509992646,137.3933509992646,0.0,0.0,72.68761266731008,72.68761266731008,0.0,0.0,210.08096366657492,210.08096366657492,0.0
AP0069,4,False,-1083.370340898342,-1083.370340898342,-1193.4356146348005,-909.3837085867419,-909.3837085867419,-957.6933167417358,-173.98663231160003,-173.98663231160003,-235.7422978930647,61.755665581464655,-61.755665581464655,0.0,26.196260125316037,48.30960815499384,-48.30960815499384,0.0,5.044371440259476,110.0652737364585,-110.0652737364585,0.0,9.222556490417729
AP0070,1,False,-1218.5420157712092,-1218.5420157712092,-1227.7531164915458,-1404.7982852339665,-1404.7982852339665,-1351.811757397578,186.25626946275713,186.25626946275713,124.05864090603228,62.19762855672485,-62.19762855672485,0.0,50.135668182788,-52.986527836388404,52.986527836388404,0.0,-3.9196676272733932,9.211100720336617,-9.211100720336617,0.0,0.7502404674531359
AP0071,3,False,-1077.3905093467868,-991.1508130997245,-991.1508130997245,-416.1926919186278,-896.7118501254067,-896.7118501254067,-661.1978174281588,-94.4389629743176,-94.4389629743176,0.0,566.7588544538412,566.7588544538412,0.0,0.0,-480.5191582067789,-480.5191582067789,0.0,0.0,86.23969624706228,86.23969624706228,0.0
AP0072,0,False,-1701.719268280872,-1701.719268280872,-1792.652670583231,-1390.497726766105,-1390.497726766105,-1500.8639396149822,-311.22154151476707,-311.22154151476707,-291.7887309682487,-19.432810546518397,19.432810546518397,0.0,-6.6598906962698985,110.36621284887724,-110.36621284887724,0.0,7.353512196261413,90.9334023023589,-90.9334023023589,0.0,5.072561115409721
AP0073,1,False,-1630.845186479757,-1537.3997102636959,-1537.3997102636959,-1449.989611996264,-1379.6767643831445,-1379.6767643831445,-180.85557448349311,-157.7229458805512,-157.7229458805512,0.0,23.132628602941907,23.132628602941907,0.0,0.0,70.31284761311963,70.31284761311963,0.0,0.0,93.44547621606125,93.44547621606125,0.0
AP0074,4,False,-2003.9361528318962,-1820.9771086717933,-1820.9771086717933,-1603.0269286808555,-1596.5066716664878,-1596.5066716664878,-400.9092241510408,-224.47043700530537,-224.47043700530537,0.0,176.43878714573543,176.43878714573543,0.0,0.0,6.520257014367644,6.520257014367644,0.0,0.0,182.95904416010285,182.95904416010285,0.0
AP0075,1,False,-2299.6137271785483,-1663.3610677886634,-1663.3610677886634,-2004.8134256995745,-1401.9825704012137,-1401.9825704012137,-294.8003014789738,-261.37849738744967,-261.37849738744967,0.0,33.42180409152411,33.42180409152411,0.0,0.0,602.8308552983608,602.8308552983608,0.0,0.0,636.2526593898849,636.2526593898849,0.0
AP0076,0,False,-2657.0128583962783,-2577.256476882186,-2577.256476882186,-2207.7368380537564,-2129.11514306665,-2129.11514306665,-449.27602034252186,-448.14133381553586,-448.14133381553586,0.0,1.1346865269860018,1.1346865269860018,0.0,0.0,78.62169498710637,78.62169498710637,0.0,0.0,79.75638151409248,79.75638151409248,0.0
AP0077,3,False,-2141.3287181520773,-2141.3287181520773,-2190.4450492484066,-1859.8827535264318,-1859.8827535264318,-1993.753923466551,-281.44596462564516,-281.44596462564516,-196.69112578185548,-84.75483884378968,84.75483884378968,0.0,-43.090321694426045,133.87116994011922,-133.87116994011922,0.0,6.714528225597504,49.116331096329304,-49.116331096329304,0.0,2.2422991671570247
AP0078,1,False,-1584.1720287859935,-1584.1720287859935,-1642.88836914046,-1410.1880095275792,-1410.1880095275792,-1495.9900804038875,-173.98401925841438,-173.98401925841438,-146.89828873657268,-27.085730521841697,27.085730521841697,0.0,-18.438424814065428,85.80207087630833,-85.80207087630833,0.0,5.7354705756567235,58.71634035446664,-58.71634035446664,0.0,3.573970176999082
AP0079,3,False,-1857.0083867389499,-1498.8550340320253,-1498.8550340320253,-1907.9591362526598,-1546.710576609956,-1546.710576609956,50.950749513710036,47.85554257793075,47.85554257793075,0.0,-3.095206935779288,-3.095206935779288,0.0,0.0,361.24855964270387,361.24855964270387,0.0,0.0,358.1533527069246,358.1533527069246,0.0
