subset,kpi,variable,n,coef_por_sd,ci_lo,ci_hi,p_hc3,p_perm,spearman,p_spearman,r2_adj
LOCKBOX,recuperacion_refinada_pct,dist_R,63,-0.28734187091312013,-1.5092581811755266,0.9345744393492863,0.644871237914824,,-0.09389400921658987,0.4641953589164841,0.05182573461719453
LOCKBOX,rendimiento_proxy_batch,dist_total,63,-0.2773328033789304,-1.554403051590496,0.9997374448326353,0.6703758234801271,,-0.05894777265745007,0.6462962748670689,0.045657224573356525
LOCKBOX,rendimiento_proxy_batch,dist_F,62,-0.12950098520243136,-1.3733996843692122,1.1143977139643495,0.8383145913985628,,0.04439575936138602,0.7318787747253561,0.03901428100421489
LOCKBOX,rendimiento_proxy_batch,dist_R,63,-0.3931018613971753,-1.511935973940087,0.7257322511457365,0.49105458681154934,,-0.09077380952380952,0.4792374164381248,0.048701368579204485
LOCKBOX,recuperacion_refinada_pct_next,dist_total,62,0.11910381602235698,-0.9985721739867506,1.2367798060314645,0.8345565651555187,,-0.028833320742363576,0.8239560874407686,-0.05260239338088679
LOCKBOX,recuperacion_refinada_pct_next,dist_F,61,0.7176433280982182,-0.6618138078801077,2.097100464076544,0.3078973689495563,,0.21575885774722367,0.09491892943837993,-0.026268202870442403
LOCKBOX,recuperacion_refinada_pct_next,dist_R,62,0.13731060828118036,-1.0945088298694612,1.369130046431822,0.827057709862939,,-0.05048978872352749,0.6967472765834516,-0.05256318059954945
LOCKBOX,recuperacion_refinada_pct_media2,dist_total,62,-0.02971807477930999,-0.9190674355245645,0.8596312859659445,0.947781301792544,,-0.0655485885522903,0.6127364273875879,0.08734453167606848
LOCKBOX,recuperacion_refinada_pct_media2,dist_F,61,0.265445360015726,-0.5439795590043435,1.0748702790357954,0.5203819387971454,,0.23035430988894762,0.07409790915066956,0.09236719818987471
LOCKBOX,recuperacion_refinada_pct_media2,dist_R,62,-0.24173106553221757,-1.158483887061457,0.6750217559970219,0.6052909639201111,,-0.07048424869683463,0.5861823029190176,0.09296504156869145
LOCKBOX,f_dross,dist_total,63,-0.002254775894907392,-0.014676905660840775,0.010167353871025991,0.7220213525070893,,-0.06192396313364055,0.6297157567233916,0.04394611488357536
LOCKBOX,f_dross,dist_F,62,-0.0007428527367571592,-0.011351546627910653,0.009865841154396334,0.8908390486530027,,-0.15308101029941326,0.2348936308981619,0.03913494907320891
LOCKBOX,f_dross,dist_R,63,0.008166614234654162,-0.0024653117773131283,0.01879854024662145,0.132197868415518,,0.1802515360983103,0.15746139399953774,0.0811677777966936
LOCKBOX,f_polvo,dist_total,63,0.005028103928696684,-0.002982990792948884,0.01303919865034225,0.21863839519245654,,0.23814324116743474,0.06017751288332407,0.04457880961789018
LOCKBOX,f_polvo,dist_F,62,0.002037862588781492,-0.008276619767177109,0.012352344944740093,0.698581616510487,,0.09773110724988039,0.4498372418429056,0.016995752376228856
LOCKBOX,f_polvo,dist_R,63,-0.004235595620682483,-0.01160503391374797,0.003133842672383004,0.25995723374953283,,-0.0918298771121352,0.47411741527934576,0.031013691038829005
TOTAL,recuperacion_refinada_pct,dist_total,361,-0.06631739096273528,-0.5731903612572894,0.4405555793318189,0.7976153798099277,,-0.021019987710623345,0.6906016983107632,0.0056377722066911495
TOTAL,recuperacion_refinada_pct,dist_F,359,0.17092339236268006,-0.2900389120008634,0.6318856967262235,0.46737999702843314,,0.019313315852987473,0.7153406405842826,0.007127921866900477
TOTAL,recuperacion_refinada_pct,dist_R,361,-0.2781081764712079,-0.8289623041131681,0.2727459511707523,0.3224080497482664,,-0.057077303527315576,0.27943491345406796,0.009311919606567631
TOTAL,rendimiento_proxy_batch,dist_total,361,-0.07009642417647935,-0.5876472263839296,0.447454378030971,0.7906589437118938,,-0.02505522950246468,0.6351627525474821,0.0030455094031301977
TOTAL,rendimiento_proxy_batch,dist_F,359,0.14561936776406526,-0.3261506355374884,0.6173893710656189,0.5451960888861622,,0.009089824490695658,0.8637280326596013,0.004893946456075993
TOTAL,rendimiento_proxy_batch,dist_R,361,-0.2715963278012465,-0.8522722013973416,0.3090795457948487,0.35928772758194727,,-0.05321576194604189,0.31330688038969284,0.0063860960281217904
TOTAL,recuperacion_refinada_pct_next,dist_total,360,-0.30824411000816565,-0.7564297368690345,0.13994151685270312,0.17766331348098718,,-0.03883415737111202,0.4626191228287698,0.015454905081850434
TOTAL,recuperacion_refinada_pct_next,dist_F,358,0.23582657879813657,-0.2859678858702552,0.7576210434665283,0.3757190461320459,,0.036488170066268984,0.49132474857541475,0.012975763957210673
TOTAL,recuperacion_refinada_pct_next,dist_R,360,-0.138734183248303,-0.5570209244191808,0.2795525579225749,0.5156495687022693,,-0.02650898349138565,0.6161519289813312,0.0117587735214838
TOTAL,recuperacion_refinada_pct_media2,dist_total,360,-0.17270654965650256,-0.5257215381724968,0.18030843885949166,0.33761976498981827,,-0.027688749575936318,0.6005356225310897,0.031229401650528232
TOTAL,recuperacion_refinada_pct_media2,dist_F,358,0.19599027965334231,-0.15599291368875134,0.547973472995436,0.27512261421827744,,0.043803719604293245,0.4086319935939469,0.031230561251248568
TOTAL,recuperacion_refinada_pct_media2,dist_R,360,-0.21053179878462425,-0.5834726355390785,0.16240903796983003,0.26853834318541114,,-0.036740299874129044,0.4871126625751758,0.032613371553319004
TOTAL,f_dross,dist_total,361,-0.0008228859647057829,-0.004576876481415048,0.0029311045520034823,0.6674648283915648,,-0.045756887140002186,0.38604073954485596,0.04560213079927444
TOTAL,f_dross,dist_F,359,-0.0038588482470053374,-0.007494595392731786,-0.00022310110127888878,0.03750410642671742,,-0.07575311946655704,0.1520379781248832,0.05438197933044642
TOTAL,f_dross,dist_R,361,0.0029578742883399766,-0.0020537688020841618,0.007969517378764114,0.24736563242481469,,0.051225941886888976,0.3317700592438147,0.0515201559167201
TOTAL,f_polvo,dist_total,361,0.0015238502064706214,-0.0018254528973060487,0.004873153310247291,0.3725348737306631,,0.08503927728870798,0.10673021522981403,0.04284643220349693
TOTAL,f_polvo,dist_F,359,0.002402654569364694,-0.0011531570790539068,0.005958466217783295,0.1853889543399444,,0.08400883902495958,0.11206058624400925,0.04872950245600205
TOTAL,f_polvo,dist_R,361,-0.00024191101032749188,-0.0035828968814838077,0.003099074860828824,0.8871469431465075,,-0.028681874935458113,0.5870076598650487,0.040730298149776356
