target,tipo,grupo,conjunto,r2,mae,n,extra
F_sn_dep,orden,F2,lockbox,-0.6365884034987472,0.09752697812767863,63,
F_sn_dep,orden,F3,lockbox,-0.08394819718680813,0.10442269547320741,63,
F_sn_dep,orden,F4,lockbox,-0.3797211066087409,0.1347356530722105,63,
F_sn_dep,orden,F5,lockbox,-0.289756905396797,0.1357874610042899,62,
F_sn_dep,orden,F6,lockbox,-1.1737622916988957,0.27334450841095304,62,
F_sn_dep,tercio_cronologico_DEV,T0,OOF_dev,0.072111326000587,0.14609432754306378,496,
F_sn_dep,tercio_cronologico_DEV,T1,OOF_dev,0.1422338539275565,0.12697448919143894,489,
F_sn_dep,tercio_cronologico_DEV,T2,OOF_dev,0.24111322510484812,0.1429595659988761,484,
F_sn_dep,cuartil_avance_prev_DEV,Q0,OOF_dev,0.1873262479811436,0.11969314007482539,368,
F_sn_dep,cuartil_avance_prev_DEV,Q1,OOF_dev,0.06620859627778941,0.12580170967974277,367,
F_sn_dep,cuartil_avance_prev_DEV,Q2,OOF_dev,0.07257943647594978,0.1376415849926624,367,
F_sn_dep,cuartil_avance_prev_DEV,Q3,OOF_dev,0.1394235381203438,0.17170293440632395,367,
F_sn_dep,residuo_normalidad,skew_kurt_shapiro,OOF_dev,1.1658614251956974,5.873596690172796,1469,shapiro_p=0.0000
F_sn_dep,heterocedasticidad,abs_res_vs_pred,OOF_dev,0.21490886919258553,8.263612654162633e-17,1469,
F_sn_dep,residuo_vs_palanca,relacion_C_Sn_carga,OOF_dev,0.0178710950327605,0.49370581093329446,1469,
F_sn_dep,residuo_vs_palanca,tasa_gn_nm3_min,OOF_dev,0.01745903882371018,0.5037230630632372,1469,
F_sn_dep,residuo_vs_palanca,exceso_o2_combustion_pct,OOF_dev,-0.0038052351613979884,0.8841411191153258,1469,
F_sn_dep,residuo_vs_palanca,tasa_aire_nm3_min,OOF_dev,-0.08066603028417997,0.0019738325908786655,1469,
