clave,politica,bloque_ini,n_train,n_test,r2,mae,pearson,theta_gn_1sd
sn_dep,ventana_movil_150,150,745.0,147,-0.1772659084319641,0.12870790525030282,-0.013491919308204184,0.022804499516298534
sn_dep,ventana_movil_150,180,744.0,148,0.04948031256337426,0.16751655379200256,0.2627785023315035,0.010161566465012118
sn_dep,ventana_movil_150,210,744.0,141,0.18694348242636494,0.14032281270511246,0.4606210339425839,0.010127327311473571
sn_dep,ventana_movil_150,240,735.0,143,0.20029191696484816,0.1500528992328427,0.4775406644520666,0.020198130158665086
sn_dep,ventana_movil_150,270,728.0,150,0.2375885527175139,0.13845291305343882,0.48903137683319825,0.029317396349419357
sn_dep,ventana_movil_150,300,729.0,150,-0.8866061197916253,0.1485624404821297,0.2265286000987713,0.029107234505029868
sn_dep,ventana_movil_150,330,732.0,148,-0.11814708653943962,0.134428336486842,0.24321423551990287,0.029856771729320077
sn_dep,ventana_movil_150,360,732.0,10,0.29651363097728056,0.10196633463932556,0.6739970374571267,0.005739364679795353
sn_dep,ventana_movil_150,GLOBAL,,1634,-0.04504782779128447,0.1522491758720036,0.27797336795863653,
sn_dep,progresivo_lockbox_10,AP0300,1469.0,50,0.053884491141095836,0.11559366859493192,0.5531567418313766,0.02597557183736249
sn_dep,progresivo_lockbox_10,AP0310,1519.0,50,-1.961300336315991,0.13246831085792998,-0.1348188047306262,0.0202300097505955
sn_dep,progresivo_lockbox_10,AP0320,1569.0,50,0.004876725449055375,0.13990249740300442,0.3166822972583462,0.019662659820599556
sn_dep,progresivo_lockbox_10,AP0330,1619.0,48,0.13084608398407738,0.09943884255374462,0.44269952698960047,0.01761145524066243
sn_dep,progresivo_lockbox_10,AP0340,1667.0,50,-0.04175012366935804,0.10287628328692577,0.1696464377773302,0.02212248469147168
sn_dep,progresivo_lockbox_10,AP0350,1717.0,50,-0.05191552080955608,0.17328686673110041,0.18344391072555327,0.02327181997144362
sn_dep,progresivo_lockbox_10,AP0360,1767.0,15,0.5183569582137164,0.08256702609008833,0.7625998747917728,0.018087509131678427
sn_dep,progresivo_lockbox_10,GLOBAL,,313,-0.14586481017879316,0.12529696861861245,0.28469029852485966,
