variable,kpi,rho_dev,p_dev,ci_lo_dev,ci_hi_dev,n_dev,ols_dev,ols_p_dev,ols_lo_dev,ols_hi_dev,ols_r2adj_dev,rho_lockbox,p_lockbox,ci_lo_lockbox,ci_hi_lockbox,n_lockbox,rho_total,p_total,ci_lo_total,ci_hi_total,n_total,ols_total,ols_p_total,ols_lo_total,ols_hi_total,ols_r2adj_total,quintiles_crecientes,dQ5Q1,target
b2_media_F,f_polvo,-0.15809211052864394,0.006241014380289073,-0.2795686389602707,-0.04291166354953929,298,-0.004321206231254964,0.03380405365832449,-0.008311690315626761,-0.00033072214688316826,0.048007352902536105,-0.0608678955453149,0.6355789140332083,-0.3358369730037695,0.1409834118195621,63,-0.13678956040872753,0.009261951238835924,-0.23950292436074308,-0.03373148375897384,361,-0.004192015388414325,0.02254649968386002,-0.007793979725317526,-0.0005900510515111251,0.033704799926004836,1,-0.01177933094429795,f_polvo
b2_fin_F,f_polvo,-0.19750897223905686,0.0006057117240614861,-0.29672669962851655,-0.10020650957907934,298,-0.005932087608456351,0.0007820783060657307,-0.009393375872202772,-0.0024707993447099304,0.06214942390900857,-0.0557315668202765,0.664408335163141,-0.30642043947395664,0.20025666594613442,63,-0.17901853353943156,0.0006326857092097161,-0.28878441521459713,-0.0873383011340808,361,-0.005757306269489759,0.0004292909750641564,-0.00896175491425998,-0.002552857624719537,0.04796338943457157,0,-0.01733872683368709,f_polvo
cal_por_carga_F,sn_perdido_escoria_frac,0.01671791878970169,0.7734316287781368,-0.10010472373834461,0.12271497970772546,299,-0.0008683205002005632,0.24778289786261776,-0.002340849154490413,0.0006042081540892866,0.05656494967567405,0.026353686635944704,0.8375543665672014,-0.23527828511006443,0.2930420859132894,63,0.018800922458795628,0.7214614353303895,-0.09428043764512041,0.132826552001288,362,-0.0010996012136852383,0.12589837012647803,-0.002507774538102331,0.00030857211073185447,0.04787257779836407,3,0.0015627433743916532,sn_perdido_escoria_frac
cal_por_sn_F,sn_perdido_escoria_frac,0.09035577203654238,0.11898606856746802,-0.025779752849610437,0.18968230025433483,299,-0.000763683588992739,0.27461628635728585,-0.002133753485112573,0.0006063863071270947,0.05452660764082995,0.045170890937019974,0.7251887101408536,-0.22475345921111006,0.3069758437143666,63,0.07344900452944823,0.1631625629944149,-0.032289933936639766,0.18566892536216192,362,-0.0010527967859597883,0.1406797016967622,-0.002453389579274063,0.00034779600735448664,0.04682977305404723,2,0.0014062596026545547,sn_perdido_escoria_frac
b2_media_F,sn_perdido_escoria_frac,-0.14526241517779304,0.012059156460590166,-0.2583263651871923,-0.032001068941333574,298,-0.0009012879066986845,0.032654496305758264,-0.0017281788112812721,-7.439700211609693e-05,0.0646023318145168,-0.13911290322580647,0.27687731306295654,-0.37714635680185726,0.12759339968667177,63,-0.14072124189508373,0.00741145517201943,-0.24095563772443135,-0.036882665725538576,361,-0.0008647238437923443,0.017578942041744806,-0.0015785249122114262,-0.0001509227753732625,0.04780230965959953,2,-0.002317016990622889,sn_perdido_escoria_frac
b2_fin_F,sn_perdido_escoria_frac,-0.15392074773457906,0.007772464922946379,-0.2623439001672835,-0.04694677061374839,298,-0.0011178432635183726,0.005091739827720013,-0.001899991830016044,-0.00033569469702070124,0.07343837408209541,-0.1021505376344086,0.4256568236810411,-0.3635398455122118,0.1963414653897045,63,-0.14459221621952523,0.0059196112489576245,-0.23928944598429244,-0.02762313312233221,361,-0.0011099369136611326,0.0024392588634549093,-0.0018277188128235596,-0.00039215501449870556,0.05603585927378496,1,-0.00380044638704383,sn_perdido_escoria_frac
cal_por_carga_F,R_sum_m6_ln_feo_ret,-0.032632445530023584,0.5747257502388913,-0.1510705900317819,0.08933798747782414,298,-0.0026272234255354837,0.7482627028162538,-0.018671992415346252,0.013417545564275286,0.00665002755436539,0.037778417818740403,0.7687905939719465,-0.24964331234042317,0.3077251309942665,63,0.043782107201705917,0.40689348824002924,-0.055734769956385086,0.15608893701930554,361,-0.0010477227523542666,0.8828518147340442,-0.01498344751989102,0.012888002015182486,0.01077776734355862,2,-0.007238334280606884,R_sum_m6_ln_feo_ret
cal_por_sn_F,R_sum_m6_ln_feo_ret,0.005668908791173162,0.9223690091349211,-0.10293004572044628,0.1226359677161199,298,-0.0026022290138277455,0.7469274473162706,-0.01840755713475613,0.01320309910710064,0.006639166851403755,0.016657066052227346,0.8969044394698725,-0.2728988963692488,0.2839795032283593,63,0.07177627115185461,0.17358475532561607,-0.03233029513354274,0.1836889979233508,361,-0.00046468057017294735,0.9471973540797138,-0.014216799076305239,0.013287437935959344,0.010716372849007283,2,-0.01199922174731416,R_sum_m6_ln_feo_ret
b2_media_F,R_sum_m6_ln_feo_ret,0.17405141566215393,0.0026132890837511236,0.0528966427390738,0.2874199087207814,297,0.01382078467500894,0.03357306718463748,0.0010743514385724278,0.02656721791144545,0.02737672554586912,0.3560867895545315,0.00417951890441461,0.13742327307954832,0.5258777102201224,63,0.21699781634117543,3.288498745072149e-05,0.1103211931169588,0.31984556421352034,360,0.01646339393443836,0.003164980771957756,0.005529810348914834,0.027396977519961885,0.04176751407202994,4,0.04533719033676392,R_sum_m6_ln_feo_ret
b2_fin_F,R_sum_m6_ln_feo_ret,0.21431483344235025,0.0001982873398659631,0.0999287016409785,0.3171854440313882,297,0.017928077699031694,0.0020268932933441134,0.006542662883217285,0.029313492514846103,0.04160064529811869,0.37663210445468515,0.0023466312400231694,0.1456531146911012,0.553601111570856,63,0.24409113239042482,2.7823011218116187e-06,0.1375430359470418,0.34998810925716817,360,0.020323881828485556,6.032928136101837e-05,0.010393958803276485,0.030253804853694628,0.05829679217951078,3,0.04908603546387663,R_sum_m6_ln_feo_ret
