Batch,policy,orden_escalon_fase,pred_sn_dep,pred_feo_ret,pred_dT,support_score,J,J_sn,J_feo,J_costo,J_temperatura,J_incertidumbre,J_soporte,accion__tasa_feed_Carbon_kg_min,accion__tasa_gn_nm3_min,accion__tasa_o2_nm3_min,accion__tasa_aire_nm3_min,m6_sn_inv_kg_pred,m6_feo_inv_kg_pred,temperatura_pred,real_ln_sn_dep,real_ln_feo_ret,fold,es_lockbox
AP0011,historica,0,1.3876770586621476,-0.10859579008306094,-4.070160914748769,0.1513614653616092,274.2679752911803,2057.4567369886663,-980.5564151894204,-115.53184811707635,-37.42974880574502,-649.6707495852442,-0.0,57.77566508631551,24.884790807653356,21.57346253571687,119.32611472800926,1434.0256757381978,8643.333429734028,1188.666094052693,1.1919294227757105,-0.16752694878389274,0,False
AP0011,historica,1,0.4006979274696582,-0.024609017240438152,1.7319391557345127,0.22665549551686767,-385.4664311564608,594.0997908869821,-222.2050201776894,-66.79682516329513,-40.89362711721424,-649.6707495852442,-0.0,37.74246200170273,21.211998223198783,14.838995975070532,120.1159808485243,960.5855039605977,8433.225368212794,1190.3980332084277,0.43946080859009345,0.0524660078712987,0,False
AP0011,historica,2,0.24880137736443533,-0.057183203867477696,5.630561921196554,0.2914434103064901,-878.7455448474375,368.88847216659707,-516.3308573053596,-29.477659163823198,-52.154750959607554,-649.6707495852442,-0.0,18.310771445622517,16.63155339558919,5.93977840423584,120.08604220920138,749.0019755843234,7964.515404753089,1196.0285951296244,0.3326209295447995,-0.00982533304974332,0,False
AP0011,historica,3,0.19736262061268262,-0.03594946022049257,0.9717637203148372,0.21158616739601802,-751.0078773782559,292.6221564841515,-324.6025818757713,-15.2584240011548,-54.09827840023718,-649.6707495852442,-0.0,13.16770293439428,10.38999942779541,4.714313719007704,119.66167570891204,614.8504088212006,7683.28077899592,1197.0003588499392,0.1944628987786035,-0.03035096201470038,0,False
AP0011,miope,0,1.3876770586621476,-0.10859579008306094,-4.070160914748769,0.1513614653616092,274.2679752911803,2057.4567369886663,-980.5564151894204,-115.53184811707635,-37.42974880574502,-649.6707495852442,-0.0,57.77566508631551,24.884790807653356,21.57346253571687,119.32611472800926,1434.0256757381978,8643.333429734028,1188.666094052693,1.1919294227757105,-0.16752694878389274,0,False
AP0011,miope,1,0.4006979274696582,-0.024609017240438152,1.7319391557345127,0.22665549551686767,-385.4664311564608,594.0997908869821,-222.2050201776894,-66.79682516329513,-40.89362711721424,-649.6707495852442,-0.0,37.74246200170273,21.211998223198783,14.838995975070532,120.1159808485243,960.5855039605977,8433.225368212794,1190.3980332084277,0.43946080859009345,0.0524660078712987,0,False
AP0011,miope,2,0.23584766656417444,-0.05490746085561654,4.386793160908346,0.29369534471968767,-876.0419863180912,349.68249092720527,-495.78223007131896,-30.60428414970231,-49.667213439031,-649.6707495852442,-0.0,19.202960851791943,16.30802906106437,8.08252930635872,122.073336333822,758.7674435364156,7982.661234819854,1194.784826369336,0.3326209295447995,-0.00982533304974332,0,False
AP0011,miope,3,0.1978411829888938,-0.03603760510680908,3.934435951326219,0.21385753437888405,-754.532034556208,293.33170297327075,-325.3984786013966,-15.2584240011548,-57.53608534168325,-649.6707495852442,-0.0,13.16770293439428,10.38999942779541,4.714313719007704,119.66167570891204,622.568802885157,7700.107107538154,1198.7192623206622,0.1944628987786035,-0.03035096201470038,0,False
AP0011,horizonte,0,1.3795679813103368,-0.10707729259143954,-4.06116610636912,0.1501716177578419,281.3444889723365,2045.433712089537,-966.8452717305482,-107.74576817136952,-37.447738422504244,-649.6707495852442,-2.37969520753456,53.09580862604478,24.406781172410042,20.45317392377767,123.42037651957286,1445.701577280538,8656.468279960987,1188.6750888610727,1.1919294227757105,-0.16752694878389274,0,False
AP0011,horizonte,1,0.3697670505353375,-0.020794782626467227,0.10219977634851464,0.22136489898281406,-397.79246409561586,548.2397395643497,-187.76471437111908,-59.23735117336709,-37.652137975201185,-649.6707495852442,-11.707250555034076,31.883352544618127,20.10206631411178,17.226443028042347,118.68230473657229,998.8283607173349,8478.317625490403,1188.7772886374212,0.43946080859009345,0.0524660078712987,0,False
AP0011,horizonte,2,0.251922614240424,-0.049996859570278725,3.444568165122954,0.29354378049666197,-808.3600067066798,373.5162130362426,-451.4423750079459,-34.37657401763779,-44.54127430544713,-649.6707495852442,-1.8452468266474398,21.587109319623156,18.001952502846,9.94146598153517,123.59747274401789,776.3941671292536,8064.850522686006,1192.2218568025442,0.3326209295447995,-0.00982533304974332,0,False
AP0011,horizonte,3,0.2413994866093085,-0.04246920201590788,3.174118804116543,0.24650027489946755,-740.6465406869224,357.91396631487385,-383.47203379451804,-14.528211708354087,-50.88951191368005,-649.6707495852442,-0.0,11.003990246867264,12.115705092201354,5.487678211420183,116.58581653867792,609.8791677827998,7729.513896574174,1195.3959756066606,0.1944628987786035,-0.03035096201470038,0,False
AP0023,historica,0,1.3489263749897813,-0.09569584476486179,4.722636283220463,0.22026884745716824,360.4050324517855,2000.0025514582865,-864.0774602715727,-125.84930914968403,-0.0,-649.6707495852444,-0.0,63.84533376386089,25.7443536150897,23.037967501039855,119.30622802734375,1228.8105391980923,10090.328040534278,1162.9511908874272,1.2000745478517185,-0.07652297741968517,0,False
AP0023,historica,1,0.2694446174334241,-0.06386822253630149,7.474558316728082,0.37709230493783397,-898.5309996159612,399.49543009538417,-576.6926626420352,-70.71395837539676,-0.9490591086691893,-649.6707495852442,-0.0,39.82130925105169,22.21947009277344,17.090876968008292,120.97895551215277,938.5764494745445,9466.025475568162,1170.4257492041552,0.5808140087839891,-0.08852040802478393,0,False
AP0023,historica,2,0.2468444647082246,-0.03769735220407315,1.5288586448990782,0.35276281488284017,-649.3499178684178,365.98703115545806,-340.3850233152341,-21.274399724930053,-4.006776398467537,-649.6707495852442,-0.0,10.323126632448226,16.431247516208224,5.46262291378445,119.17025899251303,733.2999558144143,9115.82369064031,1171.9546078490544,0.7914923038703607,-0.06042912258762419,0,False
AP0023,historica,3,0.32577202464443644,-0.05014413850999043,2.986883485331844,0.37817410073144814,-641.6279258000928,483.00996448938173,-452.7722176201333,-12.214379714965819,-9.980543369131283,-649.6707495852442,-0.0,6.789635848999024,14.884948696560327,2.8261727650960284,118.04034487123842,529.4556930097247,8669.989953596421,1174.9414913343862,-0.03552699914136724,0.01156949671175291,0,False
AP0023,miope,0,1.3489263749897813,-0.09569584476486179,4.722636283220463,0.22026884745716824,360.4050324517855,2000.0025514582865,-864.0774602715727,-125.84930914968403,-0.0,-649.6707495852444,-0.0,63.84533376386089,25.7443536150897,23.037967501039855,119.30622802734375,1228.8105391980923,10090.328040534278,1162.9511908874272,1.2000745478517185,-0.07652297741968517,0,False
AP0023,miope,1,0.2694446174334241,-0.06386822253630149,7.474558316728082,0.37709230493783397,-898.5309996159612,399.49543009538417,-576.6926626420352,-70.71395837539676,-0.9490591086691893,-649.6707495852442,-0.0,39.82130925105169,22.21947009277344,17.090876968008292,120.97895551215277,938.5764494745445,9466.025475568162,1170.4257492041552,0.5808140087839891,-0.08852040802478393,0,False
AP0023,miope,2,0.2724309195210401,-0.04021093199995801,-0.19632146791912972,0.35324284017766083,-635.2611253079141,403.9231082143641,-363.08117748530134,-25.875890278901956,-0.5564161728307226,-649.6707495852442,-0.0,12.657731955442014,18.50024585370693,10.590054056178928,128.12327161900882,714.7754089769438,9092.93911354287,1170.229427736236,0.7914923038703607,-0.06042912258762419,0,False
