muestra,spec,y,variable,coef,lo,hi,p,n,r2adj,sd_x
total,nivel+ln_feed,f_dross,ln_feed_sn_F,-0.008955594514580723,-0.30352543599415927,0.2856142469649978,0.9524842762230269,360,0.06305642555939428,0.0616147242301633
total,nivel+ln_feed,f_polvo,ln_sn_inv_F6,0.0070711600301652,-0.0028774467949657604,0.01701976685529616,0.1635951811246643,360,0.024264795847258158,0.3252755025150577
total,nivel+ln_feed,f_polvo,ln_feed_sn_F,0.22099159306362604,-0.0811767087957162,0.5231598949229683,0.15173645104535385,360,0.024264795847258158,0.0616147242301633
total,nivel+ln_feed,sn_perdido_escoria_frac,ln_sn_inv_F6,0.0037750003907906287,0.001030562958464861,0.0065194378231163965,0.007018830031200341,360,0.06111857544415855,0.3252755025150577
total,nivel+ln_feed,sn_perdido_escoria_frac,ln_feed_sn_F,-0.03787200532791179,-0.11099028160601726,0.03524627095019369,0.31002293462139874,360,0.06111857544415855,0.0616147242301633
total,frac_conservada,recuperacion_refinada_pct,ln_frac_sn_conservado_F,1.25954679035297,-0.13673798190023212,2.6558315626061724,0.07705672894465736,360,0.016895288029013522,0.3199427766984865
total,frac_conservada,f_dross,ln_frac_sn_conservado_F,-0.022042688110345147,-0.034208332715099,-0.009877043505591297,0.0003834504232541518,360,0.06564365060491417,0.3199427766984865
total,frac_conservada,f_polvo,ln_frac_sn_conservado_F,0.006482896485499934,-0.003513268815366925,0.016479061786366794,0.2036888794789804,360,0.02181024367593376,0.3199427766984865
total,frac_conservada,sn_perdido_escoria_frac,ln_frac_sn_conservado_F,0.0038629499779749047,0.0010781028603624532,0.006647797095587356,0.006553340243390348,360,0.06162111120278313,0.3199427766984865
total,frac_conservada+heel,recuperacion_refinada_pct,ln_frac_sn_conservado_F,1.7042117328674316,0.3600023870974409,3.048421078637422,0.01295965471530195,360,0.15409489553309907,0.3199427766984865
total,frac_conservada+heel,recuperacion_refinada_pct,F_lnirf_F0,8.809816946241419,6.86722079157937,10.752413100903468,6.189406941145301e-19,360,0.15409489553309907,0.19984869589847085
total,frac_conservada+heel,f_dross,ln_frac_sn_conservado_F,-0.0244506344330477,-0.03667394437670871,-0.012227324489386687,8.833915168933993e-05,360,0.1228003919558679,0.3199427766984865
total,frac_conservada+heel,f_dross,F_lnirf_F0,-0.04770685586191085,-0.0671826377723075,-0.028231073951514193,1.5785541863046206e-06,360,0.1228003919558679,0.19984869589847085
total,frac_conservada+heel,f_polvo,ln_frac_sn_conservado_F,0.004500093864526343,-0.005245063638036103,0.014245251367088789,0.36542981530868257,360,0.0718312302728149,0.3199427766984865
total,frac_conservada+heel,f_polvo,F_lnirf_F0,-0.03928379879135388,-0.05482487716504426,-0.023742720417663503,7.259915448511318e-07,360,0.0718312302728149,0.19984869589847085
total,frac_conservada+heel,sn_perdido_escoria_frac,ln_frac_sn_conservado_F,0.003687622249382708,0.0008469537625985786,0.006528290736166837,0.010948662694156152,360,0.06659851799566374,0.3199427766984865
total,frac_conservada+heel,sn_perdido_escoria_frac,F_lnirf_F0,-0.003473638343881891,-0.008826004090934512,0.0018787274031707296,0.2033733304271349,360,0.06659851799566374,0.19984869589847085
total,ley_F6,recuperacion_refinada_pct,ln_ley_sn_F6,1.4777154255085276,-0.22579695127562327,3.1812278022926783,0.08909802888904075,361,0.015236312945553165,0.25810324787674893
total,ley_F6,f_dross,ln_ley_sn_F6,-0.026809664189478093,-0.04171301896794082,-0.011906309411015364,0.00042223478196828094,361,0.0623128474799296,0.25810324787674893
total,ley_F6,f_polvo,ln_ley_sn_F6,0.00820718819435508,-0.004015252996442214,0.020429629385152373,0.1881449174570281,361,0.02213103293466756,0.25810324787674893
total,ley_F6,sn_perdido_escoria_frac,ln_ley_sn_F6,0.005037474418020403,0.0018262659502545939,0.008248682885786212,0.002107659269418973,361,0.06474114180723867,0.25810324787674893
total,ley_F6+heel,recuperacion_refinada_pct,ln_ley_sn_F6,2.2831375397189273,0.6238909765933665,3.942384102844488,0.006998254753929361,360,0.1565327590475144,0.25810324787674893
