config,clave,tercio,palanca,theta_1sd,ci_lo,ci_hi,n,tabla,bloque,n_train,n_test,r2_bloque,r2_global_walkforward
libre_k20,feo_ret,0.0,tasa_gn_nm3_min,-0.0030958008648671554,-0.015489027681087762,-5.084612389246787e-19,362.0,tercio,,,,,
libre_k20,feo_ret,0.0,exceso_o2_combustion_pct,0.0008803881519666854,1.8778829958322158e-22,0.007469087440871335,362.0,tercio,,,,,
libre_k20,feo_ret,0.0,tasa_aire_nm3_min,0.0006276274196394738,1.19056213248054e-23,0.009515196558613237,362.0,tercio,,,,,
libre_k20,feo_ret,1.0,tasa_feed_Carbon_kg_min,-3.5685455237772364e-17,-0.024870728821339786,-1.14e-322,355.0,tercio,,,,,
libre_k20,feo_ret,1.0,Cx_av_v6,-0.020399781694243054,-0.0374759992824884,-3.0177792812597734e-17,355.0,tercio,,,,,
libre_k20,feo_ret,1.0,tasa_gn_nm3_min,-3.398685542769383e-15,-0.01122276837313584,-2.033458490135146e-29,355.0,tercio,,,,,
libre_k20,feo_ret,1.0,exceso_o2_combustion_pct,0.007777080925114579,0.0023708115315265077,0.012488683714024956,355.0,tercio,,,,,
libre_k20,feo_ret,1.0,tasa_aire_nm3_min,4.1026265032684805e-20,8.058514180775183e-34,8.368367344469783e-06,355.0,tercio,,,,,
libre_k20,feo_ret,2.0,tasa_feed_Carbon_kg_min,-1.35771188649922e-11,-0.01653610218136949,-1.04e-322,365.0,tercio,,,,,
libre_k20,feo_ret,2.0,Cx_av_v6,-5.231047639254059e-13,-0.0062331147599033855,-8.4e-323,365.0,tercio,,,,,
libre_k20,feo_ret,2.0,tasa_gn_nm3_min,-0.010278426035328105,-0.02293262338827659,-4.1409828153030765e-17,365.0,tercio,,,,,
libre_k20,feo_ret,2.0,exceso_o2_combustion_pct,0.0028965462141457023,4.243557065559833e-17,0.012245419430429332,365.0,tercio,,,,,
libre_k20,feo_ret,2.0,tasa_aire_nm3_min,0.00388672181803452,9.230816012323271e-20,0.01881408599046162,365.0,tercio,,,,,
libre_k16,sn_dep,0.0,Cx_sn_v6,6.870773918464472e-17,1.4358713421295228e-20,0.1316217899340893,363.0,tercio,,,,,
libre_k16,sn_dep,0.0,tasa_gn_nm3_min,0.046758754942497815,1.1590921632347038e-13,0.09649600108679705,363.0,tercio,,,,,
libre_k16,sn_dep,0.0,exceso_o2_combustion_pct,-1.1768018839240868e-30,-0.009795619576943661,-3.225505671219208e-38,363.0,tercio,,,,,
libre_k16,sn_dep,0.0,tasa_aire_nm3_min,0.009215912790139493,-0.039622391236961645,0.03957088068840928,363.0,tercio,,,,,
libre_k16,sn_dep,1.0,Cx_sn_v6,0.18724470017784398,0.02777325141512271,0.33948308875597555,355.0,tercio,,,,,
libre_k16,sn_dep,1.0,tasa_gn_nm3_min,9.801885397343134e-22,8.583170896501281e-25,0.05489540817468435,355.0,tercio,,,,,
libre_k16,sn_dep,1.0,exceso_o2_combustion_pct,-0.03428759151257473,-0.062122833958942594,-9.599627076086487e-16,355.0,tercio,,,,,
libre_k16,sn_dep,1.0,tasa_aire_nm3_min,0.05103595468955302,0.030357050309147104,0.0700359398687494,355.0,tercio,,,,,
libre_k16,sn_dep,2.0,Cx_sn_v6,0.28537579464982116,0.08575911809245171,0.584580447774528,365.0,tercio,,,,,
libre_k16,sn_dep,2.0,tasa_gn_nm3_min,0.030098089471213545,2.1430552778832033e-22,0.09872488251323595,365.0,tercio,,,,,
libre_k16,sn_dep,2.0,exceso_o2_combustion_pct,-0.01588334957547864,-0.054668873098198734,-1.909257301020102e-17,365.0,tercio,,,,,
libre_k16,sn_dep,2.0,tasa_aire_nm3_min,0.009475081147852475,-0.051469499734530896,0.030241131298315228,365.0,tercio,,,,,
libre_k16,feo_ret,0.0,tasa_feed_Carbon_kg_min,-2.358716543389332e-28,-0.0025275449431683547,-1.4556915241081302e-69,363.0,tercio,,,,,
libre_k16,feo_ret,0.0,Cx_av_v6,-8e-323,-1.3320869242453377e-10,-8e-323,363.0,tercio,,,,,
libre_k16,feo_ret,0.0,tasa_gn_nm3_min,-0.008420522282770378,-0.01889666166494416,-0.000252309727605466,363.0,tercio,,,,,
libre_k16,feo_ret,0.0,exceso_o2_combustion_pct,1.149883920316497e-16,6.513044829611973e-32,0.002236244107901933,363.0,tercio,,,,,
libre_k16,feo_ret,0.0,tasa_aire_nm3_min,0.0015182575434005414,9.789131253932698e-37,0.01266712075649758,363.0,tercio,,,,,
libre_k16,feo_ret,1.0,tasa_feed_Carbon_kg_min,-6.411031172051175e-11,-0.03726391059484139,-1.2759578067197453e-42,355.0,tercio,,,,,
libre_k16,feo_ret,1.0,Cx_av_v6,-0.022655451513414877,-0.03598879700883987,-2.1010879509608309e-19,355.0,tercio,,,,,
libre_k16,feo_ret,1.0,tasa_gn_nm3_min,-1.3228249219861226e-16,-0.008795740939628743,-3.6999210543110607e-26,355.0,tercio,,,,,
libre_k16,feo_ret,1.0,exceso_o2_combustion_pct,0.008978899776316607,0.0031158526405371746,0.014045456728403197,355.0,tercio,,,,,
libre_k16,feo_ret,1.0,tasa_aire_nm3_min,1.2972207038220483e-21,3.469215911983939e-35,1.1312925673605974e-11,355.0,tercio,,,,,
libre_k16,feo_ret,2.0,tasa_feed_Carbon_kg_min,-8.497581638568941e-19,-0.009207264838849682,-1.04e-322,365.0,tercio,,,,,
libre_k16,feo_ret,2.0,Cx_av_v6,-1.3512341394816728e-20,-0.00016886930013092257,-8.4e-323,365.0,tercio,,,,,
libre_k16,feo_ret,2.0,tasa_gn_nm3_min,-0.0064621149011013694,-0.01667339050180747,-5.8346763726389486e-18,365.0,tercio,,,,,
libre_k16,feo_ret,2.0,exceso_o2_combustion_pct,0.00400433766645606,4.1041672441533815e-11,0.012313584187826144,365.0,tercio,,,,,
libre_k16,feo_ret,2.0,tasa_aire_nm3_min,0.003106021680442788,1.1047450903343278e-22,0.016087685972471264,365.0,tercio,,,,,
FULL,sn_dep,,,,,,,walkforward,1.0,186.0,179.0,0.6960990381484978,0.7540810967554775
FULL,sn_dep,,,,,,,walkforward,2.0,365.0,176.0,0.7782287825355348,0.7540810967554775
FULL,sn_dep,,,,,,,walkforward,3.0,541.0,184.0,0.7062348897348474,0.7540810967554775
FULL,sn_dep,,,,,,,walkforward,4.0,725.0,181.0,0.7691956664234201,0.7540810967554775
FULL,sn_dep,,,,,,,walkforward,5.0,906.0,152.0,0.8321299777483209,0.7540810967554775
FULL,feo_ret,,,,,,,walkforward,1.0,186.0,179.0,0.3537508998217094,0.2330910272027823
FULL,feo_ret,,,,,,,walkforward,2.0,365.0,176.0,0.23292125122937002,0.2330910272027823
FULL,feo_ret,,,,,,,walkforward,3.0,541.0,184.0,0.10790599443940263,0.2330910272027823
FULL,feo_ret,,,,,,,walkforward,4.0,725.0,181.0,0.16636553940304755,0.2330910272027823
FULL,feo_ret,,,,,,,walkforward,5.0,906.0,152.0,0.28580767092851667,0.2330910272027823
CURADO,sn_dep,,,,,,,walkforward,1.0,181.0,181.0,0.682214967462444,0.7430696734884985
CURADO,sn_dep,,,,,,,walkforward,2.0,362.0,175.0,0.7583987488588187,0.7430696734884985
CURADO,sn_dep,,,,,,,walkforward,3.0,537.0,184.0,0.749806460759576,0.7430696734884985
CURADO,sn_dep,,,,,,,walkforward,4.0,721.0,178.0,0.6972724841917199,0.7430696734884985
CURADO,sn_dep,,,,,,,walkforward,5.0,899.0,183.0,0.8102174671515047,0.7430696734884985
CURADO,feo_ret,,,,,,,walkforward,1.0,181.0,181.0,0.33600091552799494,0.23192241385066137
CURADO,feo_ret,,,,,,,walkforward,2.0,362.0,175.0,0.11860712641494853,0.23192241385066137
CURADO,feo_ret,,,,,,,walkforward,3.0,537.0,184.0,0.30614217388814535,0.23192241385066137
CURADO,feo_ret,,,,,,,walkforward,4.0,721.0,178.0,-0.06213229784277852,0.23192241385066137
CURADO,feo_ret,,,,,,,walkforward,5.0,899.0,183.0,0.33507872636738956,0.23192241385066137
libre_k20,sn_dep,,,,,,,walkforward,1.0,181.0,181.0,0.7258337801204668,0.7628732184051196
libre_k20,sn_dep,,,,,,,walkforward,2.0,362.0,175.0,0.7635973884319467,0.7628732184051196
libre_k20,sn_dep,,,,,,,walkforward,3.0,537.0,184.0,0.7632190393924382,0.7628732184051196
libre_k20,sn_dep,,,,,,,walkforward,4.0,721.0,178.0,0.7258739135785526,0.7628732184051196
libre_k20,sn_dep,,,,,,,walkforward,5.0,899.0,183.0,0.8197090681098321,0.7628732184051196
libre_k20,feo_ret,,,,,,,walkforward,1.0,181.0,181.0,0.35221838302766084,0.26703664931644844
libre_k20,feo_ret,,,,,,,walkforward,2.0,362.0,175.0,0.2570046698746552,0.26703664931644844
libre_k20,feo_ret,,,,,,,walkforward,3.0,537.0,184.0,0.2841934810437996,0.26703664931644844
libre_k20,feo_ret,,,,,,,walkforward,4.0,721.0,178.0,0.01525535759099339,0.26703664931644844
libre_k20,feo_ret,,,,,,,walkforward,5.0,899.0,183.0,0.3369517329984206,0.26703664931644844
libre_k16,sn_dep,,,,,,,walkforward,1.0,182.0,181.0,0.7187646434556356,0.7605528666944666
libre_k16,sn_dep,,,,,,,walkforward,2.0,363.0,175.0,0.7622126513815859,0.7605528666944666
libre_k16,sn_dep,,,,,,,walkforward,3.0,538.0,184.0,0.7598155901271134,0.7605528666944666
libre_k16,sn_dep,,,,,,,walkforward,4.0,722.0,178.0,0.7262151843058593,0.7605528666944666
libre_k16,sn_dep,,,,,,,walkforward,5.0,900.0,183.0,0.8204298592451207,0.7605528666944666
libre_k16,feo_ret,,,,,,,walkforward,1.0,182.0,181.0,0.30677107484268207,0.26051778913288226
libre_k16,feo_ret,,,,,,,walkforward,2.0,363.0,175.0,0.22642424404495098,0.26051778913288226
libre_k16,feo_ret,,,,,,,walkforward,3.0,538.0,184.0,0.25395009365630106,0.26051778913288226
libre_k16,feo_ret,,,,,,,walkforward,4.0,722.0,178.0,0.051514890488196796,0.26051778913288226
libre_k16,feo_ret,,,,,,,walkforward,5.0,900.0,183.0,0.3649703947694346,0.26051778913288226
