target,kpi,muestra,n,rho,p_rho,r,p_r,ci_low,ci_high,signo_esperado,signo_ok,p_bh,significativo_bh
st_F10_irf_next,recuperacion_real_pct,lockbox,63,0.35287058371735797,0.0045596219037355125,0.31599380995471715,0.011638999276332246,0.1067617470805139,0.5661374282109335,1,True,,
st_F10_irf_next,recuperacion_real_pct,total,361,0.3004157675374828,5.774670796735413e-09,0.2772428778046965,8.571178009572063e-08,0.20185827834920392,0.3970983015787523,1,True,,
st_F01_sn_ext,recuperacion_refinada_pct,dev,298,0.03900806906351114,0.5023422272238485,0.013314585214326304,0.818954769329023,-0.0775876924183966,0.16643424243614408,1,True,0.5581580302487205,False
st_F01_sn_ext,recuperacion_refinada_pct,lockbox,63,0.17948348694316438,0.1592680435078664,0.25167503562614624,0.04661731282493118,-0.07047186933703606,0.39550977766375445,1,True,,
st_F01_sn_ext,recuperacion_refinada_pct,total,361,0.05060528611438453,0.33766945632155754,0.030771180781714806,0.5600529899391826,-0.04615852281979091,0.1512411902102384,1,True,,
st_F01_sn_ext,sn_perdido_escoria_frac,dev,298,0.21127641933011057,0.00023932559141779213,0.17605847992399484,0.0022859089022223816,0.09168616161720519,0.3223666444022942,-1,False,0.0005983139785444803,True
st_F01_sn_ext,sn_perdido_escoria_frac,lockbox,63,0.1909562211981567,0.13383477702337845,-0.1171427628882987,0.3605455237381835,-0.03598506410455478,0.437034822030014,-1,False,,
st_F01_sn_ext,sn_perdido_escoria_frac,total,361,0.20038821974972323,0.00012652740774265908,0.11199423183458211,0.03340289192612773,0.10895285451985189,0.29392736387213086,-1,False,,
st_F01_sn_ext,rendimiento_proxy_batch,dev,298,0.0632000687442765,0.27681384732913494,0.030813506164346725,0.5962409830331757,-0.05552292852532617,0.17045709907114454,1,True,0.2818764884615516,False
st_F01_sn_ext,rendimiento_proxy_batch,lockbox,63,0.18663594470046085,0.14302578212438646,0.2449857343344645,0.05296862600630823,-0.02662728686188287,0.4252328327571332,1,True,,
st_F01_sn_ext,rendimiento_proxy_batch,total,361,0.07298403758742596,0.16644009163740536,0.043746280328827374,0.40727787990926695,-0.037608541284963375,0.18230484561001228,1,True,,
st_F01_sn_ext,recuperacion_real_pct,dev,298,0.2507331853698938,1.185129143671308e-05,0.20434393962579223,0.00038489239453525924,0.14245028426689,0.347325373672089,1,True,3.9504304789043606e-05,True
st_F01_sn_ext,recuperacion_real_pct,lockbox,63,0.29046658986175117,0.02092283690334599,0.251900821863758,0.04641435343145118,0.05978332284408875,0.5063821263082263,1,True,,
st_F01_sn_ext,recuperacion_real_pct,total,361,0.23300122944756482,7.69894847430184e-06,0.19203224922891296,0.000242385636866146,0.1352053251601581,0.32959218580706545,1,True,,
st_R21_ln_feo_ret,recuperacion_refinada_pct,dev,286,0.28576789064593944,8.902202254450862e-07,0.2780066287005432,1.7935319213067466e-06,0.17265932231971043,0.38835943930383454,1,True,2.9674007514836207e-06,True
st_R21_ln_feo_ret,recuperacion_refinada_pct,lockbox,63,-0.08822964669738864,0.4916918580250823,-0.009737179302044898,0.9396254972889035,-0.3023124517709417,0.16878553959500744,1,False,,
st_R21_ln_feo_ret,recuperacion_refinada_pct,total,349,0.21249707115333039,6.298966182581227e-05,0.2254268828637471,2.1276475701689222e-05,0.11412499583652777,0.3031656373381918,1,True,,
st_R21_ln_feo_ret,sn_perdido_escoria_frac,dev,286,0.33732557557974757,4.85329842154658e-09,0.26184315375638334,7.212760419739163e-06,0.2292924457019396,0.44283421805689804,-1,False,4.8532984215465796e-08,True
st_R21_ln_feo_ret,sn_perdido_escoria_frac,lockbox,63,0.3279089861751152,0.008701880947308092,0.16371494832432795,0.19980893150014678,0.06962367415156535,0.545975868083297,-1,False,,
st_R21_ln_feo_ret,sn_perdido_escoria_frac,total,349,0.3385662060496562,8.300186698261099e-11,0.2326982951305049,1.1231066115986388e-05,0.2449567296949512,0.4316098096983142,-1,False,,
st_R21_ln_feo_ret,rendimiento_proxy_batch,dev,286,0.3154044928114248,5.026715378735499e-08,0.30060805941292956,2.1972746599699196e-07,0.20984668603351697,0.4191184636570112,1,True,2.5133576893677495e-07,True
