Batch,fase_proceso,c_consumido_kg,oferta_kg,utilizacion
AP0098,Fusión,5735.522488448381,7561.8378191041,0.7584826103990558
AP0098,Reducción,2856.8697529822866,2333.478364947954,1.224296653397944
AP0099,Fusión,6234.252033609911,7353.951614338595,0.8477417802769446
AP0099,Reducción,2728.3292563296395,2133.77680505984,1.2786385388855728
AP0100,Fusión,7197.583201493445,7475.854122106848,0.9627773741878499
AP0100,Reducción,2415.1251007535557,2060.9737040782416,1.171836931240084
AP0101,Fusión,7400.907553327396,7584.750618997387,0.9757614884252723
AP0101,Reducción,2392.1649854630177,2397.6961437585364,0.9976931362591891
AP0102,Fusión,6983.172865549486,7858.660631933905,0.8885958043757676
AP0102,Reducción,2980.846781552354,2093.9937047097264,1.4235223223679963
AP0103,Fusión,7786.227655300296,7524.716152708447,1.034753670076674
AP0103,Reducción,2104.4382378453906,2358.5282483828487,0.892267556807226
AP0104,Fusión,7945.376898088067,7614.967664328172,1.0433894467218392
AP0104,Reducción,2279.579174927853,2434.2081794715064,0.9364766720251407
AP0105,Fusión,7085.602237532716,6861.702992544895,1.0326302734512238
AP0105,Reducción,2857.6352220486083,2276.8081512913564,1.255105846501744
AP0106,Fusión,7322.321843610514,6615.2126111172,1.106891384156721
AP0106,Reducción,2846.311730829506,2398.2800944090104,1.1868137243289343
AP0107,Fusión,7883.334117087561,6805.220954074803,1.1584244171186258
AP0107,Reducción,1613.8503241703231,2339.3020067490934,0.689885410055744
AP0108,Fusión,7080.698077092997,6894.672639837587,1.026981039851051
AP0108,Reducción,2705.4573549057277,2246.3210600159496,1.2043947782275246
AP0109,Fusión,7304.477140841083,6653.712113530433,1.0978048067314647
AP0109,Reducción,2384.412790410899,2366.2346725414795,1.0076822971450652
AP0110,Fusión,8500.374045132063,7054.494458435411,1.2049586395191993
AP0110,Reducción,2021.3630554866825,2295.833911476682,0.8804482960993204
AP0111,Fusión,8395.853296743995,7458.454321164257,1.1256827400443759
AP0111,Reducción,2414.706477138395,2321.2468411237764,1.04026268743111
AP0112,Fusión,9098.813691182142,7460.607530323901,1.219580798775394
AP0112,Reducción,1933.3663850787175,1849.759943926877,1.045198535856686
AP0113,Fusión,9063.959992418702,8064.065891630638,1.1239937910013624
AP0113,Reducción,1793.670143142649,2196.0970079433864,0.8167536027119292
AP0114,Fusión,8710.558511413468,7887.385339416385,1.1043657861982932
AP0114,Reducción,2493.7608331190218,2135.123766946714,1.1679701531706372
AP0115,Fusión,8986.555745460364,7320.335995135328,1.2276152011919002
AP0115,Reducción,2368.3918364219894,2409.669612487632,0.9828699437251776
AP0116,Fusión,9064.627771150095,8313.491076241578,1.0903515367996397
AP0116,Reducción,1533.1494214569007,2192.451003546023,0.6992856027237178
AP0117,Fusión,5255.123686493194,7431.711692056792,0.7071215763267577
AP0117,Reducción,1469.0300910824335,2088.8109441259685,0.703285328532749
AP0118,Fusión,8845.505190587064,7629.964858888811,1.159311393194972
AP0118,Reducción,2065.045127504776,2556.760053906312,0.8076804565018622
AP0119,Fusión,8413.67028526896,7533.329037398647,1.1168595243218402
AP0119,Reducción,2407.523447378268,2273.4351319354955,1.0589804888466803
AP0120,Fusión,8463.95800426345,8064.381163854663,1.0495483574362443
AP0120,Reducción,2340.172458888055,2229.2653882003033,1.0497505013421877
AP0121,Fusión,8373.442887130697,7839.492840852259,1.0681102792129586
AP0121,Reducción,2906.391092008927,2324.969498868049,1.2500770842043103
AP0122,Fusión,8694.799498870412,8384.31579100537,1.0370314901781403
AP0122,Reducción,2089.60908621721,2204.6533198474845,0.9478175400211072
AP0123,Fusión,9202.548533474968,7131.020012698975,1.2904954013713326
AP0123,Reducción,1430.2655499034925,2257.9118583530576,0.6334461394550369
AP0124,Fusión,8747.074341875325,7458.029804127897,1.172839821186282
AP0124,Reducción,2267.4046000814806,2345.9305089568447,0.9665267540638781
AP0125,Fusión,7586.535359254619,7538.105165499975,1.0064247171790992
AP0125,Reducción,2788.1810571925794,2344.230818583213,1.1893799173230208
AP0126,Fusión,7477.546372903895,6667.965719472242,1.1214134396443372
