Batch,fecha_inicio,escalon_idx,fase_proceso,b6_masa_escoria_multioxido_kg,m_est_cao_kg,m_est_sio2_kg,m_est_al2o3_kg,m_est_mgo_kg
AP0007,2026-04-23 22:38:00,1,Fusión,49697.9752096862,49231.26117098287,49145.1823109993,53016.4461942111,49539.106313311735
AP0007,2026-04-23 23:08:00,2,Fusión,86340.61077518389,88297.50657923089,83793.78996288145,90023.28065008017,92178.38248409427
AP0007,2026-04-23 23:43:00,3,Fusión,118482.75245578334,116956.62615268673,117304.0677949211,123721.56617150082,126565.2777605021
AP0007,2026-04-24 00:23:00,4,Fusión,160925.3544891987,158806.27316958946,158906.50231588562,167411.1184950293,178585.2924240394
AP0007,2026-04-24 01:08:00,5,Fusión,193055.70580722348,178367.8973879935,196215.15805990977,206265.52912188132,213055.5297457355
AP0007,2026-04-24 01:58:00,6,Fusión,242852.42127676992,229107.0732773797,245969.009282667,252481.61979857043,267384.3169802119
AP0007,2026-04-24 02:53:00,7,Fusión,284449.45309264626,276520.52401896805,284469.9873393938,293474.01652325765,308708.8697542401
AP0007,2026-04-24 04:11:00,8,Reducción,257503.22668361207,202588.1915188988,279029.01230523887,284414.90488689725,286792.1389914244
AP0007,2026-04-24 04:41:00,9,Reducción,248638.42844585382,227089.0823745785,256294.1473165039,261843.4261091864,261577.74931928905
AP0007,2026-04-24 05:06:00,10,Reducción,248350.6174156483,232006.74755277397,253801.55426828816,258889.94634488766,260657.92533694927
AP0007,2026-04-24 05:26:00,11,Reducción,244042.62366773636,229960.6068367173,248964.50354621522,252327.77819417953,254353.35652727625
AP0008,2026-04-24 07:23:00,1,Fusión,25214.2027670712,24709.878900288964,25004.50080997927,28200.32072109692,22401.476585410128
AP0008,2026-04-24 07:53:00,2,Fusión,56686.95110907369,54488.63541633853,56689.69949897477,60868.68917940378,58779.94743885073
AP0008,2026-04-24 08:28:00,3,Fusión,84637.37351816357,80915.51738229294,85082.12477350877,89689.66633317174,88923.14704405212
AP0008,2026-04-24 09:08:00,4,Fusión,122715.97897250309,120805.19939413907,121979.04774681065,127277.95874672626,130174.31002768481
AP0008,2026-04-24 09:53:00,5,Fusión,170688.57022650543,163638.9455622198,171595.8224551852,177683.35028934508,185238.19944062678
AP0008,2026-04-24 10:43:00,6,Fusión,212381.30843576934,202738.045962144,214065.4274546038,219926.58917844552,232980.1521792218
AP0008,2026-04-24 11:38:00,7,Fusión,267201.67159173306,288646.5875707185,257055.80582061713,255840.01528591185,277462.94502941985
AP0008,2026-04-24 12:58:00,8,Reducción,236959.37070964187,248650.6234195062,230019.97600151022,240097.69434508553,232275.86126488633
AP0008,2026-04-24 13:28:00,9,Reducción,233930.36725154132,231480.06929454723,234319.26492467368,235266.7723901326,241211.40772964072
AP0008,2026-04-24 13:53:00,10,Reducción,232588.64210081604,226439.38106642562,233664.1570886902,241573.1945895416,234114.26678736022
AP0008,2026-04-24 14:13:00,11,Reducción,229854.18523994312,223379.92149804783,230844.1258662512,240599.56166528785,229470.72548629667
AP0009,2026-04-24 15:46:00,1,Fusión,50666.81611375887,46152.677513517854,52258.94116533674,56144.00258624494,45975.49714638289
AP0009,2026-04-24 16:11:00,2,Fusión,93157.38093424734,84825.59474528018,95469.77312694746,102015.61355758684,94931.59629823636
AP0009,2026-04-24 16:41:00,3,Fusión,141713.33717087464,135026.20540274004,142571.0248422642,151526.8171900634,146718.38098630705
AP0009,2026-04-24 17:16:00,4,Fusión,192576.8546418514,174301.43626781745,197848.1731319202,208602.4680523493,203712.4212274151
AP0009,2026-04-24 17:56:00,5,Fusión,213284.06371332993,197180.48687467646,217735.8861368388,226265.31428232655,228407.69600204722
AP0009,2026-04-24 18:41:00,6,Fusión,259836.43516866455,226019.60513083515,271655.9033570576,285043.15093875,269845.5436727159
AP0009,2026-04-24 19:31:00,7,Fusión,345673.05441844265,281695.5075435554,368993.23746522935,390805.13568818296,361052.6850062458
AP0009,2026-04-24 20:55:00,8,Reducción,320833.5140216952,256768.12758581634,345847.1559908898,360500.83896028606,333125.8103143546
AP0009,2026-04-24 21:25:00,9,Reducción,316088.59649875405,255718.5293093978,339783.32502872846,350485.5212330912,334579.7418371335
AP0009,2026-04-24 21:50:00,10,Reducción,304861.5055115217,256166.13470462404,323403.6742161768,336422.79048462317,315513.24029984785
AP0009,2026-04-24 22:10:00,11,Reducción,,,,,
AP0010,2026-04-24 23:48:00,1,Fusión,33102.47114276412,27077.079846982022,35512.40639965947,37394.66741748382,32061.340901676987
AP0010,2026-04-25 00:18:00,2,Fusión,67233.9952287516,50613.628708512886,73931.8204568384,76920.74041141776,69783.38016076211
AP0010,2026-04-25 00:53:00,3,Fusión,110036.90169738824,83381.36687529039,120344.04968442404,125557.48877558691,118997.38592899413
AP0010,2026-04-25 01:33:00,4,Fusión,159517.04074521246,126721.01584705574,172433.5735001155,176688.62485963217,173276.32098638063
AP0010,2026-04-25 02:18:00,5,Fusión,201598.04352334442,159402.57814898182,217815.84209313913,225734.41270649488,218076.47027330654
AP0010,2026-04-25 03:08:00,6,Fusión,258192.32060902068,205734.12589210394,278904.7040770111,285743.2191392297,279388.169805943
AP0010,2026-04-25 04:03:00,7,Fusión,353553.7848474768,257091.88729123268,392248.71404061624,400454.2045910837,396218.0431402119
AP0010,2026-04-25 05:30:00,8,Reducción,322743.42362249165,239677.10087484523,355638.22000348906,366907.9231794943,353731.037792524
AP0010,2026-04-25 06:00:00,9,Reducción,298732.7337084933,235290.34847758777,324862.8707657828,330618.23154156964,316341.95789544575
AP0010,2026-04-25 06:25:00,10,Reducción,288231.67583043606,234718.6067816466,305133.7251493267,333584.78240558057,308906.9578000718
AP0010,2026-04-25 06:45:00,11,Reducción,288287.8817575671,231233.69802574062,308854.0344062823,329196.4036733932,302728.93977401877
AP0011,2026-04-25 08:29:00,1,Fusión,53520.70505565196,37270.20908833268,60403.26805544371,61106.32769206695,57542.20864144742
AP0011,2026-04-25 08:59:00,2,Fusión,100197.71553217796,76216.36109223588,109991.48533172574,111410.59195162555,110114.63739948596
AP0011,2026-04-25 09:34:00,3,Fusión,151437.25697374652,129620.7898251126,159806.09982319316,162458.48355859987,164188.5155898197
AP0011,2026-04-25 10:14:00,4,Fusión,206853.17777693452,178423.53432764372,217992.74007729808,220142.5478166144,223850.61810962856
AP0011,2026-04-25 10:59:00,5,Fusión,246997.18672234067,206268.8474545069,264726.4127211841,269768.4934849422,241304.2772630375
AP0011,2026-04-25 11:49:00,6,Fusión,312036.10380441166,273481.8484388647,326541.093526689,330363.6814055878,340923.709588287
AP0011,2026-04-25 12:44:00,7,Fusión,334249.05316101894,323367.17865901475,338050.68433714274,336808.8387643786,352909.90683227975
AP0011,2026-04-25 13:25:00,8,Reducción,319275.98410161026,290556.6114649672,332392.0814477683,318261.7687018075,355854.9131227702
AP0011,2026-04-25 13:55:00,9,Reducción,310831.76693320635,280985.7260710997,323500.2820572254,321882.90038476756,325910.6502446011
AP0011,2026-04-25 14:20:00,10,Reducción,309710.3437982515,275563.57772196806,324187.47637490224,324095.1140000971,322312.908140443
AP0011,2026-04-25 14:40:00,11,Reducción,304230.287980363,266886.5502019643,320673.1876142686,318189.96648005996,316152.87955280126
AP0012,2026-04-25 15:58:00,1,Fusión,64393.28431512147,62410.5835681152,65151.320506487165,66293.4308603705,63084.35478748908
AP0012,2026-04-25 16:28:00,2,Fusión,114841.4186584461,111405.82919977591,115672.75686969432,117811.78326862038,118825.74873300354
AP0012,2026-04-25 17:03:00,3,Fusión,159988.36228186535,162165.75376171505,157789.9087552492,161448.9731933537,166749.6744077382
AP0012,2026-04-25 17:43:00,4,Fusión,206523.2470446364,203772.18714827736,206924.98824455077,211055.01687345217,206665.3307622327
AP0012,2026-04-25 18:28:00,5,Fusión,258585.22432414957,241927.14403823344,264427.6688449436,270845.5081893876,263725.83180997503
AP0012,2026-04-25 19:18:00,6,Fusión,332616.70946106996,326526.8386346773,333391.611820757,337429.6957898629,348698.9694384091
AP0012,2026-04-25 20:13:00,7,Fusión,368880.0317754346,363714.0250979657,368671.42975899635,372946.2607990652,392190.29307106644
AP0012,2026-04-25 21:06:00,8,Reducción,335732.1572746259,330750.92314845975,337418.9059190508,338269.2030956326,341075.8694556468
AP0012,2026-04-25 21:36:00,9,Reducción,320958.9109814528,312198.8160360674,321918.9552337076,334732.99333057815,326781.0061730435
AP0012,2026-04-25 22:01:00,10,Reducción,303473.9870250727,299326.4671929155,302778.5163853108,317356.42198887153,298561.1181850794
AP0012,2026-04-25 22:21:00,11,Reducción,,,,,
AP0013,2026-04-25 23:58:00,1,Fusión,52608.13179301628,52751.17472273426,52585.15959469919,53203.131816074994,50316.58228841671
AP0013,2026-04-26 00:23:00,2,Fusión,85868.84370561951,71021.00531796634,90961.8617148585,93969.57347058495,99576.71751200304
AP0013,2026-04-26 00:53:00,3,Fusión,139111.7573766396,122126.70687527461,146823.90587496056,149040.7076395402,131997.36674299187
AP0013,2026-04-26 01:28:00,4,Fusión,197361.82940992492,189178.0258522975,199699.86595086637,203178.05467161504,206376.2365743853
AP0013,2026-04-26 02:08:00,5,Fusión,272719.83696634363,282199.81768249226,267207.52608471387,266840.6818526472,291048.8426021234
AP0013,2026-04-26 02:53:00,6,Fusión,309458.55029422865,304674.75062907755,310069.65192999976,312597.10570440476,323849.0705534763
AP0013,2026-04-26 03:43:00,7,Fusión,396762.27025129856,418020.3120091528,390466.9127517894,365806.8390747667,419835.23474962095
AP0013,2026-04-26 04:50:00,8,Reducción,358944.4748552101,372942.86818154814,355120.8180967756,337755.44826831156,372797.99884514365
AP0013,2026-04-26 05:20:00,9,Reducción,326623.968180948,315935.20915549155,331737.20293087437,327260.1725063723,334847.7584091344
AP0013,2026-04-26 05:45:00,10,Reducción,320395.5318296853,304337.5912823581,324879.8884361695,338268.431027667,321284.5335173721
AP0013,2026-04-26 06:05:00,11,Reducción,315114.3622652211,302141.918523029,318592.38879842503,332513.32923379587,309216.9325945037
AP0014,2026-04-26 08:14:00,1,Fusión,52098.975625616426,49241.516950546604,53377.81266833061,54017.846923797544,50418.593819697606
AP0014,2026-04-26 08:39:00,2,Fusión,95248.60009299092,86415.16128311229,98677.09118625472,100027.50726092991,99088.5050408595
AP0014,2026-04-26 09:09:00,3,Fusión,145549.24245863027,138264.32636846692,148666.72584830457,149057.5219346906,146696.0429256021
AP0014,2026-04-26 09:44:00,4,Fusión,196997.95959513867,182096.1498387002,203505.40966527228,202136.3249832805,203556.0326043338
AP0014,2026-04-26 10:24:00,5,Fusión,237224.60563688944,233618.89802509724,239257.70001409086,237061.35919870896,237623.80301440918
AP0014,2026-04-26 11:09:00,6,Fusión,263698.6043531989,249037.46075994082,270627.1099561101,269742.2209783272,261559.53226446948
AP0014,2026-04-26 11:59:00,7,Fusión,369514.1336541108,350340.8775267662,376228.48990766524,382161.81846990593,379610.5682555324
AP0014,2026-04-26 13:37:00,8,Reducción,333595.6991307874,303219.8117961687,347838.97597011644,344321.63164369715,335392.1064437487
AP0014,2026-04-26 14:07:00,9,Reducción,319281.8075981054,288604.0273546188,331137.6348228802,344402.9707851192,309505.51165846986
AP0014,2026-04-26 14:32:00,10,Reducción,317421.0727125881,285628.6189325297,329948.09465163096,341869.4416043607,309022.64037144236
AP0014,2026-04-26 14:52:00,11,Reducción,,,,,
AP0015,2026-04-26 16:09:00,1,Fusión,56822.37753181863,50680.43496564611,59628.884024654486,59985.31874885659,55240.165269337354
AP0015,2026-04-26 16:34:00,2,Fusión,97773.10401907441,93750.04825798787,100044.1895269551,100082.71337204061,91267.3375689512
AP0015,2026-04-26 17:04:00,3,Fusión,147293.28993377282,145909.27900562945,147672.1008730962,149249.61749409477,146300.10457462544
AP0015,2026-04-26 17:39:00,4,Fusión,205964.08165894996,204857.9923435473,205245.3998772009,208467.31022597314,213909.08032458604
AP0015,2026-04-26 18:19:00,5,Fusión,248246.45703347732,256866.9501305857,241670.89923592095,250721.9278833297,260553.82056647495
AP0015,2026-04-26 19:04:00,6,Fusión,303400.22844939167,265296.8963345661,320461.5780184196,325159.16960242495,291534.0001972046
AP0015,2026-04-26 19:54:00,7,Fusión,374211.51219376066,343329.41321298195,385006.8599798863,395559.14674712875,387977.33721842966
AP0015,2026-04-26 21:04:00,8,Reducción,334123.9593359884,305315.42126041214,346333.6282511396,348658.5133341043,338140.5732563362
AP0015,2026-04-26 21:34:00,9,Reducción,320234.48281164496,297735.05285155145,331156.06527510536,326649.11718219606,321686.57499447267
AP0015,2026-04-26 21:59:00,10,Reducción,316459.51192586275,301603.9954465643,319727.64741435036,336696.6497819317,316779.6015603131
AP0015,2026-04-26 22:19:00,11,Reducción,314828.5770592482,296589.149739361,319250.8540508453,337696.9918966943,316165.2122423355
AP0016,2026-04-27 00:15:00,1,Fusión,56787.21520742599,54248.32249462155,57724.1441579022,59396.83042878428,54996.041820055965
AP0016,2026-04-27 00:40:00,2,Fusión,100579.97611092015,88467.23389053863,105547.56877762862,107066.31098975126,103071.54402812391
AP0016,2026-04-27 01:10:00,3,Fusión,150280.3103914814,137775.56821871598,154739.24253742522,159094.11625989326,154408.4643818561
AP0016,2026-04-27 01:45:00,4,Fusión,205605.575383027,188885.8287530531,211779.83202855673,214950.10921021624,215544.10179450776
AP0016,2026-04-27 02:25:00,5,Fusión,270490.9209391703,254475.89495584223,277333.1724292882,279186.30337333813,270405.97668319405
AP0016,2026-04-27 03:10:00,6,Fusión,249171.41237955613,222008.93026563493,262007.6737976193,258343.57289561426,250833.57506847774
AP0016,2026-04-27 04:00:00,7,Fusión,381156.87129963934,322579.0633389228,407167.8695354254,407754.1587654896,384375.72547357815
AP0016,2026-04-27 05:47:00,8,Reducción,333770.3993560879,288928.9488592801,354789.00619949336,353843.1267771629,324731.8127536456
AP0016,2026-04-27 06:17:00,9,Reducción,328328.70329520263,288527.3632119674,347433.8603968427,343268.58313483506,323307.88924266474
AP0016,2026-04-27 06:42:00,10,Reducción,316179.8727547996,285622.56321597105,325531.50866766763,350138.1292701471,308927.50135353487
AP0016,2026-04-27 07:02:00,11,Reducción,,,,,
AP0017,2026-04-27 08:28:00,1,Fusión,51790.96670304369,42463.07783329001,56166.39965373024,56128.89450618845,49424.551011529235
AP0017,2026-04-27 08:53:00,2,Fusión,99634.56295870608,91780.44855154559,103105.5637291307,102898.50549168239,101089.5957404734
AP0017,2026-04-27 09:23:00,3,Fusión,152431.36998159785,151342.90798710196,152747.97395812153,153649.21788509822,152333.5246427664
AP0017,2026-04-27 09:58:00,4,Fusión,176113.9694991313,161657.07531388148,181772.0159013798,184797.57287213064,179481.2554291824
AP0017,2026-04-27 10:38:00,5,Fusión,210022.2126461576,187354.26502861627,219135.61767022574,221227.98162458272,219309.6933816305
AP0017,2026-04-27 11:23:00,6,Fusión,245304.7727688188,230794.35647078216,250002.33534887448,256345.87316149657,253130.01154015693
AP0017,2026-04-27 12:13:00,7,Fusión,388038.5759584423,364375.83716835757,397349.0631953237,398156.9856321691,404374.14167076995
AP0017,2026-04-27 13:56:00,8,Reducción,339917.4162346679,302133.01194824727,355539.39029985975,358547.36329733714,350742.6004596953
AP0017,2026-04-27 14:26:00,9,Reducción,316868.94714621454,285570.68585200276,331395.0026280435,330769.92743589636,312468.6296322651
AP0017,2026-04-27 14:51:00,10,Reducción,313975.4257408729,285009.85105630645,327564.01549992134,326867.9127619408,308213.47291590855
AP0017,2026-04-27 15:11:00,11,Reducción,318172.24103160127,287089.52616329567,332137.0218710825,332525.0349318424,317406.1054636051
AP0018,2026-04-27 16:47:00,1,Fusión,50326.51660169148,43303.74132000943,53720.50915798337,54250.06145479432,45609.09800589753
AP0018,2026-04-27 17:12:00,2,Fusión,97392.67133625744,90121.29968902004,100147.35678814875,102461.27061203844,98151.6855666401
AP0018,2026-04-27 17:42:00,3,Fusión,138697.36934222747,135286.38030470815,138996.2311634908,143177.87660870107,144249.51040581556
AP0018,2026-04-27 18:17:00,4,Fusión,191710.0299215826,176672.81200881163,197322.1643108738,202232.03067722372,194107.8132297184
AP0018,2026-04-27 18:57:00,5,Fusión,240193.58674038263,225782.50100378663,243709.94927042685,253677.36514655122,253737.23779870308
AP0018,2026-04-27 19:42:00,6,Fusión,285104.8312004004,279286.575333372,284011.7278466062,298561.1298616539,296235.9157968929
AP0018,2026-04-27 20:32:00,7,Fusión,388070.84677941154,381901.99559575,385714.0230627069,402155.22688411013,413689.81879429484
AP0018,2026-04-27 21:56:00,8,Reducción,326562.1462575652,316839.20670173503,330282.88669315836,331540.39566395996,332160.4875127045
AP0018,2026-04-27 22:26:00,9,Reducción,317932.3977778576,302504.52171837405,320393.8199921978,342277.4924995013,319382.2243190612
AP0018,2026-04-27 22:51:00,10,Reducción,312548.1135191281,313049.77044118365,307472.18581328954,326129.3213136219,328086.3772808933
AP0018,2026-04-27 23:11:00,11,Reducción,312181.22118943493,302700.1468007458,310291.2629226728,338730.46469824645,318689.57378051156
AP0019,2026-04-28 00:59:00,1,Fusión,58079.62946249705,58049.57059757294,57972.82231132684,58851.346052343884,57310.58629836703
AP0019,2026-04-28 01:24:00,2,Fusión,103609.72203720882,108696.85514748438,100813.53573531189,103177.53647023164,104084.39224955517
AP0019,2026-04-28 01:54:00,3,Fusión,150395.6312304296,141046.7986343311,153343.7318180462,155933.75053370235,160685.497028992
AP0019,2026-04-28 02:29:00,4,Fusión,188294.33066073147,194511.51636431547,184542.46578408437,189154.8298788913,188734.03192563276
AP0019,2026-04-28 03:09:00,5,Fusión,248900.15959312825,254487.47624649174,245735.3252339372,247072.5894694065,254220.84039984405
AP0019,2026-04-28 03:54:00,6,Fusión,278559.39325304294,279582.0486103846,276257.6068185081,282115.453215001,287865.25775904953
AP0019,2026-04-28 04:44:00,7,Fusión,345591.9554545557,327712.19062515924,351449.27688002697,364172.0077944612,340647.8799666414
AP0019,2026-04-28 06:12:00,8,Reducción,323061.71828801045,297569.67433971574,333724.1523430521,335847.22307321633,328400.2123943738
AP0019,2026-04-28 06:42:00,9,Reducción,314378.5511129811,297042.3820131866,320666.47820445633,328147.71754444815,314616.06688289664
AP0019,2026-04-28 07:07:00,10,Reducción,305970.5553235774,299446.5304066735,304073.8032454926,328868.40465988306,304215.59709876426
AP0019,2026-04-28 07:27:00,11,Reducción,304604.0564615855,293132.8020506069,304554.32358087227,331258.2293356376,302812.61499909265
AP0020,2026-04-28 08:52:00,1,Fusión,54307.53031999385,51410.33523524956,55489.19229582727,56913.7685529724,52045.87144322283
AP0020,2026-04-28 09:17:00,2,Fusión,97362.0236186601,99482.31382593479,96320.17067939731,97743.21249229938,94627.49561044811
AP0020,2026-04-28 09:47:00,3,Fusión,145945.42402156175,154136.97523773095,141604.8311693918,144748.00346289005,146303.20660759174
AP0020,2026-04-28 10:22:00,4,Fusión,186591.31385063656,191151.62058417193,184325.51444694036,186044.28505155927,184784.47013787917
AP0020,2026-04-28 11:02:00,5,Fusión,241589.1856512363,235114.78163764352,243355.2663789154,248323.14998872983,243725.63504671887
AP0020,2026-04-28 11:47:00,6,Fusión,282522.7496327506,277707.1169492294,282691.12489526847,289332.4841504588,291833.68843870296
AP0020,2026-04-28 12:37:00,7,Fusión,362494.6746589628,364253.20637341205,358541.82886030304,371513.6243078905,370371.7224039653
AP0020,2026-04-28 14:01:00,8,Reducción,311862.8500442027,300587.58131166134,316569.9755924833,320181.5115011554,306924.49170571094
