target,version,columna,kpi,muestra,n,rho,p_rho,ci_low,ci_high,p_bh
ln_feo_ret,single,st_R21_ln_feo_ret,rendimiento_proxy_batch,dev,286,0.3154044928114248,5.026715378735499e-08,0.20624897714162466,0.40930514420537545,2.0106861514941997e-07
ln_feo_ret,single,st_R21_ln_feo_ret,rendimiento_proxy_batch,lockbox,63,-0.061011904761904774,0.6347780690262769,-0.2991920326285769,0.17245664993859944,
ln_feo_ret,single,st_R21_ln_feo_ret,rendimiento_proxy_batch,total,349,0.24361342046946233,4.138582715795068e-06,0.14460037047002677,0.3365051326049846,
ln_feo_ret,single,st_R21_ln_feo_ret,f_metal,dev,286,0.3154044928114248,5.026715378735499e-08,0.22014475844924372,0.4119658298173333,
ln_feo_ret,single,st_R21_ln_feo_ret,f_metal,lockbox,63,-0.061011904761904774,0.6347780690262769,-0.290585306111897,0.1850173618316444,
ln_feo_ret,single,st_R21_ln_feo_ret,f_metal,total,349,0.24361342046946233,4.138582715795068e-06,0.1450382681929892,0.3355701397767281,
ln_feo_ret,single,st_R21_ln_feo_ret,f_dross,dev,286,-0.184230916708452,0.0017551749813624438,-0.28968113404955,-0.06817095250612769,
ln_feo_ret,single,st_R21_ln_feo_ret,f_dross,lockbox,63,0.011664746543778803,0.9277030996942577,-0.24424341739522484,0.24227272205370992,
ln_feo_ret,single,st_R21_ln_feo_ret,f_dross,total,349,-0.13480288509040608,0.011708605409881629,-0.22758439919729803,-0.026205846186625664,
ln_feo_ret,single,st_R21_ln_feo_ret,f_polvo,dev,286,-0.1888650502257691,0.001332264026017506,-0.2887267921872261,-0.07864237472435326,
ln_feo_ret,single,st_R21_ln_feo_ret,f_polvo,lockbox,63,0.016561059907834103,0.8974954421498984,-0.24682738645470798,0.26704444391007737,
ln_feo_ret,single,st_R21_ln_feo_ret,f_polvo,total,349,-0.1537219642327833,0.003994585339031224,-0.24384939568394517,-0.05467223598530955,
ln_feo_ret,single,st_R21_ln_feo_ret,recuperacion_real_pct,dev,286,0.09598950471864463,0.10524016270144002,-0.019120384994144098,0.20312043855360032,
ln_feo_ret,single,st_R21_ln_feo_ret,recuperacion_real_pct,lockbox,63,0.10167050691244242,0.42784629508197014,-0.1339761285992535,0.35539647221215553,
ln_feo_ret,single,st_R21_ln_feo_ret,recuperacion_real_pct,total,349,0.08577187460301776,0.10969817377470012,-0.017559332773237145,0.2010669202903524,
feo_ext,multi,b6_feo_extraido_multi_kg,rendimiento_proxy_batch,dev,297,0.15018633642794718,0.009540089847153444,0.043208856023822365,0.25115454457990827,0.012720119796204592
feo_ext,multi,b6_feo_extraido_multi_kg,rendimiento_proxy_batch,lockbox,63,-0.20646121351766517,0.10449035023555274,-0.41095906894008016,0.030248173058814724,
feo_ext,multi,b6_feo_extraido_multi_kg,rendimiento_proxy_batch,total,360,0.08887131330745864,0.09224289660566418,-0.011791339445281476,0.19090384227739512,
feo_ext,multi,b6_feo_extraido_multi_kg,f_metal,dev,297,0.15018633642794718,0.009540089847153444,0.03470633365000725,0.24863167861850916,
feo_ext,multi,b6_feo_extraido_multi_kg,f_metal,lockbox,63,-0.20646121351766517,0.10449035023555274,-0.42747760693606285,0.02718478397776602,
feo_ext,multi,b6_feo_extraido_multi_kg,f_metal,total,360,0.08887131330745864,0.09224289660566418,-0.00940503844916447,0.18762555539549483,
feo_ext,multi,b6_feo_extraido_multi_kg,f_dross,dev,297,-0.09617442335563141,0.0980691141037087,-0.20250364977496907,0.024379130853156974,
feo_ext,multi,b6_feo_extraido_multi_kg,f_dross,lockbox,63,0.0697484639016897,0.5870007301342269,-0.17146886566933003,0.31659653363155804,
feo_ext,multi,b6_feo_extraido_multi_kg,f_dross,total,360,-0.05650840927270529,0.284935629685016,-0.15392133152244417,0.03671334709712027,
feo_ext,multi,b6_feo_extraido_multi_kg,f_polvo,dev,297,-0.07963637829409642,0.17105681674249118,-0.1907984455328325,0.03810471395821725,
feo_ext,multi,b6_feo_extraido_multi_kg,f_polvo,lockbox,63,0.13205645161290322,0.30221130362502063,-0.11041459181301624,0.3685901673661906,
feo_ext,multi,b6_feo_extraido_multi_kg,f_polvo,total,360,-0.045706885598397105,0.38722371304892045,-0.1487792553701253,0.061272744397189355,
feo_ext,multi,b6_feo_extraido_multi_kg,recuperacion_real_pct,dev,297,0.040723762200272275,0.4844575596173759,-0.058807522676876015,0.14564176891707348,
feo_ext,multi,b6_feo_extraido_multi_kg,recuperacion_real_pct,lockbox,63,0.027457757296466972,0.8308471424877424,-0.20937965277157988,0.24861755886473935,
feo_ext,multi,b6_feo_extraido_multi_kg,recuperacion_real_pct,total,360,0.03395885256316278,0.5206989427469584,-0.06585117672786811,0.1394028879294543,
feo_ext,single,st_R02_feo_ret,rendimiento_proxy_batch,dev,297,0.2740171532117841,1.630877218518332e-06,0.14940219287455217,0.3832738129956163,4.349005916048885e-06
feo_ext,single,st_R02_feo_ret,rendimiento_proxy_batch,lockbox,63,-0.13628072196620586,0.2868704033684845,-0.35427779442030066,0.1177360811661694,
feo_ext,single,st_R02_feo_ret,rendimiento_proxy_batch,total,360,0.20513738531933118,8.838596161671033e-05,0.10925358719396785,0.2972832807545517,
feo_ext,single,st_R02_feo_ret,f_metal,dev,297,0.2740171532117841,1.630877218518332e-06,0.16680109866733211,0.36800408978259314,
feo_ext,single,st_R02_feo_ret,f_metal,lockbox,63,-0.13628072196620586,0.2868704033684845,-0.35397782883858414,0.12018737469561562,
feo_ext,single,st_R02_feo_ret,f_metal,total,360,0.20513738531933118,8.838596161671033e-05,0.11693047887186557,0.29167360442601226,
feo_ext,single,st_R02_feo_ret,f_dross,dev,297,-0.2007949071707461,0.0004988611828071085,-0.3165895197093094,-0.08985339833439877,
feo_ext,single,st_R02_feo_ret,f_dross,lockbox,63,0.1274961597542243,0.31935903111081687,-0.12760540880480625,0.36018834410721323,
feo_ext,single,st_R02_feo_ret,f_dross,total,360,-0.13330041126860545,0.011350800670321928,-0.23665749859114016,-0.02962629267085079,
feo_ext,single,st_R02_feo_ret,f_polvo,dev,297,-0.1220631858215751,0.03550105407715419,-0.23207953520966929,-0.011404147367041002,
feo_ext,single,st_R02_feo_ret,f_polvo,lockbox,63,-0.014352918586789555,0.9111031688125001,-0.24941386490501205,0.22852597196574442,
feo_ext,single,st_R02_feo_ret,f_polvo,total,360,-0.10956643183975183,0.03771795852909749,-0.21116255731857056,-0.006203644010531318,
feo_ext,single,st_R02_feo_ret,recuperacion_real_pct,dev,297,0.0714427056708936,0.21959771155777683,-0.05226398303315873,0.1773239446794768,
feo_ext,single,st_R02_feo_ret,recuperacion_real_pct,lockbox,63,0.013728878648233486,0.9149536154141559,-0.24437072347300215,0.2740717775797333,
feo_ext,single,st_R02_feo_ret,recuperacion_real_pct,total,360,0.05918461304999781,0.2627027900034702,-0.04983310332375591,0.15448415783914465,
sn_ext,multi,b6_sn_extraido_multi_kg,rendimiento_proxy_batch,dev,297,0.052303371095317415,0.3690822021123753,-0.05609804330124299,0.15779525460054156,0.4218082309855718
sn_ext,multi,b6_sn_extraido_multi_kg,rendimiento_proxy_batch,lockbox,63,0.03739439324116744,0.771076570072161,-0.21809097192052315,0.28521299476804296,
sn_ext,multi,b6_sn_extraido_multi_kg,rendimiento_proxy_batch,total,360,0.06547890030015663,0.21520313635585925,-0.0376777327857864,0.1595742322356752,
sn_ext,multi,b6_sn_extraido_multi_kg,f_metal,dev,297,0.052303371095317415,0.3690822021123753,-0.05820483215372318,0.16079422826029768,
sn_ext,multi,b6_sn_extraido_multi_kg,f_metal,lockbox,63,0.03739439324116744,0.771076570072161,-0.2179543255764859,0.3091086099532632,
sn_ext,multi,b6_sn_extraido_multi_kg,f_metal,total,360,0.06547890030015663,0.21520313635585925,-0.03213853803714708,0.17483663942962657,
