target,kpi,variante,muestra,n,coef,ci_low,ci_high,p,r2_adj
st_F10_irf_next,recuperacion_real_pct,B_controles_idx,total,360,1.3746450612685777,0.78200170907302,1.9672884134641353,5.463206200627175e-06,0.16085603847192065
st_F10_irf_next,recuperacion_real_pct,C_solo,dev,298,1.335920820410132,0.72045302919602,1.9513886116242443,2.0974652524445846e-05,0.06064873897491274
st_F10_irf_next,recuperacion_real_pct,C_solo,lockbox,63,1.5891783361619385,0.3990769549625066,2.77927971736137,0.008865460472260453,0.08509556478100433
st_F10_irf_next,recuperacion_real_pct,C_solo,total,361,1.4374838378067294,0.881084086275043,1.9938835893384157,4.1129303574184604e-07,0.07429220274550086
st_F01_sn_ext,recuperacion_refinada_pct,A_controles,dev,297,-0.043876653645788646,-0.6807257600213295,0.5929724527297522,0.8925845222742889,0.0006050374435143668
st_F01_sn_ext,recuperacion_refinada_pct,A_controles,lockbox,63,1.7485270195690306,0.7199539577713998,2.7771000813666613,0.0008627109534339183,0.1351664166227945
st_F01_sn_ext,recuperacion_refinada_pct,A_controles,total,360,0.11713622252626421,-0.4821540729174151,0.7164265179699435,0.7016522196871542,0.004248560985277483
st_F01_sn_ext,recuperacion_refinada_pct,B_controles_idx,dev,297,0.02731353532638529,-0.6355535268249078,0.6901805974776783,0.9356323376769815,0.0005788654441316599
st_F01_sn_ext,recuperacion_refinada_pct,B_controles_idx,lockbox,63,1.6913916721197695,0.6611454136076236,2.7216379306319154,0.0012920393473773565,0.1304531302460843
st_F01_sn_ext,recuperacion_refinada_pct,B_controles_idx,total,360,0.21588289282244078,-0.3980261194057786,0.8297919050506601,0.49068039956599463,0.010791899367786018
st_F01_sn_ext,recuperacion_refinada_pct,C_solo,dev,298,0.05830163840117347,-0.5190152887405692,0.6356185655429163,0.8430987854708015,-0.003200501286179991
st_F01_sn_ext,recuperacion_refinada_pct,C_solo,lockbox,63,1.3332999760617623,0.10253573701514695,2.5640642151083775,0.03373292423976051,0.04798524689442929
st_F01_sn_ext,recuperacion_refinada_pct,C_solo,total,361,0.1378258949013953,-0.4071209675901938,0.6827727573929844,0.6201013861688778,-0.001836012245091112
st_F01_sn_ext,sn_perdido_escoria_frac,A_controles,dev,297,0.0012967160289481439,0.000402933494580276,0.002190498563316012,0.004461379115072033,0.07352027091068636
st_F01_sn_ext,sn_perdido_escoria_frac,A_controles,lockbox,63,-0.0012029903303813995,-0.005431208328746047,0.003025227667983248,0.5770911674653965,-0.016037685005422686
st_F01_sn_ext,sn_perdido_escoria_frac,A_controles,total,360,0.00105145597151861,0.00016823153075155666,0.0019346804122856635,0.019633103330345247,0.035467531454139944
st_F01_sn_ext,sn_perdido_escoria_frac,B_controles_idx,dev,297,0.00119226011699664,0.0002917712552972131,0.0020927489786960666,0.009458532824812528,0.07354975934898456
st_F01_sn_ext,sn_perdido_escoria_frac,B_controles_idx,lockbox,63,-0.0008625562050244284,-0.004420633958610935,0.002695521548562078,0.63468838485353,0.029691393670668975
st_F01_sn_ext,sn_perdido_escoria_frac,B_controles_idx,total,360,0.0008563019970752606,-0.00014830656692906257,0.0018609105610795837,0.09479638276545317,0.045594912470879545
st_F01_sn_ext,sn_perdido_escoria_frac,C_solo,dev,298,0.0011575492972706889,0.00035087118382767855,0.001964227410713699,0.004916318927138024,0.027722928178665063
st_F01_sn_ext,sn_perdido_escoria_frac,C_solo,lockbox,63,-0.0015313274752516751,-0.006978627067089224,0.003915972116585875,0.5816481939163873,-0.002446057907861121
st_F01_sn_ext,sn_perdido_escoria_frac,C_solo,total,361,0.0008412251265363167,-0.0001303829891941016,0.0018128332422667351,0.08970600512125271,0.009792130549076794
st_F01_sn_ext,rendimiento_proxy_batch,A_controles,dev,297,0.04543544698169998,-0.6011481286618314,0.6920190226252314,0.8904563954757934,0.0023207692561399984
st_F01_sn_ext,rendimiento_proxy_batch,A_controles,lockbox,63,1.7008807403060864,0.7243170251034798,2.677444455508693,0.0006409446250793431,0.13017119443031744
