Batch,masa_escoria_multioxido_kg,masa_escoria_balance_kg,masa_escoria_trazador_kg,factor_multioxido_vs_balance,factor_multioxido_vs_trazador
AP0024,290583.5496950521,58444.20376339633,55245.403539444094,4.971982352115556,5.259868352442775
AP0025,292034.5091208688,59726.15587215866,51652.66290213328,4.889558098230136,5.653813234647534
AP0026,279602.0979950922,59238.92438174286,52462.6196200779,4.719905044077137,5.329548924927989
AP0027,278088.774068675,54407.1889273052,49881.69150959331,5.111250545221815,5.574966799495816
AP0028,279684.766937063,53966.166897001895,49422.04721780065,5.182594633242351,5.65910929801239
AP0029,283861.208080155,54850.674960571065,53425.80325433873,5.175163446652319,5.313185591778679
AP0030,280236.3298162236,52078.36288005014,50720.77538963075,5.3810510607193995,5.52507976590426
AP0031,263134.473430703,44740.24928084815,46675.990418753434,5.881381477759051,5.637469522767343
AP0032,267141.81398355105,57338.89915255356,45071.85129353922,4.658997956567047,5.927021107780505
AP0033,273181.90397167014,47756.009539177925,48683.788492265136,5.720367061815708,5.611352617207948
AP0034,280963.69620514684,59408.287634470566,46732.63421546088,4.729368702458996,6.012151913152666
AP0035,294357.518895383,50564.17849441913,48673.23784087754,5.821463487790508,6.047625593713245
AP0036,280498.2688606507,57373.281772148905,48254.993104826994,4.889005129157782,5.812834088512018
AP0037,218565.97699337738,30007.24546428703,41939.662080833645,7.283773422439009,5.21143867521197
AP0038,285628.571210745,51818.291144798255,49852.88707624903,5.512118692077279,5.729428884908543
AP0039,282166.9257725748,56408.39378476542,53165.34655495098,5.002215217281749,5.307346684572646
AP0040,280448.78002347454,54613.94569918229,53479.641189283226,5.135112953900227,5.244028826425141
AP0041,286259.5655359872,48959.049605490065,48818.642561786735,5.846918349981354,5.863734641406429
AP0042,281523.32692944276,42908.219682458424,46772.35868872844,6.561058207794486,6.019010689689387
AP0043,293678.74913721316,52581.14910718983,50156.48843103148,5.5852478335635345,5.855249406884636
AP0044,289440.21741218277,46335.33342262894,49521.61870411666,6.246641515928488,5.844724485714802
AP0045,306969.5762920107,57199.40837051391,51259.66303203204,5.3666564923817015,5.988521151615573
AP0046,286560.9749978287,50164.95423013583,51303.67301606104,5.71237389519398,5.585583997233852
AP0047,275048.2336812214,49792.93459395718,48644.98129164611,5.523840599557692,5.654195486934146
AP0048,296710.2316499859,51771.35220372773,39375.501456287486,5.731166350115569,7.535401980324676
AP0049,281068.4264084093,52757.649864686915,44117.6050066386,5.327538795403036,6.37089040454747
AP0050,279031.53195700125,45304.84462271151,36486.59732604587,6.158977793229679,7.647507644068943
AP0051,304024.2844989154,57622.20518631982,56192.40825880787,5.276165386518292,5.410415640110267
AP0052,280612.66623856995,43498.322839496235,53010.52828246868,6.451114615935841,5.293527065855944
AP0053,296956.2026342753,54736.389682497655,51344.04830414314,5.425206235865957,5.783653849716264
AP0054,299941.28534470126,52948.86630606554,53755.78017899388,5.664734795470807,5.579702951868033
AP0055,292940.88232084765,55456.71363003799,50065.784033756485,5.282333970871598,5.851119441639712
AP0056,302792.89895720844,52178.867302855295,51478.10222709386,5.802979531919414,5.881974778740834
AP0057,309688.5945644651,52866.85743932281,52729.40711774016,5.857896791385904,5.873166634947318
AP0058,295211.4114853462,53382.66309130143,52864.08805846756,5.530098994507641,5.584346998643825
AP0059,281854.7169315838,54574.48414035652,47474.90544944161,5.164587835712752,5.936920026765402
AP0060,300350.3987277634,51489.85556132934,47908.730554062335,5.833195596558187,6.26922056281234
AP0061,287589.63747378084,55453.137657759966,50283.343086484056,5.186174301780673,5.719381803615275
AP0062,308487.871154591,54979.89568723189,50598.07702404719,5.610921361319204,6.096829944900462
AP0063,327501.0244530545,62125.91543239382,53576.28764837925,5.271568590557753,6.112798008746726
AP0064,312814.9894792999,51259.88483243088,50959.297778183696,6.102530087648374,6.138526296828601
AP0065,313296.3802294774,52508.207518837924,48528.08509120224,5.966617316294386,6.455980689134498
AP0066,315848.512641952,66287.2230121871,49063.08000689685,4.764847557181304,6.4376005867864965
AP0067,314774.1291390583,64439.67098824792,48529.46156364144,4.884787962316951,6.486248126331757
AP0068,324561.0251559841,52276.7161808412,54153.41336372648,6.2085197553960345,5.993362283112969
AP0069,308837.5962470134,68271.54957883651,51916.46620711361,4.523664661959716,5.948740713879643
AP0070,291680.32956586586,58294.07101438821,52160.71738069185,5.003601987136444,5.591953949502929
AP0071,330501.73076917796,55014.08639157553,55560.49354640646,6.007583738040384,5.9485024281350025
AP0072,311139.1332308835,58427.73427841807,56032.1660992351,5.325195937741702,5.5528664139066874
AP0073,293243.30591547774,64438.31133562437,52411.768863769415,4.5507602517411065,5.594989680231675
AP0074,287527.16620080336,57278.63028973123,53113.45309586875,5.019798217003638,5.413452702497471
AP0075,304115.0451602939,55421.06833177594,53964.997851117565,5.487354436037244,5.635412902253937
AP0076,304621.5379897791,66618.29147861282,53992.255144178154,4.572641105447367,5.64194877906717
AP0077,299350.1511569767,49739.78098905989,55684.29672706123,6.018324673018119,5.37584505420358
AP0078,318042.8304436137,61686.40805986811,56758.663278283464,5.155800774377163,5.6034235493579825
AP0079,301240.34018149634,61258.902111312425,55338.631420777005,4.917494923988649,5.443581318283108
AP0080,298063.8156446446,51845.357107391304,53453.95173706154,5.74909369468209,5.576085695418965
AP0081,305009.42559483915,62561.81856943367,52651.663154693386,4.875328636048634,5.792968489878567
AP0082,302003.0839310111,58971.4454088901,52581.447904046174,5.121174864156939,5.743529247846592
AP0083,300355.64535858965,50479.05474850425,52786.662305276695,5.950104391910974,5.689991225843527
AP0084,308631.3763376799,56753.307265933654,40943.37820643675,5.438121427734606,7.538004675177479
AP0085,312903.6603517691,48711.83400485108,51324.74220312163,6.423565582043326,6.0965461670207475
AP0086,295882.9114526081,50695.629828856516,52004.931325739,5.836457944234638,5.689516434495619
AP0087,298861.1935821554,53729.17692330764,52488.85255122481,5.5623631459820455,5.693803142114631
AP0088,304019.11598170473,50491.972732954375,53077.28722689676,6.0211376091329045,5.72785709039862
AP0089,312895.25008620607,58765.00495398219,53118.28016196389,5.324516697160643,5.890538043252748
AP0090,303106.1682901779,60103.40814948734,52273.99283832048,5.043077882310794,5.798412400362498
AP0091,281558.2640531614,60747.13874391777,52119.592124278606,4.634922234610631,5.4021578561434005
AP0092,300638.14438833157,53151.435251635856,50939.29823822843,5.656256373228957,5.901890186675394
AP0093,308127.5113658087,61655.29756245662,55359.46251172221,4.997583720258207,5.565941166798063
AP0094,298412.1506002709,59138.97433530384,54512.003648318794,5.0459473461332855,5.474246599436347
AP0095,304682.64901291335,43458.46642985531,52691.27407646382,7.010892791274405,5.782411876599682
AP0096,302889.1023156557,62685.92603365374,53823.14499179366,4.83185176451004,5.627487995393743
AP0097,247465.35543591718,41350.651233301534,54475.208947380124,5.9845576322295555,4.542715121569415
AP0098,240169.1724580141,47347.518563392245,54437.59068880134,5.072476441113983,4.4118258985958505
AP0099,257460.864058618,39250.269970774076,53591.845381631996,6.559467342525911,4.8041052183446515
AP0100,301237.2459446684,63991.482661581016,54192.391891348896,4.707458452521904,5.55866304164288
AP0101,309099.73763827246,59910.48574573829,56800.80544164301,5.159359564369083,5.441819622713637
AP0102,297082.56885738106,62251.178180926625,54237.67949301854,4.772320420891332,5.477420340146032
AP0103,285757.3769968218,61635.60823966623,54631.93995846316,4.636238453033058,5.23059179692473
AP0104,279407.5510567957,57078.0732548295,54011.611376402485,4.895181899524865,5.173101559766981
AP0105,282077.10350193334,58583.195922883635,52313.51316189859,4.814983188579321,5.3920504751605565
AP0106,285316.75563211873,52032.89183687547,49663.815927897536,5.4833922459392515,5.744962409782299
AP0107,290574.85041032603,51246.47248089615,51009.9748021848,5.670143452676623,5.696431953498641
AP0108,289578.0181393014,54754.93653610368,51827.8251192575,5.288619373129266,5.587307927218112
AP0109,275143.83913693286,60611.46696266406,53997.21364581979,4.539468403007276,5.095519204780915
AP0110,302039.9578984984,56759.312793223886,51825.750721430115,5.321416751447296,5.8279900183598095
AP0111,308286.16819815605,59486.80735986242,52641.25982849375,5.182429212130928,5.856359995990947
AP0112,305992.1068070053,58391.385263437194,53438.1184824278,5.240363889750149,5.726101807039211
AP0113,320230.8340362466,61115.24443281792,54798.353769032605,5.239786521483463,5.8438039103505695
AP0114,302219.7201068797,51558.40410732113,51949.82985484881,5.861696562170462,5.817530508787058
AP0115,307625.98877924,62310.21411622397,52202.047580947976,4.937007409498568,5.892987019373419
AP0116,320051.59131590213,61759.1293140644,57495.94456194607,5.182255560766412,5.566507233759398
AP0117,292438.8849653368,52229.38077684889,53732.69264048894,5.599126020941891,5.442475904231473
AP0118,304700.5847547018,50576.51225721144,52467.496894424556,6.0245471891205025,5.807416072617727
AP0119,309566.8593575468,61348.32748622523,50478.46096156349,5.046052142612282,6.132652490995407
AP0120,302985.4219528042,53743.52149674058,52637.12288696593,5.6376175865435165,5.756116697400834
AP0121,292566.7369585954,59914.650311235564,53135.14849420475,4.883058407898802,5.506086747654513
AP0122,315188.60862034076,59610.75064477833,52664.9195155631,5.287445724321709,5.98479237260011
AP0123,311516.0983455238,60687.03324676297,51969.74583919877,5.133157474988942,5.994181678498017
AP0124,312768.3385681241,59811.58756643824,53624.06246966342,5.229226497636491,5.832611782165247
AP0125,300067.4868540656,49740.68686239962,48877.44873164627,6.032636575448962,6.1391806373024425
AP0126,284148.01180299826,42452.62728098808,48086.152991535215,6.693296269327733,5.909144194858297
AP0127,302006.80119316076,49034.7447938649,50313.65094377558,6.1590368719722,6.0024823388516735
AP0128,332123.66444837773,46401.160645628945,50739.74569371374,7.157658554811694,6.545631238540584
AP0129,311796.75722878944,56513.67440701271,49187.935167364114,5.517191378908093,6.338886886954845
AP0130,320935.6091542579,62936.84938190736,51914.627742717734,5.099327537144212,6.181988065960404
AP0131,323005.94718082895,55186.78324455013,51073.91563243147,5.852958411246533,6.324283994699696
AP0132,324372.8514248884,54708.33491245888,51952.659130955966,5.929130395650519,6.243623653743087
AP0133,328319.1200296896,65763.36496756408,53390.81430369381,4.992431883490508,6.14935592033057
AP0134,328315.20838673454,56172.30813650517,52642.765291076255,5.8447875702186,6.236663415597374
AP0135,311208.4492197235,55737.68206098324,51643.84282796475,5.583447996262685,6.026051358269693
AP0136,356075.0684879212,59628.15094434529,55607.50236657597,5.971593330476884,6.403363814842859
AP0137,352600.1883467978,57928.60372818352,56530.90186492919,6.0868062693396165,6.237299896422578
AP0138,321765.57426410203,41902.22898922283,53353.99581907666,7.678960810100568,6.030768067591577
AP0139,317156.470322528,57133.862432223934,53947.436424543885,5.551112016954228,5.878990575689983
AP0140,329354.8400206338,54990.35122567021,55903.65111759096,5.989320538598173,5.8914728007272705
AP0141,327573.47810851416,48553.448091028105,55936.20720706246,6.746657363950315,5.856197523294982
AP0142,329074.5935994847,68091.1425230919,55304.927409595046,4.832854632860433,5.950185797412193
AP0143,313472.4843172591,64128.79779419346,53278.253363421245,4.88817029321642,5.88368545378173
AP0144,309059.9514405552,54111.86185545315,52205.0070078818,5.711500969346328,5.920120868749122
AP0145,321774.6439274724,55923.325775160396,52494.696306049096,5.7538538609303505,6.129660071781261
AP0146,324749.7760422704,58711.817679637126,52622.27329307501,5.531250587646217,6.171336883026808
AP0147,310379.45145125117,63612.25125128414,53006.52293783762,4.879240167513888,5.855495404126822
AP0148,350691.1906153501,53532.705616565785,55786.27151484484,6.550970786479884,6.286334990536703
AP0149,329776.16062857537,53691.05056656562,53616.518021308424,6.14210668535387,6.150644853466889
AP0150,289698.45799532474,57922.76724505326,52732.84904486951,5.0014609414239555,5.493700098563329
AP0151,307527.16168124025,49083.235873344434,53626.686472776804,6.265421507147384,5.734591896468452
AP0152,324754.749759073,57578.17646182894,54323.4886316953,5.640240273575996,5.978164472478178
AP0153,311092.6241456955,56652.16957958926,54679.071372230785,5.491274675873604,5.689427715915571
AP0154,324000.1812532362,58282.19552512599,60386.05217756128,5.55916225073499,5.365480430820923
AP0155,356823.2658944997,65114.27425038324,57178.15020511017,5.47995458756725,6.240552809324871
AP0156,302419.18103520304,62346.06928814384,52148.49823341299,4.850653529375158,5.799192522890999
AP0157,325238.6489635116,47681.678147885745,54710.05203689161,6.821040315627671,5.944769504956776
AP0158,335911.2990363797,56791.78416705048,55132.09916556423,5.914786865091467,6.092844352391202
AP0159,305078.9327446519,66050.5454155731,56786.93469673393,4.618870757617117,5.372343733182667
AP0160,330935.94542367314,50352.77453127288,55598.779452680144,6.572347770392214,5.95221601411828
AP0161,320311.44079086994,60460.39226616814,55108.02716269969,5.2978723555207035,5.8124280124416305
AP0162,321343.01566701254,66275.00940310844,56805.02663239716,4.848630253863696,5.656946835823566
AP0163,317241.2882717345,61104.756600032924,56982.774039095006,5.191760935212751,5.56731913497367
AP0164,324868.9559518614,55165.66279697396,55492.82323848271,5.888970411675751,5.854251721086952
AP0165,315101.04379164777,56795.67315025428,52274.661373624665,5.547976215688836,6.027796938549523
AP0166,323695.3842212028,53853.807795056244,56028.5521631725,6.010631327185705,5.777329088899203
AP0167,310996.2332051955,57631.19794993752,53176.78690632047,5.396317346645276,5.848345703042679
AP0168,269265.1218217058,43401.370850249135,43722.1363322025,6.20406951547154,6.15855363918677
AP0169,348469.9801167165,62590.692871676096,57130.953201059085,5.567440846695087,6.099495292689369
AP0170,296095.8681752101,57068.16124611771,52780.38091171438,5.188459934747822,5.609960804763591
AP0171,319682.2990048498,67964.44345882382,55210.447368026755,4.703669782840625,5.790250111068342
AP0172,334375.806711662,60564.95733740406,53802.75873446817,5.520945137447595,6.214845011236341
AP0173,314349.85652047186,67729.54455623386,52836.30384518689,4.641251592345736,5.949505049435957
AP0174,295660.31395958655,63602.394485395846,54244.635052330865,4.648572060089263,5.450498720737216
AP0175,307567.78616124566,63557.58427704498,53188.88411545678,4.839198809391022,5.782557601577243
AP0176,311980.92781342537,67161.73359918117,54631.1200248671,4.645218506051622,5.710681524951663
AP0177,297852.08228833525,65072.064091726694,55266.76896954335,4.577265012962826,5.389352188337206
AP0178,312288.0886184717,67547.04623403423,57900.93559865921,4.62326787075883,5.393489507373404
AP0179,313762.8547871987,53188.424770223355,59001.4412588757,5.899081541569804,5.3178845820143215
AP0180,286895.46044113574,58633.83756526497,55202.24380413768,4.89300159011073,5.1971702719017285
AP0181,292829.4310292134,57637.06518726957,53941.52633978487,5.08057497510979,5.4286456260922575
AP0182,410760.64906689967,110588.97793508974,57749.48292329462,3.71430007525701,7.112802197943311
AP0183,310181.82395409985,56941.06875059937,56452.661772897234,5.447418370608557,5.494547364337341
AP0184,301063.84974918095,59632.97328297554,54350.426613527365,5.048613764746339,5.539309781135162
AP0185,292366.70737459476,64504.442942278,56830.10954384004,4.532504956848011,5.144574059795827
AP0186,295344.0737649659,64000.79056041538,57583.20953143174,4.61469414953816,5.128996389194886
AP0187,319589.1467010549,56030.92160594229,58855.24677299925,5.703799572469664,5.430087617059679
AP0188,301485.193926897,57733.42638040569,58902.502704615,5.222021501727792,5.11837664078195
AP0189,309176.1830997363,61598.88285054122,59032.287967165226,5.019184907133747,5.237408098966203
AP0190,307032.0434782889,51029.720819978,58847.78160509449,6.016729830081427,5.21739367404988
AP0191,310008.6654906665,67894.57852282864,55704.21670672327,4.566029751350916,5.565263885188959
AP0192,321495.8302097824,64464.97939226761,59133.818822125875,4.987139269113687,5.436750688752906
AP0193,285950.41872189817,53543.58563207066,52492.65585602834,5.340516802270789,5.447436675830895
AP0194,309330.4129113533,55274.89184809568,56603.51554661032,5.5962192338872985,5.464862207306441
AP0195,288428.7788012325,57757.771101473496,54865.65866828593,4.993765744431129,5.257000203807877
AP0196,299156.61663303536,37634.50503381349,56736.76335575031,7.948998302601614,5.272712064261869
AP0197,314435.8064948118,57146.76592428183,57328.738704785785,5.502250239522427,5.484785006591515
AP0198,316948.6599278492,64231.752196370086,53836.760942023146,4.93445451961002,5.887216362610884
AP0199,319910.94711413764,68656.33097393689,53994.61189556853,4.659598649913018,5.924867980028828
AP0200,318500.97950103803,68154.05328113114,56306.76476855845,4.673250733705326,5.656531338822154
AP0201,311137.39311320457,61241.299512488455,55277.56456749201,5.080515854333835,5.628637866874842
AP0202,306448.48409727507,54496.193986431055,53484.29912956706,5.6233006689160225,5.729690564980499
AP0203,320184.886783734,66359.73735017516,55639.727311931754,4.82498725234766,5.7546092019590365
AP0204,281257.66568579077,55736.907742304305,54331.13915261189,5.046165585399282,5.176730509841882
AP0205,286044.9858486448,58382.43547144085,52994.25484641532,4.899504166601109,5.397660306341559
AP0206,330194.8024723885,64346.32888719684,58738.381175944465,5.131525110799106,5.6214488016502475
AP0207,314750.2900921322,68471.21317666878,57299.54509909275,4.596826541980737,5.493067868999815
AP0208,318858.1035307631,66110.61998447326,59498.60583857953,4.82309958075798,5.359085293457618
AP0209,352635.2821673018,66269.39598449228,59400.9374770161,5.321238815120966,5.93652721901479
AP0210,326858.83224549843,66699.7821099336,61070.59130526842,4.900448275929516,5.352147822045094
AP0211,545651.9473952375,63383.7131395665,163304.32681438056,8.608709088938197,3.3413195966047575
AP0212,332883.23938716785,62728.5746283994,58891.7522279031,5.306724110330096,5.652459415691264
AP0213,321569.61486178014,65365.702196397186,59511.688802971476,4.91954655203726,5.403469828026857
AP0214,310978.25001238636,65486.651064759346,59809.427620628245,4.748727335359719,5.1994854721721175
AP0215,313680.59650100983,64243.93206283315,57750.479238362015,4.882649402502599,5.43165356613423
AP0216,313862.5519172395,59001.85045949406,56830.67505091182,5.319537429299991,5.522766562882905
AP0217,516256.21310336655,66251.87022270526,159689.64093648156,7.792326637240193,3.232872276973267
AP0218,373612.13451379875,54962.649215035184,90906.50969092813,6.797564161292213,4.109850172270807
AP0219,306259.1320223425,53866.9724133877,57189.460209504214,5.6854714178483725,5.355167383997198
AP0220,352365.17897810315,68614.94389490482,62298.57050349977,5.135399943164115,5.656071658310493
AP0221,307572.45537638705,62741.717988784025,56311.57813601257,4.9022000868922655,5.461975415313166
AP0222,320144.8715810866,53129.435198543455,57489.15695792053,6.0257533396452025,5.568787029098691
AP0223,297803.60378969763,57718.0024612625,54685.055983719896,5.159631156493485,5.445794987909599
AP0224,297873.45077272615,66415.08207391709,58514.85919172714,4.485027217781738,5.090560840225685
AP0225,289157.6436195698,49376.55693925555,55715.860583360096,5.856172676748194,5.189862286824814
AP0226,306832.30318288965,58845.721413974105,57183.72174693274,5.214182030743634,5.365728109492064
AP0227,288764.15535576787,60315.384790014905,54122.17845062089,4.787570474118441,5.33541264639275
AP0228,300684.78401783586,46872.83884837601,54813.66236577197,6.414904482113602,5.485580985473368
AP0229,325229.2695014357,63143.92659941719,58668.02736592945,5.150602552240353,5.5435521544449875
AP0230,325397.10890496586,57912.019392132526,57974.37474131674,5.618818205969377,5.612774788117971
AP0231,319831.9581825771,44927.96280620806,56140.855105993105,7.118772768801868,5.696955587490413
AP0232,332041.7143805835,68428.976060381,56604.05730084608,4.852355442051236,5.866040884945899
AP0233,308743.2893911052,55766.324159182295,53391.72955094185,5.536375116097168,5.782605133563403
AP0234,317366.0534887676,49580.09727665579,52697.684387675174,6.401077668683714,6.0223908730796625
AP0235,314008.50801838085,58594.9006884722,53019.24996343322,5.358973295096958,5.9225377242218435
AP0236,296753.91079953004,54352.70657795162,51164.985825798205,5.45978166467076,5.799941229533225
AP0237,317205.06921849755,60820.84504069494,55765.50446405649,5.215400558908005,5.688195099587976
AP0238,307613.5640961101,66883.28516729177,55747.18483502328,4.5992591919893275,5.518010730164284
AP0239,299273.72187475365,61389.55923358907,51913.9605907714,4.874993819975289,5.764802347366167
AP0240,326073.79981724685,60219.75539430458,54250.97849652991,5.41473138976061,6.010468545523169
AP0241,316363.3839338602,63132.04765962732,55927.439252251286,5.011137697283551,5.656675652660522
AP0242,319268.03128140565,58607.19781268833,53754.66745867815,5.447590794253685,5.939354597009288
AP0243,328155.2852308277,47964.25288545161,53723.023630239695,6.841663645101056,6.108280268985366
AP0244,318060.06230458873,61757.18568580998,53358.27316175602,5.150170927845078,5.960838750166955
AP0245,317926.1299541798,69833.84925135493,52852.937171541766,4.552607845084687,6.015297294118302
AP0246,347003.22395460424,54694.72877927124,53504.94030465943,6.3443631900066215,6.4854426895675985
AP0247,319226.2848637067,64286.24786640189,52226.46619686126,4.965700992957544,6.112347016940077
AP0248,335965.35862245795,74651.50131565137,55284.170244312336,4.5004501276120985,6.07706251423792
AP0249,337003.61611376307,62949.45129274037,55423.62828446484,5.353559231939293,6.080504408409954
AP0250,313804.6815353148,61560.09168715867,55638.61450871939,5.097534343029154,5.640052044900166
AP0251,327112.1349521014,64238.49885383066,56598.599490055625,5.092150980931509,5.779509350042751
AP0252,351588.75668984477,64188.40871094604,59175.440490992376,5.4774493362675996,5.941464123843121
AP0253,343164.97817218245,67919.25664058568,54446.16786472705,5.052543198288209,6.302830697374055
AP0254,334363.8377339809,61322.01217508532,55046.891673100174,5.45259077245072,6.074163818724298
AP0255,361207.0730656071,57609.851552561675,57431.55525002951,6.269883766946553,6.289348625386939
AP0256,343712.3592920258,72795.03548241958,54235.60706575765,4.721645604184564,6.337393050202125
AP0257,315481.8426780784,67307.99766508953,56726.333282988446,4.687137541185668,5.561470738893812
AP0258,332082.03016289964,58013.86855927002,57916.03884009228,5.724183516974517,5.733852604798939
AP0259,350127.5857323572,61976.52095018036,59642.81705821564,5.64935850487326,5.870406580403601
AP0260,317849.3243235398,64131.83903459813,55994.27758452657,4.956186024106763,5.676460846266442
AP0261,312193.5800799717,57018.770825432075,59449.46966709183,5.475277273790757,5.251410682520958
AP0262,355050.0582954698,67697.88973774234,59506.70174748281,5.2446251968992375,5.966555831007534
AP0263,319105.87228849245,64579.16828081048,64420.2170792024,4.941312822440203,4.953505075839204
AP0264,305586.3577907394,57323.783972843055,56181.453745459985,5.330882517028357,5.439274661265485
AP0265,331019.1547778058,63594.503246840664,62370.754016288854,5.205153556950704,5.307281593731515
AP0266,337387.33021411655,63356.88387557047,77603.68230639314,5.325188197019399,4.347568571321801
AP0267,332418.69227727974,61318.92508847751,58346.11043448983,5.42114350174323,5.697358226655308
AP0268,334810.0174446977,66890.62214472055,61199.2669745512,5.005335676506682,5.470817445965871
AP0269,335067.9432025457,70786.40011562122,63248.745634516104,4.733507321395802,5.297621950303034
AP0270,311149.3134329233,66048.36787566498,59511.93269242473,4.710931146983935,5.228351682695888
AP0271,325025.9799882072,65550.45180034733,60696.36429275906,4.958409455028119,5.354949736700821
AP0272,359401.42588554125,68996.81607242882,62944.56743921911,5.208956678642427,5.7098084951110115
AP0273,318049.3002191506,67346.78213798518,57371.78654491427,4.722561199249388,5.543653411771681
AP0274,338733.25698402536,70233.86416763227,62237.28997335579,4.822933509333134,5.442609360546376
AP0275,330418.68536587746,65719.17691288122,62209.11214096037,5.027736208624276,5.311419404558898
AP0276,308181.64468201774,59185.18785322358,54897.14636864789,5.207073861897564,5.613800808743353
AP0277,318779.3182971726,58303.914627213664,61446.31317307725,5.467545710016196,5.187932389031373
AP0278,339660.66202141513,63311.140386442275,59046.15794169689,5.364943040800945,5.752460005218315
AP0279,323569.0469459756,74117.26317285502,57442.01919789761,4.365636736901003,5.632967842429507
AP0280,321587.6268027513,60207.80817405904,55115.636802695226,5.341294369545072,5.834780208636277
AP0281,332320.6892335771,58604.66593322756,55708.433448344666,5.670550014092966,5.965356924669576
AP0282,331188.2964591343,65736.41334511776,54599.72003597412,5.038125440771886,6.0657508177866895
AP0283,320547.48858343955,62361.2143650365,52847.48840471315,5.140173934187497,6.065519824303549
AP0284,342424.1200728448,64055.4678992149,61632.41338847876,5.345743795230972,5.555909646349428
AP0285,317121.0204539401,52110.64061670992,57543.39441175377,6.085532948759247,5.510989118660077
AP0286,325553.2023829683,63261.143241364036,56862.15610228099,5.1461795614547405,5.7253052768062185
AP0287,316192.98925338674,64726.46995564607,54320.18151535329,4.885064633836181,5.820911867977036
AP0288,313161.3226816318,30988.36401539083,53439.517434658475,10.105771396195538,5.8601076079053325
AP0289,321035.51237715187,64309.38723682394,51983.9964515812,4.992047447053344,6.175660478050585
AP0290,328915.87146600196,58100.388894693286,53597.66961384525,5.6611647137536485,6.136756949243125
AP0291,311144.9249446099,55231.928195343375,51230.69775791543,5.633424997297897,6.073407908962869
AP0292,318624.83893963473,66066.50480234408,52725.06292150057,4.822789398241781,6.043138145022561
AP0293,336040.5903150601,60693.55345791875,52456.26832544363,5.536676816064994,6.406109337214623
AP0294,308566.61462009157,51629.45387871644,52286.453014811515,5.976561660809937,5.90146389415021
AP0295,313057.4040112854,49041.89306176409,53168.41359867279,6.383468998984527,5.888033567717733
AP0296,337372.18021579983,54466.17540368382,52678.59385163559,6.194159544255088,6.40435052549006
AP0297,337926.1438733011,59819.65014262333,52488.039442237525,5.649082585197508,6.438155196198267
AP0298,324613.3787097979,54046.20088363969,51359.52723382282,6.006220111727807,6.320412125912712
AP0299,333867.20986569184,59477.94983965748,51582.074789097795,5.613293846975922,6.472543247451086
AP0300,329476.101866224,54079.61170433712,52694.71341146334,6.092427284195911,6.252545664183249
AP0301,330520.0849019255,59197.4058759183,58308.89235866541,5.583354202964866,5.668433604755419
AP0302,330426.3011950957,65103.98215970997,55585.11666531186,5.075362370069925,5.944510347700676
AP0303,309841.35570657975,56683.35314152824,56872.35432832772,5.466179019666692,5.448013527237609
AP0304,313640.5717185088,51839.25446327961,56742.01470329996,6.050252361184638,5.527483882243404
AP0305,345681.2417154032,63639.489470077984,56967.81145205006,5.431866983752841,6.068009862137041
AP0306,345321.0640955581,61246.32810488288,53725.42262867566,5.638232932171933,6.42751694076474
