Batch,orden_inicio,sn_pct_inicio,avance_inicio,perdida_feo_total,hubo_perdida,rendimiento_proxy_batch,f_dross,f_metal,f_polvo,es_lockbox,st_R22_sdi
AP0097,0.0,22.7302,0.6087309897766207,0.3140066372247921,1,58.327159013340165,0.11241695080921424,0.5832715901334017,0.3043114590573841,False,-0.4051868526378512
AP0098,0.0,18.9054,0.7093753360017531,0.35150964078669117,1,62.977905463743305,0.1683502312491344,0.629779054637433,0.2018707141134327,False,-0.0841895339079401
AP0099,0.0,16.3753,0.7407986619603162,0.2595848551175352,1,68.24650370012404,0.12380389299155778,0.6824650370012404,0.19373107000720186,False,0.13483375315775253
AP0100,0.0,15.5103,0.8004558774097448,0.2180903362982558,1,69.27353245216207,0.1431237177648965,0.6927353245216208,0.16414095771348278,False,1.3071130735628178
AP0101,0.0,15.2752,0.7883674637779878,0.24770227721894267,1,66.5706281446838,0.17130481013505733,0.6657062814468379,0.1629889084181047,False,0.309268162217514
AP0102,1.0,4.6079,0.9454279090989515,0.2476451536998296,1,69.21493902604699,0.11289255471536089,0.69214939026047,0.1949580550241691,False,0.9063409272533819
AP0103,1.0,1.8541,0.977618776445484,0.1461000520703443,1,70.27804856385265,0.1135559599709368,0.7027804856385265,0.1836635543905367,False,1.7438775070711783
AP0104,0.0,16.252,0.7926597715774133,0.25349877614270805,1,63.119763101629005,0.19647689080209443,0.63119763101629,0.17232547818161556,False,0.989483426721376
AP0105,0.0,18.0096,0.7323206707406598,0.2444836941329498,1,69.0643554002944,0.12760228788210942,0.6906435540029441,0.1817541581149464,False,0.6070268153728868
AP0106,0.0,16.7492,0.7638759698202566,0.34140649122601757,1,67.6954478007303,0.12178926482728442,0.6769544780073031,0.20125625716541246,False,0.4738902652753144
AP0107,0.0,12.0528,0.8419903730813572,0.11369297644876217,1,68.37984972223518,0.13869490189926387,0.6837984972223518,0.1775066008783845,False,1.171222531810901
AP0108,0.0,19.0304,0.7287391432552371,0.19732925944385782,1,72.60709805321838,0.08508845228383212,0.7260709805321838,0.18884056718398418,False,1.2629387795833396
AP0109,1.0,7.6122,0.9014679070890131,0.2540942728612341,1,75.2440608247891,0.0577214762631082,0.752440608247891,0.18983791548900067,False,1.2858834304828795
AP0110,0.0,12.5864,0.8396997366593969,0.23948988891869505,1,67.51394069607987,0.1345013874823783,0.6751394069607988,0.19035920555682284,False,0.16480436971619133
AP0111,1.0,4.1532,0.9546474974714693,0.12457099452098945,1,59.95947216997236,0.1756929522824832,0.5995947216997236,0.22471232601779326,False,1.3920920765293445
AP0112,1.0,2.2779,0.9749741251556904,0.22822773604623087,1,70.280035285811,0.14098359586201786,0.70280035285811,0.1562160512798722,False,0.6359100643393624
AP0113,0.0,11.1723,0.87090335437366,0.1662093095962824,1,75.2067368896212,0.11336840477066262,0.752067368896212,0.13456422633312543,False,1.7825393667651666
